"","reason.4","reason.16","reason.17","reason.19","letter.7","letter.33","letter.34","letter.58","matrix.45","matrix.46","matrix.47","matrix.55","rotate.3","rotate.4","rotate.6","rotate.8"
"5",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"6",0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
"7",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"8",1,NA,0,0,0,0,1,0,0,NA,0,0,0,0,0,0
"9",NA,1,1,0,0,1,0,NA,1,1,0,0,0,0,0,0
"10",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"11",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"12",0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"13",1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
"14",1,1,1,1,0,0,1,0,1,1,0,0,0,NA,0,0
"15",0,0,0,0,NA,0,0,0,1,0,1,0,0,0,1,0
"16",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
"17",0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
"18",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
"21",1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0
"22",1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0
"23",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"24",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"25",1,0,NA,0,1,0,1,1,1,1,0,0,0,0,0,0
"26",1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
"27",0,1,1,1,NA,0,0,0,1,0,0,1,0,0,0,0
"30",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
"31",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
"32",1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0
"33",1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
"34",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"35",0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
"36",1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
"37",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"38",0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0
"39",1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0
"40",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
"41",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"42",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"43",1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0
"44",1,1,1,1,NA,1,1,1,1,0,0,0,1,0,1,0
"50",1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
"51",1,1,NA,0,1,1,1,1,0,1,1,0,0,0,0,0
"52",1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1
"55",0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0
"56",1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1
"57",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"58",0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
"59",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"61",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"62",0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0
"63",1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"64",0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
"65",0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
"66",0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"69",0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"74",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
"76",1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
"77",NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0
"78",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"79",0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
"80",1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
"81",1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
"84",1,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,1,NA,NA
"85",1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
"86",1,1,1,1,0,NA,1,1,1,NA,1,0,NA,0,0,0
"87",0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
"88",1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
"89",1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1
"90",1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0
"91",1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0
"92",1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
