Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10349677,2,"Sunday, November  6, 2011 09:53:38 UTC",64.2285,-140.2990,2.4,9.40, 9,"Southern Yukon Territory, Canada"
ak,10349676,2,"Sunday, November  6, 2011 09:47:24 UTC",54.2694,-162.5323,2.8,12.00,12,"Alaska Peninsula"
ak,10349673,2,"Sunday, November  6, 2011 09:44:57 UTC",54.2173,-162.5325,3.6,13.20,21,"Alaska Peninsula"
us,b0006kqq,5,"Sunday, November  6, 2011 09:39:57 UTC",35.5056,-96.8651,4.0,5.00,60,"Oklahoma"
ak,10349669,2,"Sunday, November  6, 2011 09:29:56 UTC",54.2608,-162.5270,3.3,33.90,17,"Alaska Peninsula"
ci,15072860,2,"Sunday, November  6, 2011 09:29:08 UTC",35.0747,-118.4420,1.4,10.70,28,"Central California"
us,b0006kqi,5,"Sunday, November  6, 2011 09:22:04 UTC",35.5848,-96.8228,3.4,5.00,27,"Oklahoma"
ak,10350989,2,"Sunday, November  6, 2011 09:21:54 UTC",54.2211,-162.5409,3.0,9.60,13,"Alaska Peninsula"
ak,10349665,3,"Sunday, November  6, 2011 09:20:52 UTC",51.8370,-172.5058,3.1,27.80, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10350987,2,"Sunday, November  6, 2011 09:17:30 UTC",54.2044,-162.4931,2.6,11.60, 8,"Alaska Peninsula"
ak,10349658,2,"Sunday, November  6, 2011 09:14:18 UTC",61.4441,-140.7198,1.7,7.60,20,"Southern Yukon Territory, Canada"
ak,10350985,2,"Sunday, November  6, 2011 09:13:31 UTC",54.2419,-162.5242,2.6,9.40, 9,"Alaska Peninsula"
us,b0006kqg,7,"Sunday, November  6, 2011 09:05:00 UTC",54.2132,-162.5742,4.8,48.60,204,"Alaska Peninsula"
ak,10350983,2,"Sunday, November  6, 2011 09:04:09 UTC",54.1951,-162.5342,2.3,12.20, 9,"Alaska Peninsula"
ak,10350982,2,"Sunday, November  6, 2011 08:40:51 UTC",51.9542,-171.5155,2.9,42.30, 9,"Fox Islands, Aleutian Islands, Alaska"
us,b0006kqd,8,"Sunday, November  6, 2011 08:40:13 UTC",38.4190,144.8536,4.5,10.30,17,"off the east coast of Honshu, Japan"
us,b0006kq9,7,"Sunday, November  6, 2011 08:31:28 UTC",-17.2383,-172.9711,4.6,34.80,44,"Tonga region"
ak,10349650,2,"Sunday, November  6, 2011 08:30:22 UTC",54.2139,-162.5333,3.2,13.20,17,"Alaska Peninsula"
nn,00354165,8,"Sunday, November  6, 2011 08:17:59 UTC",38.6959,-119.4736,1.3,10.10, 9,"Nevada"
ak,10350980,2,"Sunday, November  6, 2011 08:15:55 UTC",54.2349,-162.5939,2.8,11.30,11,"Alaska Peninsula"
us,2011syaz,1,"Sunday, November  6, 2011 08:14:12 UTC",35.4736,-96.7941,2.7,5.00, 8,"Oklahoma"
ak,10350979,2,"Sunday, November  6, 2011 08:13:59 UTC",57.7662,-154.0334,2.2,70.30, 7,"Kodiak Island region, Alaska"
ak,10350978,2,"Sunday, November  6, 2011 08:13:56 UTC",54.2624,-162.5948,2.7,12.20, 9,"Alaska Peninsula"
