"","time","presidents"
"1",1945,NA
"2",1945.25,87
"3",1945.5,82
"4",1945.75,75
"5",1946,63
"6",1946.25,50
"7",1946.5,43
"8",1946.75,32
"9",1947,35
"10",1947.25,60
"11",1947.5,54
"12",1947.75,55
"13",1948,36
"14",1948.25,39
"15",1948.5,NA
"16",1948.75,NA
"17",1949,69
"18",1949.25,57
"19",1949.5,57
"20",1949.75,51
"21",1950,45
"22",1950.25,37
"23",1950.5,46
"24",1950.75,39
"25",1951,36
"26",1951.25,24
"27",1951.5,32
"28",1951.75,23
"29",1952,25
"30",1952.25,32
"31",1952.5,NA
"32",1952.75,32
"33",1953,59
"34",1953.25,74
"35",1953.5,75
"36",1953.75,60
"37",1954,71
"38",1954.25,61
"39",1954.5,71
"40",1954.75,57
"41",1955,71
"42",1955.25,68
"43",1955.5,79
"44",1955.75,73
"45",1956,76
"46",1956.25,71
"47",1956.5,67
"48",1956.75,75
"49",1957,79
"50",1957.25,62
"51",1957.5,63
"52",1957.75,57
"53",1958,60
"54",1958.25,49
"55",1958.5,48
"56",1958.75,52
"57",1959,57
"58",1959.25,62
"59",1959.5,61
"60",1959.75,66
"61",1960,71
"62",1960.25,62
"63",1960.5,61
"64",1960.75,57
"65",1961,72
"66",1961.25,83
"67",1961.5,71
"68",1961.75,78
"69",1962,79
"70",1962.25,71
"71",1962.5,62
"72",1962.75,74
"73",1963,76
"74",1963.25,64
"75",1963.5,62
"76",1963.75,57
"77",1964,80
"78",1964.25,73
"79",1964.5,69
"80",1964.75,69
"81",1965,71
"82",1965.25,64
"83",1965.5,69
"84",1965.75,62
"85",1966,63
"86",1966.25,46
"87",1966.5,56
"88",1966.75,44
"89",1967,44
"90",1967.25,52
"91",1967.5,38
"92",1967.75,46
"93",1968,36
"94",1968.25,49
"95",1968.5,35
"96",1968.75,44
"97",1969,59
"98",1969.25,65
"99",1969.5,65
"100",1969.75,56
"101",1970,66
"102",1970.25,53
"103",1970.5,61
"104",1970.75,52
"105",1971,51
"106",1971.25,48
"107",1971.5,54
"108",1971.75,49
"109",1972,49
"110",1972.25,61
"111",1972.5,NA
"112",1972.75,NA
"113",1973,68
"114",1973.25,44
"115",1973.5,40
"116",1973.75,27
"117",1974,28
"118",1974.25,25
"119",1974.5,24
"120",1974.75,24
