"","Expenditure","Income"
"Alabama",275,6247
"Alaska",821,10851
"Arizona",339,7374
"Arkansas",275,6183
"California",387,8850
"Colorado",452,8001
"Connecticut",531,8914
"Delaware",424,8604
"Florida",316,7505
"Georgia",265,6700
"Hawaii",403,8380
"Idaho",304,6813
"Illinois",437,8745
"Indiana",345,7696
"Iowa",431,7873
"Kansas",355,8001
"Kentucky",260,6615
"Louisiana",316,6640
"Maine",327,6333
"Maryland",427,8306
"Massachusetts",427,8063
"Michigan",466,8442
"Minnesota",477,7847
"Mississippi",259,5736
"Missouri",274,7342
"Montana",433,7051
"Nebraska",294,7391
"Nevada",359,9032
"New Hampshire",279,7277
"New Jersey",423,8818
"New Mexico",388,6505
"New York",447,8267
"North Carolina",335,6607
"North Dakota",311,7478
"Ohio",322,7812
"Oklahoma",320,6951
"Oregon",397,7839
"Pennsylvania",412,7733
"Rhode Island",342,7526
"South Carolina",315,6242
"South Dakota",321,6841
"Tennessee",268,6489
"Texas",315,7697
"Utah",417,6622
"Vermont",353,6541
"Virginia",356,7624
"Washington",415,8450
"Washington DC",428,10022
"West Virginia",320,6456
"Wisconsin",NA,7597
"Wyoming",500,9096
