"","accident","op","co.65.69","co.70.74","co.75.79","service","ship"
"1",0,0,0,0,0,127,1
"2",0,1,0,0,0,63,1
"3",3,0,1,0,0,1095,1
"4",4,1,1,0,0,1095,1
"5",6,0,0,1,0,1512,1
"6",18,1,0,1,0,3353,1
"7",NA,0,0,0,1,NA,1
"8",11,1,0,0,1,2244,1
"9",39,0,0,0,0,44882,2
"10",29,1,0,0,0,17176,2
"11",58,0,1,0,0,28609,2
"12",53,1,1,0,0,20370,2
"13",12,0,0,1,0,7064,2
"14",44,1,0,1,0,13099,2
"15",NA,0,0,0,1,NA,2
"16",18,1,0,0,1,7117,2
"17",1,0,0,0,0,1179,3
"18",1,1,0,0,0,552,3
"19",0,0,1,0,0,781,3
"20",1,1,1,0,0,676,3
"21",6,0,0,1,0,783,3
"22",2,1,0,1,0,1948,3
"23",NA,0,0,0,1,NA,3
"24",1,1,0,0,1,274,3
"25",0,0,0,0,0,251,4
"26",0,1,0,0,0,105,4
"27",0,0,1,0,0,288,4
"28",0,1,1,0,0,192,4
"29",2,0,0,1,0,349,4
"30",11,1,0,1,0,1208,4
"31",NA,0,0,0,1,NA,4
"32",4,1,0,0,1,2051,4
"33",0,0,0,0,0,45,5
"34",NA,1,0,0,0,NA,5
"35",7,0,1,0,0,789,5
"36",7,1,1,0,0,437,5
"37",5,0,0,1,0,1157,5
"38",12,1,0,1,0,2161,5
"39",NA,0,0,0,1,NA,5
"40",1,1,0,0,1,542,5
