Primary forest land (ha),1990,2000,2005
Angola,,,
Botswana,,,
British Indian Ocean Territory,,,
Comoros,,,
Kenya,742000,716000,704000
Lesotho,1000,1000,1000
Madagascar,"10,503,000","10,381,000","10,347,000"
Malawi,"1,727,000","1,330,000","1,132,000"
Mauritius,,,
Mayotte,,,
Mozambique,,,
Namibia,,,
Reunion,55000,55000,55000
Seychelles,2000,2000,2000
South Africa,,,
Swaziland,,,
Uganda,,,
Tanzania,,,
Zambia,,,
Zimbabwe,,,
Algeria,,,
Burkina Faso,,,
Chad,209000,196000,190000
Djibouti,,,
Egypt,,,
Eritrea,,,
Ethiopia,,,
Libya,,,
Mali,,,
Mauritania,,,
Morocco,,,
Niger,220000,220000,220000
Somalia,,,
Sudan,"15,276,000","14,098,000","13,509,000"
Tunisia,,,
Western Sahara,,,
Benin,,,
Burundi,,,
Cameroon,,,
Cape Verde,,,
Central African Rep.,,,
"Congo, Rep.","7,548,000","7,492,000","7,464,000"
Cote d'Ivoire,625000,625000,625000
"Congo, Dem. Rep.",,,
Equatorial Guinea,,,
Gabon,,,
Gambia,,,
Ghana,353000,353000,353000
Guinea,63000,63000,63000
Guinea-Bissau,940000,940000,940000
Liberia,129000,129000,129000
Nigeria,"1,556,000",736000,326000
Rwanda,,,
Saint Helena,,,
Sao Tome and Principe,12000,12000,12000
Senegal,"1,759,000","1,653,000","1,598,000"
Sierra Leone,,,
Togo,,,
China,"11,632,000","11,632,000","11,632,000"
"Korea, Dem. Rep.","1,129,000",939000,852000
Japan,"3,764,000","4,054,000","4,591,000"
Mongolia,"5,540,000","4,923,000","4,733,000"
"Korea, Rep.",,,
Bangladesh,,,
Bhutan,413000,413000,413000
Brunei,313000,288000,278000
Cambodia,766000,456000,322000
India,,,
Indonesia,"70,419,000","55,941,000","48,702,000"
Laos,"1,490,000","1,490,000","1,490,000"
Malaysia,"3,820,000","3,820,000","3,820,000"
Maldives,,,
Myanmar,,,
Nepal,391000,384000,349000
Pakistan,,,
Philippines,829000,829000,829000
Singapore,2000,2000,2000
Sri Lanka,257000,197000,167000
Thailand,"6,451,000","6,451,000","6,451,000"
Timor-Leste,,,
Vietnam,384000,187000,85000
Afghanistan,,,
Armenia,17000,15000,14000
Azerbaijan,400000,400000,400000
Bahrain,,,
Cyprus,22000,22000,22000
Georgia,500000,500000,500000
Iran,200000,200000,200000
Iraq,,,
Israel,,,
Jordan,,,
Kazakhstan,,,
Kuwait,,,
