"Nuclear production, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Algeria,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,0,0,0,89079.96561,216423.0439,221152.1926,140756.6638,249011.178,231470.3353,201203.7833,242132.4162,160791.0576,292777.3001,399054.1702,495786.7584,491057.6096,555889.9398,498538.2631,433276.0103,626053.3104,666895.9587,608856.4058,666380.0516,708082.5451,607566.638,641358.5555,684522.7859,640842.6483,611006.0189,531126.3972,606964.7463,500515.9071,650558.8994,676612.2098,590971.6251,661306.9647,620550.3009,630266.552,701719.6905,616595.0129,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,26139.29493,199828.031,138177.1281,136629.4067,178675.8383,172398.9682,170851.2468,196216.681,171797.0765,189251.9347,233533.9639,226999.1402,219518.4867,211607.9106,214445.3998,214101.4617,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,0,0,343.9380911,4041.272571,4385.210662,,515.9071367,8082.545142,5245.05589,1891.659501,4901.117799,,945.8297506,6534.823732,12725.70937,583319.0026,862940.6707,1026569.218,1075924.334,980825.4514,1079019.776,1105674.979,1346861.565,2072742.906,2385468.616,2975150.473,3387274.291,3608512.468,3706104.901,3544024.076,3673430.782,3685382.631,3736543.422,3605073.087,3493035.254,3555975.924,3726225.279,4076354.256,3969475.494,4214703.353,4140756.664,3985296.647,4072226.999,4073860.705,4068099.742,4092433.362,4010748.065,4146775.58,3918142.734,4060361.135,4122441.96,4147377.472
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brazil,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,141272.5709,290713.6715,12381.77128,83662.94067,52278.58985,157351.6767,192347.3775,123989.6819,151246.7756,38005.15907,4729.148753,216595.0129,208684.4368,272484.9527,280739.4669,341960.4471,519862.4248,1227773.001,1189681.857,1148581.255,998366.2941,847377.4721,1182631.126,1061908.856,1201117.799,1114101.462,1248753.224,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bulgaria,,,,,,,,,,,,0,0,0,79793.63715,219604.4712,428976.7842,505932.9321,508168.5297,531384.3508,530094.583,784092.8633,923989.6819,1059157.352,1095012.898,1129062.769,1037833.19,1069303.525,1378331.9,1252450.559,1260963.027,1133619.948,993293.2072,1201461.737,1318572.657,1484178.848,1554772.141,1526311.264,1453052.451,1359759.243,1563026.655,1681255.374,1738779.02,1485812.554,1445829.751,1603869.304,1676096.303,1259071.367,1355546.002,1311779.88,1311177.988,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cameroon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,0,0,0,7996.560619,12983.66294,11006.01892,14789.33792,13155.63199,78933.79192,45485.81255,89165.95013,366895.9587,620034.3938,1311607.911,1263628.547,1080825.451,1497506.449,2265004.299,2682889.08,3032760.103,3270163.371,3445141.874,3296388.65,4179707.653,4489251.935,5203869.304,6127858.985,6643250.215,7125279.45,6867755.804,6274032.674,7302665.52,6928804.815,8077128.117,9272055.03,8413069.647,7976526.225,7096130.696,6148839.209,6319088.564,6259587.274,6594582.975,6494067.068,6439552.88,7771883.061,7914015.477,8423387.79,8038865.004,8078331.9,7746517.627,7795270.851,7819002.58
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
