Oil Consumption total (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Chile,3338000,3696000,3871000,4096000,4373000,4597000,5177000,5376000,5059000,4925000,4306000,4474000,4648000,4941000,5158000,5064000,5059000,4941000,4790000,4736000,4599000,4840000,5059000,5612000,6286000,6627000,6838000,7351000,8010000,8810000,9673000,10616000,11192000,11408000,11460000,10816000,10523000,10442000,10475000,11093697,11746415,12268640,16128309,16793879,15600000,14700000,
China,10960000,14074000,13900000,15200000,20377000,28191000,38430000,44175000,53830000,61890000,68250000,78030000,82400000,91250000,91100000,85351000,81136000,80144000,81785000,84619000,89813000,95672000,101514000,108827000,113942000,112846000,121847000,132371000,145781000,148114000,160185000,173800000,196047000,197046000,209604000,223630000,227887000,247411000,271714000,318867000,327807029,346095300,362794600,375709800,388200000,428600000,
Colombia,3376000,3920000,3941000,4427000,4215000,4807000,5212000,6022000,5853000,6503000,6494000,6951000,6915000,6975000,7420000,7842000,8064000,7686000,8089000,7712000,7704000,7898000,8631000,8968000,8941000,9453000,9581000,10642000,10797000,11138000,11814000,12206000,12312000,11975000,10630000,10451000,11063000,10003000,9989000,10104479,10337591,10844717,10657796,10723790,10500000,11000000,
Czech Rep.,3997000,4418000,4916000,5420000,5819000,6984000,7685000,8419000,9470000,9719000,10725000,11336000,11852000,12261000,12461000,11600000,11431000,10427000,10207000,10818000,10623000,10178000,10270000,9856000,9380000,8447000,7095000,6780000,6873000,7057000,8005000,8369000,7969000,8261000,8198000,7937000,8374000,8143000,8700000,9545000,9935000,9821000,9745000,9905000,9700000,9200000,
Denmark,10215000,11560000,12242000,13635000,16490000,18380000,18392000,19379000,17929000,16025000,15674000,16746000,16579000,16083000,15876000,13555000,12814000,10977000,10373000,10361000,10672000,10464000,9588000,9517000,9231000,8989000,9053000,8984000,9502000,10148000,10500000,11446000,11076000,10690000,10648000,10359000,9822000,9587000,9232000,9055000,9223000,9311000,9273000,8928000,8500000,8700000,
Ecuador,661000,691000,746000,891000,946000,1081000,1194000,1228000,1363000,1557000,1520000,1709000,2131000,2173000,2314000,2962000,3327000,3643000,3337000,3344000,4120000,4182000,4217000,4179000,4349000,4180000,4740000,4571000,4790000,5225000,5053000,5679000,6517000,6641000,6027000,5813000,5946000,5895000,6163000,6334511,7543116,8205749,8902797,9280152,10100000,10600000,
Egypt,6936000,7449000,6060000,6342000,4680000,6075000,6264000,7150000,6722000,7420000,8218000,9712000,10366000,10728000,11763000,13165000,15151000,17237000,18990000,20480000,20803000,20887000,21707000,22042000,22911000,23756000,23369000,22712000,21611000,21467000,23280000,24599000,25962000,27327000,27812000,27200000,26082000,25244000,25920000,26821000,29819000,28664000,30560000,32618000,34400000,36300000,
Finland,5721000,6923000,7249000,8224000,9563000,10763000,11138000,11865000,13272000,11561000,11943000,12826000,12507000,12545000,13302000,12794000,12251000,11314000,10504000,10648000,10754000,11250000,11184000,11033000,11011000,10954000,10571000,10344000,9904000,10374000,9927000,10317000,10168000,10507000,10665000,10686000,10521000,10881000,11364000,10573000,10985770,10554679,10627517,10532201,9900000,10400000,
France,53887000,57663000,66219000,71782000,82953000,94272000,102768000,114123000,127269000,121007000,110378000,119452000,114582000,118961000,118343000,109891000,99004000,91504000,89400000,85888000,84300000,86040000,86600000,86000000,88400000,89400000,94645000,94444000,91087000,88227000,89041000,90996000,91664000,94978000,96448000,94938000,95454000,92876000,93086000,94049200,93064500,92994300,91329600,92177100,87500000,83400000,
Germany,86274000,96472000,100073000,112366000,126325000,138749000,144039000,152236000,162230000,146979000,142617000,154035000,152471000,158118000,163161000,147317000,133448000,125939000,123096000,122471000,126338000,133263000,129486000,129370000,121609000,127277000,133142000,134338000,136317000,135136000,135145000,137356000,136452000,136591000,132396000,129780000,131589000,127431000,125128000,123983000,122398000,123552000,112491000,118296000,113900000,115100000,
Greece,4435000,4839000,5689000,5815000,6190000,6707000,7405000,8586000,10000000,9390000,9943000,10574000,10764000,11702000,12383000,12400000,11920000,11901000,11414000,11689000,11978000,12159000,13205000,13661000,14961000,15699000,15783000,16059000,16663000,16878000,17601000,18251000,18496000,18258000,18683000,19948000,20115000,20269000,19654000,21437000,21211000,22181000,21702000,21430000,20200000,18500000,
"Hong Kong, China",2120000,2323000,2784000,3040000,3605000,3894000,4097000,4679000,4855000,4969000,4670000,5518000,5972000,6201000,6342000,6493000,6882000,6698000,5942000,5487000,5159000,5023000,4912000,5625000,6000000,6281000,6268000,8065000,8388000,8931000,9568000,9376000,9282000,8898000,9306000,9722000,11780000,12894000,13007000,15383000,13860000,14881003,15954162,14487170,14000000,16100000,
Hungary,3776000,4144000,4379000,4579000,5115000,5932000,6679000,7259000,8155000,8932000,10049000,10506000,11178000,12366000,11629000,11279000,10775000,10197000,9669000,10137000,10325000,9530000,10001000,9241000,8930000,9276000,8014000,8090000,7691000,8129000,7651000,7073000,7106000,7431000,7141000,6849000,6692000,6398000,6307000,6493000,7509000,7755000,7736000,7738000,7100000,6700000,
Iceland,480000,539000,513000,529000,533000,550000,544000,556000,656000,590000,575000,587000,593000,603000,613000,551000,537000,523000,489000,470000,510000,536000,581000,600000,659000,637000,627000,704000,732000,733000,768000,800000,854000,863000,900000,912000,875000,911000,892000,955000,1014000,994000,1039692,948000,,,
India,12642000,14126000,14570000,16316000,19596000,19505000,20475000,22091000,23314000,22834000,23347000,24593000,26413000,28717000,31004000,31633000,34036000,35403000,37223000,39934000,43333000,45530000,46995000,51530000,55801000,57943000,58903000,62075000,62662000,67384000,75232000,81062000,86503000,92527000,100303000,106147000,106964000,111262000,113066000,120153000,119576000,120407000,128526000,135011000,151000000,155500000,
Indonesia,6120000,5894000,5670000,5993000,6393000,6790000,7030000,7960000,9260000,9990000,11350000,12100000,14470000,16199000,17600000,19712000,21478000,22182000,21504000,22913000,21976000,22145000,24086000,25009000,26404000,29796000,32193000,35144000,37624000,36969000,39084000,42398000,45863000,43541000,46782000,50701970,51556647,54154895,54013933,58081574,58203124,55174345,56355255,57357339,59200000,59600000,
Iran,10025000,11072000,12230000,13511000,14922000,16482000,18205000,20135000,23532000,25039000,28420000,29930000,31782000,32144000,34439000,30985000,28046000,30476000,36684000,39834000,43622000,42275000,43653000,38227000,43656000,47079000,49035000,49967000,50931000,53441000,58497287,61056258,59800570,57509616,58764752,62531837,62593636,67106616,70991825,73657689,77269699,80761696,81339959,83267458,85100000,86000000,
Ireland,2424000,2704000,3023000,3364000,3651000,4101000,4525000,4984000,5401000,5352000,5232000,5305000,5658000,6041000,6350000,5716000,5063000,4414000,4008000,3942000,3930000,4869000,4260000,3845000,3956000,4409000,4850000,5074000,5139000,5612000,5713000,6001000,6578000,7361000,8343000,8216000,8967000,8785000,8534000,8921000,9375000,9323000,9416000,9031000,8000000,7600000,
Italy,52290000,57651000,63717000,70259000,77334000,87333000,93821000,98188000,103557000,100755000,94531000,98819000,96064000,99775000,103195000,97897000,95658000,90693000,89198000,84861000,84394000,86450000,90140000,91690000,93806000,93622000,92444000,94453000,92649000,92468000,95525000,94181000,94551000,94690000,94391000,93527000,92799000,92897000,92075000,89659000,86674000,86703000,83974000,80904000,75100000,73100000,
Japan,87881000,99988000,122901000,142665000,168985000,199145000,219669000,234362000,269071000,258948000,244014000,253471000,260376000,262666000,265110000,237679000,223935000,207820000,207189000,217954000,206341000,208488000,209281000,224688000,232895000,247716645,252124533,257515763,251933727,267435820,267584032,268817937,265041532,253609748,257314050,255458162,247535828,243558700,248901754,241146590,244119240,237475714,229307390,221798713,198700000,201600000,
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20499000,18700000,18100000,18201000,18599000,21499000,21700000,20300000,15700000,12300000,12030000,10200000,10300000,8500000,7000000,7400000,8900000,9300000,8800000,9000000,10000000,10953058,11606590,10892897,12100000,12500000,
"Korea, Rep.",1287000,1927000,3342000,4942000,6709000,8380000,9461000,9876000,12158000,12550000,14194000,15949000,18984000,21672000,24367000,24123000,23872000,23683000,24711000,24770000,26081000,28352000,29768000,35644000,40959000,49527000,59890000,72310000,79307000,86997000,94845000,101435000,111352000,93910000,100703000,103162000,103109000,104671000,105604000,104924823,105411495,105530226,108262883,103279024,103000000,100600000,
Kuwait,5151000,4994000,4841000,4693000,4549000,4409000,4276000,4653000,4386000,4013000,3095000,3660000,3536000,3818000,4250000,4345000,5829000,6573000,7298000,7754000,8021000,8191000,7959000,7688000,7458000,5494000,3674000,5558000,5029000,6215000,6469000,6255000,6919000,9114000,10302000,10387000,10549000,11434000,12157000,13721000,15226628,13575651,13640342,15274012,17200000,17700000,
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8600000,7198000,7901000,7600000,7800000,7459000,8209000,4332000,3785000,3510000,3165000,3285000,3263000,3756000,3085000,2372000,2740000,2530000,2420000,2596600,2777100,2806300,2791600,3063700,2600000,2700000,
Malaysia,1997000,2367000,2418000,2450000,2532000,2852000,3126000,3539000,4055000,4101000,4488000,4885000,5485000,5996000,7215000,8056000,8388000,9017000,9614000,9379000,9356000,9365000,9555000,10060000,10903000,13004000,13883000,13996756,15489673,17537550,18011029,19120420,20243988,18796221,20094223,20105636,20302107,22093847,21749834,22365594,21533008,21046815,22049154,21800832,24500000,25300000,
Mexico,14229000,14761000,15783000,17294000,18211000,19601000,20709000,23186000,24657000,28412000,31951000,35445000,36574000,40968000,43873000,48668000,52566000,53707000,52154000,55751000,57779000,57312000,60441000,60619000,64895000,67746000,70448000,71219000,72860000,79639000,73248000,75640000,79067000,82836000,82363000,85666000,84989000,81481000,83663000,85222805,87680925,86836154,89353695,90029224,88500000,87400000,
Netherlands,25286000,27384000,27999000,30111000,32899000,36510000,35988000,40060000,41290000,35387000,34828000,39180000,37596000,38371000,41307000,38571000,35713000,30967000,29142000,28676000,29160000,32350000,32415000,34460000,33928000,34959000,35846000,36506000,36371000,36391000,37999000,37378000,39452000,39356000,40550000,41667000,43679000,43816000,44061000,46171000,49582379,48964551,45960895,46469234,49400000,49800000,
New Zealand,2718000,3014000,3170000,3253000,3378000,3975000,4103000,4417000,4679000,4455090,4284780,4417810,4423700,4196010,4218310,4108420,3892300,3879420,3713660,3743590,3601300,3624610,3880480,3959680,4160050,4775700,4563460,4669730,4641020,5112010,5603860,5539820,5891540,5889930,5986710,6092570,6179760,6442870,6916700,6911350,7117157,7227838,7219340,7327450,6800000,6900000,
Norway,5188000,5877000,6107000,6690000,7410000,8296000,8236000,8534000,8567000,7685000,8017000,8975000,8865000,9325000,9580000,9290000,8732000,8266000,8257000,8588000,8964000,9302000,9704000,9175000,8958000,9184000,8706000,8975000,9478000,9629000,9647000,10068000,10259000,9982000,10051000,9380000,9656000,9434000,9926000,9625453,9712100,9991749,10172528,9752704,10300000,10700000,
Pakistan,3777000,3878000,4335000,4936000,4632000,4581000,4290000,3554000,3641000,3921000,4066000,4061000,4270000,4549000,4844000,5073000,5388000,5975000,6589000,7145000,7666000,8229000,8919000,9597000,10251000,10733000,11357000,12405000,13523000,14526000,15753000,16552000,17010000,17558000,18198000,18760000,18348000,17852000,15824000,15994000,15258800,17567181,19183775,19270584,20600000,20500000,
Peru,3579000,4499000,4540000,4572000,4509000,4744000,4699000,4001000,4662000,5493000,5752000,5832000,5835000,5796000,6058000,6553000,6688000,6572000,5689000,5874000,5674000,6069000,6698000,6547000,5804000,5807000,5370000,5612000,5883000,6394000,7213000,7434000,7347000,7389000,7541000,7373000,6974000,6922000,6535000,7200918,7045664,6784003,7076240,7861400,8100000,8400000,
Philippines,4176000,4556000,5145000,5883000,6303000,7183000,8319000,8164000,9597000,8977000,9684000,9954000,10890000,11223000,11589000,10881000,10225000,9841000,10290000,8396000,7445000,7830000,9103000,9808000,10999000,11486000,11125000,13680000,14085000,14896000,16796000,17535000,18842000,19054000,18020000,16576000,16485000,15542754,15492718,15912556,14772992,13258404,13961142,13432951,13100000,13100000,
Poland,5409000,5620000,6089000,7620000,8387000,8864000,9423000,10578000,11742000,12390000,13491000,14902000,15941000,17058000,17390000,17126000,16052000,15165000,15663000,16076000,16351000,16879000,17080000,17504000,17345000,15843000,14930000,13597000,14039000,14808000,14935000,17162000,18183000,19857000,19907000,19955000,19248000,19385000,19913000,21077000,21917000,23336000,24173000,24878000,25300000,26300000,
Portugal,2744000,2902000,3204000,3442000,3850000,4610000,5437000,5850000,6255000,6576000,6823000,7134000,7136000,7401000,8091000,8462000,8848000,9466000,9473000,9498000,8766000,9473000,8909000,8720000,11311000,11055000,11487000,12811000,12010000,12018000,12984000,12198000,13910000,15491000,15886000,15523000,15756000,16221000,15164000,15423000,15980000,14385000,14417152,13722737,12800000,12600000,
Qatar,-,-,71000,92000,107000,93000,89000,106000,138000,188000,224000,308011,410000,398000,432000,583290,630000,772000,783000,896548,1377534,1717534,1846534,1069172,1153534,1241000,988000,1037704,1049000,1142000,1211000,1305770,1402000,1441000,1388000,1481003,1691000,2352000,2085000,2276288,2693355,3267967,3968535,4635151,6200000,7400000,
Romania,7147000,7447000,8429000,8866000,9895000,10714000,10876000,11619000,13066000,12054000,13657000,15234000,16501000,18410000,19598000,18571000,16662000,16380000,14644000,14011000,15031000,16159000,17770000,16649000,17192000,18693000,15566000,12660000,12121000,11246000,13494000,12978000,13659000,11968000,9476000,9979000,10604000,10645000,9425000,10854000,10509000,10311000,10338000,10591730,9200000,9100000,
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244502000,247600000,249800000,248000000,252800000,249701000,243401000,224400000,188600000,162700000,146120000,130100000,129100000,123700000,126200000,123520000,122300000,123500000,123374000,123320041,121872732,127078118,126215915,130432144,135200000,147600000,
Saudi Arabia,19577000,19745000,19913000,20083000,20255000,20429000,20603000,22020000,23337000,24438000,18359000,21500000,25043000,26929000,32724000,29931790,35875003,39772005,44004011,45993107,45747996,44182988,46485991,47318043,46686255,49726135,53701458,49679167,50156445,55852473,52940652,55949464,57555127,61396804,63438974,68089879,69339548,70571511,75534402,79473172,82988367,87443624,96122890,104205075,117200000,125500000,
Singapore,3829000,4472000,5610000,7005000,6878000,7524000,6620000,8250000,7709000,7599000,7412000,8717000,8692000,8905000,9592000,9509000,10926000,10658000,11248000,11901000,12040000,14174000,14745000,17086000,19514000,23252000,23689000,24698000,26740000,30639000,31963000,30272000,32407000,33300000,31563000,33467000,36424000,35504000,33928000,38145000,40860000,44036543,47416640,49939011,56100000,62200000,
Slovak Republic,2298000,2539000,2825000,3116000,3345000,4014000,4418000,4839000,5444000,5587000,6164000,6516000,6813000,7048000,7163000,6668000,6571000,5994000,5867000,6219000,6180000,5967000,5868000,5727000,5668000,4966000,4353000,3920000,3244000,3348000,3241000,3399000,3393000,3785000,3431000,3410000,3188000,3539000,3332000,3184000,3827000,3950000,4136000,4279300,3700000,3700000,
South Africa,5606000,6093000,6623000,7201000,7919000,8582000,9388000,10240000,11303000,11011000,11684000,11811000,11697000,12287000,11650000,11983000,12979000,13145000,13269000,14448000,14116000,13623000,14401000,15881000,16460000,16624000,16719000,17285000,17977000,18798000,20060000,20697000,20954000,21252000,21791000,22520000,22999000,23628000,24219000,24796314,24773068,25256711,25791433,26293548,24700000,25300000,
Spain,14209000,16801000,20340000,21606000,24600000,28066000,30898000,32540000,39138000,41081000,42652000,48346000,45508000,46394000,49146000,52153000,50358000,47760000,47775000,44779000,42880000,42723000,44727000,45778000,48104000,48736000,49367000,52830000,51316000,53451000,56346000,58690000,62002000,66438000,68370000,70002000,72742000,73788000,75539000,77640000,78824000,78111000,78827000,77087000,75700000,74500000,
Sweden,18949000,21483000,21023000,23758000,26804000,29200000,27400000,28000000,28899000,26200000,25800000,29000000,28000000,26400000,27300000,24800000,22400000,20505000,18400000,17500000,18350000,18716000,17089000,16266000,16454000,16397000,15519000,16398000,16116000,17005000,16090000,17419000,16077000,16204000,16120000,15243000,15208000,15153000,15902000,15272400,15051207,15513000,14715200,14533000,14600000,14500000,
Switzerland,8037000,8551000,9263000,10280000,11167000,12523000,13281000,13612000,14650000,13031000,12511000,12993000,13056000,13421000,12875000,12846000,11865000,11209000,12262000,11824000,12021000,13178000,12396000,12430000,11923000,12757000,12973000,13141000,12312000,12732000,11797000,12215000,12836000,13003000,12602000,12209000,13079000,12396000,12062000,12016000,12239309,12551274,11310124,12061841,12300000,11400000,
Taiwan,2164000,2564000,3050000,3643000,4369000,5254000,7522000,8148000,10333000,9373000,10806000,13788000,15391000,17857000,18007000,19683000,18020000,17426000,17323000,17132000,16906000,18950000,19867000,23215000,26044000,28153902,28251702,29742565,31564727,33777210,36431045,36196961,38254688,39059475,47193613,49133937,47441797,47619320,50861827,51329939,51348920,51703823,52499752,50127133,44100000,46200000,
Thailand,2300000,2719000,3023000,3993000,4330000,5053000,5626000,7080000,7499000,7655000,8250000,8697000,9779000,10979000,11101000,11582000,11042000,9997000,11196000,11648000,11023000,11320000,12775000,14466000,17007000,19645000,21352000,23576000,26786000,29771000,34143000,36596000,36605000,32992000,33370000,31733000,30629000,33077000,35070000,39105000,40376605,39260936,38195031,36745495,49900000,50200000,
Turkey,5021000,4548000,5595000,6370000,7061000,7719000,8952000,10017000,12430000,12497000,13443000,15392000,16625000,15310000,14718000,14830000,15417000,16488000,16249000,16982000,16766000,18302000,20963000,22262000,20763000,22128000,22080000,23491000,26950000,25802000,28383000,29750000,29985000,29627000,29454000,31052000,29856000,30629000,30993000,31031557,30191076,29470054,30492687,32342122,28200000,28700000,
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4800000,3499000,3499000,3499000,3499000,4400000,5000000,5218000,2991000,2985000,2707000,2977000,3057000,3385000,3592000,3553000,3686000,3839000,4215000,4213000,4397000,5259000,5390475,5498285,5400000,5600000,
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63000000,63300000,65901000,60600000,58000000,63000000,57501000,42600000,24800000,19800000,18900000,14200000,13800000,14295000,12700000,12000000,12700000,13090000,13521000,13873126,13901869,15021507,15348976,15473887,13300000,11600000,
United Arab Emirates,-,-,-,57000,95000,203000,234000,322000,469000,728000,1088000,1607000,2374000,2674000,2923000,5375000,5914000,6354000,6274000,5764000,7183000,8699000,9185000,11412000,11718000,12738000,16521000,16864000,17305000,18243000,17959000,17923000,17783000,14394000,13721000,12783000,14640000,15850000,16330000,17350000,18260000,19507000,20656000,22917000,29800000,32300000,
United Kingdom,74223000,79472000,85254000,90388000,97321000,103570000,104272000,110537000,113227000,105258000,92043000,91360000,92024000,94032000,94545000,80801000,74660000,75560000,72433000,89612000,77429000,77384000,75160000,79972000,81732000,82884000,82510000,83564000,84002000,82922000,81903000,83926000,81328000,80653000,79377000,78570000,78441000,78039000,79031000,81699000,83009945,82317014,79241214,78681719,74400000,73700000,
United States,548933000,575664000,595761000,635452000,667791000,694590000,719269000,775841000,818032000,782554000,765897000,822355000,865855000,888848000,868025000,794106000,745996000,705541000,704890000,723275000,720167000,749336000,764788000,796739000,795309000,781821000,765576000,782245000,789347000,809784000,807730000,836546000,848023000,863756000,888892000,897641000,896070000,897358000,912262000,948753153,951374000,943802501,942302743,884529925,833200000,850000000,
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11401000,11698000,11101000,13699000,13099000,12600000,11000000,8482000,7580000,6810000,6758000,6645000,7080000,7081000,6946000,6667000,6524000,6295000,7150000,6526000,5478000,5113000,5419780,5517336,4800000,5000000,
Venezuela,9340000,9448000,9504000,10034000,10016000,10396000,10877000,11756000,12997000,12670000,12213000,13501000,16887000,18078000,18860000,19500000,19232000,19182000,18678000,17309000,17224000,18153000,18139000,18938000,17943000,18368000,18600000,19664000,19350000,19563000,19983000,19021000,20358000,21573000,21312000,22496000,24802000,26967000,22021000,24202166,25941718,27406137,30009720,32530536,33700000,35200000,
