"External debt stocks, total (DOD, current US$)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928986000,1973712000,2200082000,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511485000,632621000,786034000,883115000,456418000,490915000,514875000,626487000,709081000,1060765000,1095338000,1117897000,1484005000,1547172000,1831623000,2342944000,2775249000,3188168000,
Algeria,,,,,,,,,,,939559000,1260811000,1549797000,2991380000,3365978000,4632813000,6114380000,10600257000,15735421000,18507404000,19365079000,18372459000,17641556000,16369509000,15892231000,18259906000,22651096000,24416479000,26081556000,27236511000,28148932000,28489227000,27342563000,26266701000,30232824000,33041871000,33644517000,30894436000,30680939000,27998788000,25380564000,22569788000,22832586000,23541796000,22178468000,16862184000,5720795000,5756601000,5475649000,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288778000,8591990000,9002060000,10067610000,10584311000,11292746000,11500021000,10545818000,9948271000,10784075000,10298528000,9407764000,8433815000,8739237000,8695028000,9362156000,11822212000,9469459000,11516337000,15130330000,
Argentina,,,,,,,,,,,5809759000,6251363000,6773087000,7222763000,7628241000,7722484000,9278432000,11445270000,13276068000,20949818000,27156994000,35637545000,43614196000,45919661000,48856787000,50945916000,52449829000,58458113000,58834149000,65256584000,62232663000,65405786000,68339299000,64428005000,74819284000,98464911000,1.11E11,1.27E11,1.40E11,1.40E11,1.41E11,1.49E11,1.45E11,1.60E11,1.62E11,1.25E11,1.16E11,1.28E11,1.28E11,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133923000,214330000,370657000,520544000,638485000,804227000,901831000,916403000,1291071000,1592068000,1863519000,1969710000,1842266000,2003933000,2898059000,3418390000,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35540000,112815000,320987000,438310000,508060000,709197000,1073144000,1328023000,1277749000,1479718000,1727078000,1948797000,2042840000,2586035000,3593432000,4309184000,
Bangladesh,,,,,,,,,,,,,146504000,497821000,1257485000,1680487000,1993988000,2331731000,2871161000,3042614000,3921030000,4328689000,5056785000,5463784000,5654326000,6658110000,8061897000,9913991000,10447943000,10858056000,12452787000,13154714000,13573237000,14268205000,15636371000,15941394000,15360235000,14441253000,15692307000,16586520000,15740046000,15281147000,17082737000,18813199000,20169710000,18959105000,20534983000,21858564000,23644325000,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969342000,1296615000,1694190000,1959769000,2083469000,2388241000,2262291000,2139888000,2335377000,2897828000,3231758000,4028932000,4736549000,5351633000,10340760000,12298801000,
Belize,,,,,,,,,,,4085000,4339000,5070000,4826000,5274000,4827000,9166000,20670000,33213000,71729000,62955000,60152000,69737000,100573000,98699000,118073000,121825000,137155000,132244000,137191000,142733000,161772000,180955000,194553000,198666000,255158000,281101000,448211000,333960000,392103000,611619000,713082000,853737000,1061259000,957132000,1002957000,1018208000,1056461000,1030868000,
Benin,,,,,,,,,,,41407000,49247000,45514000,58983000,74392000,85693000,106908000,167291000,233936000,403291000,423785000,492462000,707971000,745693000,711470000,853675000,988757000,1193729000,1113073000,1242233000,1291788000,1332988000,1373008000,1447339000,1589330000,1614047000,1592861000,1627332000,1651222000,1686898000,1590948000,1660864000,1836103000,1832948000,1924963000,1841546000,813303000,858982000,986286000,
