Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Zambia,547.44288,538.9474435,510.1450454,511.2092077,556.4789533,629.5715716,576.5401328,603.3051336,592.0737923,571.0319305,579.2675398,559.8288922,591.0475503,565.7433772,581.9826512,549.9357843,565.0341936,521.7859227,507.7980825,476.6148082,475.2673786,488.3178931,459.3381161,435.951991,420.8147785,414.3898887,404.6802627,403.0568868,415.849249,399.9839533,387.292805,377.1755805,361.4832347,376.6755744,335.7071901,317.9384211,331.0225109,332.6409262,317.5586907,316.0358938,318.9268222,326.5887929,329.7351753,338.8847613,349.0854725,359.0712373,372.0836755,385.1228226,396.3443844,410.3162672,434.6598042,443.9206307
Zimbabwe,389.015773,400.3314489,392.9357337,403.9079958,386.4894074,392.3964169,385.6256623,404.5813315,399.3907779,434.5662804,515.236387,542.5294294,567.9035672,562.9935299,580.2234614,550.3385386,535.2072598,482.7995246,454.771817,454.1207147,501.2555977,543.0334085,535.8794833,523.1450476,493.3648308,507.833108,499.6531516,487.6665756,506.9892685,516.728512,536.9977134,551.9922021,490.4775035,485.1061674,519.4969303,510.7519156,553.8762918,559.537089,567.4543121,556.3033687,534.7911515,539.662758,490.3868614,406.8785624,383.7076653,362.5763768,351.1720467,339.6548829,280.3085028,296.5486099,322.5569276,347.7456605
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
