One-year-olds immunized with three doses of Hib (Hib3) vaccine (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burkina Faso,,,,,,,,,,,,,,,,76,89,93,92,91,91
Burundi,,,,,,,,,,,,,,83,87,92,99,92,94,96,96
Cambodia,,,,,,,,,,,,,,,,,,,,92,94
Cameroon,,,,,,,,,,,,,,,,,,,67,68,66
Canada,,,,,,84,87,88,87,86,85,84,83,87,90,94,94,94,95,95,95
Cape Verde,,,,,,,,,,,,,,,,,,,,,90
Cayman Islands,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,54,54,54
Chad,,,,,,,,,,,,,,,,,,17,27,35,22
Channel Islands,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,91,90,90,95,91,97,97,96,93,91,94,96,95,94,92,94
China,,,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,62,64,65,55,69,93,89,93,93,93,92,92,88,85
Comoros,,,,,,,,,,,,,,,,,,,38,74,83
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,72,58,70
"Congo, Rep.",,,,,,,,,,,,,,,,,,,91,90,90
Cook Is,,,,,,,,,,,,,,,,,,,82,99,93
Costa Rica,,,,,,,,26,68,92,89,93,87,90,89,88,88,87,87,93,81
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,81,85,62
Croatia,,,,,,,,,,,,79,95,95,96,96,96,96,96,97,96
Cuba,,,,,,,,,99,99,99,99,99,99,94,97,97,97,96,96,96
Cyprus,,,,,,,,,,32,32,32,58,58,58,90,90,90,96,96,96
Czech Republic,,,,,,,,,,,,95,97,98,97,97,99,99,99,99,99
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,
Denmark,,,82,88,78,93,99,97,95,95,95,96,96,95,93,93,87,88,89,90,91
Djibouti,,,,,,,,,,,,,,,,,25,89,89,88,87
Dominica,,,,,,,,,,,,,,,,7,93,96,99,98,98
Dominican Republic,,,,,,,,,,,20,83,79,80,87,77,65,79,77,81,71
East Germany,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,58,90,94,98,99,99,99,99,99
Egypt,,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,81,94,90,89,96,99,98,91,92,90
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,99,99,99,99
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,27,37,88,95,95,95,94,93
Ethiopia,,,,,,,,,,,,,,,,,42,49,44,50,51
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99
Finland,,97,97,93,94,96,96,96,96,96,96,96,96,96,98,98,97,98,98,99,99
France,,,,,,,,79,85,86,86,87,87,97,97,97,97,97,97,97,97
French Guiana,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,45,45
Gambia,,,,,,,,97,94,90,87,89,91,93,95,95,95,96,98,97,96
Georgia,,,,,,,,,,,,,,,,,,,,67,92
Germany,60,74,80,82,85,88,88,90,92,94,94,94,93,94,94,94,94,93,94,94,93
Ghana,,,,,,,,,,,,80,80,80,84,84,94,93,94,94,91
Gibraltar,,,,,,,,,,,,,,,,,,,,,
Greece,,,,2,19,36,54,71,88,87,87,86,86,85,84,84,83,83,83,83,83
Greenland,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,33,96,98,97,83,99,91,96,99,99,97,94
Guadeloupe,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,87,89,85,95,92,94,85
Guernsey,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,57,64,59
Guinea-Bissau,,,,,,,,,,,,,,,,,,,76,76,76
Guyana,,,,,,,,,,,85,91,90,91,93,93,94,93,98,95,93
Haiti,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,94,96,95,92,94,98,95,94,93,98,98,98
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99
Iceland,99,99,99,99,99,99,99,99,98,98,92,95,97,99,95,97,97,98,96,96,96
India,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,76,84,86,85,84,83,86,89,90,91,92,93,94,94,95
Isle of Man,,,,,,,,,,,,,,,,,,,,,
Israel,,,,92,93,92,92,92,93,94,93,93,96,95,93,93,93,93,93,93,93
Italy,,,,,,,,,,55,70,83,90,94,95,96,96,96,96,95,96
Jamaica,,,,,,,,,,,,,35,98,99,99,99,99,99,99,99
Japan,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,59,95,97,95,95,98,98,97,98,98,98
Kazakhstan,,,,,,,,,,,,,,,,,,49,97,96,95
Kenya,,,,,,,,,,,,84,73,73,76,80,81,85,84,83,88
Kiribati,,,,,,,,,,,,,,,,,,83,86,91,95
North Korea,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,94,94,98,99,99,99,98,99,99,99,99,99,98,99
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,96,96
Lao,,,,,,,,,,,,,,,,,,,,74,78
Latvia,,,,10,58,35,67,47,76,79,84,87,92,95,94,99,97,96,95,88,93
Lebanon,,,,,,,,,,,,,74,75,77,78,80,81,81,81,81
Lesotho,,,,,,,,,,,,,,,,,,,83,83,83
Liberia,,,,,,,,,,,,,,,,,,64,64,47,49
Libya,,,,,,,,,,,,,,,,,56,98,98,98,98
Liechtenstein,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,2,2,4,5,10,35,61,94,95,96,98,95,92
Luxembourg,,,,,,,86,88,89,91,92,94,95,97,98,99,99,98,99,98,99
"Macao, China",,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,13,82,89,89
Madagascar,,,,,,,,,,,,,,,,,,52,78,85,89
Malawi,,,,,,,,,,,,64,84,89,93,99,87,91,93,93,97
Malaysia,,,,,,,,,,,,,,71,85,89,90,95,95,94,99
Maldives,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,3,16,44,74,73,76,72
Malta,,,,,,38,64,89,91,93,84,84,84,83,83,83,72,72,73,76,96
Marshall Islands,,,,,,,,,,45,45,80,70,46,69,60,83,92,99,92,92
Martinique,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,64,64,75
Mauritius,,,,,,,,,,,,,,,,96,96,99,99,99,98
Mayotte,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,97,97,97,98,98,98,98,98,96,95,95,97
"Micronesia, Fed. Sts.",,,,,,,,,40,75,73,70,68,65,74,59,79,73,73,70,72
Moldova,,,,,,,,,,,,,,,,,,,47,63,78
Monaco,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99
Mongolia,,,,,,,,,,,,,,,28,56,78,96,97,96,99
Montenegro,,,,,,,,,,,,,,,,90,89,93,87,90,90
Montserrat,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,91,99,99,99,99
Mozambique,,,,,,,,,,,,,,,,,,,74,74,76
Myanmar,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,83,82
Nauru,,,,,,,,,,,,,,,,,,,99,99,99
Nepal,,,,,,,,,,,,,,,,,,,,,92
Netherlands,,,,,,,96,96,96,96,96,96,96,97,97,96,96,97,97,97,97
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,86,81,88,90,90,88,85,83,80,80,78,86,98,89,94
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,80,83,87,85,86,79,86,88,93,97,98,98,98
Niger,,,,,,,,,,,,,,,,,,,71,70,75
Nigeria,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99
Norfolk Island,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,97,96,95,94,93,93,95,94,94,90,95,95,94,95,94,95
Oman,,,,,,,,,,,,97,99,99,99,98,99,99,98,99,99
Pakistan,,,,,,,,,,,,,,,,,,,76,86,80
Palau,,,,,,,,74,96,96,93,90,94,98,98,98,95,92,48,66,85
Panama,,,,,,,,,,,99,99,98,95,92,88,85,86,85,94,87
Papua New Guinea,,,,,,,,,,,,,,,,,,,62,56,61
Paraguay,,,,,,,,,,,,,86,88,90,90,87,87,86,90,90
Peru,,,,,,,,4,20,35,30,32,33,88,86,83,81,79,93,93,91
Philippines,,,,,,,,,,,,,,,,,,,,1,14
Pitcairn,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,22,31,88,94,99,99,99
Portugal,,,,,,,,95,91,86,90,94,99,95,93,97,97,97,96,97,97
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,92,94,92,80,93,96,92,96,97,96,94,97,99,97,93
Reunion,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,89
Russia,,,,,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,88,96,89,95,99,97,97,97,97,97
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,12,99,95,99,95,99,99,99,97,97,96,98
St. Lucia,,,,,,,,,,,,14,84,91,95,85,99,96,95,97,97
St. Martin,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,27,99,99,99,99,99,99,99,96
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,32,72,87,91
San Marino,65,69,72,76,80,84,88,92,95,92,93,95,96,98,94,95,92,87,92,78,85
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,98,96
Saudi Arabia,,,,,,,,,,,,95,95,96,96,96,96,98,98,98,98
Senegal,,,,,,,,,,,,,,,18,89,94,88,86,85,83
Serbia,,,,,,,,,,,,,,,,42,89,98,94,91,91
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,99,99
Sierra Leone,,,,,,,,,,,,,,,,,63,78,84,84,84
Singapore,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,3,30,36,47,59,70,92,99,99,99,99,99,99,99,99,99
Slovenia,,,,,,,,,,,93,93,95,94,95,97,97,97,96,96,96
Solomon Islands,,,,,,,,,,,,,,,,,,77,77,79,88
Somalia,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,73,71,70,69,64,72,74,72,73,70,66,72
South Ossetia,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,82,82,92,96,97,98,97,96,98,96,97,96,97,97
Sri Lanka,,,,,,,,,,,,,,,,,,,,99,99
Sudan,,,,,,,,,,,,,,,,,,78,72,75,93
Suriname,,,,,,,,,,,,,,,83,84,84,84,87,86,86
Svalbard,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,94,89,91
Sweden,55,90,99,99,99,99,99,99,98,98,98,98,99,99,98,98,98,98,98,98,98
Switzerland,,,,,,,,77,82,86,91,91,91,91,93,92,92,95,95,94,95
Syria,,,,,,,,,,,84,83,82,81,80,80,80,79,80,80,72
Taiwan,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,46,93,93,96
Tanzania,,,,,,,,,,,,,,,,,,,85,91,90
Thailand,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,24,78,81,81
Tokelau,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,99,99,99,99,99,99,99
Transnistria,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,8,49,74,85,59,92,94,95,89,88,90,90,90,90
Tunisia,,,,,,,,,,,,,96,97,80,,,,,,43
Turkey,,,,,,,,,,,,,,,,,76,96,96,97,97
Turkmenistan,,,,,,,,,,,,,,,,,,,,58,71
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,84,89,96
Uganda,,,,,,,,,,,,29,44,62,64,64,73,71,79,80,82
Ukraine,,,,,,,,,,,,,,,,11,46,81,66,51,26
United Arab Emirates,,,,,,,,,94,92,92,94,94,94,94,92,92,92,93,94,94
United Kingdom,,,89,93,94,95,92,91,92,91,91,91,91,92,91,92,92,92,93,94,95
United States,,,,,91,91,93,93,94,93,93,93,94,94,94,93,93,91,90,88,88
Uruguay,,,,,,,84,75,91,88,90,95,91,94,96,95,94,94,95,95,95
USSR,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,98,99,99
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,2,34,59,54,60,87,71,62,51,84,78,78
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,63,95
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,55,85,87,87,86,87,81
Yugoslavia,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,83,82,81,80,87,94,83,81
Zimbabwe,,,,,,,,,,,,,,,,,,75,73,83,93
Åland,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,
