New and relapse cases ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,"71,685","71,554","41,752","52,502","18,784","10,742","14,351","18,091","16,051","14,386","4,332","23,067",,,,,,"1,290","3,084","3,314","7,107","10,139","13,794","13,808","18,404","21,844","25,475","28,769"
Albania,"1,050",954,978,891,975,916,989,915,759,695,653,628,,,707,641,738,655,694,733,604,555,594,543,547,506,469,438
Algeria,"2,702",,"13,916","13,681","13,133","13,832","12,917","11,212","11,325","11,039","11,607","11,332","11,428","13,345","13,345","13,507","15,329","16,522","15,324","16,647","18,572","18,250","18,934","19,730","19,809","21,336","21,143","21,369"
American Samoa,2,6,6,8,12,5,8,9,13,5,9,3,1,4,4,,0,6,3,4,3,3,2,3,5,6,4,3
Andorra,,,,,,,,,,12,23,24,21,15,24,,17,19,8,10,12,10,5,10,7,10,12,5
Angola,"10,117","7,501","7,911","6,625","10,153","8,653","9,363","8,510","8,184","9,587","10,271","11,134","11,272","8,269","7,157","5,143","15,424","15,066","14,296","14,235","16,062","21,713","29,996","36,079","35,437","37,175","50,419","41,292"
Anguilla,0,0,4,0,0,1,0,0,0,0,0,0,0,,,2,,0,,,,0,0,0,0,,0,0
Antigua and Barbuda,8,3,0,1,3,2,7,0,3,3,1,0,6,,,0,3,4,4,3,4,1,4,1,,6,4,2
Argentina,"16,406","16,693","17,292","17,305","16,359","15,987","14,681","13,368","13,267","12,636","12,309","12,185","12,606","13,887","13,683","13,450","13,397","12,621","12,276","11,871","11,767","11,456","11,548","10,728","10,619","9,770","9,406","9,755"
Armenia,756,924,759,702,774,768,832,766,651,649,590,741,235,590,753,"1,157",928,"1,026","1,455","1,488","1,333","1,389","1,433","1,538","1,660","2,206","1,767","1,682"
Australia,"1,457","1,386","1,270","1,219","1,299","1,088",906,907,954,952,"1,016",950,"1,011",991,"1,057","1,073",,"1,145",899,"1,073","1,043",980,"1,013",949,"1,059","1,046","1,159","1,115"
Austria,"2,191","2,061","1,942","1,825","1,765","1,442","1,377","1,390","1,402","1,334","1,521","1,426","1,354","1,267","1,264","1,481","1,290","1,394","1,302","1,085","1,185","1,013","1,044",946,895,928,855,811
Azerbaijan,"3,080","3,180","3,217","3,176","3,506","3,772","3,804","3,677","3,340","2,989","2,620","2,771","2,821","3,036","2,839","1,630","2,480","4,635","4,672","4,654","5,187","4,898","5,142","3,840","5,404","6,034","5,705","5,521"
Bahamas,70,67,54,58,53,63,52,43,51,52,46,53,63,60,78,57,59,88,75,76,82,,44,38,53,,,46
Bahrain,219,262,156,232,208,194,156,120,142,122,117,142,140,114,,43,49,45,83,145,207,188,191,261,244,280,278,296
