"Crude oil production, total (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,119011361.9,125556470.3,126392343.5,133128194,140907963.9,151798933.6,162549492.5,167349232.3,153800438.7,129870429.1,106349897.8,109910832.6,100779735,108779691,129619655,86833619.95,58623916.6,42664290.73,55005548.54,60727083.67,55489493.4,59395312.39,52115009.97,63046220.58,68410687.57,46796789.73,9216983.329,53955534.34,96581974.92,103357202.9,104888944.3,105125898,105114237.4,110003268,102556342.2,110065897,106853545.2,99209037.39,115766810.6,123403453.7,130382983.6,133808335.2,129909549.5,135813190.6,120951368.8,122689354.7,140041283.7
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,57981770.83,71669270.83,82362630.21,123858593.8,147710937.5,159544921.9,130684184.7,106819651.4,104632602.2,73585667.07,71531810.9,93492031.25,99625550.88,95647986.78,101073998.4,88287235.58,59115084.13,55393429.49,54329577.32,48243521.63,48391015.62,50194811.7,47295723.16,49712800.48,54885266.43,67242037.26,67892778.45,69699098.56,66121885.02,67500140.22,67892778.45,68586141.83,70090675.08,69592748.4,66978816.11,69545132.21,67073868.19,64602514.02,69830378.61,76548401.44,81913691.91,84909502.7,85030729.17,85276093.75,77083583.73,77443850.18,22431971.15
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,191623.0366,429973.822,859947.644,3296465.969,4455235.602,4347513.089,3869764.398,4681937.173,8000261.78,8742801.047,10319371.73,13472513.09,13221989.53,12373691.1,14523560.21,18393324.61,21365968.59,21259816.75,23887434.55,23600785.34,25724328.1,27973353.69,29549924.37,30770413.03,31264150.09,30576553.23,31113755.09,33323077.37,33793787.09,33497614.89,34023138.45,32413231.53,32001260.03,31189982.55,32610488.66,34420413.03,35505193.72,32634494.47,30925968.59,31677763.82,32051642.23,30589955.21,29825316.46,26586311.23
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,18053894.06,18489541.89,20463760.94,21900665.61,22965008.95,24179006.88,24107319.16,25097617.43,25859389.1,32416192.67,40154693.29,44773750.85,54365702.29,66692308.95,80659911,107187902.6,127995339.5,151013078.9,147124549.3,148311250.3,145853863.8,136881763.9,143035220.5,142690908.4,143065220.7,145168698.8,152817296.1,153031688.6,153276788.1,154172974.5,150213314.7,162359682.3,169619477.1,173474183.1,165492191.4,171414331.5,176835725.8,178613656.2,188956615,190860518.1,187277909.6,183275494.5,172930846,157649291.9,147440072.3,146279803.3,145112628.3
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
