Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Africa,(114845467),(117289197),(119807285),(122416756),(125130424),(127956865),(130900213),(133960375),(137133713),(140414134),(143796513),(147280210),(150872269),(154588707),(158450759),(162473626),(166670452),(171038799),(175559903),(180205754),(184959764),(189815199),(194789818),(199921342),(205261150),(210847010),(216691667),(222787425),(229126069),(235691306),(242469822),(249456391),(256651243),(264051508),(271654803),(279455503),(287452362),(295632781),(303966039),(312413101),(320945221),(329551108),(338234890),(347003155),(355869416),(364845402),(373933452),(383135027),(392461188),(401925484),(411540120),(421307832),(431234162),(441337023),(451637878),(462151183),(472880039),(483817807),(494955755),(506280191),(517776971),(529440088),(541258976),(553208259),(565256983),(577379209),(589561996),(601797331),(614070721),(626368311),(638679125),(650992268),(663303188),(675615907),(687939233),(700278940),(712632466),(724993798),(737361281),(749733041),(762106495),(774477620),(786841936),(799195336),(811533434),(823850819),(836141869),(848398967),(860611881),(872768851),(884858835),(896872286),(908800880),(920636881),(932372421),(943998822),(955506367),(966884165),(978120106),(989200914),(1000112142)
Asia,(680873433),(695004933),(708653933),(722171095),(735835349),(749853931),(764359269),(779412081),(795010648),(811106297),(827649800),(844640847),(862171395),(880444184),(899720182),(920163901),(941841052),(964633340),(988286721),(1012442397),(1036815867),(1061354601),(1086061089),(1110776250),(1135327228),(1159607325),(1183519256),(1207122221),(1230667125),(1254511810),(1278921196),(1303929393),(1329469355),(1355575082),(1382261889),(1409507933),(1437351123),(1465706168),(1494269546),(1522638409),(1550511917),(1577769722),(1604448762),(1630602248),(1656348624),(1681778350),(1706886714),(1731639311),(1756069313),(1780218258),(1804122313),(1827798522),(1851261281),(1874540621),(1897668970),(1920672030),(1943553469),(1966316903),(1988984570),(2011581061),(2034115726),(2056586725),(2078963592),(2101188212),(2123183531),(2144882017),(2166254983),(2187276922),(2207886717),(2228016130),(2247610304),(2266637890),(2285084886),(2302938035),(2320192383),(2336845728),(2352889652),(2368322281),(2383159248),(2397424232),(2411138921),(2424303762),(2436926329),(2449044252),(2460704622),(2471940328),(2482764165),(2493165617),(2503124015),(2512606685),(2521586120),(2530045794),(2537978107),(2545379586),(2552245402),(2558564236),(2564316533),(2569473518),(2573996807),(2577838794),(2580942624)
Central America,(18934719),(19458422),(20019383),(20615025),(21243084),(21901617),(22589007),(23303951),(24045445),(24812737),(25605215),(26422275),(27263226),(28127219),(29013405),(29921312),(30848815),(31795978),(32767041),(33767931),(34802028),(35869158),(36964955),(38083158),(39215343),(40354046),(41499228),(42648584),(43789907),(44908067),(45993291),(47040045),(48053807),(49049783),(50049773),(51070263),(52114454),(53179576),(54268707),(55383897),(56525473),(57694496),(58887996),(60096636),(61307774),(62510825),(63703771),(64884681),(66043362),(67167907),(68250419),(69285587),(70276501),(71234405),(72175802),(73113057),(74049164),(74981653),(75910811),(76835501),(77754580),(78669711),(79581142),(80484338),(81373056),(82242919),(83091719),(83921000),(84734699),(85538700),(86337062),(87130483),(87916852),(88693934),(89458392),(90207425),(90940006),(91655623),(92352509),(93028751),(93682655),(94313049),(94918937),(95499054),(96052175),(96577272),(97073488),(97540293),(97977457),(98384991),(98762872),(99110972),(99429079),(99716966),(99974486),(100201633),(100398587),(100565715),(100703576),(100812926),(100894714)
Eastern Africa,(32742490),(33476958),(34233556),(35015470),(35825720),(36667137),(37542404),(38454024),(39404322),(40395435),(41429296),(42507569),(43631655),(44802652),(46021425),(47288660),(48606272),(49975007),(51393007),(52857396),(54366708),(55919981),(57519753),(59172293),(60886000),(62666856),(64520053),(66444498),(68432469),(70472538),(72557934),(74679676),(76843617),(79075083),(81408907),(83866800),(86466628),(89192832),(91993495),(94796289),(97552529),(100236834),(102873141),(105521976),(108270461),(111179551),(114274559),(117531525),(120902672),(124316714),(127723820),(131110025),(134497609),(137916811),(141413087),(145020495),(148744226),(152576276),(156521453),(160582478),(164759193),(169054030),(173461834),(177964447),(182537357),(187160735),(191827094),(196534057),(201273157),(206036477),(210817747),(215610377),(220411593),(225224148),(230053761),(234904169),(239774377),(244660680),(249560964),(254472537),(259392931),(264320063),(269252391),(274188508),(279127170),(284066665),(289004703),(293938266),(298863908),(303777764),(308676059),(313555282),(318412124),(323243343),(328045588),(332815245),(337548392),(342240752),(346887708),(351484297),(356025207)
Eastern Asia,(320411216),(327714508),(334199956),(340218153),(346048119),(351897306),(357898517),(364112984),(370539602),(377130329),(383836358),(390657370),(397684645),(405119521),(413221074),(422152176),(431974194),(442567486),(453682515),(464967183),(476139457),(487148843),(497989042),(508479355),(518418340),(527678266),(536168292),(543954503),(551270122),(558451214),(565756549),(573219505),(580807269),(588627789),(596793623),(605361182),(614409245),(623864284),(633437066),(642728963),(651449324),(659487572),(666910625),(673823749),(680408469),(686798471),(693018981),(699022789),(704789876),(710282717),(715481157),(720390079),(725045938),(729498499),(733812277),(738039364),(742193556),(746280661),(750333415),(754386716),(758461899),(762570145),(766697320),(770805087),(774838410),(778750517),(782528665),(786162772),(789611315),(792826389),(795771810),(798428295),(800794710),(802877348),(804692099),(806252590),(807558704),(808610139),(809421832),(810012943),(810399646),(810588361),(810583622),(810397237),(810041841),(809526894),(808858358),(808036967),(807059744),(805920493),(804613933),(803137108),(801488886),(799668806),(797675750),(795506707),(793156348),(790616796),(787877523),(784925447),(781744928)
Eastern Europe,(121764711),(123213707),(124754163),(126350067),(127970989),(129592093),(131194290),(132764079),(134293018),(135776860),(137212917),(138597288),(139922406),(141175994),(142344028),(143419464),(144393966),(145277649),(146105091),(146923601),(147767568),(148650927),(149565710),(150497451),(151421888),(152321436),(153191407),(154038482),(154869349),(155694503),(156520223),(157342463),(158153105),(158948660),(159724786),(160474439),(161198181),(161884785),(162501096),(163004640),(163364918),(163571780),(163632820),(163558359),(163366756),(163074692),(162686146),(162206436),(161656567),(161062239),(160444849),(159813629),(159174413),(158540431),(157924973),(157337539),(156785708),(156269572),(155780939),(155306396),(154835365),(154365444),(153897555),(153427986),(152952990),(152469167),(151974117),(151465494),(150940199),(150395095),(149827759),(149236948),(148622239),(147983320),(147320376),(146633997),(145924229),(145192234),(144441278),(143675639),(142898926),(142112659),(141317826),(140516870),(139712348),(138906291),(138100117),(137294395),(136489136),(135683828),(134878058),(134071733),(133264997),(132458057),(131650985),(130843539),(130035088),(129224581),(128410535),(127591053),(126763809)
Europe,(292111253),(294526172),(297136544),(299864375),(302649682),(305450519),(308243811),(311024512),(313802915),(316600265),(319435405),(322310639),(325199315),(328040490),(330754024),(333284867),(335603640),(337731232),(339725107),(341670266),(343627763),(345616524),(347615911),(349599852),(351526526),(353365742),(355114464),(356784964),(358380566),(359908151),(361374500),(362771650),(364100949),(365389381),(366672912),(367973506),(369302047),(370639809),(371942220),(373147352),(374208716),(375123375),(375900829),(376524076),(376975882),(377252073),(377336471),(377253229),(377088917),(376959861),(376949792),(377091357),(377363002),(377726603),(378119196),(378492536),(378839586),(379170367),(379472867),(379735676),(379949971),(380106955),(380203578),(380244582),(380239045),(380193286),(380108010),(379979253),(379803406),(379575428),(379292005),(378952724),(378559870),(378116315),(377626165),(377093095),(376518848),(375904907),(375254457),(374571057),(373857912),(373116758),(372349463),(371559434),(370750422),(369925224),(369085662),(368231867),(367362694),(366475970),(365569982),(364644017),(363698154),(362732844),(361748456),(360744801),(359721004),(358675393),(357605498),(356508049),(355379009)
Latin America and Caribbean,(83646344),(85879704),(88226236),(90664631),(93180005),(95763894),(98414627),(101136944),(103940928),(106840151),(109846211),(112962889),(116181040),(119476390),(122815763),(126175314),(129545157),(132931717),(136347526),(139812710),(143341888),(146935303),(150587009),(154297941),(158068279),(161896565),(165784123),(169726670),(173710062),(177715640),(181729511),(185744410),(189761692),(193786647),(197828724),(201894053),(205981874),(210086589),(214203722),(218327278),(222451922),(226572505),(230686196),(234792347),(238891443),(242981566),(247061649),(251123672),(255150364),(259119792),(263015533),(266830637),(270566456),(274225515),(277814017),(281337080),(284793276),(288181663),(291508952),(294783932),(298012920),(301198736),(304339781),(307432404),(310470786),(313450566),(316370000),(319230096),(322032456),(324779725),(327473220),(330112685),(332695374),(335217042),(337672154),(340056168),(342366649),(344602665),(346762972),(348846827),(350853215),(352781184),(354628846),(356393213),(358070777),(359659012),(361156097),(362562293),(363879751),(365111898),(366261091),(367327879),(368311250),(369209285),(370019894),(370741493),(371373262),(371915263),(372368476),(372734776),(373016921)
Least Developed Countries,(99207673),(101213667),(103268179),(105389350),(107591210),(109883655),(112272265),(114758491),(117340284),(120013114),(122773093),(125620223),(128561350),(131611317),(134789542),(138109651),(141579474),(145195131),(148944155),(152807661),(156772525),(160834810),(165000675),(169279235),(173683971),(178224645),(182907240),(187729465),(192683309),(197756638),(202942514),(208241167),(213661843),(219218023),(224927697),(230806035),(236849162),(243058720),(249460833),(256088523),(262960453),(270093334),(277467558),(285020614),(292666449),(300343703),(308029220),(315741886),(323514303),(331398301),(339432794),(347625021),(355965364),(364456332),(373097325),(381887934),(390828297),(399920361),(409166592),(418569616),(428128976),(437842257),(447701188),(457691483),(467794852),(477994956),(488283569),(498653039),(509088133),(519572040),(530090779),(540633591),(551194789),(561772001),(572365728),(582974844),(593594633),(604217704),(614837374),(625446290),(636038101),(646606932),(657149248),(667663870),(678151030),(688609479),(699034681),(709420380),(719761360),(730051907),(740285821),(750456447),(760556652),(770578833),(780514908),(790356281),(800093883),(809718139),(819218964),(828585801),(837807582)
Less Developed Regions,(838430026),(856469938),(874322567),(892313826),(910701875),(929677136),(949359316),(969800375),(990993334),(1012886941),(1035429788),(1058617232),(1082532615),(1107364784),(1133358257),(1160666261),(1189355972),(1219314402),(1250286579),(1281913706),(1313916964),(1346238610),(1378897123),(1411786331),(1444802647),(1477888813),(1510969073),(1544089785),(1577473865),(1611434192),(1646201534),(1681795044),(1718153006),(1755318122),(1793321663),(1832147673),(1871835067),(1912275434),(1953117803),(1993897443),(2034267323),(2074085466),(2113393432),(2152257194),(2190820013),(2229189849),(2267365833),(2305303847),(2343026122),(2380558745),(2417929046),(2455147789),(2492239365),(2529261032),(2566282387),(2603355363),(2640488001),(2677673850),(2714928274),(2752263611),(2789676084),(2827159088),(2864671717),(2902128726),(2939419395),(2976448083),(3013171428),(3049555723),(3085526482),(3121003498),(3155921453),(3190237493),(3223929718),(3256983245),(3289394672),(3321161579),(3352269703),(3382709677),(3412493446),(3441641328),(3470170758),(3498076495),(3525359198),(3552049115),(3578185293),(3603792455),(3628875428),(3653415812),(3677384622),(3700740687),(3723447523),(3745479117),(3766817866),(3787449871),(3807359503),(3826524349),(3844913512),(3862486616),(3879193409),(3894974188),(3909759746)
