Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Belarus,4321010,4300892,4291174,4291602,4301601,4320283,4346423,4378477,4414655,4453031,4491876,4530021,4567169,4604029,4641935,4681726,4723520,4766467,4809323,4850418,4888570,4923390,4955256,4984718,5012670,5039856,5066181,5091646,5117206,5144069,5173005,5204276,5237372,5271297,5304627,5336177,5365646,5392856,5416885,5436682,5451480,5461019,5465374,5464592,5458883,5448559,5433549,5414242,5392023,5368692,5345609,5323362,5301859,5280931,5260120,5239087,5217927,5196834,5175652,5154164,5132209,5109723,5086735,5063287,5039461,5015312,4990837,4965999,4940786,4915178,4889159,4862727,4835874,4808571,4780780,4752476,4723646,4694296,4664442,4634109,4603318,4572071,4540365,4508214,4475630,4442624,4409211,4375390,4341139,4306423,4271221,4235537,4199396,4162833,4125891,4088610,4051023,4013159,3975036,3936670,3898066
Belgium,4376208,4395626,4419045,4445526,4474261,4504567,4535892,4567811,4600014,4632284,4664431,4696225,4727337,4757309,4785633,4811959,4835926,4857593,4877560,4896710,4915633,4934634,4953382,4971083,4986604,4999179,5008650,5015434,5020064,5023327,5025888,5027900,5029487,5031266,5033961,5038112,5043933,5051395,5060459,5070967,5082736,5096027,5110753,5125954,5140347,5153108,5163750,5172788,5181629,5192260,5206105,5223472,5243873,5266936,5292003,5318459,5346382,5375584,5404850,5432623,5457808,5479821,5498957,5516095,5532588,5549419,5566832,5584501,5602168,5619382,5635820,5651445,5666401,5680749,5694590,5707999,5720988,5733528,5745599,5757172,5768227,5778759,5788780,5798309,5807373,5815989,5824165,5831894,5839161,5845944,5852227,5858005,5863280,5868061,5872358,5876176,5879517,5882378,5884751,5886621,5887971
Belize,35175,36242,37283,38334,39425,40571,41779,43043,44350,45680,47013,48337,49658,50999,52392,53857,55406,57016,58628,60163,61563,62824,63968,64997,65919,66756,67491,68154,68869,69795,71045,72676,74652,76882,79225,81580,83914,86260,88658,91174,93850,96694,99676,102758,105889,109027,112160,115291,118414,121529,124635,127727,130801,133860,136913,139963,143011,146057,149104,152158,155223,158299,161385,164477,167573,170667,173758,176843,179916,182967,185990,188981,191936,194851,197721,200543,203314,206031,208689,211281,213801,216248,218622,220933,223189,225401,227569,229692,231772,233809,235804,237756,239665,241528,243342,245105,246813,248461,250045,251559,252998
Benin,1094992,1099295,1105013,1112116,1120582,1130392,1141537,1154014,1167824,1182974,1199472,1217324,1236531,1257088,1278987,1302227,1326836,1352841,1380245,1409050,1439276,1470940,1504106,1538906,1575504,1614031,1654550,1697081,1741660,1788311,1837054,1888071,1941417,1996848,2054012,2112745,2172735,2234289,2298594,2367253,2441318,2521514,2607278,2696806,2787537,2877725,2966619,3055049,3144778,3238365,3337644,3443147,3554237,3670155,3789672,3911851,4036507,4163824,4293647,4425873,4560401,4697052,4835695,4976347,5119083,5263925,5410822,5559625,5710140,5862127,6015392,6169825,6325381,6482007,6639674,6798348,6957949,7118406,7279712,7441874,7604881,7768668,7933147,8098239,8263862,8429921,8596332,8762987,8929735,9096404,9262835,9428897,9594480,9759487,9923821,10087375,10250030,10411652,10572088,10731174,10888727
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,82040,85024,87864,90608,93297,95964,98635,101329,104056,106823,109639,112517,115485,118583,121859,125351,129073,133029,137230,141689,146407,151385,156611,162056,167685,173461,179389,185454,191581,197672,203668,209379,214806,220286,226296,233089,241048,249854,258232,264444,267358,266363,262143,256458,251796,249945,251511,255936,262410,269629,276616,283211,289681,295969,302093,308068,313794,319213,324453,329704,335103,340685,346393,352163,357896,363515,369001,374372,379636,384810,389906,394925,399853,404670,409347,413868,418225,422429,426501,430471,434362,438182,441930,445615,449248,452835,456380,459883,463343,466757,470120,473428,476676,479859,482970,486001,488942,491780,494502,497091,499530
Bolivia,1360480,1388749,1418129,1448622,1480224,1512921,1546691,1581503,1617322,1654112,1691848,1730535,1770218,1810987,1852963,1896253,1940834,1986730,2034139,2083310,2134394,2187438,2242301,2298702,2356247,2414616,2473812,2533812,2594247,2654665,2714797,2774481,2833949,2893834,2955019,3018175,3083429,3150696,3220161,3291987,3366227,3443038,3522260,3603226,3685026,3766988,3848782,3930515,4012481,4095177,4178925,4263758,4349403,4435506,4521586,4607274,4692411,4777016,4861112,4944789,5028097,5110986,5193351,5275133,5356262,5436675,5516322,5595158,5673123,5750161,5826216,5901240,5975188,6048015,6119677,6190131,6259336,6327255,6393853,6459102,6522970,6585433,6646460,6706008,6764032,6820495,6875372,6928657,6980355,7030485,7079060,7126081,7171542,7215432,7257741,7298465,7337608,7375182,7411207,7445712,7478735
Bosnia and Herzegovina,1376693,1406726,1435413,1462855,1489154,1514404,1538700,1562131,1584785,1606745,1628088,1648882,1669187,1689049,1708508,1727600,1746367,1764846,1783066,1801051,1818820,1836458,1853997,1871345,1888366,1905000,1921139,1936916,1952804,1969436,1987234,2004925,2021962,2040170,2062075,2088596,2123706,2164822,2198658,2207249,2179297,2107239,1999027,1877809,1775971,1716240,1707468,1741208,1801675,1864888,1913263,1942443,1957587,1961966,1961868,1961945,1962168,1960557,1957716,1954241,1950586,1947156,1944075,1941131,1937915,1934127,1929776,1925013,1919835,1914251,1908264,1901866,1895049,1887827,1880218,1872236,1863886,1855160,1846048,1836534,1826606,1816267,1805522,1794364,1782783,1770777,1758352,1745524,1732314,1718749,1704855,1690657,1676177,1661436,1646460,1631277,1615918,1600422,1584831,1569191,1553556
Botswana,212833,218831,224704,230502,236276,242078,247956,253958,260132,266525,273178,280130,287413,295051,303067,311479,320330,329648,339423,349631,360271,371306,382782,394878,407826,421776,436803,452809,469555,486703,503999,521350,538798,556396,574249,592428,610884,629550,648450,667622,687064,706739,726537,746294,765801,784871,803532,821720,839059,855073,869475,882042,892997,903048,913184,924115,936114,948973,962329,975602,988372,1000550,1012286,1023678,1034894,1046054,1057174,1068191,1079063,1089721,1100119,1110241,1120103,1129732,1139164,1148427,1157541,1166496,1175256,1183765,1191992,1199931,1207621,1215131,1222557,1229975,1237409,1244862,1252362,1259932,1267590,1275342,1283188,1291118,1299119,1307171,1315252,1323335,1331389,1339381,1347272
Brazil,27198736,28020369,28876596,29757105,30655193,31567771,32495577,33442960,34417236,35427600,36481885,37583104,38726422,39897854,41077947,42252591,43417587,44576772,45734069,46896547,48070070,49254839,50450805,51663587,52900136,54165625,55459754,56781528,58134012,59520629,60941990,62399574,63887363,65388971,66882690,68352048,69792181,71204599,72587450,73940764,75265751,76558537,77820896,79066955,80315925,81581328,82866158,84165263,85473547,86782599,88084488,89379138,90663425,91922413,93137253,94294312,95387353,96418940,97395478,98327795,99224348,100086007,100911404,101704351,102469149,103208976,103926046,104620401,105290219,105932358,106544550,107126817,107680226,108204773,108700580,109167903,109606453,110016616,110400155,110759400,111095971,111410979,111703926,111972876,112214968,112428317,112611945,112766990,112896211,113003498,113091512,113160882,113210487,113238119,113241239,113217681,113165894,113085080,112975243,112837137,112672276
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,23300,24717,26136,27593,29110,30702,32372,34113,35911,37746,39600,41468,43363,45320,47388,49602,51963,54457,57083,59834,62699,65693,68797,71922,74949,77799,80431,82880,85242,87655,90221,92976,95894,98930,102015,105103,108176,111262,114407,117680,121125,124756,128547,132452,136405,140356,144292,148216,152116,155981,159802,163569,167281,170961,174642,178347,182083,185843,189615,193382,197131,200861,204576,208275,211960,215632,219288,222928,226563,230203,233856,237525,241205,244888,248564,252224,255864,259482,263076,266640,270172,273668,277125,280541,283912,287237,290513,293740,296915,300038,303108,306124,309088,311999,314859,317671,320436,323155,325833,328470,331071
Bulgaria,3626991,3646264,3669743,3696902,3727184,3760007,3794753,3830775,3867413,3904015,3940010,3974985,4008751,4041369,4073073,4104032,4134102,4163126,4191251,4218693,4245575,4272011,4297855,4322662,4345828,4366944,4385611,4401980,4416840,4431317,4446105,4461285,4476200,4489864,4500922,4508235,4512007,4512113,4506756,4493675,4471552,4439515,4398828,4352995,4306860,4264027,4225763,4191460,4160540,4131717,4104019,4077536,4052679,4029096,4006338,3984041,3962022,3940211,3918502,3896823,3875102,3853239,3831132,3808714,3785930,3762737,3739086,3714943,3690299,3665160,3639531,3613419,3586826,3559750,3532193,3504170,3475696,3446820,3417638,3388270,3358817,3329322,3299812,3270351,3241004,3211820,3182830,3154042,3125442,3097001,3068693,3040499,3012406,2984403,2956471,2928584,2900701,2872769,2844721,2816475,2787938
Burkina Faso,1939898,1969816,2000904,2033434,2067573,2103380,2140801,2179677,2219761,2260753,2302395,2344574,2387416,2431322,2476856,2524429,2574261,2626250,2680100,2735351,2791715,2849128,2907846,2968285,3031024,3096501,3165002,3236527,3310900,3387811,3467110,3548735,3633022,3720699,3812728,3909797,4012260,4119960,4232446,4349005,4469139,4593039,4721014,4852858,4988310,5127371,5270030,5416935,5569572,5729885,5899387,6078296,6266575,6465095,6674799,6896120,7129515,7374190,7627723,7886815,8148952,8413135,8679544,8948287,9219904,9494748,9772618,10053052,10335885,10620954,10908158,11197379,11488658,11782259,12078563,12377848,12680100,12985225,13293303,13604419,13918568,14235670,14555500,14877698,15201810,15527405,15854242,16182048,16510315,16838460,17165989,17492550,17817912,18141922,18464455,18785367,19104475,19421554,19736328,20048476,20357632
Burundi,1280101,1305002,1328572,1351662,1374920,1398788,1423499,1449081,1475384,1502125,1529014,1555895,1582863,1610319,1638822,1668659,1700484,1733933,1767085,1797317,1823000,1843433,1859939,1875432,1893965,1918601,1950094,1988003,2032704,2084280,2142598,2207672,2279061,2355476,2435190,2516617,2599378,2682741,2764347,2841343,2911669,2975093,3032114,3082509,3126275,3164028,3195043,3220957,3247671,3282954,3332366,3397809,3477744,3569901,3670455,3776177,3887032,4002806,4119781,4233339,4340214,4438503,4528950,4614262,4698636,4785104,4874373,4965363,5057205,5148435,5237976,5325731,5412092,5497024,5580567,5662773,5743617,5823132,5901531,5979100,6056083,6132547,6208555,6284346,6360193,6436292,6512711,6589414,6666341,6743379,6820406,6897306,6973964,7050251,7126014,7201059,7275147,7347993,7419263,7488577,7555507
Cambodia,2173000,2228693,2277869,2324320,2370996,2420000,2472563,2529069,2589157,2651883,2716201,2781489,2847997,2917044,2990467,3069000,3153980,3243379,3330510,3406405,3464900,3504807,3528984,3540582,3544501,3545400,3542882,3538892,3543294,3568609,3623481,3712250,3831930,3974576,4128219,4283833,4438551,4593970,4750746,4910884,5075452,5243943,5414075,5583122,5747672,5905172,6054791,6196790,6331169,6458348,6578918,6692646,6800100,6903755,7006868,7111928,7219912,7330717,7444397,7560611,7679075,7799941,7923382,8049075,8176543,8305321,8435229,8565982,8696863,8827005,8955702,9082630,9207630,9330383,9450610,9568118,9682735,9794454,9903489,10010186,10114841,10217513,10318257,10417371,10515217,10612074,10708026,10803089,10897380,10991001,11083989,11176288,11267764,11358213,11447389,11535010,11620773,11704353,11785403,11863556,11938424
Cameroon,2277313,2319045,2361544,2404909,2449280,2494833,2541786,2590396,2640951,2693754,2749091,2807181,2868144,2931986,2998640,3068101,3140520,3216107,3294987,3377292,3463187,3552631,3645823,3743435,3846329,3955076,4070143,4191285,4317486,4447290,4579719,4714159,4851090,4991928,5138693,5292718,5454338,5622694,5796435,5973638,6152761,6333527,6515913,6698961,6881601,7063147,7243100,7421774,7600348,7780537,7963651,8149965,8339304,8531975,8728224,8928169,9131918,9339326,9549888,9762894,9977724,10194161,10412003,10630646,10849394,11067698,11285286,11502066,11717910,11932768,12146634,12359386,12571054,12781985,12992674,13203496,13414530,13625737,13837226,14049095,14261388,14474116,14687196,14900440,15113588,15326399,15538752,15750517,15961429,16171183,16379515,16586228,16791185,16994283,17195429,17394521,17591431,17786009,17978075,18167425,18353828
Canada,6767998,6962149,7154359,7349352,7550134,7757993,7972404,8191124,8410476,8625826,8833008,9029842,9217469,9400917,9587488,9782005,9986820,10199057,10412008,10616184,10804957,10975851,11131514,11276714,11418629,11562534,11710612,11861581,12013208,12161842,12305308,12442152,12574662,12708796,12852646,13011605,13188021,13379013,13578262,13776661,13967409,14149053,14323029,14489004,14647359,14798778,14942140,15078024,15211015,15347298,15491250,15644629,15806052,15972852,16140854,16306905,16470507,16632369,16791960,16948896,17102979,17253672,17401051,17546343,17691290,17837137,17984256,18132227,18280527,18428310,18574913,18720145,18864064,19006526,19147415,19286588,19423946,19559266,19692134,19822050,19948653,20071768,20191439,20307800,20421099,20531542,20639213,20744130,20846373,20946022,21043191,21138033,21230742,21321538,21410664,21498372,21584920,21670574,21755602,21840279,21924885
Cape Verde,79829,82462,84837,87097,89355,91694,94161,96775,99526,102381,105306,108281,111319,114472,117814,121374,125203,129229,133214,136835,139873,142243,144037,145428,146678,147990,149410,150917,152569,154420,156507,158875,161532,164427,167478,170626,173844,177151,180596,184249,188152,192321,196710,201225,205736,210149,214423,218574,222625,226622,230598,234558,238482,242353,246148,249850,253454,256973,260436,263883,267346,270832,274335,277853,281381,284910,288441,291972,295488,298975,302416,305806,309139,312408,315603,318717,321744,324680,327521,330264,332906,335445,337877,340202,342420,344532,346535,348429,350214,351889,353457,354916,356265,357502,358626,359635,360528,361304,361962,362501,362923
Caribbean,8532191,8687471,8855433,9031411,9212173,9395930,9582409,9772776,9969388,10175385,10393474,10624617,10866890,11115003,11361677,11601715,11832627,12055893,12275121,12495884,12722017,12954934,13192694,13431797,13667194,13895427,14115335,14328601,14538123,14748122,14961758,15179665,15401146,15626374,15855231,16087452,16323208,16562185,16802954,17043596,17282565,17519381,17753870,17985185,18212445,18435041,18652370,18864491,19072345,19277355,19480516,19682228,19882119,20079499,20273354,20462994,20648165,20829271,21007143,21182914,21357411,21530906,21703115,21873604,22041711,22206909,22368958,22527924,22684012,22837547,22988667,23137372,23283256,23425582,23563393,23695932,23822874,23944199,24059856,24169919,24274421,24373251,24466274,24553475,24634865,24710459,24780235,24844174,24902315,24954704,25001384,25042380,25077702,25107358,25131351,25149694,25162415,25169555,25171161,25167302,25158049
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,672673,679583,686705,694171,702100,710595,719741,729608,740251,751708,764004,777152,791155,806002,821674,838132,855455,873597,892257,911033,929672,948095,966499,985257,1004893,1025829,1048013,1071436,1096592,1124088,1154263,1187545,1223579,1260963,1297763,1332661,1364986,1395309,1425071,1456372,1490690,1528409,1568914,1611452,1654862,1698227,1741487,1784733,1827380,1868748,1908411,1946014,1981801,2016705,2052052,2088803,2127259,2167147,2208156,2249751,2291516,2333413,2375530,2417722,2459827,2501727,2543337,2584645,2625696,2666582,2707368,2748039,2788567,2828988,2869353,2909689,2950013,2990293,3030451,3070375,3109986,3149250,3188176,3226777,3265081,3303109,3340854,3378301,3415443,3452276,3488795,3524996,3560875,3596429,3631657,3666555,3701119,3735345,3769228,3802763,3835943
Chad,1230387,1253680,1278564,1304616,1331526,1359101,1387267,1416064,1445632,1476181,1507911,1540921,1575137,1610275,1645936,1681880,1717843,1754019,1791172,1830353,1872244,1917382,1965370,2014842,2063870,2111181,2156424,2200383,2244337,2290117,2339186,2391809,2447990,2508605,2574619,2646655,2725379,2810562,2900814,2994133,3089130,3185451,3283738,3384839,3490029,3600332,3715358,3834973,3960711,4094542,4237530,4390719,4552775,4719458,4884972,5045213,5198557,5346334,5491052,5636620,5785956,5939794,6097427,6258653,6422884,6589761,6759260,6931867,7108298,7289474,7475977,7668060,7865305,8066764,8271103,8477286,8684932,8894072,9104563,9316374,9529446,9743594,9958604,10174378,10390846,10607943,10825564,11043629,11262136,11481113,11700565,11920456,12140716,12361254,12581979,12802811,13023690,13244576,13465456,13686335,13907241
Channel Islands,53148,53560,53944,54305,54650,54987,55325,55674,56045,56450,56898,57393,57935,58514,59118,59735,60360,60991,61626,62263,62898,63537,64173,64777,65309,65745,66071,66306,66498,66718,67015,67399,67856,68388,68988,69649,70381,71171,71959,72662,73223,73616,73861,74003,74113,74242,74403,74583,74775,74966,75144,75312,75475,75634,75789,75940,76087,76230,76367,76496,76615,76724,76824,76916,77003,77085,77164,77238,77308,77374,77436,77494,77547,77594,77633,77662,77681,77689,77685,77666,77633,77584,77519,77437,77339,77223,77090,76940,76774,76592,76395,76184,75961,75725,75478,75222,74958,74687,74412,74135,73858
Chile,3069471,3126647,3191345,3262082,3337686,3417291,3500360,3586663,3676231,3769272,3865925,3965993,4068715,4172666,4276038,4377462,4476265,4572494,4666414,4758624,4849546,4939458,5028140,5114994,5199192,5280343,5358189,5433528,5508335,5585253,5666243,5752117,5842591,5937167,6034877,6135017,6237137,6341479,6448760,6560005,6675678,6796125,6920270,7045401,7167903,7285128,7396066,7501243,7601483,7698277,7792794,7885089,7974930,8062916,8149758,8235992,8321894,8407471,8492631,8577146,8660830,8743709,8825816,8906955,8986871,9065362,9142304,9217680,9291529,9363943,9434961,9504556,9572600,9638914,9703271,9765489,9825485,9883235,9938687,9991806,10042563,10090918,10136847,10180365,10221506,10260299,10296743,10330836,10362603,10392077,10419283,10444238,10466949,10487419,10505650,10521644,10535411,10546963,10556318,10563498,10568531
China,261846563,268358838,274031027,279204458,284152707,289081596,294126343,299354413,304774071,310348644,316039290,321850627,327870655,334287863,341342755,349185268,357876695,367303888,377219517,387275494,397195523,406926498,416469035,425669331,434360912,442440507,449832019,456594429,462936692,469158437,475493296,481964844,488552180,495385750,502610838,510306481,518559168,527284967,536177129,544811152,552877357,560261209,567034910,573305204,579257733,585030124,590646567,596060779,601261446,606222431,610932060,615397810,619654898,623752747,627754136,631709167,635632737,639529549,643425191,647345123,651303806,655309280,659348748,663387045,667374443,671268008,675055392,678724875,682234371,685534951,688589588,691378835,693901560,696163513,698179952,699963939,701514975,702832443,703930868,704829000,705542636,706077749,706438553,706636749,706684955,706592499,706364868,706002254,705501378,704855751,704059644,703109431,702003116,700739225,699315531,697727871,695969744,694032078,691903147,689568650,687011715
"Hong Kong, China",959798,993533,1040859,1095676,1153428,1211103,1267309,1322199,1377236,1434814,1497098,1564792,1636063,1706078,1768312,1818402,1854286,1878177,1895269,1913070,1937100,1968861,2006966,2050527,2097676,2146900,2198191,2251761,2306448,2360795,2413622,2465149,2515326,2562494,2604599,2640598,2669073,2691510,2713326,2741913,2782396,2836523,2902186,2975833,3052076,3126666,3199009,3269405,3335547,3394867,3445677,3486836,3519014,3544714,3567609,3590549,3614160,3638180,3663508,3690974,3721113,3754553,3791188,3829846,3868794,3906741,3943290,3978704,4013129,4046928,4080344,4113314,4145611,4177134,4207759,4237389,4265985,4293536,4320007,4345369,4369607,4392698,4414654,4435549,4455484,4474539,4492730,4510051,4526527,4542181,4557026,4571059,4584264,4596615,4608078,4618613,4628177,4636723,4644200,4650555,4655728
"Macao, China",90099,91009,91112,90590,89637,88459,87273,86310,85801,85969,86991,88952,91815,95401,99438,103682,108138,112747,117128,120802,123442,124947,125452,125181,124478,123649,122694,121698,121158,121700,123755,127498,132776,139265,146468,153976,161731,169709,177575,184932,191497,197130,201885,205929,209536,212933,216147,219185,222238,225537,229253,233413,237992,243034,248567,254569,261129,268131,275096,281382,286544,290377,293041,294905,296531,298331,300411,302657,305004,307315,309488,311529,313487,315349,317103,318737,320246,321628,322883,324015,325025,325913,326678,327325,327860,328289,328613,328831,328945,328955,328861,328663,328361,327956,327447,326834,326115,325290,324356,323311,322152
Colombia,6026574,6199552,6376773,6559273,6747919,6943417,7146301,7356942,7575546,7802163,8036701,8278945,8528570,8785150,9048137,9316810,9591524,9871455,10153316,10432852,10707226,10974901,11237225,11497842,11762037,12033695,12313889,12601633,12896252,13196366,13500882,13809863,14123547,14441155,14761704,15084454,15408890,15735012,16063223,16394211,16728381,17065710,17405684,17747625,18090637,18433987,18777424,19120846,19463865,19806089,20147237,20486858,20824898,21161962,21498952,21836405,22174471,22512573,22849631,23184175,23515082,23841840,24164503,24483203,24798298,25109990,25418139,25722366,26022361,26317747,26608197,26893434,27173299,27447717,27716668,27980054,28237735,28489381,28734467,28972355,29202529,29424772,29638992,29844978,30042546,30231582,30412004,30583847,30747279,30902562,31049940,31189611,31321735,31446463,31563974,31674502,31778349,31875889,31967574,32053927,32135546
Comoros,78627,80673,82600,84448,86252,88035,89813,91593,93374,95150,96918,98682,100465,102305,104254,106350,108637,111118,113746,116447,119181,121899,124659,127665,131188,135408,140404,146072,152187,158425,164543,170473,176255,181887,187397,192812,198106,203269,208368,213494,218714,224058,229515,235062,240661,246287,251943,257653,263430,269295,275267,281338,287517,293853,300411,307230,314328,321672,329196,336801,344413,352007,359584,367120,374596,381997,389310,396528,403661,410723,417727,424675,431569,438427,445271,452121,458980,465850,472740,479657,486605,493585,500591,507607,514615,521598,528547,535452,542291,549039,555673,562180,568551,574783,580871,586813,592602,598229,603683,608952,614020
"Congo, Rep.",410932,418986,427434,436300,445609,455384,465646,476419,487722,499577,512004,525025,538661,552934,567867,583483,599803,616846,634631,653173,672489,692583,713471,735205,757844,781428,805969,831443,857809,885006,912979,941687,971106,1001223,1032032,1063507,1095511,1127946,1160863,1194351,1228392,1263272,1298772,1333786,1366840,1397014,1423623,1447319,1470148,1494972,1523775,1557545,1595517,1635812,1675646,1713104,1747438,1779548,1811145,1844726,1882041,1923537,1968467,2015931,2064538,2113185,2161719,2210203,2257996,2304377,2348851,2391056,2431118,2469661,2507626,2545704,2584081,2622581,2661112,2699468,2737501,2775222,2812713,2849970,2886987,2923756,2960263,2996487,3032406,3067991,3103214,3138048,3172467,3206443,3239947,3272948,3305411,3337297,3368566,3399172,3429067
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,473083,487073,502424,518820,536034,553933,572482,591738,611833,632947,655229,678704,703203,728323,753528,778415,802894,827032,850788,874162,897200,919870,942283,964820,987984,1012169,1037487,1063942,1091681,1120834,1151473,1183689,1217421,1252383,1288175,1324486,1361256,1398514,1436165,1474116,1512327,1550585,1588918,1627802,1667901,1709619,1753100,1797968,1843453,1888495,1932277,1974618,2015588,2054946,2092484,2128115,2161617,2193134,2223408,2253463,2284042,2315433,2347443,2379740,2411777,2443152,2473790,2503835,2533359,2562498,2591341,2619889,2648075,2675838,2703095,2729783,2755874,2781367,2806257,2830546,2854234,2877307,2899747,2921545,2942692,2963178,2982996,3002137,3020588,3038337,3055372,3071687,3087279,3102144,3116283,3129695,3142379,3154335,3165560,3176053,3185811
Cote d'Ivoire,1235221,1269710,1306827,1346147,1387449,1430717,1476155,1524173,1575351,1630391,1689943,1754435,1823913,1897979,1975974,2057537,2142646,2231857,2326093,2426575,2534257,2649356,2771857,2902162,3040664,3187555,3342911,3506429,3677397,3854836,4037883,4226416,4420168,4617974,4818419,5020533,5223415,5427304,5633752,5845041,6062659,6286713,6516106,6749589,6985402,7221972,7459706,7698212,7934236,8163625,8383818,8593255,8793857,8990895,9191756,9401909,9623028,9854009,10094117,10341634,10595147,10854800,11120810,11391790,11665950,11941889,12218968,12497107,12776171,13056232,13337316,13619138,13901421,14184232,14467740,14752036,15037048,15322592,15608516,15894631,16180764,16466784,16752582,17038030,17323000,17607357,17890963,18173664,18455292,18735669,19014623,19291993,19567627,19841382,20113110,20382663,20649883,20914607,21176665,21435877,21692058
Croatia,2015901,2027931,2040641,2053148,2064825,2075300,2084466,2092472,2099681,2106611,2113747,2121335,2129210,2136720,2142941,2147300,2149480,2149959,2149933,2151057,2154511,2160712,2169285,2179636,2190816,2202100,2213300,2224542,2235765,2246971,2258120,2269365,2280579,2291151,2300274,2307500,2311934,2313976,2315998,2321264,2331800,2349125,2371712,2394862,2412044,2418775,2413171,2397225,2375090,2352876,2335046,2322886,2315143,2310675,2307431,2303884,2299936,2296148,2292387,2288572,2284632,2280443,2275913,2271060,2265950,2260630,2255081,2249265,2243198,2236903,2230398,2223688,2216772,2209652,2202330,2194810,2187099,2179202,2171116,2162834,2154354,2145680,2136825,2127810,2118658,2109392,2100023,2090558,2081013,2071405,2061747,2052049,2042317,2032556,2022767,2012954,2003118,1993261,1983386,1973496,1963593
Cuba,2862868,2929203,2995072,3059327,3121426,3181434,3240060,3298620,3358918,3423043,3492783,3568982,3650988,3736418,3821828,3904695,3983793,4059674,4133702,4208057,4284066,4362339,4441573,4518907,4590447,4653476,4707279,4752955,4791909,4826341,4858152,4887190,4913737,4940655,4971547,5008798,5053818,5105485,5160478,5213986,5262468,5304811,5341866,5374430,5404013,5431714,5457620,5481224,5502385,5520861,5536523,5549448,5559888,5568109,5574455,5579246,5582559,5584566,5585798,5586895,5588315,5590346,5592903,5595591,5597798,5599086,5599259,5598469,5597036,5595434,5593952,5592688,5591361,5589432,5586155,5580978,5573696,5564390,5553139,5540132,5525509,5509247,5491278,5471654,5450445,5427704,5403455,5377698,5350441,5321683,5291425,5259670,5226426,5191698,5155490,5117804,5078633,5037966,4995787,4952072,4906792
Cyprus,250380,254832,258642,262317,266191,270430,275016,279761,284333,288305,291298,293132,293960,294324,294997,296501,299095,302528,306200,309243,311054,311469,310760,309305,307668,306295,305238,304458,304200,304736,306237,308875,312561,316878,321233,325204,328640,331688,334590,337720,341354,345526,350143,355200,360663,366489,372681,379203,385922,392662,399285,405753,412053,418104,423820,429150,434042,438528,442747,446895,451120,455467,459908,464423,468965,473498,478025,482561,487093,491606,496085,500524,504917,509249,513507,517679,521760,525746,529627,533396,537047,540577,543990,547298,550517,553660,556732,559735,562685,565596,568480,571344,574188,577012,579809,582578,585315,588020,590692,593332,595944
Czech Rep.,4587868,4626602,4665597,4703935,4740888,4775908,4808642,4838921,4866743,4892247,4915622,4937016,4956454,4973804,4988875,5001708,5012083,5020563,5028919,5039482,5053886,5072575,5094955,5120278,5147332,5175016,5203437,5232289,5259538,5282605,5299721,5310004,5314108,5313736,5311439,5309151,5307212,5305256,5303658,5302694,5302478,5303555,5305800,5307811,5307642,5303990,5296511,5285955,5273481,5260775,5249211,5238835,5229693,5223128,5220759,5223591,5232339,5246329,5263425,5280608,5295648,5307751,5317368,5325035,5331771,5338304,5344631,5350348,5355331,5359391,5362384,5364314,5365218,5365021,5363641,5361038,5357220,5352272,5346331,5339581,5332191,5324239,5315813,5307116,5298379,5289792,5281442,5273374,5265685,5258460,5251749,5245562,5239868,5234601,5229675,5224982,5220403,5215804,5211039,5205950,5200365
