"TC female (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Azerbaijan,5.29858,5.280361,5.263715,5.248868,5.233739,5.216716,5.20219,5.183075,5.161654,5.138941,5.108895,5.077096,5.035033,4.983414,4.929545,4.875052,4.823128,4.779762,4.744977,4.71608,4.692858,4.673597,4.660952,4.651993,4.646817,4.646385,4.649168,4.653714,4.658935
Bahamas,5.426158,5.418678,5.41445,5.40982,5.406363,5.402328,5.396278,5.390994,5.382087,5.37197,5.359226,5.345666,5.326189,5.307321,5.291218,5.271214,5.254814,5.242755,5.232491,5.226071,5.221022,5.217121,5.216408,5.215392,5.212137,5.202462,5.192712,5.183717,5.175306
Bahrain,5.318111,5.313195,5.305983,5.29886,5.289261,5.278962,5.268357,5.26087,5.254398,5.248654,5.244901,5.242053,5.240903,5.243721,5.242527,5.241039,5.238399,5.234539,5.229704,5.224714,5.219625,5.21207,5.204952,5.196209,5.186512,5.179077,5.171049,5.163968,5.156511
Bangladesh,4.551037,4.542809,4.533927,4.525936,4.518253,4.510077,4.502429,4.494515,4.487429,4.480942,4.473834,4.466391,4.459786,4.454966,4.449455,4.44308,4.437469,4.433203,4.42816,4.42123,4.414662,4.40772,4.400593,4.393642,4.386086,4.37964,4.374243,4.368332,4.363176
Barbados,5.285186,5.269979,5.252629,5.232191,5.213875,5.193865,5.175417,5.158513,5.142068,5.12783,5.112286,5.094209,5.0752,5.055556,5.040084,5.025323,5.011347,4.999751,4.987413,4.981601,4.972604,4.962769,4.953912,4.945288,4.939538,4.935258,4.93212,4.931244,4.929726
Belarus,5.518262,5.50745,5.498449,5.487227,5.475089,5.462513,5.450018,5.437227,5.427719,5.417422,5.407096,5.397327,5.382031,5.364153,5.340397,5.310483,5.284832,5.260314,5.238962,5.214846,5.190933,5.168609,5.147683,5.128998,5.111413,5.099868,5.090336,5.081278,5.073228
Belgium,6.044536,6.019545,5.995468,5.971862,5.948186,5.927098,5.904447,5.881713,5.855145,5.827682,5.799949,5.772992,5.743661,5.713521,5.683332,5.652542,5.619701,5.587986,5.562012,5.536061,5.507556,5.481139,5.454941,5.428411,5.405115,5.382858,5.364149,5.347297,5.331377
Belize,5.023537,5.013271,5.001259,4.988504,4.972421,4.951957,4.931409,4.910819,4.89263,4.873088,4.857965,4.842716,4.83157,4.82227,4.815532,4.80922,4.800227,4.793414,4.784284,4.77442,4.766782,4.760534,4.756145,4.750279,4.74289,4.7369,4.731496,4.72557,4.720925
Benin,4.649048,4.63426,4.619913,4.604692,4.588299,4.573174,4.555992,4.538293,4.519669,4.496382,4.472061,4.448583,4.426016,4.406384,4.387709,4.369651,4.353871,4.341058,4.330503,4.321316,4.312297,4.304882,4.29748,4.289609,4.281007,4.271138,4.259993,4.248518,4.237692
Bermuda,5.772248,5.759177,5.744226,5.730909,5.712472,5.697047,5.678274,5.657871,5.643103,5.625721,5.605237,5.582963,5.562964,5.545907,5.527087,5.50491,5.488052,5.476046,5.464753,5.452248,5.442451,5.433736,5.426705,5.417621,5.409135,5.404844,5.404661,5.407623,5.410288
Bhutan,4.469824,4.467023,4.464695,4.463451,4.463343,4.461497,4.460766,4.463972,4.46642,4.468971,4.471336,4.473093,4.475469,4.477318,4.478138,4.480317,4.483311,4.486481,4.490214,4.494447,4.498158,4.500732,4.502559,4.504019,4.50389,4.50457,4.503817,4.505529,4.508232
Bolivia,4.935246,4.929559,4.920327,4.90916,4.893858,4.875533,4.85596,4.838151,4.82346,4.809447,4.797897,4.787306,4.777373,4.770689,4.76834,4.765741,4.764522,4.762611,4.761653,4.759026,4.755477,4.751089,4.745852,4.74073,4.735719,4.732195,4.726696,4.719392,4.712041
Bosnia and Herzegovina,5.030758,5.027349,5.023669,5.019967,5.016974,5.014965,5.009094,4.997395,4.98265,4.962112,4.939198,4.904899,4.860689,4.808685,4.762538,4.73061,4.718254,4.717405,4.722496,4.729199,4.741033,4.75182,4.759707,4.76126,4.761479,4.759154,4.755244,4.753779,4.751782
Botswana,4.814192,4.801083,4.790154,4.780708,4.77824,4.771249,4.763123,4.756641,4.752545,4.752637,4.758836,4.763462,4.769041,4.768613,4.760496,4.754957,4.747388,4.741229,4.73566,4.728593,4.726109,4.724194,4.72277,4.720942,4.723186,4.726917,4.731214,4.733507,4.734947
Brazil,4.911819,4.90656,4.898178,4.886415,4.875473,4.866471,4.862861,4.859732,4.855181,4.85289,4.84962,4.848842,4.851197,4.854406,4.860731,4.872118,4.879617,4.887236,4.893351,4.896672,4.899859,4.900247,4.899372,4.895264,4.892353,4.886798,4.881494,4.877571,4.874394
British Virgin Islands,4.998782,4.990748,4.98238,4.97428,4.966209,4.955352,4.942116,4.934093,4.928299,4.922816,4.925462,4.936468,4.954836,4.978973,5.009099,5.04298,5.071925,5.09823,5.118622,5.136497,5.152739,5.16358,5.169176,5.166862,5.165054,5.163869,5.162077,5.163072,5.165878
Brunei,5.524291,5.497205,5.470961,5.443097,5.414485,5.383049,5.349353,5.321362,5.293861,5.264262,5.239702,5.218402,5.194949,5.175183,5.16581,5.153277,5.144713,5.136833,5.134566,5.135987,5.136055,5.135946,5.14031,5.147237,5.158635,5.16791,5.180832,5.197473,5.213619
Bulgaria,5.346442,5.351418,5.355049,5.357915,5.362199,5.364196,5.363844,5.361822,5.360166,5.356022,5.340821,5.321753,5.300591,5.280645,5.257398,5.23623,5.211169,5.18527,5.165287,5.145244,5.128668,5.113754,5.095784,5.077985,5.06569,5.056196,5.050828,5.046025,5.041766
Burkina Faso,4.467825,4.454276,4.438799,4.424097,4.408778,4.393491,4.37535,4.356552,4.339403,4.319756,4.298945,4.279131,4.258845,4.238847,4.21858,4.200954,4.186131,4.173717,4.162955,4.152935,4.143953,4.135461,4.127278,4.119854,4.111553,4.102558,4.093094,4.083321,4.073596
Burundi,4.371062,4.363328,4.355706,4.348908,4.344169,4.335966,4.32692,4.317914,4.311349,4.307698,4.300288,4.293332,4.286689,4.277637,4.267838,4.256046,4.239486,4.224771,4.212093,4.202181,4.19131,4.179708,4.170466,4.161726,4.154893,4.146736,4.141716,4.136588,4.131609
Cambodia,4.434474,4.421405,4.41106,4.401493,4.394217,4.389247,4.384841,4.378086,4.374012,4.371032,4.365937,4.362154,4.360776,4.360468,4.361298,4.362744,4.368744,4.376575,4.384518,4.396192,4.409806,4.427278,4.443956,4.460897,4.478246,4.496943,4.515828,4.535217,4.554549
Cameroon,4.661961,4.657167,4.654301,4.6515,4.650291,4.649232,4.646423,4.640606,4.629687,4.61381,4.595673,4.574082,4.548398,4.522669,4.496038,4.470838,4.447777,4.428366,4.411922,4.396384,4.382805,4.370724,4.359665,4.348895,4.338167,4.326,4.313632,4.301928,4.289969
Canada,5.64704,5.627725,5.604993,5.584798,5.564659,5.546351,5.526585,5.507387,5.492499,5.480365,5.466825,5.450235,5.434269,5.417213,5.401991,5.387396,5.368937,5.348473,5.331397,5.314191,5.297493,5.280686,5.263165,5.243817,5.225732,5.205277,5.184682,5.163012,5.141006
Cape Verde,4.592217,4.584188,4.580356,4.575569,4.570581,4.568031,4.562066,4.549069,4.540496,4.533098,4.530441,4.52809,4.525772,4.522188,4.514182,4.511948,4.502096,4.494375,4.486084,4.477729,4.468367,4.457129,4.441919,4.4239,4.405647,4.386738,4.370449,4.354957,4.338017
Central African Rep.,4.645996,4.630384,4.615584,4.59946,4.585611,4.572466,4.559372,4.5447,4.531023,4.517,4.503155,4.487482,4.46689,4.447254,4.429588,4.414158,4.398651,4.385038,4.372105,4.36155,4.353144,4.344323,4.334562,4.322562,4.310398,4.29739,4.284446,4.271604,4.259079
Chad,4.533818,4.509573,4.486235,4.467058,4.447294,4.432779,4.418835,4.403165,4.389605,4.37782,4.363346,4.347785,4.332196,4.314695,4.292361,4.273886,4.254926,4.236996,4.218578,4.201015,4.183005,4.164471,4.14814,4.135836,4.131128,4.126246,4.119222,4.110656,4.099921
Chile,5.113205,5.115374,5.111425,5.10581,5.100949,5.09803,5.095227,5.094372,5.096025,5.101494,5.105872,5.109351,5.117034,5.125626,5.132082,5.13661,5.138577,5.139057,5.136405,5.128223,5.118079,5.104337,5.088821,5.073647,5.056951,5.041081,5.026594,5.01407,5.000559
China,4.310562,4.29581,4.281903,4.268712,4.259321,4.253347,4.250126,4.249247,4.250392,4.249612,4.248155,4.250303,4.256275,4.265924,4.280843,4.299328,4.316738,4.336982,4.357621,4.379567,4.40222,4.426363,4.451926,4.479529,4.506328,4.532025,4.558269,4.584919,4.611427
Colombia,4.902405,4.913582,4.923564,4.931586,4.940312,4.949091,4.958349,4.966765,4.977482,4.988587,5.000924,5.012661,5.021848,5.032104,5.043376,5.054674,5.062048,5.065555,5.066082,5.060476,5.050139,5.035693,5.016418,4.993697,4.969393,4.944667,4.920319,4.895363,4.870046
Comoros,4.654145,4.637851,4.623058,4.609936,4.596557,4.584496,4.572086,4.560256,4.549074,4.537962,4.52627,4.51358,4.501265,4.490265,4.478479,4.466659,4.453618,4.441691,4.429825,4.4175,4.404234,4.39128,4.379765,4.36931,4.360844,4.351647,4.341578,4.33121,4.321585
"Congo, Dem. Rep.",4.572168,4.548282,4.522554,4.498492,4.476442,4.45579,4.43687,4.418651,4.399713,4.379817,4.35953,4.336432,4.308983,4.277963,4.247466,4.220706,4.195812,4.172602,4.151576,4.130274,4.10889,4.088924,4.071017,4.057787,4.045317,4.034626,4.025156,4.017352,4.011244
"Congo, Rep.",4.830367,4.827327,4.826938,4.825648,4.82498,4.820127,4.809713,4.796853,4.782785,4.766718,4.750256,4.733904,4.717709,4.701888,4.682388,4.665304,4.650446,4.633415,4.618768,4.597068,4.57942,4.562726,4.54941,4.538704,4.531327,4.524731,4.520653,4.515847,4.511696
Cook Islands,4.980266,4.989748,5.00424,5.014354,5.025586,5.035245,5.044264,5.049938,5.054746,5.056913,5.060067,5.063479,5.069055,5.074693,5.082699,5.087468,5.092794,5.099096,5.107107,5.117147,5.133471,5.15134,5.169964,5.191923,5.211764,5.230467,5.247538,5.263947,5.27983
Costa Rica,4.992588,4.981736,4.964643,4.946914,4.930188,4.916341,4.902516,4.88966,4.880047,4.869414,4.863444,4.859147,4.858693,4.861296,4.863525,4.865342,4.867548,4.869809,4.872818,4.877797,4.881736,4.8833,4.884666,4.886313,4.888403,4.889132,4.891814,4.896852,4.900936
Cote d'Ivoire,4.772544,4.756196,4.738784,4.717702,4.69521,4.674176,4.65238,4.630681,4.608419,4.586721,4.563344,4.539104,4.515863,4.491401,4.46886,4.448246,4.42962,4.412782,4.398291,4.385179,4.3707,4.355741,4.340296,4.323996,4.306887,4.289642,4.271703,4.254865,4.238761
Croatia,5.433768,5.4268,5.4187,5.409056,5.400834,5.3901,5.381289,5.371861,5.361259,5.350347,5.337576,5.31576,5.290474,5.258689,5.230135,5.206851,5.183589,5.165732,5.146675,5.128931,5.115876,5.103865,5.093568,5.082709,5.072822,5.06143,5.047637,5.038908,5.028399
Cuba,5.049574,5.044839,5.04109,5.036457,5.028769,5.025013,5.019152,5.010026,5.001467,4.992412,4.980732,4.961639,4.931921,4.900571,4.870021,4.84146,4.815575,4.791762,4.770333,4.751761,4.735694,4.720276,4.708419,4.693908,4.682396,4.673762,4.668625,4.666094,4.665411
Cyprus,5.505975,5.494784,5.485176,5.475544,5.470541,5.466545,5.456806,5.449573,5.444399,5.437357,5.430728,5.417898,5.405643,5.394067,5.384682,5.371676,5.357957,5.33981,5.322976,5.304087,5.288535,5.274827,5.262508,5.250771,5.23947,5.226943,5.213541,5.203176,5.194153
Czech Rep.,5.863241,5.87034,5.877629,5.881869,5.88483,5.884333,5.878963,5.870668,5.863342,5.852825,5.840049,5.819773,5.798144,5.773398,5.739336,5.704596,5.667149,5.626301,5.584563,5.542252,5.496851,5.450914,5.400682,5.348551,5.300299,5.250761,5.210151,5.165269,5.124601
Denmark,5.95384,5.928647,5.900701,5.873402,5.844864,5.821393,5.798243,5.774426,5.753813,5.730875,5.706872,5.681148,5.660135,5.63819,5.618342,5.602067,5.583302,5.563388,5.544982,5.526057,5.508727,5.493753,5.479227,5.463987,5.452281,5.443184,5.435335,5.43172,5.425409
Djibouti,5.082273,5.067085,5.050215,5.033027,5.017031,5.000921,4.985636,4.969414,4.950514,4.929905,4.908373,4.885159,4.864699,4.845766,4.826196,4.809397,4.791929,4.774453,4.75699,4.741482,4.73104,4.718522,4.707457,4.695923,4.68418,4.674593,4.667772,4.662036,4.657867
Dominica,4.948782,4.937655,4.930726,4.920153,4.909251,4.896614,4.885375,4.876776,4.868135,4.860367,4.858509,4.858777,4.859287,4.859247,4.860057,4.860425,4.860623,4.862815,4.863225,4.864109,4.864862,4.866296,4.865453,4.863098,4.865623,4.865842,4.869143,4.872386,4.875625
Dominican Rep.,4.84712,4.827332,4.807117,4.786439,4.76278,4.73615,4.708453,4.682939,4.657721,4.634828,4.610247,4.588505,4.573661,4.561423,4.551616,4.546176,4.544803,4.546958,4.553928,4.562204,4.575256,4.586514,4.599182,4.607216,4.615993,4.629347,4.644681,4.661768,4.678949
Ecuador,4.991381,4.988615,4.982638,4.974646,4.965708,4.957344,4.948028,4.934029,4.920741,4.906005,4.896392,4.890413,4.884852,4.879341,4.872803,4.870825,4.870387,4.869901,4.867578,4.860041,4.851657,4.844498,4.837632,4.833074,4.828525,4.822969,4.819825,4.818346,4.817482
Egypt,4.784036,4.782956,4.781855,4.781833,4.782208,4.7821,4.780767,4.77772,4.776081,4.775405,4.77467,4.773787,4.773703,4.774454,4.776648,4.779559,4.784351,4.790512,4.798882,4.809398,4.820346,4.829552,4.839036,4.850521,4.861575,4.873095,4.886003,4.901121,4.916249
El Salvador,4.86202,4.844848,4.825694,4.805672,4.787961,4.770896,4.754962,4.741223,4.728538,4.715857,4.705028,4.695082,4.688873,4.685843,4.685367,4.687292,4.690118,4.694391,4.698827,4.704507,4.707489,4.708814,4.708999,4.708933,4.707759,4.707835,4.707755,4.708463,4.708749
Equatorial Guinea,4.752085,4.739148,4.724202,4.70772,4.693336,4.675004,4.655819,4.637473,4.62103,4.604866,4.590777,4.575962,4.564667,4.554098,4.542243,4.535065,4.534942,4.553453,4.573812,4.601125,4.627832,4.662335,4.695409,4.724547,4.754615,4.778319,4.793373,4.806654,4.816642
Eritrea,4.367848,4.354016,4.339784,4.324292,4.313335,4.304253,4.296021,4.28594,4.275587,4.266816,4.257255,4.24904,4.24451,4.246447,4.250525,4.254394,4.259692,4.26493,4.269728,4.272125,4.267044,4.260805,4.252667,4.241344,4.228307,4.215048,4.200634,4.186578,4.172728
Estonia,5.704945,5.693291,5.681064,5.668387,5.655577,5.639883,5.625298,5.613872,5.601817,5.592854,5.583154,5.571601,5.554355,5.525712,5.493182,5.457117,5.422842,5.389256,5.364156,5.348874,5.325749,5.307404,5.296804,5.287083,5.281899,5.272075,5.261121,5.247849,5.231714
Ethiopia,4.437744,4.420622,4.402953,4.386337,4.371692,4.356684,4.344306,4.329718,4.317785,4.306009,4.295442,4.280646,4.26859,4.260596,4.252571,4.244308,4.238318,4.23259,4.225717,4.220601,4.214802,4.209183,4.203238,4.194213,4.1871,4.181962,4.179801,4.179029,4.18069
Fiji,4.862932,4.866302,4.863857,4.856,4.851095,4.846135,4.844477,4.84186,4.839373,4.840023,4.84979,4.859564,4.872117,4.884231,4.895275,4.90879,4.922778,4.934863,4.946069,4.959865,4.971314,4.982904,4.99216,5.001532,5.009265,5.015222,5.022319,5.024025,5.025619
Finland,6.169441,6.13349,6.099554,6.064255,6.028975,5.992427,5.957512,5.922584,5.886892,5.851787,5.814637,5.774382,5.733651,5.694083,5.656681,5.62369,5.591835,5.560634,5.534993,5.507517,5.482406,5.458958,5.436867,5.415577,5.395994,5.378825,5.36479,5.353984,5.343074
France,5.96514,5.94552,5.921979,5.897187,5.872845,5.848204,5.823083,5.79933,5.774932,5.749716,5.722333,5.696289,5.671289,5.643927,5.617784,5.592029,5.566612,5.542596,5.520172,5.499046,5.477533,5.457287,5.43699,5.418466,5.398816,5.379347,5.359287,5.343822,5.327744
French Polynesia,5.34784,5.340982,5.335834,5.331799,5.327661,5.323136,5.321676,5.319681,5.32745,5.327994,5.328963,5.337695,5.347642,5.355484,5.356553,5.3638,5.362359,5.361389,5.363209,5.370216,5.374826,5.383376,5.391885,5.40112,5.410689,5.417491,5.422648,5.428352,5.433773
Gabon,5.243262,5.238683,5.231181,5.219668,5.210486,5.202704,5.189129,5.171569,5.154851,5.136575,5.113883,5.092981,5.075668,5.062779,5.046722,5.033267,5.019411,5.008352,5.000257,4.988008,4.973936,4.960975,4.942365,4.928288,4.91857,4.910431,4.903803,4.899582,4.895504
Gambia,4.639838,4.62482,4.609226,4.592911,4.575936,4.554033,4.533454,4.514455,4.496756,4.48156,4.465898,4.45081,4.43447,4.420627,4.407145,4.392233,4.37867,4.365498,4.353096,4.342121,4.330094,4.317539,4.303299,4.290463,4.278711,4.266257,4.254766,4.243135,4.231126
Georgia,5.37888,5.363848,5.346939,5.333461,5.318141,5.302382,5.284323,5.264421,5.242682,5.21836,5.189846,5.149432,5.092116,5.029236,4.966557,4.910934,4.861498,4.821821,4.787952,4.761588,4.740535,4.725316,4.71538,4.710706,4.711124,4.713325,4.710835,4.708692,4.706504
Germany,5.756178,5.766626,5.774806,5.783105,5.791731,5.801886,5.811084,5.819685,5.826151,5.828886,5.83019,5.831347,5.829561,5.821941,5.810994,5.796697,5.777919,5.757029,5.732783,5.704037,5.669543,5.632502,5.593814,5.556124,5.515143,5.475297,5.437332,5.402132,5.368319
Ghana,4.620298,4.600039,4.5794,4.556252,4.531152,4.506428,4.484772,4.46381,4.444309,4.426739,4.411852,4.393683,4.377702,4.360306,4.342517,4.326418,4.311335,4.296457,4.283682,4.271418,4.261094,4.249926,4.238891,4.227223,4.215984,4.204599,4.192741,4.181741,4.171232
Greece,5.559168,5.532308,5.506292,5.48048,5.454107,5.42924,5.40356,5.375745,5.344535,5.315839,5.28564,5.252872,5.222086,5.191204,5.161042,5.131718,5.101518,5.075457,5.052557,5.029555,5.009272,4.988591,4.970351,4.957328,4.94515,4.936575,4.933342,4.930493,4.927866
Greenland,6.033234,6.010323,5.983772,5.957185,5.929106,5.898863,5.873254,5.843881,5.819223,5.796,5.768828,5.744596,5.71678,5.693911,5.672281,5.655313,5.64009,5.62918,5.62136,5.614774,5.613848,5.616286,5.618275,5.62181,5.627749,5.639632,5.649509,5.661782,5.674375
Grenada,4.859242,4.848369,4.839641,4.830697,4.822381,4.8194,4.816677,4.811305,4.805001,4.794686,4.787489,4.780961,4.770522,4.760567,4.753396,4.74566,4.741099,4.737189,4.736602,4.735863,4.736209,4.734993,4.733323,4.732305,4.727216,4.728217,4.723121,4.717454,4.712835
Guatemala,4.837489,4.819174,4.801043,4.781827,4.764004,4.742092,4.718355,4.694755,4.673581,4.655949,4.638157,4.621821,4.607519,4.595328,4.585901,4.579998,4.576034,4.573514,4.571654,4.569953,4.567783,4.564531,4.56032,4.555697,4.551668,4.548302,4.54436,4.541466,4.538709
Guinea,4.56187,4.544666,4.528068,4.509878,4.488987,4.46786,4.447126,4.42703,4.407735,4.389214,4.37082,4.352712,4.335318,4.318781,4.302008,4.287741,4.274813,4.263956,4.255785,4.247243,4.238364,4.230681,4.222444,4.213609,4.203488,4.192489,4.18072,4.168304,4.156562
Guinea-Bissau,4.544684,4.525351,4.505808,4.485572,4.466447,4.443532,4.42366,4.403528,4.385139,4.367765,4.352022,4.33531,4.315646,4.301538,4.287315,4.273347,4.262404,4.252933,4.233184,4.216053,4.20438,4.18906,4.170127,4.151214,4.132863,4.114711,4.097238,4.079627,4.062788
Guyana,4.733626,4.717722,4.693812,4.667014,4.637682,4.609266,4.582074,4.561017,4.540589,4.518282,4.496922,4.479983,4.469948,4.46513,4.462945,4.462552,4.464516,4.465707,4.464524,4.466799,4.460647,4.451708,4.443061,4.434494,4.428706,4.415402,4.402798,4.393697,4.385923
Haiti,4.647053,4.633658,4.61859,4.601869,4.585688,4.569626,4.552728,4.534758,4.518873,4.50215,4.486083,4.471172,4.453573,4.438983,4.423088,4.411557,4.401577,4.3926,4.385739,4.381164,4.377606,4.375721,4.373766,4.371796,4.36798,4.364746,4.362362,4.358541,4.355793
Honduras,4.754377,4.746202,4.73503,4.720004,4.705435,4.690622,4.674873,4.661914,4.649783,4.638553,4.62824,4.618949,4.612633,4.608056,4.603602,4.600821,4.60043,4.601152,4.602036,4.599785,4.598411,4.596886,4.593344,4.589252,4.584901,4.581987,4.578696,4.575903,4.573563
"Hong Kong, China",5.063512,5.051106,5.036519,5.022005,5.009091,4.99391,4.983302,4.976186,4.971901,4.969167,4.969681,4.9737,4.981984,4.99295,5.005693,5.019842,5.033357,5.045836,5.054269,5.063939,5.075382,5.086861,5.09899,5.111573,5.126351,5.141865,5.158202,5.174943,5.19213
Hungary,5.288243,5.286199,5.283822,5.281924,5.279604,5.277495,5.275687,5.277925,5.280279,5.284496,5.284817,5.277249,5.26777,5.258267,5.248709,5.235338,5.222523,5.211636,5.204206,5.199829,5.195011,5.190834,5.189877,5.185206,5.182679,5.181222,5.178779,5.17682,5.174799
Iceland,6.192408,6.186453,6.174471,6.158578,6.138687,6.120618,6.103593,6.080244,6.050312,6.019023,5.986264,5.951128,5.915153,5.880124,5.848598,5.815809,5.783092,5.755936,5.732768,5.711703,5.693228,5.672704,5.658249,5.64412,5.631419,5.618806,5.607713,5.595053,5.581013
India,4.560934,4.558303,4.55688,4.55376,4.551087,4.549439,4.546938,4.544048,4.541286,4.538055,4.537804,4.534446,4.531473,4.52965,4.527978,4.526616,4.525908,4.526769,4.532146,4.538857,4.544838,4.548386,4.547826,4.542392,4.53411,4.522772,4.509188,4.495566,4.481642
Indonesia,4.610601,4.603149,4.592857,4.582347,4.573296,4.563523,4.555295,4.547854,4.541106,4.536953,4.537129,4.539643,4.543749,4.549629,4.556949,4.563851,4.573209,4.58401,4.588725,4.593513,4.601391,4.611187,4.622888,4.636157,4.64926,4.662734,4.676211,4.692108,4.709015
Iran,5.01665,5.008097,5.00144,4.9983,4.997507,4.996542,4.99217,4.989436,4.987314,4.988693,4.996334,5.009234,5.024989,5.042145,5.062345,5.084748,5.109506,5.132235,5.155493,5.174856,5.192589,5.205564,5.216626,5.224165,5.234548,5.242192,5.249713,5.256221,5.260951
Iraq,5.07457,5.070847,5.065513,5.058887,5.049881,5.039415,5.029418,5.024196,5.013511,5.00168,4.991954,4.952689,4.925818,4.909045,4.895968,4.879797,4.875649,4.866798,4.870895,4.882521,4.893442,4.906344,4.916117,4.909537,4.905504,4.900815,4.897268,4.894618,4.892206
Ireland,5.883204,5.861646,5.833674,5.804495,5.774908,5.744878,5.71361,5.686274,5.659186,5.628118,5.597633,5.576609,5.557742,5.535509,5.511688,5.495493,5.480169,5.47234,5.466029,5.459034,5.448673,5.440856,5.426795,5.409746,5.394321,5.376598,5.354305,5.337087,5.319608
Israel,5.854826,5.835152,5.8151,5.795148,5.77804,5.759034,5.73552,5.712371,5.689703,5.662344,5.633704,5.607123,5.578959,5.550949,5.5258,5.499182,5.469579,5.440852,5.413594,5.383962,5.358627,5.331592,5.303616,5.276589,5.250074,5.224475,5.202621,5.182984,5.164751
Italy,5.579841,5.552813,5.525611,5.500453,5.476713,5.456162,5.435946,5.418955,5.404399,5.392284,5.382739,5.37309,5.36469,5.357202,5.348053,5.336587,5.324157,5.310815,5.298429,5.286592,5.27752,5.272706,5.27189,5.276013,5.282746,5.294464,5.310712,5.332751,5.355439
Jamaica,4.988199,4.964037,4.94229,4.921564,4.898669,4.875379,4.856609,4.84423,4.833159,4.823043,4.814772,4.809366,4.803069,4.797539,4.790687,4.782938,4.776977,4.771981,4.766605,4.759877,4.75382,4.747119,4.742052,4.735116,4.727176,4.719429,4.709013,4.702639,4.695536
Japan,4.82484,4.850195,4.875992,4.901685,4.927873,4.956102,4.985905,5.018723,5.053302,5.085572,5.11578,5.142138,5.164545,5.184222,5.199221,5.20914,5.215034,5.21554,5.211862,5.20761,5.203589,5.199591,5.197184,5.196423,5.194895,5.193027,5.192247,5.192832,5.192402
Jordan,4.990324,5.025064,5.060003,5.091967,5.125875,5.158445,5.189564,5.215688,5.237792,5.249754,5.258169,5.267205,5.276475,5.289891,5.298013,5.30073,5.298571,5.29432,5.286531,5.275599,5.26052,5.240538,5.21362,5.184653,5.156294,5.123642,5.091582,5.060977,5.029216
