"Motor vehicles (not 2-wheelers) per 1,000 population",2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,22.8095391
Albania,73,,85,87.475235,97.3180695,102.2124108
Algeria,,88,89,91,,
Angola,,,,,,39.5936602
Argentina,,,,,,313.8936467
Armenia,,,,,,104.8394736
Australia,,644,653,671,,653.3190578
Austria,588,595,599,,551.6370239,556.4990228
Azerbaijan,58,61,66,61,,
Bahamas,,,,,,81.7116627
Bahrain,382,383,,,,481.888735
Bangladesh,,,,,2.05,2.2600447
Barbados,337,377,375,,,405.9202156
Belarus,,,,,,282.2545609
Belgium,526,524,529,,534.7490234,539.4459659
Belize,155,162,,,,178.3769914
Benin,,,,,,20.6173365
Bhutan,17,,,,,38.2880692
Bolivia,,45,49,,,68.3654584
Bosnia and Herzegovina,,,,,,169.9750779
Botswana,85,96,105,113,,113.4853665
Brazil,,164,170,,,198.2120283
Brunei,,,,,,696.0644518
Bulgaria,325,338,360,,,295.1350459
Burkina Faso,,,,,,10.7583652
Burundi,,,,,,5.6713915
Canada,582,582,,,,597.1645136
Cape Verde,,,,,,93.9624229
Central African Republic,,,,,,0.2955009
Chad,,,,,5.8417039,
Chile,135,135,,149.8381348,157.229248,163.9410203
China,13,15,21,24,28.0459995,32.2386297
Colombia,,,,59,,65.6441903
Comoros,,,,,,33.4733693
"Congo, Dem. Rep.",,,,,,4.9965525
"Congo, Rep.",,,,,,25.7516358
Costa Rica,146,190,198,,,151.7883695
Croatia,313,356,337,349,365.9979858,377.1144698
Cuba,,,,,,38.0269671
Cyprus,506,521,553,742,,622.1396955
Czech Republic,394,,,,,469.8707974
Denmark,424,,430,437,,465.6903548
Dominican Republic,111,105,110,115,,122.6455748
Ecuador,,54,55,61.0444641,66.3956451,63.1109825
El Salvador,,,,,,83.7397644
Eritrea,,,,,,11.3107533
Estonia,358,427,459,477,,444.3627056
Ethiopia,2,2,,,,2.9958061
Fiji,,,,,,173.3295137
Finland,,497,515,531,542.0300293,558.8993178
France,593,594,595,596,598.0800171,600.4660211
Gambia,8,8,7,,,7.2810173
Georgia,70,71,,,,116.0827065
Germany,576,576,580,585,597.7800293,623.0598601
Ghana,19,21,,,17.8799992,32.9587666
Greece,435,453,476,497,521.6069946,112.2044075
Guatemala,,,,,,116.7305279
Guinea-Bissau,1,,,,,32.9011594
Guyana,,,,,,95.4371481
Honduras,,,,,,96.8985763
"Hong Kong, China",,72,72,,70.4000015,72.4253693
Hungary,300,316,,,373.9700012,383.8546741
Iceland,638,656,685,724,,773.4833455
India,11,12,,,,
Indonesia,109,,,,,75.7700484
Iran,,,,,,15.555461
Ireland,436,447,,,,536.8793821
Israel,286,285,288,293,,304.8461721
Italy,653,,,667,,677.2921686
Jamaica,,,,,187.970993,
Japan,582,581,586,,,595.00316
Jordan,,100,106,115,127.0810013,137.216803
Kazakhstan,90,96,100,116,139,169.5726612
Kenya,17,17,18,,,21.1387323
Kiribati,,,,,,144.1635511
Kuwait,,397,422,,,502.2573326
Kyrgyz Republic,,,,,,59.1201192
Lao,57,,,,,20.7862894
