Adult (15+) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tunisia,,,,,,,,,,60.40723449,,,,,,,,,,70.21365,,,,,,,,,,83.38509317,,,86.05368387,86.3758145,,87.37572539,
Turkey,77.5039425,,,,,81.4494438,,,,,87.61971921,,,,,89.8470344,,,,,,,,,,,,,,95.27349115,96.00062066,95.99562449,96.20185596,,96.37771047,97.29981085,97.93499317
Turkmenistan,,,,,,,,,,,,,,,,,,,,,99.32498237,,,,,,,,,,,,,,,,99.7295
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,68.19809106,,,,,,,,,,,78.30401941,,,,81.38858694,,,,82.63139187,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.74343024,,,,,,,,,,99.7897
United Arab Emirates,58.38611399,,,,,,,,,,72.27427947,,,,,,,,,,,,,,,,,,,,89.48210278,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,93.38826162,,,,,,,,,,94.83361403,,,,,,,,,,,96.24452667,,,,,,,,,,97.44478205,97.42169155,97.83127893,97.57673667,97.61017498,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.1644385,,,,,,,,,,,99.64042
Vanuatu,,,,,57.33510294,,,,,,,,,,,,,,,71.33687,,,,,,,,,,80.14155,,,,,,,84.85128
Venezuela,,,,,,,86.48933382,,,,,,,,,90.6725154,,,,,,,,,,,93.25745438,,,,,,95.38173297,,95.67536715,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,92.24350733,,,,,,,96.54279113,,97.07988955,97.23721366,97.14400745,97.43125438,97.62901638,97.85699571
Vietnam,,,,,90.38147353,,,,,,,,,,93.00298834,,,,,,,,,,93.91826229,93.93268379,,,,,,,,,,,95.42221
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,56.72474993,,,,,,,,,,74.26101,,,,,,,82.12338
Zambia,,,,,,,,,,,,,,,,73.03733927,,,,,,,,,76.25402273,,,80.91286307,,,,,71.94743704,,,,
Zimbabwe,,,,,,,,84.17462557,,,,,,,,,,88.89338366,,,,,,,,,,,,,,,,,,,87.76480694
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
