One-year-olds immunized with three doses of diphtheria tetanus toxoid and pertussis (DTP3) (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Rep.",42,42,47,50,53,54,71,72,72,79,79,74,67,60,55,50,37,23,26,29,33,31,41,50,67,65,79,80,89,91,90,90
Cook Is,40,46,51,57,48,78,87,83,94,89,93,87,87,99,86,93,75,93,93,92,92,90,97,96,99,99,99,99,99,82,99,93
Costa Rica,86,85,81,86,93,90,89,94,87,86,95,90,90,88,88,85,85,94,85,86,88,91,94,88,90,91,89,89,90,86,91,85
Cote d'Ivoire,,,,,19,25,30,31,31,42,54,39,49,50,50,52,55,58,64,58,65,66,64,61,67,76,77,76,74,81,85,62
Croatia,,,,,,,,,,,,,83,85,87,90,91,92,93,93,93,94,95,94,96,96,96,96,96,96,97,96
Cuba,67,68,99,99,86,91,99,87,98,96,92,99,94,99,99,99,90,99,99,95,95,98,99,72,88,89,89,93,95,96,96,96
Cyprus,34,56,26,34,30,61,91,93,90,93,93,94,94,95,95,96,98,98,98,97,97,97,98,98,98,98,97,97,97,99,99,99
Czech Republic,,,,,,,,,,,,,,99,98,96,97,98,98,98,98,98,98,97,98,97,98,99,99,99,99,99
Czechoslovakia,95,95,99,98,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
Denmark,88,88,87,86,86,90,89,88,87,89,90,90,91,88,89,90,77,92,99,99,97,97,98,96,95,93,93,87,88,89,90,91
Djibouti,,,6,14,21,22,24,25,65,77,85,53,41,41,41,41,41,32,23,23,46,53,62,68,64,71,72,88,89,89,88,87
Dominica,63,97,99,93,84,91,93,95,96,92,92,98,99,99,99,99,99,92,99,99,99,99,98,99,99,98,95,96,96,99,98,98
Dominican Republic,36,27,28,29,34,39,80,80,69,58,69,71,73,75,74,72,72,73,75,83,78,72,82,79,81,87,89,87,85,82,88,84
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,10,26,35,31,48,41,44,51,54,55,68,59,87,85,84,83,82,81,85,80,88,90,89,89,90,94,98,99,99,99,99,99
Egypt,57,57,57,57,69,84,80,81,87,90,87,76,79,81,83,88,90,88,92,97,98,99,97,98,97,98,98,98,97,97,97,96
El Salvador,44,42,42,21,31,55,50,53,63,64,80,61,60,79,90,99,96,97,99,94,99,92,81,94,90,89,96,99,98,91,92,89
Equatorial Guinea,,,,,,3,3,10,19,48,77,77,76,76,77,79,80,81,81,33,33,33,33,33,33,33,33,33,33,33,33,33
Eritrea,,,,,,,,,,,,,,32,49,58,66,75,86,93,81,86,90,93,98,96,96,96,99,99,99,99
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,71,77,82,87,87,88,91,93,94,94,94,94,96,95,95,95,95,94,93
Ethiopia,,3,3,4,4,6,7,16,16,26,49,21,13,28,57,57,55,55,37,27,27,33,30,28,40,42,42,42,49,44,50,51
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,68,70,64,80,77,69,71,90,98,98,97,99,97,96,96,97,97,86,87,89,90,91,93,94,95,96,98,99,99,99,99,99
Finland,92,92,94,94,95,96,97,98,99,90,90,95,99,99,99,99,99,99,99,99,99,98,98,98,98,97,97,99,99,99,99,99
France,79,79,85,90,94,95,96,88,79,95,94,94,94,94,96,96,97,97,96,97,97,97,97,97,98,98,99,98,98,98,99,99
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,14,31,48,59,65,72,78,78,72,66,67,69,70,62,54,50,45,45,45,45,45,45,45,45,45,45,45,45,45
Gambia,63,76,80,62,70,78,73,85,82,87,92,85,85,90,93,96,96,96,85,74,80,87,87,87,87,95,95,95,96,98,97,96
Georgia,,,,,,,,,,,,,58,54,58,79,80,80,80,84,80,87,84,76,78,84,87,98,92,88,91,94
Germany,,95,97,93,94,80,90,80,80,80,80,80,85,62,73,78,84,87,89,97,90,93,96,98,99,99,99,99,99,99,99,99
Ghana,7,22,23,23,19,22,35,42,47,51,58,60,62,66,70,70,71,71,76,79,88,79,78,80,80,84,84,94,93,94,94,91
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,72,95,83,72,60,54,80,82,83,54,54,85,89,89,90,90,90,90,89,88,89,91,92,94,95,96,98,99,99,99,99,99
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,25,43,56,68,76,61,98,80,65,87,80,85,90,89,91,95,80,95,97,88,97,96,98,97,83,99,91,96,99,99,97,94
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,43,42,45,44,48,21,37,16,47,50,66,63,66,75,71,77,66,73,78,77,81,77,82,84,87,87,89,85,95,92,94,85
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,15,15,15,15,15,15,16,17,17,36,52,53,53,54,48,47,56,43,47,50,54,57,61,59,57,63,60,57,64,59
Guinea-Bissau,,,,9,18,18,47,55,66,54,61,63,67,63,74,45,53,63,54,45,49,53,57,60,64,68,70,72,74,76,76,76
Guyana,35,45,53,58,70,75,64,67,64,77,83,81,79,93,90,86,83,88,90,83,88,85,91,90,91,93,93,94,93,98,95,93
Haiti,3,14,13,9,14,19,24,28,48,50,41,36,38,39,41,42,42,42,45,47,49,51,53,55,57,59,59,59,59,59,59,59
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,28,34,46,52,41,58,62,58,74,85,84,94,93,94,94,94,94,95,97,95,94,96,95,92,94,98,95,94,93,98,98,98
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Iceland,99,99,98,94,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,92,95,97,99,95,97,97,98,96,96,96
India,6,6,12,14,16,18,20,30,40,50,70,57,56,61,67,71,66,62,66,64,62,60,58,61,64,67,66,71,72,72,72,72
Indonesia,,1,1,6,13,27,47,50,54,57,60,62,64,66,68,69,72,73,72,72,71,71,70,71,71,72,72,72,58,62,63,63
Iran,32,29,41,33,33,51,57,57,88,82,91,88,97,99,95,98,99,99,99,99,99,96,99,99,99,95,98,99,99,99,99,99
Iraq,14,13,18,16,67,86,91,94,87,87,83,78,74,70,72,74,76,78,76,81,78,76,73,70,68,65,58,54,65,73,72,77
Ireland,34,36,43,42,45,45,44,44,43,65,65,67,68,70,71,73,74,76,84,86,86,84,83,86,89,90,91,92,93,94,94,95
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,84,91,92,89,87,85,92,92,92,92,93,94,95,96,95,96,94,95,96,96,96,95,97,95,96,93,96,96,96,95,95,94
Italy,,,,,10,12,98,88,85,85,83,95,95,95,95,95,96,95,95,95,87,93,93,96,94,95,96,97,96,96,96,96
Jamaica,24,39,34,51,58,60,74,81,82,85,86,85,84,91,93,90,92,90,86,89,93,99,98,95,97,99,99,99,99,99,99,99
Japan,60,75,81,80,82,83,84,85,86,87,90,92,87,85,80,74,99,70,75,80,85,95,96,97,99,98,98,98,98,98,98,98
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,30,81,75,76,81,85,88,90,93,94,92,92,92,91,94,95,96,99,99,85,91,99,95,97,95,95,98,98,97,98,98,98
Kazakhstan,,,,,,,,,,,,,81,76,76,93,95,97,99,98,97,95,95,99,82,98,99,93,99,98,99,99
Kenya,,,,,58,70,72,77,82,83,84,86,87,89,92,94,87,79,81,82,82,80,84,73,73,76,80,81,85,84,83,88
Kiribati,43,29,53,40,18,37,37,36,63,79,97,70,86,99,71,60,79,91,88,78,90,85,77,70,62,79,86,94,82,86,91,99
North Korea,50,52,51,52,67,55,61,86,87,97,98,97,90,90,77,64,50,37,43,50,56,62,64,68,72,79,89,92,92,93,93,94
South Korea,,61,61,69,76,76,76,57,58,89,74,79,84,88,93,99,90,80,74,86,97,97,97,97,88,96,98,91,94,94,94,99
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,67,79,83,89,89,90,91,92,94,94,71,80,88,97,99,99,99,96,95,94,98,99,99,99,98,99,99,99,99,99,98,99
Kyrgyz Republic,,,,,,,,,,,,,84,64,82,93,98,98,97,99,99,99,98,98,99,98,92,94,95,95,96,96
Lao,,7,7,7,5,4,5,10,17,21,18,22,23,25,48,54,58,60,54,55,51,52,53,49,45,49,57,50,61,67,74,78
Latvia,,,,,,,,,,,,,87,80,97,98,93,92,94,95,96,97,97,98,99,99,98,98,97,95,89,94
Lebanon,0,2,4,4,4,17,30,46,63,79,82,86,90,91,92,93,93,92,89,86,83,80,77,74,75,77,78,80,81,81,81,81
Lesotho,56,56,61,66,74,82,81,79,80,81,82,84,85,86,87,88,87,87,88,88,83,78,84,90,89,87,86,84,83,83,83,83
Liberia,,,,,,,,,,,,,,,,,,,,50,46,42,39,35,31,60,60,60,64,64,47,49
Libya,60,67,72,79,81,81,82,82,84,87,84,87,90,96,95,95,96,96,95,94,94,94,93,95,97,98,98,98,98,98,98,98
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,78,83,83,90,91,90,93,93,94,95,95,94,94,94,94,95,96,98,95,92
Luxembourg,,,,75,68,77,86,95,90,90,90,91,93,94,95,97,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,90,88,95,93,97,94,95,95,91,96,96,94,97,93,95,95,96,95,95
Madagascar,,,15,23,19,23,30,35,42,45,46,53,65,66,66,57,49,49,52,55,57,59,61,63,72,82,83,84,77,83,85,89
Malawi,58,66,64,63,58,55,57,78,82,87,87,87,87,91,82,89,90,95,96,85,75,90,64,84,89,93,99,87,91,93,93,97
Malaysia,67,66,73,58,54,57,62,69,68,84,90,92,94,91,95,94,94,95,94,93,95,95,96,96,94,95,90,90,96,95,94,99
Maldives,4,1,1,13,24,28,42,42,86,91,94,98,98,90,96,94,97,97,97,97,98,98,98,98,96,98,98,98,98,98,96,96
Mali,,,,,,8,8,8,18,26,42,34,38,46,39,49,53,52,52,40,43,49,61,63,69,77,78,74,74,73,76,72
Malta,,,,,50,37,86,87,87,47,63,86,82,83,88,92,92,92,92,93,94,95,95,94,89,92,85,74,72,73,76,96
Marshall Islands,,,,,,,,,92,92,92,71,82,56,67,70,78,78,86,66,39,48,80,68,64,77,74,93,95,96,94,94
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,18,20,20,21,27,32,30,28,28,33,29,39,44,50,55,50,28,16,32,53,72,83,76,70,71,68,75,74,64,64,75
Mauritius,89,82,94,89,85,88,86,84,86,85,85,91,88,88,89,93,89,90,89,85,88,92,88,92,98,97,97,97,99,99,99,98
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,44,43,40,41,52,40,51,62,60,65,53,88,90,82,91,91,95,95,96,96,97,97,97,98,98,98,98,98,96,95,95,97
"Micronesia, Fed. Sts.",,,,,,,,57,85,95,85,79,91,78,81,83,79,75,80,76,85,75,84,92,78,94,67,79,85,91,85,84
Moldova,,,,,,,,,,,,,84,70,86,96,97,97,97,97,95,97,97,98,98,98,97,96,95,85,90,93
Monaco,,,,,,,,,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Mongolia,76,78,79,79,77,80,81,80,82,84,84,81,64,79,78,88,90,92,94,94,94,95,98,98,99,99,99,95,96,95,96,99
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,90,92,95,92,94,95
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,32,41,45,51,63,85,82,80,81,81,87,86,87,90,95,94,93,91,95,96,94,91,97,98,97,95,99,99,99,99
Mozambique,,56,43,38,32,29,32,39,38,47,46,46,50,49,55,57,60,62,65,68,70,73,76,76,76,75,75,75,75,74,74,76
Myanmar,4,5,9,11,12,16,20,23,28,50,88,66,71,73,77,84,88,90,90,75,82,73,79,80,86,80,91,97,98,99,99,99
Namibia,,,,,,,,,,,,69,70,73,79,74,70,66,74,72,79,78,77,79,81,86,86,86,83,83,83,82
Nauru,,,,,67,67,61,55,67,75,74,70,67,63,60,56,53,50,72,64,44,95,80,80,80,80,72,99,99,99,99,99
Nepal,8,16,18,23,27,32,38,46,45,44,43,46,49,51,54,54,65,78,71,65,74,72,72,78,80,75,89,82,82,89,82,92
Netherlands,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,96,96,97,97,97,97
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,76,72,73,73,83,72,70,67,69,80,90,81,81,83,84,89,88,86,81,88,90,90,90,90,89,89,89,88,89,92,93,95
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,16,23,27,24,33,39,45,51,47,68,70,75,81,81,81,80,80,80,73,79,83,87,85,86,79,86,88,93,97,98,98,98
Niger,,6,6,5,5,4,5,7,9,13,22,19,20,20,20,23,23,25,29,32,34,36,39,41,43,45,51,57,67,71,70,75
Nigeria,,,,,9,16,22,29,36,47,56,39,43,29,44,34,26,21,32,31,29,27,25,29,33,36,40,42,53,63,69,47
Niue,7,8,20,31,43,62,81,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,94,99,84,99,98,99,99,99,98
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,90,90,85,83,80,83,83,86,96,98,94,93,97,97,95,93,92,90,91,93,92,92,91,94,93,94,94,93,94
Oman,18,19,24,31,45,60,82,89,90,98,98,95,99,97,97,99,99,99,99,99,99,99,99,99,99,99,98,99,99,98,99,99
Pakistan,2,3,5,15,23,30,34,36,38,40,54,50,42,37,39,58,46,52,55,58,62,65,68,67,65,80,83,83,69,76,86,80
Palau,,,,,,,98,81,99,78,99,98,93,89,67,99,98,91,96,96,96,98,99,99,98,98,98,94,92,49,69,84
Panama,47,78,60,60,59,73,70,72,75,70,86,82,77,83,83,86,91,95,98,92,98,99,99,98,95,92,88,85,86,85,94,87
Papua New Guinea,32,32,29,27,34,40,44,44,48,53,68,68,58,58,61,62,56,45,60,60,59,55,61,68,62,61,61,60,52,62,56,61
Paraguay,17,28,34,45,67,57,53,58,56,61,67,66,73,66,71,68,72,75,79,82,86,89,87,86,92,94,96,92,90,86,90,90
Peru,16,20,23,23,28,48,50,43,60,58,72,71,83,87,87,90,94,90,94,99,98,90,95,94,91,86,83,81,79,93,93,91
Philippines,47,54,54,55,57,59,66,72,79,86,88,90,80,76,73,70,75,81,81,80,78,79,79,84,88,89,88,87,91,87,79,80
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,96,96,95,95,95,94,95,96,96,96,96,95,95,95,96,96,97,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99
Portugal,73,75,78,79,78,72,81,83,81,88,89,96,94,93,97,93,95,94,97,97,96,97,98,99,95,93,97,97,97,96,98,98
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,61,43,37,49,60,71,72,72,69,81,82,86,88,90,91,92,92,92,94,92,80,93,96,92,96,97,96,94,97,99,97,93
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,95,89,92,96,96,96,98,98,91,98,98,98,97,97,97,99,99,98,97,97,97,97,96,96,95,94,89
Russia,,,,,,,,,,,,,72,79,88,78,84,88,91,95,96,96,96,97,97,98,99,98,98,98,97,97
Rwanda,,17,38,59,55,50,87,88,80,82,84,91,85,83,23,83,89,73,79,85,90,77,88,96,89,95,99,97,97,97,97,97
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,56,67,92,90,97,92,99,96,94,99,99,99,99,99,99,99,99,99,97,98,98,99,96,98,95,99,99,99,98,97,95,97
St. Lucia,56,64,79,81,83,87,78,85,78,92,89,96,96,97,93,98,88,98,88,89,70,99,74,90,91,95,85,99,96,95,97,97
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,26,32,67,80,86,90,95,97,98,98,98,99,99,99,99,97,99,99,99,94,97,99,99,99,99,98,99,99,99,99,99,95
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,29,66,87,89,96,89,94,93,90,66,90,79,91,92,93,94,95,96,99,98,99,93,96,94,68,64,56,71,46,72,87,91
San Marino,,,,99,99,99,99,99,99,99,99,99,99,99,88,99,99,99,,99,96,96,96,96,98,95,95,92,87,92,79,86
Sao Tome and Principe,,42,34,26,49,48,65,72,77,63,92,87,68,60,83,79,68,73,73,78,82,92,92,94,96,97,97,97,99,98,98,96
Saudi Arabia,41,53,62,67,76,81,86,89,89,96,92,91,91,94,95,96,93,92,94,93,95,97,95,95,96,96,96,96,98,98,98,98
Senegal,,,,,,,54,57,59,47,51,51,59,58,57,80,70,59,59,60,52,52,60,73,87,84,89,94,88,86,85,83
Serbia,,,,,,,,,,,,,84,85,85,89,91,94,93,92,95,93,95,89,88,98,92,94,95,95,91,91
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,13,55,97,95,86,94,89,94,97,99,98,96,96,96,97,99,98,99,99,98,96,99,99,99,99,99,99,99,99,99,99
Sierra Leone,,,,,,,,,,,,,,,,,,,,43,44,38,53,73,65,65,64,64,78,84,84,84
Singapore,84,87,83,84,77,78,91,96,90,90,85,91,89,92,95,98,97,98,97,97,98,96,94,96,95,96,95,96,97,97,97,96
Slovak Republic,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Slovenia,,,,,,,,,,,,,98,98,98,98,98,94,91,92,91,92,93,95,94,95,97,97,97,96,96,96
Solomon Islands,46,35,23,27,45,38,42,66,69,67,77,76,71,65,68,69,72,72,69,86,82,78,71,76,80,78,91,79,78,81,79,88
Somalia,,2,5,5,10,22,17,25,26,18,19,20,21,22,23,22,21,19,33,36,33,33,40,40,30,35,26,40,31,42,45,41
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,74,75,75,70,72,70,71,72,81,79,81,73,72,73,76,75,74,73,71,70,69,64,72,74,72,73,70,66,72
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,95,79,88,77,93,93,86,86,84,87,88,90,90,94,95,95,95,96,98,98,97,96,98,96,97,96,97,97
Sri Lanka,46,45,57,64,66,70,75,77,83,87,86,86,88,90,88,93,92,97,94,99,99,98,98,99,97,99,98,98,98,97,99,99
Sudan,1,1,2,3,4,8,14,27,40,60,62,62,53,51,46,48,56,55,46,55,62,66,60,69,74,78,78,84,86,81,90,93
Suriname,25,27,61,85,80,84,80,71,64,72,83,75,74,76,74,84,85,81,90,85,71,68,73,75,85,83,84,84,85,87,96,86
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,30,39,43,50,61,74,86,89,89,89,79,93,89,96,82,82,82,84,85,87,89,90,92,93,95,95,95,94,94,89,91
Sweden,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98
Switzerland,,,,,,,90,90,90,90,90,89,89,89,89,89,89,89,88,88,88,93,93,93,93,94,94,94,95,95,96,95
Syria,13,14,15,21,25,29,86,42,59,94,91,89,89,90,89,89,88,87,87,86,84,82,84,83,81,80,80,80,79,80,80,72
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,72,64,81,80,75,81,79,82,83,85,85,85,86,84,83,86,86,93,93,96
Tanzania,59,55,50,52,58,67,74,79,85,77,78,81,83,83,84,81,82,79,79,76,79,87,89,95,95,90,90,83,86,85,91,90
Thailand,49,52,49,49,53,62,66,75,80,84,92,90,85,89,93,96,94,95,96,97,97,96,96,98,98,98,98,98,99,99,99,99
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,54,55,57,55,63,70,79,72,72,67
