Oil Consumption per capita (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
France,1.105265147,1.171090675,1.333579109,1.434878883,1.646293651,1.857092888,2.00869245,2.212851997,2.448418655,2.311117736,2.094784113,2.254917124,2.153198468,2.226439454,2.205959354,2.039545441,1.828812584,1.68178473,1.634498015,1.561924369,1.524923408,1.548172148,1.550001214,1.531262087,1.566166079,1.576489915,1.661719666,1.651418677,1.586543246,1.530950511,1.539316589,1.567340831,1.573079473,1.623662745,1.641624159,1.607816177,1.607220791,1.553772124,1.546693131,1.552051745,1.525734933,1.515106415,1.479151309,1.484371267,1.401238246,1.328291411
Germany,1.135726669,1.260764368,1.299196977,1.4503027,1.622449476,1.77498101,1.837273153,1.938078694,2.063056352,1.868240603,1.812769141,1.958516451,1.939824635,2.013560352,2.080539225,1.881717687,1.708146382,1.615743341,1.582530029,1.576469845,1.626288258,1.713256726,1.66061509,1.653075824,1.546452805,1.609103248,1.671548262,1.673305994,1.684462364,1.658208213,1.649529136,1.670990798,1.657458986,1.658654832,1.607888217,1.575974905,1.597259069,1.545891884,1.516995194,1.50238094,1.482879866,1.496944284,1.363257976,1.43432084,1.38219156,1.398500033
Greece,0.5186524859,0.5628972867,0.6579911457,0.6686080638,0.7076889201,0.762765663,0.8382782885,0.9679043765,1.122061685,1.046995257,1.099093753,1.155630057,1.160619545,1.243830539,1.29873358,1.285973021,1.225301237,1.214950476,1.159011763,1.181600074,1.205722562,1.219237785,1.319536211,1.359977382,1.482132238,1.545100975,1.540235844,1.551409982,1.592367188,1.59615908,1.649298633,1.697034796,1.708654145,1.677415182,1.708142509,1.815619589,1.823266843,1.830433364,1.768866226,1.9230733,1.896698898,1.977039566,1.928086856,1.897836192,1.783413128,1.628614887
"Hong Kong, China",0.5576481976,0.6005116369,0.7135660334,0.7765050021,0.9175790066,0.9838073496,1.022802479,1.150108731,1.170583843,1.170989438,1.072279441,1.230126918,1.288951001,1.295527578,1.286363813,1.284838353,1.335812668,1.281014101,1.123026388,1.025547477,0.9527890179,0.9154696881,0.8827503712,0.9965488406,1.048586793,1.084079224,1.070160019,1.363686936,1.404142186,1.476680648,1.557211576,1.495784412,1.447122274,1.355604781,1.390483511,1.433222124,1.72502943,1.885979424,1.906560506,2.259629904,2.035284431,2.177817497,2.321354968,2.091596924,2.00344134,2.282655406
Hungary,0.3723546035,0.407320685,0.4290069855,0.4470914305,0.4976795387,0.5750614129,0.645047577,0.698400817,0.7815596768,0.8525782283,0.9552058003,0.9942607138,1.053133298,1.160410357,1.088196507,1.054256593,1.007897237,0.9561120473,0.9098398488,0.9577350402,0.9793688482,0.9073829552,0.9557175292,0.8860510199,0.8586790286,0.8939585518,0.7734900801,0.7814390359,0.7432150103,0.7859857266,0.7405576958,0.6857673842,0.6904833208,0.7239174896,0.6975388921,0.6707771231,0.6570664145,0.6297694727,0.6223288677,0.6422104462,0.7444282387,0.7705473837,0.7703205912,0.7721101597,0.7098404988,0.6710975801
Iceland,2.5,2.769670312,2.604140228,2.654649651,2.643770523,2.694744269,2.630293829,2.651128637,3.084547639,2.738009606,2.637239659,2.665032235,2.66831055,2.690811081,2.712089371,2.41497195,2.329283474,2.243373897,2.07325501,1.969485545,2.11269356,2.195605512,2.353780025,2.404559044,2.613223147,2.500068683,2.4362855,2.708932165,2.789782991,2.766987909,2.871264179,2.96165764,3.130085473,3.131258889,3.232723785,3.243127912,3.081072706,3.176617861,3.07879223,3.259341169,3.417098297,3.302215873,3.400786992,3.051508694,,
India,0.02546734543,0.02785559203,0.02811696941,0.03080477003,0.03618538402,0.03521559767,0.03613332125,0.03809639934,0.03928046121,0.03758023887,0.0375295361,0.03860798407,0.04049338956,0.04299483488,0.04533694284,0.04518621791,0.04750358374,0.04828877389,0.04962844748,0.05205522573,0.05523710095,0.05676690665,0.05732495367,0.06151369232,0.06521037799,0.06631261736,0.06604140341,0.06820944524,0.06750726284,0.07120234607,0.07800215617,0.08250138088,0.08645474537,0.09084891667,0.09679339921,0.1007184654,0.09983812716,0.1021976718,0.1022402234,0.1069937153,0.1048872841,0.1040648141,0.1094796476,0.1133723386,0.1250268674,0.1269787524
Indonesia,0.058763266,0.05516669979,0.05172755718,0.05328958057,0.05540866678,0.0573665105,0.05790499943,0.06393176636,0.07253512202,0.07633912056,0.08463458953,0.08807553678,0.1028516622,0.1124721849,0.1194000033,0.1306988082,0.1392185401,0.1406073742,0.1333617091,0.1391137681,0.1307167709,0.1291461897,0.1378174822,0.1404946328,0.1457191442,0.1616309007,0.1717401496,0.1844708924,0.1944135074,0.1881484675,0.1960076899,0.2096243473,0.2236527083,0.2094935978,0.2221253875,0.2375963476,0.238463517,0.2472528593,0.2434823263,0.2585925429,0.2560594402,0.2399734416,0.24242808,0.2441245245,0.2493529291,0.2484669506
Iran,0.3999822532,0.4300938768,0.4624130064,0.4972088445,0.5345956124,0.57504688,0.6187715402,0.6667728779,0.7589452055,0.7857544313,0.8666437981,0.8857947205,0.9118734112,0.8929226959,0.9248520825,0.803208354,0.7009374582,0.7337719705,0.8505344324,0.8893357075,0.9381633123,0.8760330637,0.8721414258,0.737819911,0.8169502582,0.8580007251,0.8745077383,0.8755749427,0.879023295,0.9087267852,0.9789175394,1.003955756,0.9652145169,0.9109275157,0.9142237054,0.956988334,0.9439041217,0.9984194391,1.043051088,1.0691557,1.108095153,1.144223706,1.138649009,1.151864361,1.163567384,1.162576448
Ireland,0.8432151962,0.9364599459,1.042288,1.153864623,1.243679834,1.384060857,1.509386382,1.639944089,1.750607899,1.70770487,1.643340466,1.6404306,1.722856409,1.812674861,1.879978056,1.672421834,1.466435767,1.267635687,1.143276377,1.118913989,1.112021919,1.375999394,1.204327437,1.088254465,1.120620205,1.248577333,1.370975903,1.429576858,1.441129886,1.564676017,1.582128621,1.649325525,1.792438949,1.985870401,2.224239492,2.159956675,2.319559628,2.232085576,2.127911042,2.183481999,2.25466698,2.205881657,2.194228359,2.07472502,1.813162243,1.700261751
Italy,1.016257141,1.112109431,1.220279308,1.336122407,1.460427971,1.637756651,1.747128409,1.815806892,1.902287379,1.839220024,1.715765762,1.784469802,1.726906672,1.786502471,1.841252572,1.741283546,1.696782405,1.604895994,1.575322076,1.496413965,1.48653897,1.521768221,1.586318285,1.613558893,1.650793548,1.647337,1.625930492,1.660123813,1.627204697,1.623236728,1.676817417,1.654087504,1.662046502,1.665566667,1.659660584,1.641218195,1.622382292,1.615631835,1.591222033,1.538846208,1.477283422,1.467500309,1.411440575,1.350843248,1.246500876,1.207249814
Japan,0.9027994302,1.015148947,1.232550823,1.412652003,1.651436126,1.920204888,2.089182467,2.198109173,2.48934232,2.364851829,2.202131631,2.263207907,2.302762485,2.302923127,2.305382771,2.050464907,1.916858527,1.76550827,1.747631189,1.826620468,1.719643798,1.729426494,1.729258065,1.850278731,1.91159329,2.0262924,2.054754147,2.090606291,2.037418436,2.155043387,2.149498216,2.153731259,2.118780089,2.023606634,2.049794721,2.031956173,1.966230077,1.932263842,1.972527897,1.909324694,1.931430904,1.877801053,1.812484758,1.752730997,1.570109229,1.593223489
Kazakhstan,,,,,,,,,,,,,,,,,,,,,1.299049265,1.170772656,1.119500977,1.113599645,1.129140351,1.300604961,1.314077953,1.235476833,0.9635566903,0.7630217572,0.7553755519,0.6491628599,0.6651733203,0.556822454,0.4641179783,0.4947617435,0.597409017,0.6240911672,0.5882717858,0.5978679233,0.6591173562,0.7153095482,0.7499690006,0.6957941202,0.7638360376,0.779964667
"Korea, Rep.",0.04532465767,0.06642708562,0.1128657537,0.1635957214,0.2177064494,0.2665137637,0.2947864366,0.3014045525,0.3635444948,0.3680359245,0.4087956205,0.4518214276,0.5296745537,0.5959607162,0.6603846606,0.6439749778,0.6273091326,0.612371819,0.6287213691,0.6204757343,0.6438174224,0.6903869654,0.7156744509,0.846854519,0.9625625696,1.152316878,1.380827402,1.653583024,1.800089697,1.960901433,2.123610593,2.256637191,2.462026875,2.064172805,2.201206391,2.243255707,2.231286818,2.254826477,2.264973066,2.240513707,2.240694088,2.232606036,2.279249299,2.163638707,2.147447364,2.087848011
Kuwait,10.6380562,9.322416735,8.230599605,7.3134547,6.530196236,5.854141716,5.271287632,5.345535507,4.712359145,4.045831926,2.937120938,3.279326,2.999329901,3.071917301,3.247452851,3.1554951,4.031959626,4.341442247,4.606421723,4.671194082,4.604258236,4.461768835,4.10826112,3.790616744,3.579467735,2.631620545,1.80895754,2.888657782,2.800148777,3.682849477,3.973804465,3.841854409,4.121366776,5.167566011,5.547009316,5.351955342,5.249334689,5.524162534,5.716136932,6.266770496,6.725500814,5.773332608,5.572449422,5.993684543,6.499675394,6.467567888
Lithuania,,,,,,,,,,,,,,,,,,,,,2.414599002,2.003153617,2.178623406,2.077741429,2.118379961,2.018187771,2.219791541,1.174001875,1.030322795,0.961001939,0.8721160926,0.9114761085,0.9121842998,1.05808301,0.8754922338,0.677708864,0.7874418543,0.7307066019,0.7020251395,0.7565718548,0.8130283616,0.8258936783,0.826151073,0.9118700256,0.7781875234,0.8123694379
Malaysia,0.2086838611,0.2404503278,0.2391208423,0.2361170408,0.2379501776,0.2614270525,0.2795322565,0.3087831666,0.3453128066,0.3409816547,0.3645006276,0.3876894281,0.4254610474,0.4545397346,0.5343008165,0.582392909,0.5915899855,0.620059364,0.6441305828,0.6117296203,0.5935472607,0.5773675971,0.5720959097,0.5848814426,0.6158203415,0.7141695209,0.7420979107,0.7288425636,0.7862274109,0.8679615387,0.8692241761,0.8999071968,0.9294120666,0.8420322449,0.878716476,0.8586681247,0.8471699594,0.901226021,0.8679040026,0.8739819494,0.8250118457,0.7916417588,0.8150914294,0.7926996458,0.8765842695,0.8908131705
Mexico,0.3169153131,0.319295065,0.3317693599,0.3533437218,0.3615426896,0.3778991556,0.3875046235,0.420942165,0.4343190734,0.48574066,0.5305307046,0.5719761969,0.5739496564,0.6258337824,0.6533332946,0.7076263401,0.747542755,0.74812541,0.7122592721,0.7465988913,0.7585019126,0.7372161267,0.7616170511,0.7482894755,0.7850221523,0.8035669615,0.8198892603,0.8137144876,0.8176438429,0.8781324424,0.7938205027,0.8058950692,0.8284355171,0.8539623638,0.8360563897,0.857006282,0.8387386095,0.7938975245,0.8052062697,0.8102878198,0.8234206479,0.8052668005,0.8181018034,0.8138076186,0.7899432177,0.7705665037
Netherlands,2.070343028,2.213951972,2.23610824,2.376454139,2.566936263,2.817399848,2.747752181,3.027640407,3.090442561,2.62441906,2.560802704,2.85761944,2.721416781,2.758000166,2.949718957,2.737808762,2.520998378,2.174863614,2.03673176,1.9943333,2.017582442,2.226188148,2.218020577,2.343914573,2.293303578,2.347546311,2.390579439,2.417182242,2.390845175,2.375374279,2.463921246,2.408822976,2.528031695,2.508236564,2.570436293,2.626707412,2.737903773,2.730660445,2.730313206,2.845654302,3.040845712,2.989661349,2.795082708,2.815760374,2.983223655,2.997654606
New Zealand,1.034245001,1.129433279,1.172244938,1.187963769,1.216984609,1.409775936,1.428678377,1.50721172,1.564814908,1.464162271,1.389759944,1.420970019,1.416556324,1.340818166,1.345196855,1.305427743,1.229636505,1.216449737,1.154630854,1.154151609,1.101749957,1.101487213,1.172023986,1.188094808,1.23780472,1.40545141,1.324275502,1.333018376,1.302000179,1.410824191,1.524834969,1.490263742,1.57018505,1.556753456,1.568282536,1.579191152,1.581783697,1.626175107,1.720243068,1.694319622,1.721566419,1.727121991,1.705707389,1.712897888,1.573117095,1.579621147
Norway,1.393499491,1.565790371,1.613654578,1.753097795,1.926060087,2.139587449,2.108286467,2.169001677,2.162826201,1.928287768,2.000592916,2.228935381,2.192440101,2.297699565,2.352503206,2.27382814,2.13043212,2.010426198,2.001896917,2.075323514,2.158668388,2.231764229,2.318997956,2.183315189,2.122095592,2.165279377,2.042256363,2.094212739,2.199393925,2.22177049,2.213073536,2.295936343,2.325200834,2.248579039,2.250729119,2.088687265,2.139145002,2.079989876,2.177394234,2.098399057,2.100686566,2.140109818,2.154276479,2.040759086,2.130739706,2.191226044
Pakistan,0.072644312,0.07267727877,0.07913399986,0.08773924097,0.08015109381,0.07714374355,0.07028897485,0.05663629942,0.05640422318,0.05900061268,0.05937280993,0.05749507805,0.0585699182,0.06040891083,0.06223587094,0.06302437698,0.06469729991,0.069325809,0.07386771218,0.07741038524,0.08029715604,0.08336461068,0.08743098305,0.09111151145,0.09437363031,0.09596343873,0.09878220339,0.1051179404,0.1117327077,0.1170301914,0.1237016616,0.1266050258,0.1266982925,0.1274089437,0.1288253029,0.1298070541,0.1243444031,0.1186910933,0.1033303569,0.1026176904,0.09618176096,0.1087661412,0.1166572743,0.1150879368,0.1208251055,0.1180920595
Peru,0.312114762,0.3813971445,0.3742408228,0.3665345902,0.3515756852,0.3597432719,0.3465412835,0.2869754736,0.3252476752,0.3727979521,0.379823225,0.3747636281,0.3649716076,0.3530100072,0.3594693075,0.3790746621,0.3774262745,0.362046907,0.306104638,0.3088228057,0.2915707932,0.3049161435,0.3291326578,0.3147901409,0.2732104106,0.2677821628,0.2427440657,0.2488330409,0.2560031944,0.2731950572,0.3027217298,0.3065735025,0.2978430278,0.2946273747,0.2959741433,0.2850913392,0.2658962614,0.2604286983,0.2427893062,0.2643311533,0.2556596051,0.2434475269,0.2512327062,0.2761938884,0.2815906269,0.2888929731
Philippines,0.1364431123,0.1444007164,0.158298735,0.1758017222,0.1829874615,0.2026154572,0.2280109179,0.2174420542,0.2484100861,0.2258402278,0.2368140962,0.2366367738,0.251702412,0.2522162976,0.2532381609,0.2311961967,0.2112641979,0.1977404462,0.2011063271,0.159631028,0.1377355706,0.1409868104,0.1595714965,0.1674518219,0.183005134,0.1863743023,0.1761765697,0.2115707387,0.2128483516,0.2200196201,0.2425226538,0.2475596317,0.260151134,0.2573444671,0.2381405888,0.2144096172,0.2087649915,0.1927653951,0.1882606251,0.1895780556,0.1726897606,0.1521920445,0.1574814176,0.1489684306,0.1428523292,0.1404663083
Poland,0.1738020009,0.1786772201,0.1918107972,0.2380584255,0.259937729,0.2724951276,0.2872597073,0.3197279006,0.3518355843,0.3679871932,0.397122199,0.4347185068,0.4608126549,0.4885781048,0.4934489894,0.4813755231,0.4468682503,0.4181239543,0.4278477271,0.4353846261,0.4395216963,0.4508520393,0.4538354369,0.4630975,0.4572196485,0.4163056433,0.3912400591,0.3554983518,0.3663976958,0.3859814297,0.3890155856,0.4469393974,0.4736498751,0.5175619722,0.5192762832,0.5209850317,0.5029946316,0.5070559245,0.5213079555,0.5521133207,0.5742690169,0.6113649004,0.6329706899,0.6509419453,0.6614512586,0.6871027932
Portugal,0.3083317209,0.327860481,0.3646491123,0.3946082888,0.4433952421,0.5308468666,0.6226405479,0.6632168056,0.6997408218,0.7249552277,0.741361369,0.7643064803,0.7540484402,0.7720500563,0.8345388299,0.8647113957,0.8977310983,0.9556113192,0.9532685095,0.9540929412,0.8799212628,0.9512240847,0.8957729151,0.8781469408,1.140093054,1.113800375,1.154897991,1.283401267,1.197626167,1.192551998,1.28237759,1.199522787,1.362218903,1.510973014,1.543278839,1.501807868,1.517954757,1.556231565,1.448908675,1.467982924,1.51560231,1.35994547,1.359078344,1.29038436,1.201068764,1.180264627
Qatar,,,0.8301180872,0.99654459,1.071360628,0.8579256649,0.752897386,0.8202620195,0.9797935334,1.235135668,1.375625633,1.789190885,2.269506687,2.092622192,2.12509531,2.63224636,2.563685196,2.810133955,2.554299248,2.64964757,3.743237882,4.346602757,4.395902471,2.419313379,2.507960665,2.619679897,2.045862099,2.125554072,2.134630255,2.306483602,2.415377036,2.548231731,2.651351111,2.625594904,2.435643217,2.506109582,2.780989282,3.768186064,3.190512624,3.182969631,3.280634505,3.340331951,3.368326215,3.320166039,3.880420462,4.207430892
Romania,0.3755254506,0.3871086931,0.4326956962,0.4490352807,0.4945629316,0.5290200637,0.5312246638,0.561983615,0.6262479066,0.5725960762,0.6428303703,0.7103025104,0.7620661474,0.8423977266,0.8892135959,0.8364791951,0.746046217,0.7299536154,0.6499600654,0.619346299,0.6614348873,0.7073320201,0.7734301794,0.7208446815,0.7416772484,0.8054994763,0.6718299368,0.5485839082,0.5281714613,0.4930251583,0.5949485194,0.5750777062,0.6080001766,0.5349411366,0.4252628386,0.4496729698,0.4798188525,0.4836266373,0.4298685533,0.4968582664,0.4826897462,0.4750480012,0.4776185931,0.4905953549,0.4271675001,0.423524289
Russia,,,,,,,,,,,,,,,,,,,,,1.70216104,1.711179105,1.713906012,1.690053359,1.712836172,1.684397618,1.637147761,1.507074617,1.266234464,1.092926906,0.9826589941,0.8763482341,0.8714772019,0.8372295019,0.8568321357,0.841660465,0.8367442692,0.8486826816,0.851557155,0.8545673902,0.8472612312,0.8854997265,0.8808145877,0.9110737613,0.9450310724,1.032469884
