Oil Consumption per capita (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Algeria,0.1081103568,0.1384317538,0.1255107424,0.1299297005,0.1330692639,0.1478228323,0.1615147486,0.172184009,0.1819646885,0.1955664267,0.210885184,0.2344961143,0.257789158,0.2565141895,0.2977127531,0.2907310693,0.302894346,0.3107638032,0.3376717564,0.3620573254,0.3604802506,0.3550221326,0.3486552753,0.3398343857,0.3467230958,0.3619089344,0.3497417719,0.3431361788,0.3341565113,0.3124202058,0.2980744349,0.2799889047,0.2730917712,0.2769119342,0.2694440781,0.2783142775,0.283872547,0.3099054483,0.3175462443,0.3271386683,0.3356618003,0.3449783142,0.3805912152,0.407019827,0.4263212698,0.4200945252
Argentina,0.9845434924,1.002474935,1.012162115,1.019758908,1.044630152,0.9148843961,0.9636894879,0.9342536255,0.9193876368,0.9014134709,0.8402249327,0.8644262823,0.8908450991,0.8564626284,0.9104061345,0.8147583594,0.756191162,0.7213184622,0.7182497756,0.7041197645,0.6263375397,0.6646980181,0.6962628701,0.6859311932,0.6140644908,0.560864901,0.5849170922,0.5849429501,0.5759513814,0.5644335072,0.5591424627,0.5770378552,0.5926093259,0.6107712372,0.5745322607,0.548865715,0.512276569,0.4542806263,0.4620374208,0.4799328798,0.5086938416,0.5267536391,0.5891271113,0.6098410955,0.591576106,0.635943801
Australia,1.487883154,1.559705205,1.665971111,1.798000714,1.880423678,1.920985591,1.986703416,1.947888836,2.093648576,2.121358321,2.057712422,2.11615103,2.180011745,2.141511235,2.151017838,2.018434093,1.96059352,1.880651311,1.777889086,1.830879603,1.706668974,1.752715713,1.756298342,1.804219498,1.843097862,1.847199192,1.778918819,1.762061361,1.843698232,1.899695667,1.947686818,1.961010472,1.999443675,1.976687545,2.006766557,1.967768175,1.966031905,1.936844584,1.929171799,1.929547426,1.952527407,1.996413375,1.975959835,1.973666877,1.926738288,1.913026109
Austria,0.7614183515,0.8297807604,0.8825242123,1.016011547,1.110531901,1.214989523,1.350675291,1.451278149,1.56688746,1.398059576,1.409514128,1.532471726,1.466141142,1.585684172,1.654723167,1.614561683,1.464140293,1.387873625,1.340274008,1.30049689,1.300991148,1.37064177,1.406659816,1.388674303,1.360018572,1.406164099,1.505781988,1.456110657,1.455554315,1.426991794,1.419926146,1.462603185,1.487790397,1.543482875,1.510890712,1.472757546,1.592589644,1.613250627,1.737840129,1.680399602,1.721290407,1.715779417,1.61183511,1.608884215,1.553233061,1.548790966
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.229507398,1.269064375,1.176810769,1.187460191,1.140792757,1.178780236,1.11919777,1.073741677,1.05592711,0.9457953893,0.8465126846,0.7561205357,0.7129415701,0.7450178343,0.7117524485,0.779831835,0.4872144955,0.4426193792,0.5099840236,0.5399975565,0.6226200532,0.5594871542,0.5096920852,0.3734849501,0.3529436159,0.35917261
Bangladesh,,,,,,,,0.01105725322,0.012707926,0.0139001689,0.01585386269,0.0167513433,0.01605882959,0.01690629477,0.01811271947,0.01974587775,0.01934037241,0.01722712643,0.01527558912,0.01767814409,0.01859485366,0.01803312419,0.01724327458,0.01843850875,0.0194679424,0.01813672882,0.01573740083,0.01653881443,0.01850940109,0.01891203397,0.02425801292,0.02412266984,0.02712257146,0.02961458967,0.02581459816,0.02482401054,0.02938354809,0.02886797584,0.0292349323,0.02906226061,0.0323925408,0.03154822282,0.03154276034,0.03189091432,0.0326463665,0.03228146619
Belarus,,,,,,,,,,,,,,,,,,,,,2.5203773,2.961408962,2.914091642,2.809998915,2.621318893,2.417322144,2.333603837,1.990876517,1.409817134,1.147076102,1.01350651,0.9614076202,0.8645305517,0.8463772602,0.7472655503,0.6935903542,0.7271866299,0.7104012764,0.7250507087,0.7533343936,0.7195854048,0.8150909554,0.7825680072,0.7958110424,0.9651291571,0.6878280797
Brazil,0.1763026342,0.1869829887,0.1881591119,0.2203514252,0.2358847128,0.2621220499,0.2839817136,0.3188355649,0.3855391286,0.4066041617,0.4107357254,0.4322901903,0.4342230526,0.4668739456,0.4849784233,0.463188872,0.432233861,0.4294270511,0.4082320898,0.4082870129,0.4107571025,0.444831306,0.4462699746,0.4493660039,0.4488384514,0.4293817745,0.4278562888,0.4400883939,0.4400619929,0.4539214778,0.470215862,0.4946781333,0.5203412352,0.5313844105,0.5381662663,0.5251596516,0.5251695561,0.5110506194,0.483375123,0.4805790019,0.484690306,0.4938506756,0.5257434887,0.5499865652,0.5536966499,0.5996517885
Bulgaria,0.4512380707,0.511280164,0.6385900853,0.7516599156,0.9169792409,1.058475033,1.157808516,1.196856326,1.255970607,1.29978302,1.372021944,1.419895603,1.471623687,1.511299446,1.5534857,1.576701827,1.401481856,1.353243117,1.301623572,1.247119241,1.156419394,1.219312453,1.173064139,1.248098836,1.221747855,1.000803387,0.6732216757,0.6893774381,0.722648221,0.6840260162,0.6678534298,0.6783503612,0.5398872507,0.5902622836,0.5519991779,0.4897480165,0.5070610452,0.5711631532,0.6661890377,0.6089216066,0.6372821699,0.6789760609,0.6923179416,0.7135684667,0.7424422691,0.5604235307
Canada,2.735795626,2.824515325,2.954169979,3.080349456,3.145586761,3.297622975,3.334613697,3.46377729,3.610531976,3.628502189,3.5056195,3.648602307,3.64246798,3.668598781,3.773137378,3.675272555,3.400424443,3.012586281,2.789810405,2.788495649,2.755064624,2.726490891,2.792290885,2.893770118,2.963341271,2.88121081,2.683756525,2.704944754,2.686475952,2.704261211,2.722467734,2.776228236,2.855186233,2.880523366,2.869652051,2.871619391,2.923541513,2.948078922,3.034557535,3.150552356,3.108004721,3.052638597,3.118106515,3.061382316,2.883406332,3.007355851
Chile,0.3856401384,0.4176735583,0.4283488838,0.4442351006,0.4652016308,0.4799755095,0.5308138082,0.5416106267,0.5011151024,0.48001823,0.4132881845,0.4232094735,0.4335922822,0.4546729447,0.4681043769,0.4529996331,0.445788065,0.4286355994,0.4088969837,0.397709509,0.3798558299,0.3931550088,0.4041080188,0.4407303653,0.4851773159,0.5025090953,0.5091845712,0.5374177177,0.5750431282,0.6215215779,0.6712971574,0.7255941229,0.7541759664,0.7585529034,0.7523853274,0.7014349065,0.674369721,0.6615563833,0.6563368334,0.6876737711,0.720562657,0.7449681599,0.9696424404,0.9998979494,0.9200425791,0.8589615517
China,0.01543031063,0.01934301748,0.01859087161,0.01974881313,0.02571850936,0.03460619891,0.04594518483,0.05149777613,0.06128849793,0.06895981906,0.07458682562,0.08383609356,0.08722100055,0.09529189113,0.09390017699,0.08681199059,0.08140728506,0.07930536205,0.07978320189,0.08133330065,0.0850035651,0.08909732677,0.09296962963,0.09801239029,0.1009857719,0.0985386566,0.1049681695,0.1126340923,0.1226403039,0.1232719246,0.1319495608,0.1417462857,0.1583770422,0.1577604654,0.1664214628,0.1762091652,0.1783287842,0.1923979298,0.2100778591,0.245178176,0.2506949086,0.2632741481,0.2745361786,0.282855321,0.2908063779,0.319532369
Colombia,0.1819383995,0.205192415,0.2004269027,0.218878533,0.2028058222,0.2253653349,0.238407929,0.2690568494,0.2556103257,0.2776491693,0.2710282149,0.2835140091,0.2756131835,0.2716611924,0.282436403,0.2917963694,0.2933891607,0.2734817298,0.2815585878,0.2626744599,0.2568553181,0.2578454321,0.276007927,0.2810118054,0.2746216458,0.284700437,0.2830430785,0.3084877407,0.3072023108,0.3111350045,0.3240855563,0.3288908105,0.3259293819,0.3115317557,0.2718485623,0.2628245743,0.2736835538,0.2435115362,0.2393611757,0.2383935181,0.2401825506,0.2481825106,0.2402984628,0.2382758286,0.2299905787,0.237607469
Czech Rep.,0.4126438963,0.4551154961,0.5054743614,0.5562911188,0.59600005,0.7134638619,0.7826065615,0.8542424364,0.9569120781,0.9775234972,1.073229152,1.128020248,1.17230233,1.205634712,1.219053947,1.130427342,1.111214046,1.012380225,0.9907131922,1.050107952,1.031274719,0.9881097716,0.9971015123,0.9569200534,0.9106281567,0.8198807344,0.688358447,0.6573804726,0.6659933412,0.6836481761,0.7757281306,0.8117349187,0.7739911018,0.8037003098,0.7989992529,0.7748789648,0.8189169623,0.7975904795,0.8529974576,0.9356315856,0.972052821,0.9573248167,0.944875782,0.9544817713,0.9291423585,0.8767783352
Denmark,2.146416493,2.410881334,2.534604431,2.803258153,3.367403534,3.729175053,3.708750186,3.88527541,3.57542911,3.180351008,3.0974895,3.297095992,3.253889545,3.14850107,3.102287556,2.645897171,2.50051468,2.142816985,2.02637313,2.025422463,2.08694251,2.046079013,1.873807617,1.858027707,1.799370659,1.748480948,1.756146123,1.737032196,1.830345362,1.947018757,2.00635767,2.178027798,2.098692353,2.017114718,2.00132018,1.940068932,1.833812386,1.785120101,1.714555166,1.676764908,1.701835096,1.710749408,1.695516472,1.624066453,1.538496625,1.567527461
Ecuador,0.1284419429,0.1303190837,0.1365506072,0.1582996732,0.1631493551,0.1809973237,0.1941245616,0.1939034421,0.209055749,0.2319973346,0.2200430242,0.2403954695,0.2913129946,0.2887497362,0.2989705027,0.3722129113,0.4067760304,0.4335338879,0.3866819192,0.3774639143,0.4532158082,0.4485322153,0.4412022883,0.4267482843,0.433724217,0.4073841,0.4517082864,0.4261892998,0.4373158412,0.4676181376,0.4438488591,0.490242034,0.5535074938,0.55528678,0.4961233725,0.470878021,0.4737080104,0.4617222829,0.4745152291,0.4795649802,0.5618121668,0.6016073805,0.6428141765,0.6601923348,0.7081971223,0.732816541
Egypt,0.2183107376,0.2285883608,0.181350653,0.185153644,0.1333717376,0.1691103789,0.1704435903,0.1902747109,0.1750097483,0.1890056484,0.2047732806,0.2366851908,0.2470346135,0.2499443403,0.2678429564,0.2928647101,0.3291884758,0.3657054782,0.3933587048,0.4141301364,0.4106425975,0.4024491227,0.408283473,0.4049328247,0.411571506,0.4179210294,0.4032448293,0.3849206293,0.3600607746,0.35173305,0.3750978227,0.3897149227,0.4043951185,0.4184249628,0.418495314,0.4020788719,0.3786143869,0.3597311347,0.3625254277,0.3681927481,0.4018559034,0.3793117215,0.3971845025,0.4164533521,0.4315308395,0.4474792661
Finland,1.253505147,1.512801782,1.581555946,1.792344353,2.081173832,2.336735709,2.40938366,2.55470547,2.842877064,2.464152454,2.534898095,2.713437822,2.63915547,2.641052076,2.792893177,2.676855764,2.551798319,2.344305404,2.164335809,2.182309317,2.193706262,2.286012933,2.265283677,2.228130424,2.216595904,2.196757166,2.110333868,2.054514549,1.956773174,2.039569296,1.943497418,2.013003648,1.978496113,2.039788593,2.066061668,2.065578143,2.029052029,2.093585041,2.180940948,2.023127526,2.094785199,2.004331044,2.008818752,1.981102203,1.853396002,1.938654268
