Natural Gas Production total (tonnes oil equivalent),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,2280000,2403000,3045000,4041000,4672000,5753000,7246000,6935000,10755000,17629000,12757000,15189000,19742000,28455000,28318000,30842000,32828000,37049000,38732000,41762000,44343000,47880000,49810000,50487000,46458000,52834000,56109000,64629000,68928000,77407000,75971000,70416000,72330000,74546000,73808000,79398000,76020300,76344300,77854500
Argentina,5418000,5855000,5566000,6061000,6523000,6923000,6601000,6813000,7029000,6507000,7556000,7862000,8811000,11826000,12132000,12501000,13959000,13635000,16164000,17091000,16056000,17937000,18081000,19368000,20043000,22509000,26037000,24642000,26631000,31113000,33669000,33426000,32499000,36936000,40392000,41067000,41490000,40320000,39654000
Australia,1566000,2337000,3355000,4260000,4860000,5219000,6161000,7038000,7577000,8722000,10015000,10855000,10587000,11500000,11341000,12123000,13243000,13520000,13846000,16025000,18653000,19527000,21117000,22067000,25332000,26784000,26818000,26822000,27325000,27679000,28049000,29234000,29346000,29862000,31732000,33415938,34997576,35960118,34430625
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11459729,11076923,10180996,9692308,9040724,8063348,7004525,6434389,5538462,5212670,5375566,5131049,4886575,4560609,4886575,4607176,4516953,4189047,4176436,4068750,4668679,5508652,8822525,13268443
Bahrain,559000,815000,1017000,1442000,1778000,1871000,1961000,2127000,2337000,2591000,2103000,1950000,3079000,3227000,3325000,4059000,4647000,4515000,4796000,4989000,5225000,4981000,5820000,6234000,6382000,6488000,6681000,7173000,7542000,7804000,7889000,8215000,8512000,8665000,8782000,9638796,10196723,10609225,12102943
Bangladesh,-,378000,378000,523000,575000,578000,761000,849000,937000,1078000,1214000,1462000,1738000,1964000,2294000,2554000,2909000,3446000,3841000,4244000,4284000,4761000,5162000,5533000,5959000,6643000,6812000,6821000,6997000,7457000,8984000,9656000,10304000,11092000,11899024,13058599,13787474,14646324,15564533
Bolivia,-,-,960000,1480000,1549000,1527000,1574000,1661000,1637000,1790000,2195000,2341000,2428000,2331000,2242000,2222000,2263000,2367000,2502000,2639000,2697000,2681000,2640426,2634420,2840662,2838373,2866301,2415959,2537308,2030599,2907309,4240828,4417322,5727641,8785508,10710488,11607111,12432482,12529542
Brazil,70920,112586,153365,175527,337757,367898,423747,527468,694130,760617,889160,797850,1140039,1541624,1794276,2250824,2621381,2928110,2946726,3021192,2750634,2859546,3239359,3794698,4144227,4573872,4998214,5440612,5699157,6691845,6741539,6885206,8318792,9036994,9938837,9943960,10211171,10155617,12465582
Brunei,197000,195000,401000,1751000,3801000,4984000,6574000,7544000,7394000,7746000,7775000,7528000,7519000,7842000,7935000,7736000,7756000,7738000,8040000,7879000,8033000,8154000,8777000,9293000,9352000,10585000,10493000,10501000,9694000,10105000,10168000,10257000,10313000,11119000,11009374,10808716,11313348,11028580,10924820
Canada,51039000,55800000,63000000,67500000,66100000,67518000,68112000,71550000,69048000,72810000,67302000,65034000,68265000,64206000,70371000,75795000,71176000,77344740,89316720,94891590,97745940,102877380,113352480,124784910,135068130,143805240,149117040,151726770,156093480,159122970,164019240,167826600,169080030,166187790,165340350,168679260,169560090,165712770,157650390
China,2583000,3366000,4356000,5382000,6777000,7965000,9090000,10908000,12357000,13059000,12843000,11466000,10737000,10989000,11187000,11637000,12384000,12501000,12834000,13544100,13768200,13941000,14211000,15088500,15803100,16152300,18102600,20432700,20951100,22678200,24480000,27296100,29394900,31513500,37314000,44388000,52697700,62316000,68473800
Colombia,1168000,1244000,1505000,1496000,1518000,1461000,1534000,1772000,2256000,2573000,2850000,3055000,3221000,3457000,3493000,3618000,3708000,3769000,3868000,3570000,3715000,3693000,3636000,3815000,3739000,3966000,4234000,5335000,5637000,4663000,5332000,5492000,5548000,5465000,5715014,6027751,6325418,6786594,8152398
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209000,1010000,1713000,2183000,2156000,2765000,2823000,3547186,3694877,4053488,4391971,4755544,5778580,7073881,6808662,6979858,7337686,7543899,7544163,7168258,8487394,9402398,9372759,8300950,9081539
Egypt,76500,76500,63900,51300,54000,-,342000,414000,666000,1008000,1962000,2196000,2403000,2817000,3618000,4437000,5112000,5652000,6228000,6966000,7263000,8172000,8838000,10161000,10890000,11250000,11970000,12240000,12600000,15120000,18900000,22680000,24570000,27090000,29700000,38250000,49230000,50121000,52983000
Germany,9944000,12418000,14831000,16667000,17494000,15920000,16766000,17006000,18186000,18243000,16670000,17229000,15458000,16530000,17383000,15682000,15021000,16658000,15025000,14160000,14333000,13230000,13426000,13365000,14012000,14456000,15656000,15393000,15037000,16061000,15190000,15334000,15294000,15921000,14732172,14224140,14051772,12871656,11724048
India,591753,627075,687825,686025,776475,994050,1207575,1289700,1440450,1791450,1059525,1849725,2425050,2885400,3304575,4042125,5647815,6505902,7621236,9061209,10839960,12072438,13497372,13714677,14827248,16903944,18450441,20059605,22014117,22556916,23715765,23776596,24830100,26580996,26310636,26660700,26356500,27063900,27522000
Indonesia,1115000,1128000,1106000,720000,1014000,2097000,2115000,5094000,9792000,14202000,16659000,16893000,17172000,19593000,26415000,29070000,30249000,32319000,35298000,37134000,39493443,43367774,45958596,47746610,54401933,54647671,57581184,59115349,58128929,63034434,58668608,56960083,62691085,65903770,63269139,64079695,63225891,60865641,62700864
Iran,11593000,12850000,14708000,16010000,18595000,18254000,17997000,16967000,15253000,16122000,6424000,5355000,6480000,9900000,12150000,13140000,13680000,14400000,18000000,19980000,20835000,23175000,22500000,24363000,28620000,31770000,35100000,42300000,45000000,50724000,54216000,59400000,67500000,73350000,76410000,93150000,97740000,100710000,104670000
Italy,10818186,11023388,11682997,12618444,12595400,12005009,12900150,11316595,11303095,11028246,10262790,11501182,11809179,10588951,11207158,11538457,12930030,13251784,13468680,13767218,14029751,14110985,14733512,15681642,16545679,16346690,16363607,15895000,15682000,14418000,13722000,12575000,12064000,11455000,10693000,9959000,9058000,8007450,7538850
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4447059,4723982,5131222,5782805,5457014,5782805,6434389,6597285,5457014,3665158,4805430,5294032,6608567,6473718,8100636,9400618,9455916,9211442,11302085,18001710,20339919,21487276,23799991,27189367
Kuwait,1833000,1894000,2238000,2507000,2638000,2891000,3478000,3792000,4249000,5626000,3664000,4216000,3308000,3632000,3938000,3780000,5157000,4302000,6156000,7344000,3771000,450000,2358000,4878000,5373000,8350000,8372000,8343000,8542000,7776000,8640000,9450000,8514000,9918000,10710000,10980000,11250000,10890000,11520000
Libya,-,1303000,2878000,3418000,3148000,4176000,4302000,4545000,4608000,6111000,4653000,3420000,3042000,3105000,3303000,4140000,5040000,4500000,4950000,6120000,5580000,5886000,6093000,5724000,5751000,5706000,5778000,5913000,5724000,4518000,5292000,5562000,5310000,4950000,7254000,10170000,11871000,13770000,14310000
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,214000,6775000,9234000,12559000,14031000,14796000,15744000,16044000,18334000,20505000,22437000,23517000,25992000,30279000,34768000,34621000,36759000,40733000,42246000,43499000,46627000,48488661,53952731,53714573,54737165,56285100
Mexico,10122647,10020135,10438832,11350268,11903482,12088970,11878212,12586319,15757380,19141373,23136668,24907495,26619017,26803454,26368539,25618850,22779091,23151213,23457987,22515191,24407925,24749188,23962859,25837303,26665283,25885376,31499396,32079425,34533626,33393666,33990516,33674644,35018101,37041221,38423899,40517380,46422978,48628936,49411961
Myanmar,-,-,-,-,150975,162000,225000,207000,243000,243000,315000,378000,405000,540000,576000,828000,963000,1071000,936000,981000,765000,774000,783000,990000,1287000,1476000,1440000,1359000,1584000,1548000,3060000,6300000,7560000,8640000,9180000,10980000,11340000,12168000,11160000
