Natural Gas Production total (tonnes oil equivalent),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Netherlands,24011909,33183061,44235010,53784136,63764908,69067878,73803887,74047302,67783523,71089281,68737529,63826895,54565029,58114958,58833864,61602898,56309000,56426927,49804829,54442566,54929396,62061758,62470726,63724086,60194569,61012504,69055782,61109265,58287314,54202931,52279801,56184268,54267186,52246539,61608946,56288589,55410934,54491702,60769089
New Zealand,100000,127000,230000,267000,312554,343938,806965,1368229,1282889,857911,793852,968401,1717971,1860275,2371238,3036328,3644884,3509888,3799656,3908212,3896604,4227859,4482158,4371453,4066853,3856406,4396604,4711737,4150903,4810189,5056105,5320722,5057825,3858126,3453138,3203138,3312984,3650258,3430782
Nigeria,100000,185000,248000,380000,355000,318000,590000,777000,941000,1240000,1499000,2208000,2300000,2607000,2508000,2376000,2771000,2744000,3299000,3820000,3637000,3548000,3840000,4376000,3997000,4350000,4893000,4593000,4618000,5440000,11282000,13410000,12780000,17280000,20520000,20160000,25587106,31512712,31523926
Norway,-,-,-,-,-,-,-,2390000,12781000,18603000,22579000,22456000,21564000,21252000,23367000,23567000,23481000,25336000,25497000,25864000,22931000,22524000,23251000,22324000,24158000,25033000,33666000,38655000,39771000,43631000,44773000,48506000,58951000,65812000,70618500,76466700,78851700,80695800,89307900
Oman,-,-,-,-,-,-,-,-,289000,486000,617000,727000,796000,988000,1242000,1581000,1849000,2071000,2084000,2163000,2337000,2370000,2590000,2486000,2603000,3646000,3942000,4484000,4656000,4907000,7803000,12573000,13500000,14850000,16650000,17811000,21330000,21645000,21645000
Pakistan,3137000,3128000,2899000,3302000,3653000,4104000,4185000,4572000,4698000,5292000,6462000,7047000,7686000,7578000,7776000,7938000,8514000,9117000,9666000,10305000,11007000,11889000,11664000,13428000,13689000,14040000,15255000,15210000,16020000,18270000,19350000,20430000,22149000,27396000,31014000,31950000,32508000,32814000,33750000
Poland,4402000,4540000,4803000,4870000,4715000,4851000,5283000,5560000,5964000,5348000,4543000,4037000,3724000,3638000,3996000,4134000,3752000,3769000,3740000,3463000,2377000,2658000,2537000,3271000,3068000,3138000,3243000,3204000,3248000,3102000,3306000,3491000,3568000,3611000,3925580,3884351,3880353,3896723,3650104
Qatar,905000,905000,993000,1422000,1168000,1803000,985000,1396000,1331000,3926000,4267000,3891000,4550000,4712000,5337000,4914000,5220000,5049000,5274000,5580000,5670000,6867000,11358000,12150000,12150000,12150000,12330000,15660000,17622000,19845000,21330000,24300000,26550000,28260000,35253000,41220000,45630000,56880000,68958000
Romania,21000000,22442000,22956000,24304000,25084000,27248000,29722000,31476000,31691000,30281000,31267000,32910000,33275000,33020000,32784000,31336000,31712000,30139000,29515000,26458000,25502000,22014000,19604000,18532000,16812000,16239000,15524000,13469000,12629000,12624000,12375000,12211000,11904000,11726000,11513000,11160000,10747800,10370700,10368000
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,376305883,409683259,443321268,480380092,501556562,522081449,523710409,521592761,503348418,494552037,484933164,489876977,464986197,481357242,481112768,475818736,473619437,484940925,505221618,515974988,522093666,534448838,532780478,541508686
Saudi Arabia,1455000,1214000,1376000,1620000,2050000,2439000,2633000,3705000,5109000,6273000,8752000,10204000,10815000,10561000,16380000,16920000,22680000,24120000,26190000,26820000,30168000,31653000,34425000,36036000,38493000,38637000,39969000,40806000,42138000,41580000,44829000,48321000,51030000,54054000,59112000,64116000,66150000,66960000,70290000
Syria,-,-,-,-,-,-,-,-,-,-,-,-,-,64000,109000,129000,326000,321000,759000,1243000,1369000,1597000,1652000,1635000,1773000,2235000,2382000,3694000,4780000,4893000,4942000,4529000,5509000,5550000,5752000,4942000,5104000,5063168,4932506
Thailand,-,-,-,-,-,-,-,-,-,-,-,237012,1207997,1422072,2122914,2790626,3255730,4548720,5643180,5385907,5869616,7274231,7760539,8734658,9655564,10222992,11818032,14548461,15794941,17301879,18216745,17673962,18473941,19590191,20128897,21320379,21887807,23394744,25967956
Trinidad and Tobago,1644000,1602000,1656000,1590000,1453000,1320000,1486000,1747000,2085000,2277000,2483000,2604000,3187000,3557000,3710000,3706000,3910000,4052000,4561000,4604000,4744000,5135000,5363000,5284000,5609000,5513000,6357000,6651000,7776000,10557000,12645000,13671000,15570000,22266000,24570000,27252000,32796000,35100000,35370000
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67756561,68986426,71755656,71918552,73221720,71511312,68660634,48950226,53185520,29076917,26307692,28669460,14090256,10832539,18570344,38280597,41782788,43574630,48124344,47484163,51312217,54325792,58886878,59457014
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34924887,32334842,28995475,26389140,25085973,22886878,19873303,17104072,15638009,14823529,14823678,14986661,15208822,14635472,14751888,14565622,14905170,15214643,15756109,16641448,16924887,17154570,17226244,16870154
United Arab Emirates,750000,1324000,1344000,1562000,1564000,1494000,1746000,3510000,5139000,5499000,6768000,7974000,8550000,7524000,9900000,11907000,13698000,15201000,15624000,18342000,18099000,21429000,19953000,20691000,24174000,28188000,30420000,32679000,33363000,34641000,34542000,40446000,39051000,40311000,41661000,43011000,44136000,45396000,45216000
United Kingdom,9415000,15646000,22576000,24512000,29562000,30783000,32599000,34061000,32617000,32936000,31311000,31241000,31753000,32741000,32007000,35711000,37545000,39307000,37853000,37069000,40932000,45574000,46345000,54488000,58172000,63726000,75762000,77298000,81144999,89176720,97537003,95243254,93244786,92579301,86722598,79352957,71965282,64868321,62646399
United States,545974016,561446556,559632186,559102995,534483009,494919675,490887743,493029707,491013741,505906690,501673161,496406450,461631035,418136566,453793967,427888802,416826188,431819936,443487340,449736835,461807432,459363073,463042211,468308922,487561399,480858311,487460600,488720579,494239286,487385002,495474065,508174652,489854560,496204853,481135507,468056927,479346337,494491282,532971035
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28172851,31438914,32416290,32497738,33475113,33230769,34111955,34862172,36679765,38427964,39549502,39890769,41737195,44625339,45269593,45948869,46762534,46729140,46821991,48758824,48613032,49031674,53185520,55954751
Venezuela,6939000,6725000,6684000,8234000,8702000,8464000,10492000,11453000,11557000,12944000,13325000,13397000,14295000,14076000,15570000,15593000,17167000,16728000,17125000,17584000,19769000,19712000,19456000,20996000,22208000,24751000,26758000,27747000,29102000,24669000,25132000,26634000,25574000,22701600,25564500,24677100,28334700,28879200,28334700
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,59000,51000,-,-,-,-,-,-,65000,189000,225000,225000,131000,258000,478000,810000,1170000,1440000,1800000,2160000,2136000,3744000,6201000,6109041,6371730,7149600
