Adult (15+) literacy rate (%). Female,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,4.987460442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25227398,,,,,,,94.68181425,,,95.69147996
Algeria,,,,,,,,,,,,,35.83991508,,,,,,,,,,,,,,,60.07508212,,,,63.91878516,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,54.19448828,,,,,,,,,,58.60846
Anguilla,,,,,,,,,,95.71493009,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42,,,,,,,,,,99.42
Argentina,,,,,,93.58089449,,,,,,,,,,,96.04135849,,,,,,,,,,97.19341078,,,,,,,,,,97.89042
Armenia,,,,,,,,,,,,,,,98.15013611,,,,,,,,,,,,99.16106553,,,,,,,,,,99.45376
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,97.07135982,,,,,,,,,,96.71977726,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,98.1747846,,,,,,,,99.39787584,,99.68215228,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,58.59109239,,,,,,,,,,76.93231878,,,,,,,,,,83.55741761,,,,,,,,,91.61257606,
Bangladesh,,,,,,,17.9716294,,,,,,,,,,25.83897988,,,,,,,,,,40.82334996,,,,,,,,,,53.4105
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,96.62822074,,,,,,,,,,99.41971938,,,,,,,,,,99.49399274,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,70.328394,,,,,,,,,,,,,,,,,,,,
Benin,,,,,9.539079983,,,,,,,,,,,,,16.56523947,,,,,,,,,,23.30013764,,,,18.44291413,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.68065663,,,,,,
Bolivia,,51.37464525,,,,,,,,,,,,,,,,72.31321705,,,,,,,,,80.65438292,,,,,,85.98593929,86.83175386,86.82145717,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,94.35994469,,,,,,,,,,,96.69526
Botswana,,,,,,,,,,,,,,,,,71.29923592,,,,,,,,,,,,81.80794841,,,,,,,,85.56156
Brazil,,,,,,72.85314781,,,,,,,,,,,,,,,,,,,,86.50004781,,,,88.80612665,,89.855592,90.22800731,90.21955497,90.41121725,90.68169519,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,68.9825841,,,,,,,,,,82.46135628,,,,,,,,,,90.161545,,,,,,,,,,93.92081
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,97.70648587,,,,,,,,,,97.98389745
Burkina Faso,3.182765695,,,,,,,,,,,,,,,,8.225427427,,,,,8.057980272,,,,,,,15.18876771,,16.62224164,,21.57956529,,,,
Burundi,,,,,11.98356788,,,,,,,,,,,27.52929838,,,,,,,,,,52.23776224,,,,,,,,84.59146849,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,56.99250426,,,,,,64.05099021,,,,70.85819853,65.93124796,,
Cameroon,,29.11612852,,,,,,,,,,,,,,,,,,,,,,,,58.72176151,,,,,,,63.02205763,,,64.7994984,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,52.9986161,,,,,,,,,,,,,,74.06926,,,,,,,80.25824
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02147732,,,,
Central African Rep.,8.399575854,,,,,,,,,,,,,20.33688024,,,,,,,,,,,,35.29090412,,,,,,,,,,,44.17747
Chad,,,,,,,,,,,,,,,,,,,4.591826155,,,,,,,12.79641937,,,,17.98058252,,,,,,,25.39826
Chile,,,,,,,,90.80012052,,,,,,,,,,94.03671356,,,,,,,,,,95.64092669,,,,,,98.69557276,98.49127671,,
China,,,,,,,,51.13680838,,,,,,,,68.07207742,,,,,,,,,,86.5265951,,,,,,,,,,92.71123475,
Colombia,,,,,,,,,,,,,,,,,,,81.23548178,,,91.31400011,,,,,,,,92.71462746,92.91124767,92.22059589,92.84562398,93.43537326,93.41513029,93.48678885,93.66713783
Comoros,,,,,,40.31761594,,,,,,,,,,,,,,,,,,,,63.45901639,,,,,,,,,,,70.57002
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,54.06089586,,,,,,46.10425444,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
