"GDP per capity, 2005 ppp, WB data",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,19770.02479,20121.90323,20427.91154,19705.99655,20380.11517,21134.76433,21737.51078,21956.06758,22868.12842,23370.16886,23849.99649,23491.59637,23313.65422,24029.99783,24720.00731,25385.45046,26101.73154,26836.69461,27776.29108,28877.68626,29662.9653,29871.95938,30661.56113,31276.5457,32200.84116,32719.02501,33233.32568,33805.98448,34405.90488,34183.62126,34409.47442,34548.31969
Austria,20768.79057,20686.02613,21073.66408,21731.01955,21745.57434,22269.24732,22770.66608,23062.64735,23752.19101,24564.54011,25437.45278,26051.50936,26305.79615,26227.2065,26754.04856,27425.8194,28064.39862,28679.8631,29732.90823,30725.35544,31775.73316,31925.7334,32307.13267,32428.53081,33062.53159,33626.38683,34688.34224,35834.55607,36177.36111,34681.08772,35380.23766,36352.99748
Azerbaijan,,,,,,,,,,,4753.926502,4647.933751,3543.406632,2683.797458,2126.154369,1853.794686,1859.025573,1947.966603,2122.521692,2259.670188,2489.953857,2715.340053,2980.840663,3289.675898,3593.625159,4496.143936,5981.242209,7395.156017,8023.568247,8589.563915,8912.370497,8889.890598
Bahamas,26044.90018,23122.56761,24127.19798,24451.48467,27331.7365,28083.1296,28057.15061,28390.01141,28555.82899,29960.75339,28969.46658,27256.06295,25728.46961,25336.7016,25686.18886,26394.25146,27130.53488,27348.74717,28308.07382,29977.91102,30837.54213,31232.22674,31636.90897,30793.70935,30617.66941,31199.35797,31519.93406,31509.64853,30334.62498,28459.74029,28134.84802,28239.05741
Bahrain,21139.01257,19255.71443,17257.53132,17874.54133,18274.4628,16899.79433,16547.40889,17641.80887,18221.53956,17682.94541,17909.58849,19378.51012,20157.31851,22210.25977,21627.93185,21925.47795,22197.50003,22186.64754,22555.18217,22942.2258,23725.56667,24650.19865,25964.58002,27614.94073,28093.65495,28068.47168,26752.5515,25404.38292,23755.4762,22037.23663,21345.19106,
Bangladesh,676.8075266,683.3903194,680.9580791,689.6514858,706.2529581,709.6222879,719.9407192,726.8523387,723.0072401,722.9697446,747.1902955,754.1384758,774.4845794,792.5134772,807.5819563,829.844683,850.5234198,878.4605497,906.362208,932.477445,969.7849603,1002.730381,1028.899387,1065.142089,1114.633367,1164.596077,1226.399293,1290.693441,1356.258493,1418.986839,1488.286811,1568.437856
Barbados,14938.80498,14406.50253,13625.22809,13584.29508,13972.92025,13979.21795,15230.98717,15322.29426,16215.54361,16968.98545,16096.48955,15576.72936,14756.70205,14859.93824,15406.3543,15589.68935,15826.28022,16784.27233,17418.45354,17815.32354,18175.86709,17213.43023,16564.77832,16861.26803,17446.61083,17964.8368,18540.77949,18591.21135,18586.21912,17564.36616,,
Belarus,,,,,,,,,,,6434.05941,6353.732759,5731.405284,5283.922416,4671.178065,4198.924437,4330.939282,4845.172504,5277.204636,5475.117427,5810.043576,6105.786817,6443.088487,6932.533067,7765.217946,8540.816352,9436.321528,10284.54004,11456.61003,11590.01457,12504.80624,13191.19114
Belgium,20792.88491,20735.36061,20864.40282,20931.12974,21447.69358,21795.47198,22184.84154,22677.22922,23672.93987,24405.38038,25096.11808,25461.35989,25746.41655,25399.35499,26138.30317,26705.64817,27033.1748,27975.04975,28453.84294,29393.57797,30398.44681,30538.75359,30815.599,30934.38116,31807.18698,32189.35133,32846.93669,33558.65196,33617.42962,32414.0013,32837.35224,33126.51554
Belize,3342.015744,3297.233894,3203.362708,3073.224241,3036.745511,2991.258706,3050.985564,3300.213879,3512.842034,3898.973378,4181.010474,4500.823622,4915.835053,5071.471964,4935.041498,4840.64365,4788.163758,4785.463817,4787.554509,5109.373842,5620.663922,5727.332455,5840.045092,6186.142736,6268.152245,6254.342073,6337.175353,6213.598683,6218.930074,6011.756833,5979.715059,5895.770994
Benin,1134.067853,1213.972757,1207.678968,1123.736711,1179.801158,1234.1733,1227.078713,1176.337417,1183.165584,1116.37083,1117.011083,1131.606672,1136.83403,1136.308184,1146.413196,1161.440801,1189.897887,1228.016898,1249.024713,1271.586493,1306.464565,1330.249056,1346.702183,1354.895275,1352.89997,1349.137385,1361.997487,1382.35088,1410.529701,1422.293104,1423.889327,1427.694066
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,938.8054209,990.7954326,1038.232749,1089.153382,1105.023357,1155.26324,1342.027382,1496.469896,1553.997089,1679.156232,1770.093666,1838.022883,1940.968019,2049.325135,2193.295661,2320.445251,2410.053397,2486.456786,2586.037392,2703.118527,2809.424753,2969.165398,3128.845475,3283.608521,3480.176983,3633.734825,4198.605592,4314.560448,4525.483051,4780.116712,5095.597499
Bolivia,3779.035629,3707.459306,3486.10315,3275.258229,3200.164471,3079.715846,2935.906294,2942.846993,2961.866443,3005.662071,3074.12728,3162.237583,3140.407959,3199.233638,3272.437449,3349.098977,3418.879914,3511.608361,3610.994621,3551.747421,3566.993685,3554.544909,3571.294387,3597.701941,3678.16658,3772.038631,3885.021877,3995.024559,4172.334708,4244.019317,4349.550779,4499.197181
Bosnia and Herzegovina,,,,,,,,,,,,,,,1325.98323,1664.248913,3169.865243,4184.095384,4677.44996,4954.029305,5095.955058,5242.579426,5480.211436,5689.123106,6038.328979,6340.84407,6732.931116,7198.190442,7598.123984,7389.708194,7463.750655,7607.441804
Botswana,3432.585747,3610.803976,3910.678789,4276.505682,4489.278602,4653.180112,4872.863924,5281.347914,6115.061157,6705.48058,6948.157306,7250.317867,7251.171807,7188.370866,7254.660751,7386.787755,7614.119081,8202.376426,8882.162736,9156.100687,9530.940501,9722.038269,10459.28857,10981.8499,11499.36619,11542.21597,11973.91413,12376.27915,12562.40408,11794.8246,12462.61406,12938.9483
Brazil,7566.517959,7067.06896,6944.95729,6556.751339,6751.073089,7134.174453,7548.790309,7669.289768,7519.342565,7627.696227,7174.757871,7163.729365,7017.953649,7232.881903,7503.38936,7716.220189,7762.485505,7902.962475,7787.394784,7692.209306,7909.105808,7901.677245,8002.597392,7990.103471,8343.609593,8509.426303,8753.230644,9196.416938,9583.866106,9468.207522,10092.72696,10278.42975
Brunei,80588.01524,62594.9828,63162.1805,61694.89195,60351.65804,57810.48951,54683.41532,54238.37876,53313.77327,51276.41712,50393.21201,50529.16497,51458.08739,50189.42614,50367.59084,51239.92961,51371.31271,49363.47673,47910.17151,48223.6213,48478.17432,48719.15343,49533.44935,49921.66522,49162.46998,48377.12574,49523.48353,48654.58182,46820.49084,45155.60531,45506.58906,
Bulgaria,5830.317333,6095.66347,6219.545283,6416.861674,6619.301294,6797.026444,7084.89692,7502.807536,8314.618112,8135.713254,7528.528071,6961.323582,6524.760619,6479.660594,6619.903678,6839.641384,6254.189722,6188.838156,6533.150736,6698.923368,7117.56846,7551.590855,8055.230459,8547.487295,9174.011021,9809.338565,10508.5605,11238.41113,11992.13195,11389.73302,11512.45824,11799.45649
Burkina Faso,613.2736484,624.106617,667.1779646,652.9725824,625.3205394,661.4060154,695.7484578,676.1542975,696.6678056,692.9121122,670.4622708,711.7288621,694.1901909,698.7913968,688.7586666,708.3059983,764.8613223,790.9115815,825.3719345,861.9669226,853.44398,884.6784833,900.1390685,944.9492303,960.4847051,1013.54087,1050.77602,1056.942191,1085.513907,1084.894192,1136.035599,1148.517615
Burundi,604.3068338,657.5417976,630.1496674,632.4250794,612.8218618,663.0665603,663.0730684,678.1410967,691.5504553,682.1276976,689.0738545,708.0460129,701.5871113,646.9184692,613.4734664,558.4248503,509.273971,497.8333074,517.9592847,507.8200818,496.306128,496.7442964,506.6395472,487.0707471,496.0511859,485.8903454,496.7807644,504.7916432,514.5459807,517.5713706,523.5815877,533.2931232
Cambodia,,,,,,,,,,,,,,740.0038579,783.3454022,810.884903,833.1681885,859.5623237,883.4196923,969.3617832,1035.49338,1100.455099,1156.545667,1237.677966,1348.086047,1508.008397,1650.871655,1798.974188,1898.138582,1878.682433,1968.131689,2079.98501
Cameroon,2006.727844,2282.048756,2384.312986,2476.632064,2586.678757,2715.302854,2815.12223,2674.291473,2393.18096,2281.834142,2081.745856,1946.671648,1834.694912,1728.478652,1641.475304,1652.993795,1693.473207,1737.943124,1783.555033,1819.656061,1853.243515,1893.254308,1924.949792,1957.766908,1985.070826,1985.738586,2004.634813,2029.385941,2042.735176,2038.359475,2058.09315,2090.282746
Canada,23070.39782,23584.17483,22635.36859,23018.55998,24123.8405,25043.13069,25392.91593,26127.93659,27075.83077,27293.87772,26941.15046,26021.06033,25928.58116,26246.13497,27243.91104,27778.03578,27925.27945,28799.35035,29720.99855,31106.65914,32446.78708,32693.85017,33349.45697,33639.97767,34343.67186,35033.42293,35730.41647,36124.31315,35948.05699,34526.90333,35222.88206,35716.02764
Cape Verde,,993.9219689,1028.924474,1114.096233,1202.589443,1274.204364,1289.206586,1310.403038,1377.135947,1439.521676,1426.675718,1416.361237,1426.172922,1485.719576,1546.264279,1620.730185,1647.152787,1699.407327,1789.154447,1906.472234,2187.091496,2280.344613,2360.268826,2431.645951,2499.035936,2627.66234,2861.573261,3078.462387,3240.087884,3331.330694,3473.944577,3615.803881
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,955.4513219,914.1073045,955.47318,851.7076677,905.963994,916.8709486,927.2208245,862.3675665,858.9772144,857.4115113,820.0543221,795.8447874,725.9834175,709.8001755,725.8740182,759.3707245,712.144956,733.1914956,751.3527858,762.8254931,765.756478,754.4135544,737.8414203,671.1033216,667.1460547,672.0038041,685.6534549,698.4789941,699.5004837,698.1848425,707.6358846,715.6235468
Chad,650.4265374,642.8088604,661.6810836,746.9657455,742.7499306,880.0136032,819.7237185,775.9016439,868.1764183,882.2579958,819.4809494,862.6546305,903.9545084,739.3490499,789.9646219,775.4754949,768.3855665,786.8116487,815.1071183,783.3462737,750.453794,808.8617336,846.4161699,936.792144,1209.431606,1373.942588,1335.981934,1301.514839,1262.005474,1214.561269,1336.989045,1342.760813
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,5653.806044,5833.133689,5149.813503,4875.646367,5178.746207,5456.236287,5666.372939,5939.544322,6266.437419,6809.117275,6936.817686,7354.997307,8107.675086,8517.78737,8848.04944,9629.068133,10186.43738,10706.17643,10905.74643,10686.06343,11029.44426,11267.18735,11382.13069,11697.67025,12271.76298,12662.91836,13248.30745,13794.17963,14110.62842,13832.49022,14540.16023,15271.79324
China,523.9502539,544.180142,585.0213221,639.4813812,727.079904,814.0746264,872.6365967,958.3700843,1049.629343,1076.039515,1100.659931,1185.632603,1337.500032,1507.321586,1685.620731,1849.152636,2012.859331,2177.653613,2325.092775,2480.231467,2667.469383,2867.961183,3108.0518,3397.628437,3718.636985,4114.572834,4611.303228,5238.676581,5712.24562,6206.264294,6818.707496,7404.314282
Colombia,5296.862191,5296.373736,5228.929678,5196.198395,5255.263838,5303.043801,5495.890398,5672.563678,5784.035919,5863.331019,6096.664358,6116.380192,6303.646727,6333.63218,6581.210269,6799.118619,6815.633145,6925.808782,6844.94415,6445.909304,6618.868019,6620.326724,6677.779896,6830.740614,7083.996585,7304.555744,7676.77756,8085.182944,8250.3933,8267.566812,8479.351874,8861.058632
Comoros,1205.667823,1208.474219,1243.163069,1262.462203,1275.457079,1267.719886,1256.691314,1244.599614,1246.550536,1177.773535,1208.103619,1115.656845,1182.008157,1188.442731,1098.578583,1110.420686,1068.893141,1083.991654,1069.915163,1062.416256,1049.502048,1056.090437,1070.983156,1068.483004,1037.63964,1052.770489,1037.473138,1014.846758,997.6430701,989.1111958,983.8008284,980.1098288
"Congo, Dem. Rep.",778.6940476,775.1266755,750.7644837,740.8630194,760.4980384,742.481896,755.1370909,752.6527132,733.0801208,700.0491884,630.9199706,555.6591021,477.2980108,396.5435238,367.0640923,357.7468316,344.4893571,317.6063248,305.8244426,286.3799012,260.1920931,247.9181057,249.1772858,255.7780598,264.6569006,276.993508,284.1981292,293.6157917,303.1930533,303.3884434,316.4715241,329.2991907
"Congo, Rep.",2950.746161,3370.199196,4044.409036,4157.006069,4319.366979,4147.544838,3755.526535,3659.371481,3622.955781,3617.152782,3555.653261,3544.492876,3541.039216,3413.427401,3139.946247,3177.404355,3222.739102,3113.951787,3139.582353,2975.777594,3119.90563,3160.298457,3229.694221,3181.767979,3216.105886,3381.188323,3494.370733,3344.741484,3433.730328,3591.777401,3808.093879,3884.856239
Costa Rica,6377.736364,6062.637085,5466.292406,5468.279426,5648.857702,5553.489043,5717.823224,5949.599064,6016.080414,6159.136611,6238.929312,6242.404112,6650.177487,6973.318491,7128.159518,7227.372985,7110.702257,7319.746144,7738.630242,8176.168729,8137.204708,8052.6809,8123.524192,8483.319167,8687.700669,9041.537249,9672.827953,10274.41747,10391.86134,10133.38656,10452.56973,10731.8891
Cote d'Ivoire,2619.955565,2594.207937,2488.595915,2292.044202,2140.505175,2150.564663,2138.845207,2056.178204,2008.500306,1998.263569,1910.528035,1848.09851,1783.52326,1723.61904,1684.728968,1752.733862,1836.565538,1891.190931,1932.857075,1919.478341,1810.689712,1776.954708,1722.190838,1668.708877,1672.170868,1666.009606,1649.484491,1648.905557,1657.087673,1687.787623,1694.339998,1581.44753
Croatia,,,,,,,,,,,13386.76983,11196.09336,9973.115754,8836.645867,9335.279782,9925.030722,10921.99136,11438.16127,11848.26227,11588.24645,12370.55168,12782.38649,13405.94526,14125.98765,14712.48381,15331.78789,16095.69542,16925.37433,17300.33791,16282.22616,16128.31697,16162.19199
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,11256.99987,11350.30077,11892.22251,12452.94604,13369.20324,13852.53155,14201.8103,15040.74973,16168.92423,17206.89004,18091.31901,17759.38959,18918.69343,18596.57844,19290.64037,20099.63565,20147.54876,20330.48092,21095.551,21871.89786,22731.77273,23393.34261,23586.88614,23630.10885,24061.81316,24407.93895,24929.47475,25826.45205,26456.15767,25789.7083,25961.04672,26045.44577
Czech Rep.,,,,,,,,,,,16515.513,14632.33064,14543.33481,14537.21888,14854.50433,15746.15513,16480.1487,16357.26894,16334.13824,16625.41388,17340.75109,17940.43301,18382.84273,19070.48392,19957.99817,21264.41393,22683.44791,23833.45558,24359.49355,23076.64928,23635.21602,23966.64661
Denmark,20789.88462,20611.35221,21392.56797,21974.95252,22902.32846,23814.36448,24959.59451,25000.27507,24952.48045,25080.38366,25442.17068,25706.22856,26127.50576,26017.26885,27362.26563,28054.43272,28686.84164,29481.60699,30009.36331,30676.06749,31652.54989,31761.63679,31807.81346,31843.16711,32490.36713,33193.23729,34207.44552,34595.28003,34123.025,31960.90232,32231.50202,32399.30467
Djibouti,,,,,,,,,,,2736.429087,2532.229412,2477.274834,2278.38994,2221.3867,2098.327085,1956.094706,1879.327479,1817.886988,1798.417399,1755.675509,1749.385001,1758.414087,1781.265406,1816.576485,1840.238177,1892.708614,1951.865637,2026.015526,2087.169671,,
Dominica,4002.413989,4482.390711,4680.627893,4833.560379,5132.585049,5239.108964,5657.166481,6137.734258,6721.113356,6751.827461,7138.091384,7190.000585,7324.798412,7425.009793,7513.446607,7660.312948,7882.56399,8038.246619,8489.565188,8598.368992,8444.377664,8456.350867,8320.981051,8964.723705,9277.071615,9259.085997,9720.975122,10136.95719,10968.80984,10925.94616,10989.21153,11119.60841
Dominican Rep.,3765.838107,3838.013788,3815.49329,3903.270564,3865.395465,3701.521264,3750.344522,4043.301746,4045.306387,4137.477865,3833.411623,3793.075051,4110.205777,4323.066597,4340.807864,4497.494681,4735.40369,5029.608837,5295.539716,5561.969281,5785.0716,5799.099225,6041.639024,5936.13329,5925.372049,6380.369074,6960.536184,7444.534123,7727.968733,7887.254354,8386.921383,8650.611154
Ecuador,5698.60073,5731.093451,5546.506954,5264.019474,5324.490713,5340.264573,5418.677212,5172.474168,5470.855825,5395.327786,5413.961451,5568.734835,5530.799351,5431.7079,5574.904645,5567.597719,5603.04659,5736.100148,5766.401094,5319.264875,5381.167965,5574.86081,5760.971219,5848.515569,6258.159166,6510.394446,6713.084883,6746.007831,7127.986593,7051.037236,7200.990669,7443.048058
Egypt,2403.684185,2435.83637,2614.210765,2741.217551,2839.012069,2954.363579,2960.092592,2962.364666,3046.771231,3127.405199,3237.322745,3209.622897,3292.112878,3330.263293,3405.18521,3504.034872,3617.254956,3751.744431,3836.863025,4000.799422,4141.326871,4210.576071,4231.359552,4285.64277,4378.550947,4490.619597,4711.269402,4955.158186,5216.092147,5365.111601,5543.537227,5546.525131
El Salvador,4371.757288,3854.272314,3558.967368,3564.06631,3563.899377,3539.223091,3500.785658,3544.005257,3565.093823,3552.10745,3671.932902,3746.708097,3966.940421,4194.037023,4385.1404,4608.95862,4640.649934,4798.171909,4945.05357,5087.045612,5171.009878,5236.719593,5339.395036,5443.758016,5525.855912,5702.187624,5901.869248,6101.986739,6150.744796,5928.255801,5977.560457,6031.884582
Equatorial Guinea,,,,,,2238.565308,2083.211244,2094.529797,2083.69545,1997.696781,1999.053715,1911.65578,2045.690481,2101.503921,2135.333149,2359.819373,2948.929427,4886.184481,5766.958249,7898.816054,8681.631405,13615.38135,15759.72542,17407.38982,23297.19604,24813.40655,24401.73689,28798.39262,30988.24226,31861.43517,30750.32597,32025.73005
Eritrea,,,,,,,,,,,,,450.141921,511.2659154,618.6895985,631.1365141,678.8975326,716.7431462,709.637192,687.3532898,576.3788371,672.2728661,664.3356542,619.9360674,603.7921135,596.1189084,570.1084434,559.8374208,489.8046431,493.7735537,489.6986491,516.4996604
Estonia,,,,,,,,,,,,,,,,7938.072625,8530.549685,9641.09745,10397.01767,10447.97286,11512.50683,12284.24394,13142.7196,14216.53178,15166.07326,16547.96064,18253.44373,19648.44954,18941.29094,16245.56123,16614.64714,17885.42924
Ethiopia,,599.7298758,588.4099147,617.322004,580.6294595,499.4761767,530.4247525,584.8488352,569.1116632,548.7740793,545.241746,489.4592798,432.047899,472.6418008,472.0260921,485.4830182,529.7228212,530.9022721,498.5908022,510.4179986,527.3046088,556.4345806,550.652059,525.4830633,582.4640352,636.0687043,688.9395759,750.8211302,813.73146,866.370673,932.2352325,979.2110114
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,3434.385544,3563.663115,3264.104463,3056.171544,3241.862513,3043.336905,3248.01333,3020.118426,3044.275462,3263.273553,3433.649917,3309.715835,3468.519833,3492.73518,3619.358233,3662.367366,3793.837259,3670.834949,3683.631283,3976.788489,3886.109929,3948.93577,4067.533872,4103.16781,4311.336153,4323.300789,4373.811406,4299.10754,4300.332107,4202.418858,4153.566209,4198.667103
Finland,17857.73175,18010.49348,18455.96819,18901.05897,19384.58116,19941.39124,20401.82095,21054.04167,22089.02853,23127.01548,23141.03116,21634.10378,20763.15932,20495.42465,21152.89705,21907.30066,22614.96276,23947.08031,25085.18509,26005.17494,27332.82213,27893.45255,28336.28952,28837.69085,29940.15073,30707.94588,31939.53604,33500.75641,33443.04788,30502.88267,31496.67958,32253.6257
France,20264.49586,20361.57398,20742.76191,20880.73578,21071.8242,21289.27767,21645.83731,22036.58702,22935.96141,23767.99878,24267.25418,24403.37623,24653.67248,24385.19258,24830.2029,25234.37817,25400.04583,25849.40081,26608.78855,27395.5908,28209.95217,28519.62272,28576.12091,28629.69924,29143.05325,29452.66778,29969.73314,30465.75175,30271.65613,29160.56583,29483.65768,29818.80064
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,17006.71503,17357.55159,16326.06735,16727.97311,17441.68886,16515.99915,15882.03287,12755.26672,13949.5336,14669.2799,14944.20271,15352.22493,14402.67788,14499.48691,14579.49241,14859.58735,14972.91493,15415.76342,15552.13094,13823.46174,13251.21001,13234.85628,12919.59044,12968.53493,12882.15213,13014.26414,12918.58362,13382.70059,13441.79799,13008.77999,13610.56274,13997.92712
Gambia,1648.949374,1643.619283,1571.200151,1674.948394,1663.003208,1577.793701,1566.838627,1529.074861,1522.656648,1541.683379,1533.401963,1525.618487,1527.586029,1528.107693,1487.902923,1459.427308,1450.501954,1479.617911,1489.040512,1540.039114,1578.643939,1621.950083,1523.208828,1579.880549,1641.844149,1598.913391,1605.860625,1655.077036,1711.248606,1775.568268,1833.317076,1872.777645
Georgia,6858.690145,7160.982095,7242.729802,7488.204313,7827.460142,8142.568255,7410.775673,7444.074135,7780.217269,7201.47434,6138.165323,4809.062567,2629.349816,1844.717924,1669.696568,1759.283677,2006.290029,2258.678705,2351.799232,2438.187066,2502.229079,2641.544365,2804.938459,3135.332374,3327.126143,3610.648433,3916.398816,4409.464109,4516.338208,4319.110776,4545.899535,4826.015955
Germany,20860.6754,20939.16213,20876.33254,21260.25543,21936.11623,22496.99718,23001.05029,23287.7583,24056.92122,24801.76681,25881.05018,27005.63876,27313.48724,26862.60536,27431.2698,27809.43998,27948.33134,28392.29962,28916.54191,29438.55973,30297.62732,30704.74918,30656.27991,30524.27883,30885.4106,31114.53059,32302.18373,33402.79265,33828.87411,32175.88586,33414.44319,34436.8487
Ghana,992.7533275,930.4367029,837.8027868,772.0112286,810.3273408,824.4820225,841.8439875,857.8378884,882.0447021,902.3244294,907.1008339,928.4812128,937.4116798,955.4348921,960.1748006,973.6625751,993.2131172,1010.198519,1033.042841,1053.454862,1066.793299,1083.086488,1104.698071,1134.145262,1168.792484,1208.014388,1254.557333,1303.735213,1380.1182,1401.456678,1478.462669,1652.338665
Greece,17042.86242,16628.30144,16338.92701,16068.94222,16310.56635,16655.09363,16686.02847,16254.67402,16890.19557,17440.77028,17325.02852,17689.00924,17617.74062,17177.39533,17375.65752,17604.78791,17894.13624,18429.18632,18946.45346,19508.42208,20316.73459,21106.65378,21757.85853,22975.79172,23896.50888,24348.40224,25595.45975,26258.00216,26113.38576,25162.2855,24207.13806,22558.0344
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,4034.099308,3997.994374,4081.669346,4074.591951,4162.940932,4433.335737,4787.652667,5362.517597,5620.965534,6035.766045,6388.192312,6523.530791,6454.296517,6213.60711,6313.911325,6417.085208,6641.382132,6924.645273,7364.529379,8095.52407,9101.819442,8727.786719,8895.215046,9623.589019,8977.934116,10031.49419,9809.04331,10392.07712,10531.20119,9897.381146,9735.380319,9805.850775
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,3872.952823,3803.173614,3578.99929,3401.597903,3335.888496,3237.039071,3166.559665,3204.118725,3253.831304,3306.02438,3331.54662,3374.772511,3457.019385,3510.351528,3568.484056,3660.045892,3683.438208,3757.96693,3856.710137,3913.419236,3959.828754,3955.210938,4007.98061,4008.120661,4032.406621,4061.586435,4175.756235,4331.355357,4364.989255,4280.773249,4296.56105,4351.35917
Guinea,,,,,,,617.4347317,622.4706713,643.676719,646.1944152,644.5298066,626.106037,608.3250596,601.3389591,592.6105811,594.0486994,605.8134224,619.9759538,639.4847233,660.1281722,663.0146961,671.8420585,686.4206955,712.1069022,716.8445001,970.8830274,977.7663774,976.7299995,1005.061994,981.4946715,978.4095284,989.6796441
Guinea-Bissau,905.4341775,1043.020463,1064.294025,1009.782533,1082.995536,1108.161094,1078.904462,1088.958845,1116.762075,1161.439418,1207.834074,1244.060381,1232.315489,1232.666244,1246.466418,1275.422138,1395.451949,1457.323634,1027.654758,1086.585101,1145.71549,1126.042531,1026.079822,1000.026689,1002.361489,1016.693781,1017.729811,1029.154017,1040.704075,1049.95172,1064.110057,1097.448935
Guyana,2058.569542,2092.782345,1826.320676,1715.806961,1644.422354,1699.258136,1698.92,1729.114209,1678.390254,1605.611791,1563.738491,1660.719494,1790.364569,1933.963817,2094.055376,2194.162054,2363.855223,2508.460189,2463.188037,2532.742697,2492.404075,2540.768318,2558.134426,2522.45884,2595.674468,2536.380978,2659.054383,2839.100286,2889.402476,2979.601883,3103.736191,
Haiti,,,,,,,,,,,,1377.403537,1278.022074,1184.688361,1022.64865,1102.056671,1125.595043,1134.127865,1137.357611,1147.154461,1137.028823,1106.415722,1085.905537,1073.011301,1019.830339,1023.232261,1031.72965,1051.873304,1046.818412,1062.978034,992.4278918,1034.395889
Honduras,2819.728793,2802.851902,2680.227394,2575.757962,2607.50127,2636.062037,2576.832306,2652.506181,2694.815863,2731.619683,2658.097379,2669.450324,2743.96593,2838.842697,2731.348165,2773.797695,2807.303685,2882.335225,2902.600059,2788.296404,2887.881928,2906.177975,2954.653301,3027.397545,3152.264287,3276.858212,3423.115831,3563.331224,3640.919514,3492.954557,3518.692347,3565.998012
