Market capitalization of listed companies (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600547454,5.50648592,2.313367762,9.751212709,8.130103011,18.58472641,14.33343921,14.6427644,16.41706402,20.23226967,15.16382283,29.5875121,58.43282953,71.64183597,101.3657597,30.0371992,30.32206433,33.55884382,37.24567371,33.03247683,15.92542948,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101361654,0.429236862,0.965867542,0.506199492,0.873391539,0.942468198,1.140526127,1.47711552,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.47134718,47.83496622,35.67528274,46.47188277,45.24855942,66.60681324,68.81624918,67.86997428,79.35841684,69.26063015,83.9957894,112.297336,92.02281394,101.4155308,98.41457648,128.6034145,129.7279018,119.1542922,151.2865622,158.1572343,66.54919116,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.704281869,16.90488825,6.976174952,4.46660868,11.28968911,15.102875,15.046286,13.64292236,14.50096931,17.26812939,16.07630547,15.65665652,15.65652157,12.89031919,15.48856638,21.8564672,29.8739636,40.9164853,59.26494766,61.69869982,17.48469975,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067470367,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4771101,108.0681912,83.10885578,83.23338075,80.72573442,99.52993983,120.2703419,129.004786,133.2227436,152.2946529,96.68381308,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.677148888,1.774448221,1.065426609,0.868934765,0.990259388,1.365834771,3.109391831,3.526643944,11.19116276,3.631955663,2.345109692,1.893907141,2.518109416,2.43586411,2.507676396,3.123474541,5.864456096,5.035704748,5.832301888,9.929384141,8.384911674,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48702467,18.25544898,16.30469029,19.98504767,29.99520447,26.5713418,38.83208202,52.04430087,102.0071488,81.33455636,66.02651653,71.73691413,138.9790342,129.6334666,185.1902928,183.4570523,155.2604033,164.2499267,134.8231818,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76384838,46.01840976,32.26586776,34.31123252,27.70081791,35.19200653,34.79145576,36.9159831,43.50554757,54.91381022,96.28446352,72.85959854,78.67803711,71.58815082,50.6408786,55.97126756,75.98461324,76.7910514,99.24710274,84.28692792,33.21002691,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.11057924,47.91187429,39.10441392,61.17397826,67.44445841,55.48683182,69.58765284,41.48210267,43.79954078,50.52648083,46.64275406,,
