,2008,2009
New Zealand,9.4,9.3
Denmark,9.3,9.3
Sweden,9.2,9.2
Singapore,9.2,9.3
Switzerland,9,8.7
Finland,8.9,9.2
Netherlands,8.9,8.8
Iceland,8.7,8.5
Canada,8.7,8.9
Australia,8.7,8.7
Norway,8.6,8.6
Luxembourg,8.2,8.5
"Hong Kong, China",8.2,8.4
Ireland,8,8
Germany,8,7.9
Austria,7.9,7.9
United Kingdom,7.7,7.6
Japan,7.7,7.8
United States,7.5,7.1
Barbados,7.4,7.8
Belgium,7.1,7.1
Saint Lucia,7,
Qatar,7,7.7
France,6.9,6.8
Uruguay,6.7,6.9
Chile,6.7,7.2
Estonia,6.6,6.5
Slovenia,6.6,6.4
Cyprus,6.6,6.3
United Arab Emirates,6.5,6.3
Saint Vincent and the Grenadines,6.4,
Israel,6.1,6.1
Spain,6.1,6.1
Dominica,5.9,5.2
Portugal,5.8,6
Puerto Rico,5.8,5.8
Botswana,5.6,5.8
Taiwan,5.6,5.8
Brunei,5.5,5.5
Brunei Darussalam,5.5,
Oman,5.5,5.3
Mauritius,5.4,5.4
Costa Rica,5.3,5.3
"Macau, China",5.3,5
Malta,5.2,5.6
Cape Verde,5.1,5.1
Bahrain,5.1,4.9
Hungary,5.1,4.7
Jordan,5,4.7
Poland,5,5.3
Bhutan,5,5.7
Czech Republic,4.9,4.6
Lithuania,4.9,5
Seychelles,4.8,4.8
South Africa,4.7,4.5
Samoa,4.5,4.1
Malaysia,4.5,4.4
Namibia,4.5,4.4
Latvia,4.5,4.3
Slovakia,4.5,4.3
Turkey,4.4,4.4
Cuba,4.4,3.7
Saudi Arabia,4.3,4.7
Italy,4.3,3.9
Tunisia,4.2,4.3
Kuwait,4.1,4.5
Georgia,4.1,3.8
Croatia,4.1,4.1
Montenegro,3.9,3.7
Ghana,3.9,4.1
Romania,3.8,3.7
Bulgaria,3.8,3.6
"Macedonia, FYR",3.8,4.1
Greece,3.8,3.5
Colombia,3.7,3.5
Suriname,3.7,
Peru,3.7,3.5
Brazil,3.7,3.7
Swaziland,3.6,3.2
Trinidad and Tobago,3.6,3.6
Burkina Faso,3.6,3.1
China,3.6,3.5
Serbia,3.5,3.5
Thailand,3.4,3.5
Guatemala,3.4,3.2
Panama,3.4,3.6
India,3.4,3.3
El Salvador,3.4,3.6
Morocco,3.3,3.4
Rwanda,3.3,4
Lesotho,3.3,3.5
Malawi,3.3,3.4
Mexico,3.3,3.1
Moldova,3.3,2.9
Albania,3.2,3.3
Vanuatu,3.2,3.6
Liberia,3.1,3.3
Sri Lanka,3.1,3.2
Jamaica,3,3.3
Madagascar,3,2.6
Senegal,3,2.9
Tonga,3,3
Zambia,3,3
Bosnia and Herzegovina,3,3.2
Dominican Republic,3,3
Niger,2.9,2.6
Benin,2.9,2.8
Argentina,2.9,2.9
Gabon,2.9,2.8
Gambia,2.9,3.2
Djibouti,2.8,3.2
Egypt,2.8,3.1
Indonesia,2.8,2.8
Kiribati,2.8,3.2
Mali,2.8,2.7
Sao Tome and Principe,2.8,3
Solomon Islands,2.8,2.8
Togo,2.8,2.4
Algeria,2.8,2.9
Mongolia,2.7,2.7
Armenia,2.7,2.6
Ethiopia,2.7,2.7
Bolivia,2.7,2.8
Kazakhstan,2.7,2.9
Vietnam,2.7,2.7
Syria,2.6,2.5
Tanzania,2.6,2.7
Guyana,2.6,2.7
Eritrea,2.6,2.6
Mauritania,2.5,2.3
Mozambique,2.5,2.7
Nicaragua,2.5,2.5
Nigeria,2.5,2.4
Uganda,2.5,2.5
Honduras,2.5,2.4
Lebanon,2.5,2.5
Libya,2.5,2.2
Maldives,2.5,2.3
Pakistan,2.4,2.3
Bangladesh,2.4,2.4
Belarus,2.4,2.5
Philippines,2.4,2.4
Azerbaijan,2.3,2.4
Comoros,2.3,2.1
Nepal,2.3,2.2
Kenya,2.2,2.1
Russia,2.2,2.1
Sierra Leone,2.2,2.4
Timor-Leste,2.2,2.5
Ukraine,2.2,2.4
Zimbabwe,2.2,2.4
Cameroon,2.2,2.2
Ecuador,2.2,2.5
Cote d'Ivoire,2.1,2.2
Paraguay,2.1,2.2
Papua New Guinea,2.1,2.1
Yemen,2.1,2.2
Central African Republic,2,2.1
Tajikistan,2,2.1
Laos,2,2.1
Cambodia,2,2.1
Guinea-Bissau,1.9,2.1
Kyrgyzstan,1.9,2
Venezuela,1.9,2
Angola,1.9,1.9
"Congo, Rep.",1.9,2.1
"Congo, Dem. Rep.",1.9,2
Turkmenistan,1.8,1.6
Haiti,1.8,2.2
Equatorial Guinea,1.8,1.9
Burundi,1.8,1.8
Guinea,1.8,2
Iran,1.8,2.2
Uzbekistan,1.7,1.6
Chad,1.6,1.7
Sudan,1.5,1.6
Iraq,1.5,1.5
Myanmar,1.4,1.4
Afghanistan,1.3,1.4
Somalia,1.1,1.1
