"Expenditure per student, primary (% of GDP per capita)",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,
Albania,,,,,7.77695,,,,,,,,,
Algeria,,11.97508,9.73686,10.05919,10.78967,11.32475,,,,,,,,
American Samoa,,,,,,,,,,,,,,
Andorra,,,,,9.12879,9.71622,9.95121,9.41827,12.03954,12.08287,,15.21899,,
Angola,,,,,,,,,4.21768,,,,,
Antigua and Barbuda,,,,,,,,,,,,7.96814,,
Argentina,10.96268218,12.87452,12.77052,14.37068,11.22313,10.92388,11.30769,12.02132,13.17944,14.63957,15.94557,16.84116,,
Armenia,,,,,,,,,,,11.34605,16.69424,16.4502,
Aruba,,11.517,13.08244,12.26041,13.94239,12.27497,,,,12.12816,12.59279,14.55644,,
Australia,15.90986571,16.44832,15.88159,16.81576,16.38774,16.60781,16.45125,17.00625,16.69006,16.40764,16.84156,20.2233,,
Austria,,24.94544,23.0293,23.11054,23.51146,23.28574,22.74152,23.44222,23.3913,22.98922,24.10452,,,
Azerbaijan,5.981663189,6.93563,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,
Bahrain,,,,,14.52397,,,,,,,,,
Bangladesh,,,,,,,,,8.27138,10.31254,9.74229,8.78842,,
Barbados,,12.66566,16.99393,23.39434,21.41419,24.48508,23.67138,23.40416,,,,,,
Belarus,,,,,,,,,,,,,,
Belgium,,,,18.16457,18.35639,19.69228,19.73273,19.83316,20.32152,20.49624,22.35796,,,
Belize,,17.4813,16.52728,,,,12.65214,13.99841,14.51359,,16.30152,17.0212,,
Benin,,,11.81982,12.88693,10.43275,10.46441,11.24719,10.82999,11.74163,,11.94247,12.97752,,
Bermuda,,,,,,,9.3875,10.87164,,,,,11.92975,
Bhutan,,,10.72125,,,,,,,,,9.12068,7.89845,
Bolivia,13.37276641,14.18411,12.33657,11.74999,15.27496,16.1984,,,13.6627,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,
Botswana,,,,,,,,16.10895,,12.62132,,,,
Brazil,,10.82836,10.69926,10.45047,9.85806,,12.78681,15.35003,,17.26589,18.5497,,,
Brunei,,,,,,,,,,,,,5.12253,
Bulgaria,,,,15.20166,15.72365,18.35976,11.58585,23.01036,22.46463,22.08818,24.36203,,,
Burkina Faso,,,,,,,,35.48027,31.71064,29.69127,,,,
Burundi,,14.43602,11.09766,13.33986,13.78848,17.20966,18.993,18.38254,,,18.3739,20.67301,19.02535,
Cambodia,5.326748467,,5.78134,6.67284,5.20125,,,,,,,,6.77489,
Cameroon,,,,,,,,6.45567,6.83812,7.23304,5.54196,7.13749,6.64025,
Canada,,,,,,,,,,,,,,
Cape Verde,,,,,17.53134,16.97774,16.95839,18.94808,18.66732,15.46347,14.77459,16.87461,,
Cayman Islands,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,7.16445,5.29911,,4.48856,4.37419,
Chad,,,,,,,5.40568,7.54061,,,,12.13169,9.60524,
Channel Islands,,,,,,,,,,,,,,
Chile,12.05725373,,14.41689,,16.00825,15.01767,12.73669,12.02262,11.1137,11.9253,14.7248,17.35612,,
China,,,,,,,,,,,,,,
Colombia,13.2382938,15.19146,11.86019,12.95045,13.40848,,15.8881,15.39499,13.00855,12.45823,12.39409,15.58853,15.72493,
Comoros,,,,,9.80531,,,,,,29.45958,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,
"Congo, Rep.",,,,,7.10568,,,2.95954,,,,,11.05682,
Costa Rica,,15.47561,14.52903,14.58376,16.09209,,16.88665,,,,11.51436,14.61429,,
Cote d'Ivoire,,14.29852,13.51022,13.56623,,,,,,,,,,
Croatia,,,,,20.07211593,21.27333766,21.74649803,21.88879124,20.62949617,20.85621163,21.75113814,,,
Cuba,24.0007042,24.99371,28.23043,28.81467,37.17206,39.32904,40.42889,40.242,33.61215,45.64138,44.91028,44.17262,,
Cyprus,,17.10772,16.00346,18.87862,19.95074,23.40635,22.08269,23.38449,25.22828,26.45305,28.67584,,,
Czech Rep.,,11.17996,11.49665,11.12694,11.75033,12.76831,12.67893,12.58348,13.53093,13.02341,13.6165,,,
Denmark,,24.59425,24.20897,25.45629,24.62682,25.29723,24.85023,25.24579,24.68951,24.43578,24.94289,,,
Djibouti,,,,,,,,,22.2972,23.67791,24.63196,,,
Dominica,,,,,,,,,,13.17711,16.74646,12.92844,15.14943,
Dominican Rep.,,,,,7.83117,,4.54962,6.95928,,9.03174,7.23739,7.11988,7.5325,
Ecuador,,4.39612,3.19898,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,
El Salvador,8.575021365,8.55346,8.51869,,10.19628,9.32941,,8.06495,8.55987,8.04251,8.76773,,,
