"Expenditure per student, primary (% of GDP per capita)",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Equatorial Guinea,,,,1.06594,,,,,,,,,,
Eritrea,,,,14.99741,11.90873,9.76299,8.36462,,,,,,,
Estonia,,20.88019,,17.93524,19.1593,18.79911,18.57731,19.42838,,19.71764,25.94009,,,
Ethiopia,,,,,,,,,,,,,18.16389,
Faeroe Islands,,,,,,,,,,,,,,
Fiji,,,,,,,17.39705,,,,,,,
Finland,,17.44842,16.82214,17.34852,17.76473,18.43911,18.50612,17.97949,18.04405,17.42211,18.47214,,,
France,,17.88172,17.95715,17.96406,18.23649,18.17383,18.42795,17.98432,17.64613,18.29524,18.01231,,,
French Polynesia,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,
Gambia,,,,,11.51278,7.82922,6.22409,,,,18.76542,16.25848,24.57915,
Georgia,,,,,,,,,,,14.80226,,,
Germany,,,,,,,,,16.13985,15.65931,15.63763,,,
Ghana,,,,17.61986,,,,12.54339,11.06258,12.45403,12.68046,11.36488,11.35251,
Gibraltar,,,,,,,,,,,,,,
Greece,13.09220191,11.71772,13.90539,13.14813,13.97142,14.33541,14.95312,16.44921,,,,,,
Greenland,,,,,,,,,,,,,,
Grenada,,,16.48574,,,8.7792,,,,,,,,
Guam,,,,,,,,,,,,,,
Guatemala,,,6.6597,8.38579,7.38601,,5.40016,5.77456,10.8603,10.27643,10.42471,,,
Guinea,,,,,,,,,,,6.9693,,,
Guinea-Bissau,,,,,,,,,,,,,,
Guyana,,,,,,18.02823,11.52451,16.24797,9.92711,8.74459,,8.22047,8.2107,
Haiti,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,18.73176,
"Hong Kong, China",,,,12.36703,12.83531,14.0786,15.17181,14.64285,13.81276,12.50501,12.66153,13.76775,15.0986,
Hungary,18.32181453,17.88392,19.27623,19.94477,20.30177,21.82809,23.37274,25.69455,25.68151,25.38905,21.9409,,,
Iceland,,21.9728,22.18943,21.56137,25.31054,24.21522,24.47498,25.63736,26.10718,26.13541,26.72923,,,
India,,11.88191,14.54764,13.43871,,11.0554,9.66189,8.6766,8.60351,,,,,
Indonesia,,,,,,,,,,16.0508,11.38774,,,
Iran,,,,9.3167,11.2891,11.15515,11.58616,11.76367,16.67692,19.07398,16.64136,15.21739,,
Iraq,,,,,,,,,,,,,,
Ireland,11.43890295,11.01882,11.1424,11.8597,12.27005,13.34221,14.20571,14.61582,14.82335,15.75408,18.5619,,,
Isle of Man,,,,,,,,,,,,,,
Israel,,20.49725,19.57912,21.2319,21.93849,21.14697,20.57811,20.2541,19.93818,19.41894,19.46367,,,
Italy,,24.03427,23.1867,23.71071,24.44141,25.22612,24.81295,23.02002,25.03769,22.6426,24.45101,,,
Jamaica,,,,13.35078,13.45292,12.53251,10.1537,12.82055,,17.31389,15.82982,17.03733,19.89187,
Japan,20.13172763,21.08742,21.63598,21.86736,22.48641,22.94467,22.7283,22.21423,21.94125,21.69983,21.48155,,,
Jordan,,13.6501,,,14.36426,15.76739,14.54329,15.43809,12.36179,12.10701,11.93768,,,
Kazakhstan,,,,,,,,,,,,,,
Kenya,,,21.36642,,,23.16481,24.08488,,22.2662,,,,,
Kiribati,,26.35439,24.80107,22.18914,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,
"Korea, Rep.",17.81259531,18.41792,,15.72966,15.63479,17.60216,18.06659,17.52894,17.1807,17.01428,19.43437,,,
Kosovo,,,,,,,,,,,,,,
Kuwait,,,,16.97274,16.62244,16.34515,13.99615,10.14351,8.54322,,10.00379,,,
Kyrgyzstan,,,,,,,,,,,,,,
Laos,,2.23659,,,7.87968,,,9.81188,,,,,,
Latvia,,19.49708,19.6875,19.78431,22.09676,20.55236,20.66046,,37.3263,23.29193,29.4887,31.36366,,
Lebanon,,,,,,,,,,,,,,
Lesotho,,37.0413,30.29816,28.3529,,,,30.50549,27.47168,,24.79886,,,
Liberia,,,,,,,,,,5.47857,,,,
Libya,,,,,,,,,,,,,,
Liechtenstein,,,,,,11.03914,10.70237,,9.95406,9.22758,10.79713,,,
Lithuania,,,,,,14.37089,14.99931,15.79792,16.43281,15.81521,18.06744,,,
Luxembourg,,,,,,18.92628,20.573,20.09714,,,14.79459,,,
"Macao, China",,,8.34054,,6.70192,7.89127,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,
Madagascar,5.73413651,,,,7.82846,6.80835,8.65162,10.96485,9.59266,9.11742,7.59506,7.7885,,
Malawi,,13.3984,11.23377,8.04605,,9.63795,,,,,,,6.80979,
Malaysia,,,12.5538,16.43891,19.45791,18.01128,14.18935,,10.95574,11.77911,14.44392,14.6211,,
Maldives,,,,,,14.09223,13.44044,16.45332,15.70425,,18.6674,,,
Mali,14.6096322,15.27471,,,,,,,,,11.81409,14.9786,,
Malta,,,,,13.252,,13.14438,,,20.18937,20.51591,,,
Marshall Islands,,,,,23.43912,,,,,,,,,
Mauritania,,11.56805,,,,,,9.91564,,,11.83523,,13.41831,
Mauritius,,,,9.30786,8.61016,13.14842,12.97005,11.393,10.26315,,9.63585,8.98926,,
Mayotte,,,,,,,,,,,,,,
Mexico,,11.92671,13.27843,13.98357,14.35097,14.51293,13.85189,14.1782,13.80768,13.609,13.68913,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,
Moldova,,,,,,,,,,31.61986,33.63928,41.71896,41.44074,
Monaco,,3.54946,3.45938,,,,3.68902,,,,,3.50395,,
Mongolia,,,,,,,11.56662,,,13.74353,,15.12134,14.57253,
Montenegro,,,,,,,,,,,,,,
Morocco,,17.4088,18.11433,16.85936,17.07104,16.59457,16.6967,20.3451,,14.52994,16.20772,16.93,,
Mozambique,,,,,,,,,14.75458,,,,,
Myanmar,,,,,,2.47855,,,,,,,,
Namibia,,22.16115,22.3913,19.78404,19.78273,18.82154,,13.86997,18.91275,,16.14151,,17.79363,
Nepal,,9.05686,10.31846,13.82638,12.10177,11.44328,,,,,15.2418,17.75172,,
Netherlands,,15.15338,15.44427,16.4142,17.57896,18.66036,18.22031,18.14428,17.56984,16.81275,17.19984,,,
New Caledonia,,,,,,,,,,,,,,
New Zealand,,19.95649,19.97157,20.14361,18.52719,18.54482,19.1056,19.03413,17.38845,17.35785,15.33784,17.84712,21.91265,
Nicaragua,,,,,,,8.83792,9.90632,9.90283,,,,,
Niger,,,,,,24.65321,30.43346,,27.70374,31.83121,26.58419,28.37393,21.08028,
Nigeria,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,
Norway,21.82016589,,,,20.39144,21.18707,20.02113,18.90632,18.21763,18.47888,18.26159,,,
Oman,,10.73246,,10.69641,14.79191,,,,,,,12.79437,,
Pakistan,,,,,,,,,,,,,,
Palau,,,,45.02925,,,,,,,,,,
Panama,,13.70689,13.99719,10.71713,10.40963,,9.68256,,,12.44004,7.46846,,,
Papua New Guinea,,,,,,,,,,,,,,
Paraguay,,,13.5916,13.47642,13.1704,13.2025,11.51845,,,10.7376,,,,
Peru,7.569636834,,,6.93607,6.2775,6.4801,6.95204,6.54532,7.13102,7.22374,8.14723,7.76281,,
Philippines,,,11.96974,11.26328,10.71619,11.36883,8.94939,8.29723,,8.65864,8.98408,,,
Poland,,,,,22.45962,22.86873,22.77806,23.71057,25.05284,24.33671,25.32906,,,
Portugal,,18.795,19.7114,21.02576,22.31248,22.28245,22.34205,22.47196,21.66307,,19.85348,,,
Puerto Rico,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,10.33805,,
Romania,,,,,,12.01835,9.90807,10.69713,,19.9875,,,,
Russia,,,,,,,,,,,,,,
Rwanda,,,11.16016,,,,,8.77051,,9.05881,8.01714,,8.22805,
Saint Kitts and Nevis,,,9.76182,11.39446,7.97022,8.0143,7.86814,,,,,,,
Saint Lucia,,26.61742,26.18433,,,14.22755,14.19342,,,,,14.10177,16.49062,
Saint Martin,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,21.58634,,15.46655,19.68561,20.73348,15.82392,,20.15689,,16.86745,15.40649,
Samoa,,9.13832,8.15599,9.80331,12.0079,,,,,,,,,
San Marino,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,19.32681,,,,
Senegal,,13.56643,,,,,,16.2045,16.36887,,16.51926,17.70348,16.38452,
Serbia,,,,,,,,,,55.63945,58.1638,61.63768,,
Seychelles,8.610415374,,,,14.46023,15.41287,16.49422,,,,,,,
Sierra Leone,,,,,,,,,,7.14253,,,,
Singapore,,,,,,,,,,,8.42219,10.74468,11.50423,
Slovak Republic,,10.16908,10.69153,10.65365,11.1844,12.80705,11.86371,14.65897,15.31641,15.64749,15.61528,,,
Slovenia,,,,26.12405,27.92569,28.91712,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,
South Africa,,14.20573,13.87536,13.84907,13.89649,12.85921,13.18549,14.22229,15.40483,14.40054,,15.16056,17.59359,
Spain,,17.96493,17.53126,17.955,18.20023,18.56514,18.87064,19.03642,19.35169,19.38313,20.33995,,,
Sri Lanka,,,,,,,,,,,,7.42718,,
Sudan,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,
Swaziland,,8.31635,9.58303,8.80676,9.69216,11.19149,12.59246,14.83967,15.67315,,12.31797,,17.68921,
Sweden,,22.32488,22.85029,21.81629,23.40426,22.97375,24.82234,24.76219,24.3393,24.98609,26.21642,,,
Switzerland,,22.69778,21.82286,22.96139,24.21406,24.63348,24.65398,24.04808,23.12436,22.51129,20.53259,,,
Syria,,10.81657,12.24266,,13.0803,,,,,17.37559,,16.77778,,
Tajikistan,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,21.45181,,,
Thailand,12.90677459,,18.05123,17.06563,,,14.59408,,,,20.76989,24.35108,,
Timor-Leste,,,,,,,,,,27.58303415,,,,
Togo,,7.73588,11.17614,10.81542,10.42601,10.38919,7.82169,7.72298,6.47665,8.33586,8.28059,9.97571,10.77473,
Tonga,,,,,10.87758,9.12791,9.67962,,,,,,,
Trinidad and Tobago,,11.50933,,14.61045,15.85492,,,,,8.68712,10.7601,14.9267,,
Tunisia,,14.1755,13.97627,14.47386,14.03907,18.37174,19.15473,18.72686,,,17.28026,,,
Turkey,,,9.84474,10.31172,,11.03412,12.76882,,,,,,,
Turkmenistan,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,
Uganda,,,,,,,10.57998,,,,8.38671,7.20974,,
Ukraine,,,,,,,,,,,,,,
United Arab Emirates,,5.38038,4.99948,4.8443,4.31104,4.77613,4.23993,3.96859,3.98159,,,6.24796,,
United Kingdom,14.5268404,13.89307,14.132,14.79879,15.92736,17.91112,17.41284,18.52821,21.78847,22.98316,23.28157,,,
United States,17.29059347,17.69365,19.0618,20.68621,21.07508,21.14835,21.60611,20.42899,21.81645,22.02813,22.54852,,,
Uruguay,,,7.21421,9.57598,6.94243,5.81414,7.31635,8.29446,8.6109,,,,,
Uzbekistan,,,,,,,,,,,,,,
Vanuatu,12.4071861,11.25896,13.27201,12.95274,,,,,,,19.27115,16.95262,,
Venezuela,,,,,,,,,7.97231,9.15942,,,,
Vietnam,,,,,,,,,,,19.35523,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,
Zambia,,,6.99437,,,,8.94524,5.3629,,,,,,
Zimbabwe,,,12.69533985,14.04027954,,,,,,,,,,
