"GDP per working hour, (constant 1990$)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Romania,,,,,,,,,,3.630000114,3.299999952,2.940000057,2.829999924,2.980000019,2.910000086,3.390000105,3.450000048,3.339999914,3.25999999,3.279999971,3.289999962,3.49000001,4.079999924,4.329999924,4.769999981,4.920000076,5.179999828
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,3.420000076,3.880000114,3.900000095,4.380000114,4.690000057,4.989999771,4.840000153,4.989999771,4.659999847,4.840000153,4.460000038,4.889999866,4.820000172,5.179999828,4.929999828,4.690000057,4.539999962,4.960000038,4.730000019,5.119999886,5.659999847,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,8.56000042,8.779999733,8.880000114,9.399999619,10.05000019,10.17000008,10.55000019,11.10000038,11.76000023,12.31000042,12.15999985,12.14000034,12.57999992,13.81999969,14.72999954,16.86000061,15.64999962,16.13999939,15.47999954,16.62000084,18.59000015,16.77000046,17.80999947,18.48999977,19.85000038,20.88999939,
Slovak Republic,,,,,,,,,,8.510000229,8.359999657,7.760000229,8.229999542,8.390000343,9.069999695,9.449999809,10.09000015,10.82999992,11.51000023,11.78999996,12.07999992,12.47999954,13.46000004,14.38000011,14.89999962,15.31000042,16.12999916
Slovenia,,,,,,,,,,12.68000031,12.38000011,12.13000011,12.27999973,12.85999966,12.71000004,13.05000019,13.72000027,14.81999969,15.47000027,15.97000027,16.38999939,16.70000076,17.21999931,17.67000008,18.78000069,19.48999977,20.27000046
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,14.09000015,14.78999996,15.36999989,16.10000038,17.21999931,17.89999962,18.29999924,18.54999924,18.88999939,19.34000015,19.72999954,20,20.69000053,21.5,22.17000008,22.23999977,22.20999908,22.23999977,22.11000061,21.90999985,21.87000084,21.87000084,22.07999992,21.86000061,21.72999954,21.67000008,21.69000053
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,19.23999977,19.30999947,19.36000061,19.53000069,20.12999916,20.25,20.62000084,20.95999908,20.87999916,21.07999992,21.21999931,21.5,21.97999954,22.48999977,23.02000046,23.46999931,23.87000084,24.68000031,25.20999908,25.67000008,26.51000023,26.64999962,27.54000092,28.42000008,29.35000038,30,30.81999969
Switzerland,21.18000031,21.25,20.96999931,21.25,21.90999985,22.29999924,22.27000046,21.89999962,22.02000046,22.56999969,22.81999969,22.26000023,22.61000061,22.71999931,22.88999939,23.32999992,23.52000046,24.04999924,24.35000038,24.15999985,24.86000061,25.29000092,25.52000046,25.37000084,25.93000031,26.42000008,26.56999969
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,
