Oil proved reserves total (tonnes),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,1118480000,1102112000,1287616000,1257608000,1227600000,1203048000,1200320000,1168129600,1254880000,1259790400,1254880000,1254880000,1254880000,1254880000,1361135600,1361135600,1473120000,1527680000,1543229600,1543229600,1543229600,1543229600,1543229600,1609520000,1609520000,1673628000,1673628000,1664080000,1664080000
Angola,187550000,151131200,198734800,233926000,292850800,275255200,190960000,272800000,272800000,282893600,221581800,197725440,181957600,259296400,404385080,426277280,503998000,531960000,549692000,688820000,814580800,886600000,1213960000,1200456400,1232374000,1232374000,1232374000,1841400000,1841400000
Argentina,335134800,296213333,265925440,334148492,320403600,305536000,304581200,306354400,310978360,295674280,214146238,229597560,275178533,302369772,307259117,325500428,354699224,357528678,375565802,418910151,405613091,392652340,384717343,364803068,338000471,297387858,352834084,356825175,356825175
Australia,289551438,357156336,330131535,338281872,393275197,396192160,430337781,432654193,466542435,459764786,472204774,455989894,445608938,461394854,535091057,543841945,533460989,551992281,561257927,647050946,674504712,675620021,623457866,605698711,553364970,567091853,567091853,567091853,567151200
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160679200,160679200,160679200,160679200,954800000,954800000,954800000,954800000,954800000,954800000,954800000
Brazil,179770691,201304739,234395106,252317268,274983783,295723387,321687786,347923292,384121082,376441749,615578635,657221708,677327302,679566500,733073890,848823257,911244541,969250917,1003529517,1112111735,1154556115,1157381279,1337304682,1446056770,1533550207,1605736452,1661624800,1721890412,1723894128
Brunei,176501600,204600000,197132100,208282800,200544828,196825200,201190000,218240000,163680000,157091880,153313600,156860000,154132000,170500000,162043200,153313600,148676000,144584000,139128000,177320000,167772000,158224000,150040000,143220000,152808920,150722000,163680000,147039200,147039200
Canada,1186423932,1269255376,1236511612,1310612182,1280957479,1302960454,1594873905,1597258840,1621595496,1585247623,1521509637,1481110435,1403177277,1369722219,1376991126,1431842558,1494154485,1457943880,2060914603,2496434268,2496487729,2430440834,2402901187,2291833583,2257950082,2330227965,3773373600,3902627041,3902627041
Chad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122760000,122760000,122760000,122760000,122760000,122760000,122760000,122760000,122760000
China,1818812815,1810345976,1806042665,2026979238,2229085082,2327581978,2337606396,2373320880,2354270493,2187389894,2182108104,2113115347,2069513123,2238720106,2214557664,2227787100,2239968166,2318565992,2373231020,2432219328,2447725225,2496120000,2115386680,2110885480,2117991920,2126107720,2217523000,2201086800,2109003160
Colombia,75020000,72292000,83204000,87296000,150040000,169136000,231880000,260524000,279620000,270072000,271436000,257059440,440831160,430532960,428159600,402639160,381647200,351530080,337971920,312246880,268967160,251276080,222563880,210383360,201544640,198216480,205882160,205964000,185776800
