"TB prevalence, all forms in HIV+ (per 100 000 population per year) ",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Algeria,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.6
American Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Andorra,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Angola,2.8,3.6,4.4,5.4,6.6,8,9.5,11.2,12.9,14.8,16.8,18.6,20.3,21.9,23.4,24.6,25.7,26.7
Anguilla,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,0.7,0.8,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2
Armenia,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.6,0.8,0.9,0.9,1,1,1,1
Australia,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Austria,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.6,0.9,1.2,1.3
Bahamas,7.3,8,8.2,8,7.7,7.4,7.2,7,6.8,6.7,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Barbados,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Belarus,0,0,0,0.1,0.2,0.3,0.5,0.7,0.9,1.1,1.1,1.1,1,1,1.1,1.1,1.1,1.1
Belgium,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Belize,0.1,0.2,0.8,1.9,2.9,3.4,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4,4,4.1,4.1,4.2
Benin,0.7,1,1.5,2.2,3,3.8,4.6,5.3,5.8,6.2,6.5,6.7,6.9,7,7,7.1,7.1,7.2
Bermuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.7,1.3,1.8,2.1
Bolivia,0.5,0.6,0.8,1,1.3,1.5,1.7,1.9,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.3,2.3,2.3
Bosnia and Herzegovina,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,34.7,51.2,69.1,88.9,108.7,128,144.5,162.3,180.3,199.2,219.6,238.9,255.8,266.8,268.9,264.9,257.4,250.2
Brazil,3.4,3.8,4.1,4.3,4.4,4.5,4.4,4.4,4.3,4.3,4.2,4.1,3.9,3.8,3.7,3.6,3.5,3.4
British Virgin Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4
Burkina Faso,12.2,13.6,14.5,15.4,16.4,17.6,19.1,21.3,23.9,26.6,29.1,31.2,32.7,33.2,32.5,31,29.2,27.7
Burundi,11.8,17.4,27.1,34.6,38.2,40.6,42.2,44.3,46.3,48.3,50.4,51.7,52.1,51,48.2,44.4,40.2,36.4
Cambodia,14.2,18.7,23.8,28.8,33,35.7,37.7,38.7,39,38.6,37.3,35.4,32.9,30,26.8,23.7,21.3,19.2
Cameroon,3.7,6.1,9.1,13,17.3,21.6,25.2,28.7,32,35.2,38.6,41.6,44.2,45.7,45.7,44.6,43,41.4
Canada,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cape Verde,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cayman Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,11,15.4,19.9,24.9,29.9,35.1,39.7,44.9,50.2,55.9,61.9,67.8,72.9,76.4,77.3,76.5,74.6,72.7
Chad,3.7,5.3,7,9.2,11.8,14.7,17.6,21,24.7,28.6,32.8,36.8,40.3,42.7,43.5,43.1,42.1,41
Chile,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
China,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9
Colombia,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1,1.1,1.1,1.1,1.1,1,1,1
Comoros,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"Congo, Rep.",29.7,35.6,39.6,43.2,46.2,48.9,50.9,53.6,56.5,59.7,63.3,66.6,69.1,70.1,69,66.5,63.8,61
Cook Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Costa Rica,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Croatia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Cyprus,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,19.1,26.4,33.7,41.5,49,56.4,62.6,69.4,76,82.6,89.4,95.2,99.5,100.9,98.5,93.7,87.5,81.6
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.4,0.4,0.4
"Congo, Dem. Rep.",5,5.5,5.8,6.2,6.5,6.9,7.2,7.8,8.4,9.1,9.9,10.7,11.5,12,12.2,12,11.8,11.5
Denmark,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Djibouti,6.7,10.4,16,23.5,33,43.9,55.3,66.1,75.6,83.4,89.7,94.8,99,102.5,105.5,108.3,111,113.7
Dominica,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,4.4,5.3,6.2,6.9,7.5,7.9,8,8,7.9,7.7,7.5,7.1,6.8,6.5,6.1,5.8,5.5,5.3
Ecuador,1.8,2,2.3,2.7,3,3.3,3.6,3.8,4.1,4.3,4.4,4.5,4.6,4.6,4.7,4.6,4.6,4.6
Egypt,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
El Salvador,0.5,0.8,1,1.4,1.8,2.1,2.5,2.7,2.9,3,3,3,3,2.9,2.8,2.8,2.7,2.6
Equatorial Guinea,4.9,6.7,8.7,11,13.6,16.4,19.1,22.2,25.4,28.8,32.3,35.6,38.4,40.1,40.4,39.6,38.2,36.8
Eritrea,0.6,1,1.6,2.5,3.5,4.4,5,5.4,5.7,5.9,6.1,6.3,6.5,6.7,6.9,7.1,7.3,7.6
Estonia,0,0,0,0,0,0,0,0,0.1,0.4,1,2,2.9,3.5,3.6,3.4,3.3,3.1
