"","IQbio","IQfoster","class"
"1",82,82,"high"
"2",80,90,"high"
"3",88,91,"high"
"4",108,115,"high"
"5",116,115,"high"
"6",117,129,"high"
"7",132,131,"high"
"8",71,78,"medium"
"9",75,79,"medium"
"10",93,82,"medium"
"11",95,97,"medium"
"12",88,100,"medium"
"13",111,107,"medium"
"14",63,68,"low"
"15",77,73,"low"
"16",86,81,"low"
"17",83,85,"low"
"18",93,87,"low"
"19",97,87,"low"
"20",87,93,"low"
"21",94,94,"low"
"22",96,95,"low"
"23",112,97,"low"
"24",113,97,"low"
"25",106,103,"low"
"26",107,106,"low"
"27",98,111,"low"
