Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
35350,suicide - hanged,suicide,United,2005-01-22T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,1,"suicide, found hanged in prison in Sarnen (CH) (Jan 22, 2005)","Sarnen, switzerland",46.896129,8.244838,"46.896129, 8.244838",1,"Event at Sarnen, Switzerland on Jan 22, 2005",,Vivre,
35351,starved,drowning or exhaustion related death,United,2005-01-18T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,10,"found dead on a boat drifting 480 km suth of Canary Islands (E) (Jan 18, 2005). From Del Grande's data set (translated): Located 300 km south of the Canary Islands a boat adrift. On board the bodies of 10 men died of starvation. As many may have thrown into the sea, there were no survivors (Jan 19, 2005)",canary,28.291564,-16.62913,"28.291564, -16.62913",1120,"Event at Canary on Jan 18, 2005",Western African route,PICUM/PAJOL/MAG/APDHA/MNS/NOB,http://www.elpais.com/articulo/espana/Localizada/patera/muertos/sur/Canarias/elpepuesp/20050119elpepunac_13/Tes
35354,drowned,drowning or exhaustion related death,United,2005-01-09T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,17,"drwoned, 3 found, 14 missing after boat capsised off Fuerteventura in rescue attempt (Jan 9, 2005)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Jan 09, 2005",Western African route,Statewatch/MUGAK/ABC/Raz,
35356,shot by the police,authorities related death,United,2005-01-09T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,11,"shot by Spanish and Moroccan police whilst trying to cross fences to Ceuta and Melilla (E) (Jan 9, 2005)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",213,"Event at Ceuta on Jan 09, 2005",Western Mediteranean route,APDHA/Chabacka,
35352,unknown,unknown - supposedly exhaustion related death,Del grande,2005-01-09T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,3,"Sink a small boat to the island Samos in the Aegean Sea live. 3 dead, 13 survivors were arrested (Jan 10, 2005)",samos,37.743215,26.820351,"37.743215, 26.820351",218,"Event at Samos on Jan 09, 2005",Eastern Mediteranean route Sea,The Australian,http://www.theaustralian.news.com.au/common/story_page/0
35353,died after a fight,malicious intent related death / manslaughter,United,2005-01-09T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,2,"died at friends  house, beaten by security guards when he refused to be deported (Jan 9, 2005)",Albania,41.153332,20.168331,"41.153332, 20.168331",8,"Event at Albania on Jan 09, 2005",,Le Matin/Vivre,
35357,suicide - other,suicide,United,2005-01-09T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,1,"suicide, asylum seeker suffering from depression killed himself in Newcastle (GB) (Jan 9, 2005)",newcastle,54.978252,-1.61778,"54.978252, -1.61778",2,"Event at Newcastle on Jan 09, 2005",,Cpgb,
35358,suicide - jumped from building,suicide,United,2005-01-09T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,1,"suicide, killed friend and her son, jumped from 5th floor in NL, fear of repatriation (Jan 9, 2005)",Netherland,55.57156,-4.410332,"55.57156, -4.410332",11,"Event at Netherland on Jan 09, 2005",,VK/aduc/Diario de Noticias/Diario de Navarra,
35355,murdered,malicious intent related death / manslaughter,United,2005-01-09T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,2,"murdered, pushed down from 5th floor in NL by friend in fear of repatriation (Jan 9, 2005)",Netherland,55.57156,-4.410332,"55.57156, -4.410332",11,"Event at Netherland on Jan 09, 2005",,VK,
35359,heat exhaustion,drowning or exhaustion related death,United,2005-01-06T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,1,"died of overheating, found on a parking place in Ludwigsfeld (D), smuggled paid $5000 (Jan 6, 2005)","Ludwigsfeld, germany",49.439453,11.107278,"49.439453, 11.107278",1,"Event at Ludwigsfeld, Germany on Jan 06, 2005",,ARI,
35360,unknown,unknown - supposedly exhaustion related death,Del grande,2005-01-05T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,1,"Rescued a boat landed in Fuerteventura, 1 dead (Jan 6, 2005)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Jan 05, 2005",Western African route,El Pais,http://www.elpais.com/articulo/espana/Dramatico/rescate/90/inmigrantes/costa/Fuerteventura/elpepiesp/20050106elpepinac_22/Tes
35361,hypothermia,drowning or exhaustion related death,United,2005-01-03T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,1,"died of hypothermia in his mother s arms on their boat to Spain (Jan 3, 2005)",Africa to Spain,35.010802,-7.514648,"35.010802, -7.514648",117,"Event at Africa To Spain on Jan 03, 2005",Western Mediteranean route,PICUM,
35363,starved,drowning or exhaustion related death,United,2005-01-02T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,3,"died of thirst, travelling through desert to Tumu, Niger to get to LY border (Jan 2, 2005)",niger,17.607789,8.081666,"17.607789, 8.081666",164,"Event at Niger on Jan 02, 2005",,LESP/Gatti/Migreurop,
35364,unknown,unknown - supposedly exhaustion related death,United,2005-01-02T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,1,"missing, after being deported to Afghanistan, after a 18 months asylum in BG (Jan 2, 2005)",afghanistan,33.93911,67.709953,"33.93911, 67.709953",2,"Event at Afghanistan on Jan 02, 2005",,Evening Gazette,
35362,unknown,unknown - supposedly exhaustion related death,Del grande,2005-01-02T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,3,"A ship bound for Greece tips off the Turkish coast. 2 dead, 1 missing (Jan 3, 2005)",Turkey,38.963745,35.243322,"38.963745, 35.243322",23,"Event at Turkey on Jan 02, 2005",,Turkish Press,http://www.turkishpress.com/news.asp?ID=35527
35365,drowned,drowning or exhaustion related death,United,2005-01-01T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,2,"drowned, after shipwreck off the coast of Morocco near El-Ayunan on way to Spain (Jan 1, 2005)",ayun,27.153611,-13.203333,"27.153611, -13.203333",348,"Event at Ayun on Jan 01, 2005",Western African route,Le Monde,
53694,drowned,drowning or exhaustion related death,,2005-01-01T00:00:00Z,1Q2005,2005 -- 1,2005,0,0,3,died crossing the Oder/Neisse border (suicide possible). German police did not record the precise date.,Oder/Neisse border,52.825559,14.197083,"52.825559, 14.197083",6,Event at Oder/Neisse border in 2005,,German Federal Police,
35438,drowned,drowning or exhaustion related death,United,2004-09-30T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,5,"reportedly drowned after boat sank, tragedy on the way from Vlora (AL) to Italy  (Sep 30, 2004)",vlora,40.471882,19.490219,"40.471882, 19.490219",73,"Event at Vlora on Sep 30, 2004",Apulia & Calbria,GuardianUn./KI/BBC/SD-Agencies/AJC/IP/Vivre/LR,
35437,hypothermia,drowning or exhaustion related death,United,2004-09-30T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,18,"froze to death on a boat on the way from Vlora (AL) to Italy (Sep 30, 2004)",vlora,40.471882,19.490219,"40.471882, 19.490219",73,"Event at Vlora on Sep 30, 2004",Apulia & Calbria,GuardianUn./KI/BBC/SD-Agencies/AJC/IP/Vivre/YaN/Moscow Times/LR,
35436,hypothermia,drowning or exhaustion related death,United,2004-09-30T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,3,"died of hypothermia on a boat on the way from Vlora (AL) to Italy (Sep 30, 2004)",vlora,40.471882,19.490219,"40.471882, 19.490219",73,"Event at Vlora on Sep 30, 2004",Apulia & Calbria,GuardianUn./KI/BBC/SD-Agencies/AJC/IP/Vivre/YaN/Moscow Times/LR,
35439,drowned,drowning or exhaustion related death,United,2004-09-29T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,2,"reportedly drowned after their boat capsized on way to Fuerteventura (E) (Sep 29, 2004). From Del Grande's data set (translated): Two French journalists landed in the Canary Islands for a report. Two traveling companions would be drowned after a boat overturned on departure (Sep 30, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Sep 29, 2004",Western African route,APDHA,http://docs.google.com/viewer?url=http://www.aedh.eu/fichiers/Rapport%20annexe%20_bis_%20-fr.pdf
35441,suicide - put on fire,suicide,United,2004-09-28T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"suicide, set himself on fire in Paris (F) in front of his embassy (Sep 28, 2004)",paris,48.856614,2.352222,"48.856614, 2.352222",30,"Event at Paris on Sep 28, 2004",,slovensko.com,
35440,drowned,drowning or exhaustion related death,United,2004-09-28T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,2,"drowned, fell into water playing near asylum centre in Harlingen (NL) (Sep 28, 2004)",harlingen,53.174638,5.425152,"53.174638, 5.425152",3,"Event at Harlingen on Sep 28, 2004",,VK,
35442,lack of medical care,drowning or exhaustion related death,United,2004-09-26T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"died in detention Centre due to pulmonay embolish, lacking medical care  (Sep 26, 2004)",Germany,51.165691,10.451526,"51.165691, 10.451526",8,"Event at Germany on Sep 26, 2004",,INDd,
35443,suicide - hanged,suicide,United,2004-09-25T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,1,"suicide, found hanged in an emergency accommodation in Newcastle (GB)  (Sep 25, 2004)",newcastle,54.978252,-1.61778,"54.978252, -1.61778",2,"Event at Newcastle on Sep 25, 2004",,NCADC/IRR,
35444,unknown,unknown - supposedly exhaustion related death,Del grande,2004-09-23T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,5,"The Tunisian coast guard found 4 dead on board a barge directly in Italy, a fifth person is dying (Sep 24, 2004)",tunis,36.81881,10.16596,"36.81881, 10.16596",540,"Event at Tunis on Sep 23, 2004",Central Mediteranean route,Tunezine,http://www.tunezine.com/breve.php3?id_breve=395
35446,drowned,drowning or exhaustion related death,United,2004-09-20T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,4,"drowned, found dead on a boat drifting a few miles from Zarzis (TN) (Sep 20, 2004)",zarzis,33.503681,11.11538,"33.503681, 11.11538",5,"Event at Zarzis on Sep 20, 2004",Central Mediteranean route,MP/AP/PICUM,
35445,unknown,unknown - supposedly exhaustion related death,Del grande,2004-09-20T00:00:00Z,3Q2004,2004 -- 9,2004,0,0,5,"Off Klibia, sinking a small boat. 5 missing (Sep 21, 2004)",Klibia,36.85,11.1,"36.85, 11.1",5,"Event at Klibia on Sep 20, 2004",Central Mediteranean route,Afrology,http://www.afrology.com/soc/immigrer.html
