"Country Name","Country Code","Region","IncomeGroup","SpecialNotes",
"Kosovo","","Europe & Central Asia","Lower middle income","Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",
"Aruba","ABW","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",
"Afghanistan","AFG","South Asia","Low income","Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",
"Angola","AGO","Sub-Saharan Africa","Upper middle income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.",
"Albania","ALB","Europe & Central Asia","Upper middle income","",
"Andorra","AND","Europe & Central Asia","High income: nonOECD","",
"Arab World","ARB","","","Arab World aggregate. Arab World is composed of members of the League of Arab States.",
"United Arab Emirates","ARE","Middle East & North Africa","High income: nonOECD","April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.",
"Argentina","ARG","Latin America & Caribbean","High income: nonOECD","The base year has changed to 2004.",
"Armenia","ARM","Europe & Central Asia","Lower middle income","",
"American Samoa","ASM","East Asia & Pacific","Upper middle income","",
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income: nonOECD","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Australia","AUS","East Asia & Pacific","High income: OECD","Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.",
"Austria","AUT","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income","April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.",
"Burundi","BDI","Sub-Saharan Africa","Low income","",
"Belgium","BEL","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Benin","BEN","Sub-Saharan Africa","Low income","",
"Burkina Faso","BFA","Sub-Saharan Africa","Low income","",
"Bangladesh","BGD","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.",
"Bulgaria","BGR","Europe & Central Asia","Upper middle income","The new reference year for chain linked series is 2010. April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.",
"Bahrain","BHR","Middle East & North Africa","High income: nonOECD","Based on official government statistics; the new base year is 2010.",
"Bahamas, The","BHS","Latin America & Caribbean","High income: nonOECD","",
"Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","Based on official government statistics for chain linked series; the new reference year is 2010.",
"Belarus","BLR","Europe & Central Asia","Upper middle income","",
"Belize","BLZ","Latin America & Caribbean","Upper middle income","",
"Bermuda","BMU","North America","High income: nonOECD","",
"Bolivia","BOL","Latin America & Caribbean","Lower middle income","",
