"","firm","year","inv","value","capital"
"1",1,1935,317.6,3078.5,2.8
"2",1,1936,391.8,4661.7,52.6
"3",1,1937,410.6,5387.1,156.9
"4",1,1938,257.7,2792.2,209.2
"5",1,1939,330.8,4313.2,203.4
"6",1,1940,461.2,4643.9,207.2
"7",1,1941,512,4551.2,255.2
"8",1,1942,448,3244.1,303.7
"9",1,1943,499.6,4053.7,264.1
"10",1,1944,547.5,4379.3,201.6
"11",1,1945,561.2,4840.9,265
"12",1,1946,688.1,4900.9,402.2
"13",1,1947,568.9,3526.5,761.5
"14",1,1948,529.2,3254.7,922.4
"15",1,1949,555.1,3700.2,1020.1
"16",1,1950,642.9,3755.6,1099
"17",1,1951,755.9,4833,1207.7
"18",1,1952,891.2,4924.9,1430.5
"19",1,1953,1304.4,6241.7,1777.3
"20",1,1954,1486.7,5593.6,2226.3
"21",2,1935,209.9,1362.4,53.8
"22",2,1936,355.3,1807.1,50.5
"23",2,1937,469.9,2676.3,118.1
"24",2,1938,262.3,1801.9,260.2
"25",2,1939,230.4,1957.3,312.7
"26",2,1940,361.6,2202.9,254.2
"27",2,1941,472.8,2380.5,261.4
"28",2,1942,445.6,2168.6,298.7
"29",2,1943,361.6,1985.1,301.8
"30",2,1944,288.2,1813.9,279.1
"31",2,1945,258.7,1850.2,213.8
"32",2,1946,420.3,2067.7,132.6
"33",2,1947,420.5,1796.7,264.8
"34",2,1948,494.5,1625.8,306.9
"35",2,1949,405.1,1667,351.1
"36",2,1950,418.8,1677.4,357.8
"37",2,1951,588.2,2289.5,342.1
"38",2,1952,645.5,2159.4,444.2
"39",2,1953,641,2031.3,623.6
"40",2,1954,459.3,2115.5,669.7
"41",3,1935,33.1,1170.6,97.8
"42",3,1936,45,2015.8,104.4
"43",3,1937,77.2,2803.3,118
"44",3,1938,44.6,2039.7,156.2
"45",3,1939,48.1,2256.2,172.6
"46",3,1940,74.4,2132.2,186.6
"47",3,1941,113,1834.1,220.9
"48",3,1942,91.9,1588,287.8
"49",3,1943,61.3,1749.4,319.9
"50",3,1944,56.8,1687.2,321.3
"51",3,1945,93.6,2007.7,319.6
"52",3,1946,159.9,2208.3,346
"53",3,1947,147.2,1656.7,456.4
"54",3,1948,146.3,1604.4,543.4
"55",3,1949,98.3,1431.8,618.3
"56",3,1950,93.5,1610.5,647.4
"57",3,1951,135.2,1819.4,671.3
"58",3,1952,157.3,2079.7,726.1
"59",3,1953,179.5,2371.6,800.3
"60",3,1954,189.6,2759.9,888.9
"61",4,1935,40.29,417.5,10.5
"62",4,1936,72.76,837.8,10.2
"63",4,1937,66.26,883.9,34.7
"64",4,1938,51.6,437.9,51.8
"65",4,1939,52.41,679.7,64.3
"66",4,1940,69.41,727.8,67.1
"67",4,1941,68.35,643.6,75.2
"68",4,1942,46.8,410.9,71.4
"69",4,1943,47.4,588.4,67.1
"70",4,1944,59.57,698.4,60.5
"71",4,1945,88.78,846.4,54.6
"72",4,1946,74.12,893.8,84.8
"73",4,1947,62.68,579,96.8
"74",4,1948,89.36,694.6,110.2
"75",4,1949,78.98,590.3,147.4
"76",4,1950,100.66,693.5,163.2
"77",4,1951,160.62,809,203.5
"78",4,1952,145,727,290.6
"79",4,1953,174.93,1001.5,346.1
"80",4,1954,172.49,703.2,414.9
"81",5,1935,39.68,157.7,183.2
"82",5,1936,50.73,167.9,204
"83",5,1937,74.24,192.9,236
"84",5,1938,53.51,156.7,291.7
"85",5,1939,42.65,191.4,323.1
"86",5,1940,46.48,185.5,344
"87",5,1941,61.4,199.6,367.7
"88",5,1942,39.67,189.5,407.2
"89",5,1943,62.24,151.2,426.6
"90",5,1944,52.32,187.7,470
"91",5,1945,63.21,214.7,499.2
"92",5,1946,59.37,232.9,534.6
"93",5,1947,58.02,249,566.6
"94",5,1948,70.34,224.5,595.3
"95",5,1949,67.42,237.3,631.4
"96",5,1950,55.74,240.1,662.3
"97",5,1951,80.3,327.3,683.9
"98",5,1952,85.4,359.4,729.3
"99",5,1953,91.9,398.4,774.3
"100",5,1954,81.43,365.7,804.9
"101",6,1935,20.36,197,6.5
"102",6,1936,25.98,210.3,15.8
"103",6,1937,25.94,223.1,27.7
"104",6,1938,27.53,216.7,39.2
"105",6,1939,24.6,286.4,48.6
"106",6,1940,28.54,298,52.5
