"","Year","Wheat","Wages"
"1",1565,41,5
"2",1570,45,5.05
"3",1575,42,5.08
"4",1580,49,5.12
"5",1585,41.5,5.15
"6",1590,47,5.25
"7",1595,64,5.54
"8",1600,27,5.61
"9",1605,33,5.69
"10",1610,32,5.78
"11",1615,33,5.94
"12",1620,35,6.01
"13",1625,33,6.12
"14",1630,45,6.22
"15",1635,33,6.3
"16",1640,39,6.37
"17",1645,53,6.45
"18",1650,42,6.5
"19",1655,40.5,6.6
"20",1660,46.5,6.75
"21",1665,32,6.8
"22",1670,37,6.9
"23",1675,43,7
"24",1680,35,7.3
"25",1685,27,7.6
"26",1690,40,8
"27",1695,50,8.5
"28",1700,30,9
"29",1705,32,10
"30",1710,44,11
"31",1715,33,11.75
"32",1720,29,12.5
"33",1725,39,13
"34",1730,26,13.3
"35",1735,32,13.6
"36",1740,27,14
"37",1745,27.5,14.5
"38",1750,31,15
"39",1755,35.5,15.7
"40",1760,31,16.5
"41",1765,43,17.6
"42",1770,47,18.5
"43",1775,44,19.5
"44",1780,46,21
"45",1785,42,23
"46",1790,47.5,25.5
"47",1795,76,27.5
"48",1800,79,28.5
"49",1805,81,29.5
"50",1810,99,30
"51",1815,78,NA
"52",1820,54,NA
"53",1821,54,NA
