"","velocity"
"1",850
"2",740
"3",900
"4",1070
"5",930
"6",850
"7",950
"8",980
"9",980
"10",880
"11",1000
"12",980
"13",930
"14",650
"15",760
"16",810
"17",1000
"18",1000
"19",960
"20",960
"21",960
"22",940
"23",960
"24",940
"25",880
"26",800
"27",850
"28",880
"29",900
"30",840
"31",830
"32",790
"33",810
"34",880
"35",880
"36",830
"37",800
"38",790
"39",760
"40",800
"41",880
"42",880
"43",880
"44",860
"45",720
"46",720
"47",620
"48",860
"49",970
"50",950
"51",880
"52",910
"53",850
"54",870
"55",840
"56",840
"57",850
"58",840
"59",840
"60",840
"61",890
"62",810
"63",810
"64",820
"65",800
"66",770
"67",760
"68",740
"69",750
"70",760
"71",910
"72",920
"73",890
"74",860
"75",880
"76",720
"77",840
"78",850
"79",850
"80",780
"81",890
"82",840
"83",780
"84",810
"85",760
"86",810
"87",790
"88",810
"89",820
"90",850
"91",870
"92",870
"93",810
"94",740
"95",810
"96",940
"97",950
"98",800
"99",810
"100",870
