country,religion,population
Iran,Christian,110000
Iran,Muslim,73570000
Iran,Unaffiliated,110000
Iran,Hindu,20000
Iran,Buddhist,0
Iran,Folk Religions,0
Iran,Other Religions,150000
Iran,Jewish,0
Sudan,Christian,1810000
Sudan,Muslim,30490000
Sudan,Unaffiliated,350000
Sudan,Hindu,0
Sudan,Buddhist,0
Sudan,Folk Religions,950000
Sudan,Other Religions,0
Sudan,Jewish,0
Iraq,Christian,270000
Iraq,Muslim,31340000
Iraq,Unaffiliated,40000
Iraq,Hindu,0
Iraq,Buddhist,0
Iraq,Folk Religions,0
Iraq,Other Religions,20000
Iraq,Jewish,0
Yemen,Christian,40000
Yemen,Muslim,23830000
Yemen,Unaffiliated,20000
Yemen,Hindu,150000
Yemen,Buddhist,0
Yemen,Folk Religions,0
Yemen,Other Religions,0
Yemen,Jewish,0
Syria,Christian,1060000
Syria,Muslim,18930000
Syria,Unaffiliated,420000
Syria,Hindu,0
Syria,Buddhist,0
Syria,Folk Religions,0
Syria,Other Religions,0
Syria,Jewish,0
Somalia,Christian,0
Somalia,Muslim,9310000
Somalia,Unaffiliated,0
Somalia,Hindu,0
Somalia,Buddhist,0
Somalia,Folk Religions,0
Somalia,Other Religions,0
Somalia,Jewish,0
Libya,Christian,170000
Libya,Muslim,6140000
Libya,Unaffiliated,10000
Libya,Hindu,0
Libya,Buddhist,20000
Libya,Folk Religions,0
Libya,Other Religions,0
Libya,Jewish,0
