rMVMP,fulldate,NAME,rMVOP,Obs,BHRET3
46.3313,19760108,"SBE INC.",42.9174,1,-77.1
68.357,19760115,"DICKEY-JOHN",52.5823,2,0
613.83,19760121,"PATHCOM",677.331,3,-98.596
96.247,19760211,"MANUFACTURING DATA",76.9979,4,131.479
112.848,19760317,"CRAY RESEARCH",89.7345,5,202.941
241.045,19760629,"SHARED MEDICAL SYSTEMS",225.539,6,147.28
198.788,19760708,"DOCUMATION",200.26,7,28.467
93.507,19760713,"DATA TERMINAL",90.4415,8,567.005
656.23,19760812,"AMDAHL",659.229,9,99.611
92.331,19760915,"ROLM",92.3309,10,819.298
61.2817,19770201,"CONTINUOS CURVE LENS",60.5251,11,293.68
64.8688,19770427,"TESDATA SYSTEMS",60.2353,12,-40.52
200.629,19771214,"TANDEM COMPUTERS",159.119,13,753.333
41.9907,19771221,"TELENET",42.5821,14,121.918
179.24,19780608,"GENRAD",147.321,15,171.01
143.474,19780711,"PARADYNE CORP",107.271,16,636.391
155.394,19780802,"CULLINANE",117.279,17,324.074
116.725,19780907,"EVANS & SUTHERLAND",76.5413,18,396.8
322.75,19780928,"FLOATING POINT SYSTEM",221.314,19,41.12
84.803,19781018,"ROBINSON NUGENT",83.4131,20,77.426
51.4751,19781019,"SCIENTIFIC TIME SHAR",54.3348,21,-14.67
86.444,19781116,"AVANTEK",88.0154,22,917.544
54.4876,19781214,"RAMTEK",55.3259,23,52.24
123.321,19790124,"AUTO-TROL TECHNOLOGY",110.564,24,-25
120.794,19790215,"VERBATIM",112.521,25,117.45
104.588,19790427,"AMER. MGMT. SYSTEMS",84.6107,26,-39.011
93.185,19790502,"STRYKER",96.6362,27,162.162
74.757,19790614,"TOPAZ",71.7662,28,84.54
135.773,19790626,"PRINTRONIX",127.786,29,41.038
40.3806,19790703,"ANTENNAS FOR COMM.",33.9197,30,15.385
63.734,19790717,"SANDERS, RC TECH.",66.5047,31,-79.577
43.9592,19790927,"SPECTRADYNE",42.9824,32,122.606
47.1163,19791003,"WESPERCORP",46.1548,33,-23.851
74.504,19791004,"INFORMATICS",80.9822,34,0
53.1251,19791009,"VALLEN",62.7842,35,14.11
103.645,19791016,"KEVEX",92.7351,36,-12.258
108.961,19791016,"HAEMONETICS",97.629,37,29.13
52.5786,19791206,"TIE / COMMUNICATIONS",50.5564,38,1925
217.132,19791212,"NBI",147.208,39,277.5
417.9,19791218,"TRIAD SYSTEMS",305.78,40,2.9
31.3566,19791219,"BIOCHEM INTERNATIONAL",33.9697,41,100
186.04,19800311,"CADO SYSTEMS",161.384,42,-25.441
23.2673,19800313,"DIMIS",25.1287,43,-41.667
61.9649,19800520,"CORCOM",58.0921,44,101.21
30.773,19800529,"NITRON",30.773,45,-69.159
246.807,19800619,"ANDREW",250.188,46,358.67
321.333,19800625,"MAGNUSON COMPUTER",273.475,47,-91.41
109.32,19800709,"TYLAN",102.222,48,53.55
424.2,19800715,"TELLABS",349.855,49,89.796
195.054,19800722,"APPLICON",140.695,50,9.756
458.38,19800806,"MONOLITHIC MEMORIES",363.246,51,94.366
161.455,19800820,"BANCTEC",126.013,52,-16.364
75.998,19800905,"SYSTEM INDUSTRIES",69.4841,53,57.75
276.824,19800916,"ISC SYSTEMS",176.986,54,102.155
42.8387,19800923,"OXYGEN ENRICHMENT",39.2688,55,-56.7
174.247,19801008,"KLA INSTRUMENTS",113.025,56,235.71
156.687,19801028,"XICOR",107.207,57,35.065
356.652,19801103,"NETWORK SYSTEMS",242.254,58,213.62
30.3625,19801106,"HEALTH INFORMATION",24.1343,59,378.965
190.412,19801203,"K-TRON",158.264,60,-67.742
4487.59,19801212,"APPLE COMPUTER",3433.98,61,-25.38
373.56,19801216,"C3",376.5,62,-17.485
138.625,19801218,"ZENTEC",140.825,63,-42.188
154.612,19801231,"INTELLIGENT SYSTEMS",119.219,64,82.036
36.9906,19810122,"DIAGNOSTIC/RETRIEVAL",37.4588,65,174.32
623.15,19810127,"DYSAN",570.341,66,8.33
137.757,19810129,"SILICON SYSTEMS",137.757,67,53.672
26.6704,19810205,"RENAL DEVICES",25.6036,68,-94.118
166.115,19810205,"INTER-TEL",129.777,69,-44.186
382.24,19810211,"TANDON",354.542,70,233.813
81.3628,19810218,"ELECTRO-BIOLOGY",56.1123,71,-21.19
87.513,19810226,"LASER INDUSTRIES",70.9566,72,12.18
95.83,19810226,"C-COR ELECTRONICS",91.0856,73,-27.926
