Status,Province,Date,Actors,count
Civilian,Daraa,2018-03,Not identified,2
Civilian,Daraa,2018-03,Syrian government and affiliated militias,1
Civilian,Damascus Suburbs,2018-03,Syrian government and affiliated militias,49
Civilian,Aleppo,2018-03,Not identified,10
Non-Civilian,Damascus Suburbs,2018-03,Syrian government and affiliated militias,7
Civilian,Damascus Suburbs,2018-03,Russian troops,3
Civilian,Deir Ezzor,2018-03,Syrian government and affiliated militias,2
Civilian,Deir Ezzor,2018-03,Not identified,3
Non-Civilian,Aleppo,2018-03,Armed opposition groups,5
Civilian,Damascus,2018-03,Armed opposition groups,1
Civilian,Damascus,2018-03,Syrian government and affiliated militias,1
Non-Civilian,Homs,2018-03,Syrian government and affiliated militias,1
Non-Civilian,Homs,2018-03,Armed opposition groups,1
Non-Civilian,Hama,2018-03,Syrian government and affiliated militias,3
Civilian,Aleppo,2018-03,Syrian government and affiliated militias,1
Civilian,Aleppo,2018-03,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Aleppo,2018-03,Not identified,4
Civilian,Idlib,2018-03,Not identified,2
Non-Civilian,Idlib,2018-03,Al-Nusra Front,2
Civilian,Idlib,2018-03,Syrian government and affiliated militias,1
Non-Civilian,Hama,2018-03,Russian troops,3
Civilian,Raqqa,2018-03,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Homs,2018-03,Syrian government and affiliated militias,1
Non-Civilian,Homs,2018-03,Self administration forces,2
Non-Civilian,Idlib,2018-03,Syrian government and affiliated militias,1
Civilian,Quneitra,2018-03,Not identified,2
Non-Civilian,Deir Ezzor,2018-03,Self administration forces,1
Civilian,Idlib,2018-02,Syrian government and affiliated militias,44
Non-Civilian,Idlib,2018-02,Self administration forces,11
Civilian,Homs,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Aleppo,2018-02,Not identified,34
Non-Civilian,Unknown,2018-02,Syrian government and affiliated militias,2
Non-Civilian,Hasakeh,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,22
Civilian,Damascus Suburbs,2018-02,Syrian government and affiliated militias,875
Civilian,Damascus Suburbs,2018-02,Russian troops,50
Non-Civilian,Damascus Suburbs,2018-02,Syrian government and affiliated militias,33
Civilian,Damascus,2018-02,Syrian government and affiliated militias,29
Civilian,Homs,2018-02,Syrian government and affiliated militias,18
Non-Civilian,Homs,2018-02,Syrian government and affiliated militias,21
Non-Civilian,Aleppo,2018-02,Self administration forces,5
Non-Civilian,Idlib,2018-02,Syrian government and affiliated militias,31
Civilian,Idlib,2018-02,Not identified,20
Non-Civilian,Homs,2018-02,Self administration forces,9
Civilian,Damascus,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Hama,2018-02,Syrian government and affiliated militias,7
Civilian,Hama,2018-02,Syrian government and affiliated militias,13
Non-Civilian,Daraa,2018-02,Russian troops,1
Non-Civilian,Aleppo,2018-02,Not identified,36
Non-Civilian,Idlib,2018-02,Not identified,18
Non-Civilian,Other Nationalities,2018-02,Not identified,1
Civilian,Hama,2018-02,Armed opposition groups,1
Civilian,Aleppo,2018-02,Syrian government and affiliated militias,13
Non-Civilian,Aleppo,2018-02,Armed opposition groups,17
Civilian,Deir Ezzor,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,12
Non-Civilian,Lattakia,2018-02,Armed opposition groups,1
Civilian,Aleppo,2018-02,Armed opposition groups,9
Civilian,Hama,2018-02,Not identified,1
Non-Civilian,Aleppo,2018-02,Syrian government and affiliated militias,3
Non-Civilian,Deir Ezzor,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Civilian,Hama,2018-02,Russian troops,20
Civilian,Damascus,2018-02,Armed opposition groups,7
Civilian,Idlib,2018-02,Armed opposition groups,3
Non-Civilian,Daraa,2018-02,Not identified,5
Civilian,Hasakeh,2018-02,Syrian government and affiliated militias,2
Non-Civilian,Idlib,2018-02,Armed opposition groups,3
Civilian,Unknown,2018-02,Armed opposition groups,2
Non-Civilian,Daraa,2018-02,Syrian government and affiliated militias,4
Civilian,Deir Ezzor,2018-02,International coalition forces,16
Non-Civilian,Damascus Suburbs,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,7
Civilian,Hasakeh,2018-02,Not identified,4
Non-Civilian,Deir Ezzor,2018-02,International coalition forces,2
Non-Civilian,Other Nationalities,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Other Nationalities,2018-02,Self administration forces,11
Non-Civilian,Hama,2018-02,Self administration forces,1
Civilian,Aleppo,2018-02,Self administration forces,3
Civilian,Daraa,2018-02,Not identified,3
Civilian,Deir Ezzor,2018-02,Syrian government and affiliated militias,8
Civilian,Raqqa,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,5
Civilian,Raqqa,2018-02,Not identified,1
Civilian,Deir Ezzor,2018-02,Self administration forces,5
Non-Civilian,Deir Ezzor,2018-02,Syrian government and affiliated militias,1
Civilian,Hasakeh,2018-02,Self administration forces,1
Civilian,Idlib,2018-02,Russian troops,52
Civilian,Daraa,2018-02,Syrian government and affiliated militias,2
Civilian,Homs,2018-02,International coalition forces,5
Non-Civilian,Damascus Suburbs,2018-02,Not identified,3
Civilian,Damascus Suburbs,2018-02,Not identified,1
Civilian,Homs,2018-02,Not identified,3
Non-Civilian,Idlib,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Quneitra,2018-02,Not identified,6
Non-Civilian,Damascus,2018-02,Syrian government and affiliated militias,1
Civilian,Deir Ezzor,2018-02,Not identified,3
Non-Civilian,Daraa,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,6
Civilian,Damascus Suburbs,2018-02,Armed opposition groups,2
Non-Civilian,Quneitra,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Unknown,2018-02,Syrian government and affiliated militias,1
Civilian,Quneitra,2018-02,Syrian government and affiliated militias,1
Civilian,Aleppo,2018-02,International coalition forces,40
Civilian,Homs,2018-02,Russian troops,1
Civilian,Raqqa,2018-02,Self administration forces,4
Civilian,Raqqa,2018-02,Syrian government and affiliated militias,1
Non-Civilian,Idlib,2018-02,Al-Nusra Front,1
Civilian,Idlib,2018-02,Self administration forces,1
