"","body","brain"
"Arctic fox",3.385,44.5
"Owl monkey",0.48,15.5
"Mountain beaver",1.35,8.1
"Cow",465,423
"Grey wolf",36.33,119.5
"Goat",27.66,115
"Roe deer",14.83,98.2
"Guinea pig",1.04,5.5
"Verbet",4.19,58
"Chinchilla",0.425,6.4
"Ground squirrel",0.101,4
"Arctic ground squirrel",0.92,5.7
"African giant pouched rat",1,6.6
"Lesser short-tailed shrew",0.005,0.14
"Star-nosed mole",0.06,1
"Nine-banded armadillo",3.5,10.8
"Tree hyrax",2,12.3
"N.A. opossum",1.7,6.3
"Asian elephant",2547,4603
"Big brown bat",0.023,0.3
"Donkey",187.1,419
"Horse",521,655
"European hedgehog",0.785,3.5
"Patas monkey",10,115
"Cat",3.3,25.6
"Galago",0.2,5
"Genet",1.41,17.5
"Giraffe",529,680
"Gorilla",207,406
"Grey seal",85,325
"Rock hyrax-a",0.75,12.3
"Human",62,1320
"African elephant",6654,5712
"Water opossum",3.5,3.9
"Rhesus monkey",6.8,179
"Kangaroo",35,56
"Yellow-bellied marmot",4.05,17
"Golden hamster",0.12,1
"Mouse",0.023,0.4
"Little brown bat",0.01,0.25
"Slow loris",1.4,12.5
"Okapi",250,490
"Rabbit",2.5,12.1
"Sheep",55.5,175
"Jaguar",100,157
"Chimpanzee",52.16,440
"Baboon",10.55,179.5
"Desert hedgehog",0.55,2.4
"Giant armadillo",60,81
"Rock hyrax-b",3.6,21
"Raccoon",4.288,39.2
"Rat",0.28,1.9
"E. American mole",0.075,1.2
"Mole rat",0.122,3
"Musk shrew",0.048,0.33
"Pig",192,180
"Echidna",3,25
"Brazilian tapir",160,169
"Tenrec",0.9,2.6
"Phalanger",1.62,11.4
"Tree shrew",0.104,2.5
"Red fox",4.235,50.4
