"","Strip","Conc","Length"
"3","S01",1,15.8
"4","S01",2,20.8
"5","S01",3,22.6
"6","S01",4,23.8
"9","S02",1,20.6
"10","S02",2,26.8
"11","S02",3,28.4
"12","S02",4,27
"13","S03",0.25,7.2
"14","S03",0.5,15.4
"15","S03",1,22.8
"16","S03",2,27.4
"19","S04",0.25,2.2
"20","S04",0.5,9
"21","S04",1,16.6
"25","S05",0.25,2
"26","S05",0.5,6
"27","S05",1,15.2
"31","S06",0.25,5
"32","S06",0.5,9.2
"33","S06",1,14.2
"39","S07",1,28
"40","S07",2,32
"43","S08",0.25,5.6
"45","S08",1,26
"50","S09",0.5,15.4
"51","S09",1,23.2
"55","S10",0.25,11.8
"57","S10",1,29
"61","S11",0.25,11
"62","S11",0.5,18.8
"63","S11",1,26.2
"69","S12",1,26
"70","S12",2,33.8
"75","S13",1,24.2
"76","S13",2,28.8
"80","S14",0.5,15
"81","S14",1,24
"86","S15",0.5,20.8
"87","S15",1,29
"93","S16",1,18.2
"94","S16",2,25.8
"95","S16",3,30
"96","S16",4,32.2
"99","S17",1,21.5
"100","S17",2,28.4
"101","S17",3,32
"102","S17",4,29.6
"105","S18",1,15.4
"106","S18",2,19
"107","S18",3,19.4
"111","S19",1,29
"112","S19",2,34
"113","S19",3,37
"117","S20",1,22.2
"118","S20",2,29
"119","S20",3,32.2
"123","S21",1,23
"124","S21",2,27.4
"125","S21",3,30.4
