"","Sex","Wr.Hnd","NW.Hnd","W.Hnd","Fold","Pulse","Clap","Exer","Smoke","Height","M.I","Age"
"1","Female",18.5,18,"Right","R on L",92,"Left","Some","Never",173,"Metric",18.25
"2","Male",19.5,20.5,"Left","R on L",104,"Left","None","Regul",177.8,"Imperial",17.583
"3","Male",18,13.3,"Right","L on R",87,"Neither","None","Occas",NA,NA,16.917
"4","Male",18.8,18.9,"Right","R on L",NA,"Neither","None","Never",160,"Metric",20.333
"5","Male",20,20,"Right","Neither",35,"Right","Some","Never",165,"Metric",23.667
"6","Female",18,17.7,"Right","L on R",64,"Right","Some","Never",172.72,"Imperial",21
"7","Male",17.7,17.7,"Right","L on R",83,"Right","Freq","Never",182.88,"Imperial",18.833
"8","Female",17,17.3,"Right","R on L",74,"Right","Freq","Never",157,"Metric",35.833
"9","Male",20,19.5,"Right","R on L",72,"Right","Some","Never",175,"Metric",19
"10","Male",18.5,18.5,"Right","R on L",90,"Right","Some","Never",167,"Metric",22.333
"11","Female",17,17.2,"Right","L on R",80,"Right","Freq","Never",156.2,"Imperial",28.5
"12","Male",21,21,"Right","R on L",68,"Left","Freq","Never",NA,NA,18.25
"13","Female",16,16,"Right","L on R",NA,"Right","Some","Never",155,"Metric",18.75
"14","Female",19.5,20.2,"Right","L on R",66,"Neither","Some","Never",155,"Metric",17.5
"15","Male",16,15.5,"Right","R on L",60,"Right","Some","Never",NA,NA,17.167
"16","Female",17.5,17,"Right","R on L",NA,"Right","Freq","Never",156,"Metric",17.167
"17","Female",18,18,"Right","L on R",89,"Neither","Freq","Never",157,"Metric",19.333
"18","Male",19.4,19.2,"Left","R on L",74,"Right","Some","Never",182.88,"Imperial",18.333
"19","Male",20.5,20.5,"Right","L on R",NA,"Left","Some","Never",190.5,"Imperial",19.75
"20","Male",21,20.9,"Right","R on L",78,"Right","Freq","Never",177,"Metric",17.917
"21","Male",21.5,22,"Right","R on L",72,"Left","Freq","Never",190.5,"Imperial",17.917
"22","Male",20.1,20.7,"Right","L on R",72,"Right","Freq","Never",180.34,"Imperial",18.167
"23","Male",18.5,18,"Right","L on R",64,"Right","Freq","Never",180.34,"Imperial",17.833
"24","Male",21.5,21.2,"Right","R on L",62,"Right","Some","Never",184,"Metric",18.25
"25","Female",17,17.5,"Right","R on L",64,"Left","Some","Never",NA,NA,19.167
