HDI rank,Country,Country Code,"Adult mortality (per 1,000 people) female 2011","Adult mortality (per 1,000 people) male 2011","Age-standardized death from alcohol use per 100,000 people 2008","Age-standardized death from drug use per 100,000 people 2008",Age-standardised obesity among (%of population aged 20 years and older) 2008,"HIV prevalence rate, adults (%aged 15-49) 2012",Note,Life expactancy at age 60 (years) 2010/2015,Note - a,Life expectancy health-adjusted (years) female 2010,Life expectancy health-adjusted (years) male 2010,"Physicians (per 10,000 people) 2003-2012",Note - b,Health expenditure Total (as % of GDP) 2011,Health expenditure out of pocket (%of total expenditure) 2011
,Very high human development,,59,109,1.9,1,22,..,,23,,70.9,66.9,27.8,,12.2,13.7
1,Norway,,49,77,2.9,0.9,19.8,..,,24,,69.7,66.3,..,,9.1,13.6
2,Australia,,46,80,1,0.5,25.1,..,,25.1,,71.8,68.4,38.5,,9,19.8
3,Switzerland,,41,69,2.3,3,14.9,..,,25,,72.4,69.1,40.8,,10.9,25
4,Netherlands,,55,72,0.9,0.1,16.2,..,,23.5,,70.2,67.9,..,,12,5.1
5,United States,,77,131,2.1,1.6,31.8,..,,23.2,,69.5,66.2,24.2,,17.9,11.3
6,Germany,,51,96,4.3,0.9,21.3,..,,23.5,,70.9,67.1,36.9,,11.1,12.4
7,New Zealand,,55,85,0.4,0.3,27,..,,24.1,,70.7,67.7,27.4,,10.1,10.5
8,Canada,,53,84,1.6,1.2,24.3,..,,24.4,,70.9,68.3,20.7,,11.2,14.4
9,Singapore,,41,72,..,..,6.4,..,,24.5,,72.6,69.6,19.2,,4.6,60.4
10,Denmark,,62,103,6.9,0.5,16.2,..,,22.4,,69.5,66.3,..,,11.2,13.2
11,Ireland,,51,85,1.6,2.2,24.5,..,,23.4,,70.5,67.2,..,,9.4,14.5
12,Sweden,,44,71,2.8,1.5,16.6,..,,24.1,,71.2,68,38.7,,9.4,16.9
13,Iceland,,38,64,0.9,0.3,21.9,..,,24.3,,69.9,66.9,34.6,,9.1,18.2
14,United Kingdom,,57,91,1.4,1.8,24.9,..,,23.5,,70.1,67.1,27.7,,9.3,9.2
15,"Hong Kong, China (SAR)",,..,..,..,..,..,..,,25.4,,..,..,..,,..,..
15,Korea (Republic of),,42,102,2.2,0.2,7.3,..,,24,,72.6,67.9,20.2,,7.2,32.9
17,Japan,,46,84,0.3,0,4.5,..,,26.1,,75.5,70.6,21.4,,9.3,16.4
18,Liechtenstein,,..,..,..,..,..,..,,..,,..,..,..,,..,..
19,Israel,,44,75,0.8,1.4,25.5,..,,24.3,,70.9,68.3,31.1,,7.7,21.4
20,France,,53,113,4.2,0.5,15.6,..,,25.1,,71.9,67,33.8,,11.6,7.5
21,Austria,,49,94,3.2,2.6,18.3,..,,23.9,,71.2,67,48.6,,10.6,16.3
21,Belgium,,59,102,1.7,0.4,19.1,..,,23.6,,70.6,66.5,37.8,,10.6,19.1
21,Luxembourg,,52,84,3.7,1,23.4,..,,23.4,,69.9,66.9,27.8,,7.7,11.4
24,Finland,,51,116,3.5,0.7,19.9,..,,23.8,,69.6,65,..,,8.9,19.2
25,Slovenia,,51,118,4.1,0.3,27,..,,22.8,,70.7,65.7,25.4,,9.1,13
26,Italy,,40,73,0.2,0.7,17.2,..,,24.7,,71.9,68.3,38,,9.5,19.9
27,Spain,,41,91,0.6,1.4,24.1,..,,24.8,,73,68.8,39.6,,9.4,20.1
28,Czech Republic,,60,132,1.3,0.3,28.7,..,,21.1,,69.6,64.8,37.1,,7.4,15.1
29,Greece,,43,102,0.1,..,17.5,..,,23.5,,70.4,67,..,,10.8,36.7
30,Brunei Darussalam,,71,105,..,0.5,7.9,..,,21.4,,68.6,66.2,13.6,,2.5,14.8
31,Qatar,,52,74,..,0,33.1,..,,21.2,,67.4,66.2,27.6,,1.9,13.6
32,Cyprus,,38,79,0,0.1,23.4,..,,22,,70.6,67.1,27.5,,7.4,49.4
33,Estonia,,69,207,8.8,0.6,18.9,..,,20.2,,69.3,61.7,33.4,,6,18.6
34,Saudi Arabia,,52,71,0.4,0.2,35.2,..,,19.2,,66.6,63.9,9.4,,3.7,18
35,Lithuania,,92,267,0.7,0.4,24.7,..,,19.1,,68.4,60,36.4,,6.6,27.9
35,Poland,,72,191,3.7,0.1,23.2,..,,21.1,,69.3,62.8,20.7,,6.7,22.9
37,Andorra,,44,93,0.4,1.2,24.2,..,,..,,72.2,68.3,39.1,,7.2,19.6
37,Slovakia,,70,170,0,1.5,24.6,..,,19.8,,68.3,62.4,30,,8.7,26.2
39,Malta,,42,77,0.2,..,26.6,..,,22.3,,70.6,66.7,32.3,,8.7,33.9
40,United Arab Emirates,,64,85,1.1,0.3,33.7,..,,19.8,,66.2,64.7,19.3,,3.3,16.2
41,Chile,,58,113,3,0.8,29.1,0.4,,23.6,,71,66.2,10.3,,7.5,37.2
41,Portugal,,50,117,0.9,1.5,21.6,..,,23.2,,70.7,66.4,..,,10.4,27.3
43,Hungary,,93,208,3.3,1.5,24.8,..,,19.9,,67.3,61.1,34.1,,7.7,26.2
44,Bahrain,,51,69,0.5,0.5,32.6,..,,19.5,,65.2,64.3,14.9,,3.8,16.6
44,Cuba,,75,119,2.1,0,20.5,0.1,c,22.9,,66.9,63.5,67.2,,10,5.3
46,Kuwait,,44,61,0.1,..,42.8,..,,17.6,,67,65.3,17.9,,2.7,16.1
47,Croatia,,60,140,2.9,1.6,21.3,..,,20.6,,68.3,63.6,27.2,,7.8,14.6
48,Latvia,,89,237,1.9,1.5,22,..,,19.1,,67.2,60,29,,6.2,39.6
49,Argentina,,85,154,1.7,0.9,29.4,0.4,,21.4,,68.7,63.5,31.6,,8.1,24.7
,High human development,,89,152,1.6,0.9,12.5,..,,19.9,,68.6,63.6,17.2,,6,33.8
50,Uruguay,,80,152,1.2,0.3,23.6,0.7,,21.8,,70,64,37.4,,8,13.1
51,Bahamas,,116,190,4.9,0.2,35,..,,22.3,,66.9,59.4,28.2,,7.7,28.7
51,Montenegro,,81,154,..,..,21.8,..,,19.2,,66.1,63.3,20.3,,9.3,30
53,Belarus,,103,307,3.1,2.3,23.4,0.4,,17.1,,65.6,56.4,37.6,,5.3,26.7
54,Romania,,84,209,2.9,0,17.7,..,,19.4,,67.3,61.4,23.9,,5.8,19.4
55,Libya,,134,411,0,6.9,30.8,..,,19.7,,63.6,62.2,19,,4.4,31.2
56,Oman,,78,157,0.4,0.2,22,..,,20.5,,66.4,63.6,20.5,,2.3,11.4
57,Russian Federation,,131,351,3.5,4.5,24.9,..,,17.5,,64.5,55.4,43.1,,6.2,35.4
58,Bulgaria,,86,194,0.8,0.1,21.4,..,,18.8,,66.8,61.5,37.6,,7.3,43.2
59,Barbados,,70,122,0.7,..,33.4,..,,19.5,,64.7,61.9,18.1,,7.7,29
60,Palau,,109,231,0.1,0,50.7,..,,..,,..,..,13.8,,10.6,11.6
61,Antigua and Barbuda,,164,203,5.5,..,25.8,..,,21.5,,65.5,61.2,..,,5.9,28.2
62,Malaysia,,90,174,0.9,0.4,14.1,0.4,,19,,66.4,62.6,12,,3.6,41.7
63,Mauritius,,94,208,4.1,0.5,18.2,1.2,,19.3,,66.8,61.2,10.6,,5.9,53
64,Trinidad and Tobago,,104,222,0.8,0.4,30,..,,17.8,,63.3,55.7,11.8,,5.7,38.5
65,Lebanon,,99,148,2,4.6,28.2,..,,22.7,,67.5,65.9,35.4,,6.3,56.5
65,Panama,,82,148,0.3,0.8,25.8,0.7,,23.9,,69,64.3,..,,8.2,26.8
67,Venezuela (Bolivarian Republic of),,90,198,0.6,0.8,30.8,0.6,,21.1,,68.5,61.7,..,,5.2,57
68,Costa Rica,,66,114,1.3,0.4,24.6,0.3,,23.8,,70.5,67.3,..,,10.9,27.2
69,Turkey,,68,123,..,0.2,29.3,..,,20.9,,66,61.8,17.1,,6.7,16.1
70,Kazakhstan,,152,337,3.1,4,24.4,..,,16.5,,62.4,53.9,38.4,,3.9,41.5
71,Mexico,,95,177,1.1,0.2,32.8,0.2,,22.7,,69.1,64.7,19.6,,6.2,46.5
71,Seychelles,,101,220,4.5,0.5,24.6,..,,19.4,,62.7,54.2,15.1,,3.8,5.4
73,Saint Kitts and Nevis,,83,170,4.4,..,40.9,..,,..,,..,..,..,,4.4,41.8
73,Sri Lanka,,77,191,5.2,0.4,5,0.1,,19.6,,68.6,62.3,4.9,,3.4,45.9
75,Iran (Islamic Republic of),,85,154,1.2,11.1,21.6,0.2,,19.9,,65.3,61.5,8.9,,6,58.5
76,Azerbaijan,,85,175,1.7,0.5,24.7,0.2,,18.3,,65.1,59.9,33.8,,5.2,70.1
77,Jordan,,99,146,0.7,1.7,34.3,..,,19,,63.2,64.8,25.6,,8.4,24.7
77,Serbia,,86,175,..,..,23,..,,18.7,,68,64,21.1,,10.4,36.2
79,Brazil,,100,202,4.8,0.5,19.5,..,,21.8,,66.6,61.1,17.6,,8.9,31.3
79,Georgia,,88,227,0.2,3.7,21.2,0.3,,19.8,,66.9,59.3,42.4,,9.9,69.5
79,Grenada,,122,196,3.7,0.9,24,..,,18.5,,61.7,57.4,6.6,,6.2,50.5
82,Peru,,93,119,1,1,16.5,0.4,,21.5,,66.6,64.8,9.2,,4.8,38.4
83,Ukraine,,120,310,3.6,2.3,20.1,0.9,,17.4,,64.9,56.6,35.2,,7.2,45.2
84,Belize,,139,210,2,0.3,34.9,1.4,,21.5,,61.5,57.3,8.3,,5.7,23.4
84,The former Yugoslav Republic of Macedonia,,74,137,1.8,1,20.3,..,,19.1,,66.4,63.2,26.2,,6.6,38.3
86,Bosnia and Herzegovina,,66,141,0.2,2.8,24.2,..,,20.2,,68.1,64.4,16.9,,10.2,31.3
87,Armenia,,94,228,1.3,0.6,23.4,0.2,,20,,67.2,59.9,28.5,,4.3,57.4
88,Fiji,,153,244,0.2,..,31.9,0.2,,17,,59,57.1,4.3,,3.8,21
89,Thailand,,102,207,1.9,0.9,8.5,1.1,,21.4,,67.8,62.7,3,,4.1,13.7
90,Tunisia,,72,134,1.6,4.6,23.8,0.1,c,20.2,,67.5,64.6,12.2,,6.2,39.5
91,China,,81,112,0.9,0,5.6,..,,19.5,,70.4,65.5,14.6,,5.2,34.8
91,Saint Vincent and the Grenadines,,115,176,4.1,0.7,25.1,..,,19.7,,62.5,58.1,..,,4.9,18.3
93,Algeria,,100,123,0.5,0.2,17.5,..,,17.9,,64.6,63.8,12.1,,3.9,18.2
93,Dominica,,118,222,1.9,0.7,25,..,,..,,65,58.3,..,,5.9,23.6
95,Albania,,87,123,0.1,0.7,21.1,..,,21.1,,67,62.5,11.1,,6.3,55
96,Jamaica,,103,188,0.1,0,24.6,1.7,,21.3,,64.6,61,4.1,,4.9,32.5
97,Saint Lucia,,88,180,1.9,..,22.3,..,,21,,64.1,59,..,,7.2,51.1
98,Colombia,,76,154,0,1.2,18.1,0.5,,21.3,,67.1,62.4,14.7,,6.1,17
98,Ecuador,,89,162,3.7,1.2,22,0.6,,23.6,,68.5,64.4,16.9,,7.3,49.4
100,Suriname,,111,194,0.7,0.2,25.8,1.1,,18.5,,63,58.5,9.1,,5.3,11
100,Tonga,,242,123,0,0.2,59.6,..,,18.6,,63.2,58.9,5.6,,5.3,11.1
102,Dominican Republic,,148,165,1.8,0.1,21.9,0.7,,21.9,,64.5,60.1,..,,5.4,40
,Medium human development,,157,230,1.3,2.3,5.9,..,,18.5,,59.5,56.3,7.4,,4.6,44.7
103,Maldives,,61,91,3.6,1.5,16.1,0.1,c,21,,68.9,67.3,16,,8.5,49.1
103,Mongolia,,147,309,0.8,0,16.4,0.1,c,16.3,,60.3,53,27.6,,5.3,39.7
103,Turkmenistan,,201,375,5.9,0.5,14.3,..,,17,,63,57.1,..,,2.7,39.2
106,Samoa,,105,177,0.1,0.2,55.5,..,,18.9,,63.2,59.8,4.8,,7,7.1
107,"Palestine, State of",,..,..,..,..,..,..,,18.7,,64,60.5,..,,..,..
108,Indonesia,,166,200,1,1,4.7,0.4,,17.8,,62.5,59.3,2,,2.7,49.9
109,Botswana,,238,301,0.6,0.3,13.5,23.0,,16.4,,61.3,57.1,3.4,,5.1,5
110,Egypt,,85,141,0.4,13.5,34.6,0.1,c,17.5,,60.8,57.5,28.3,,4.9,58.2
111,Paraguay,,97,176,3.2,0.3,19.2,0.3,,20.8,,64.4,61.3,..,,9.7,56.1
112,Gabon,,266,300,0.7,0.3,15,4.0,,18.2,,52.8,47.4,2.9,,3.2,46.6
113,Bolivia (Plurinational State of),,165,222,1.5,1.2,18.9,0.3,,18.6,,61.5,60.1,..,,4.9,25.8
114,Moldova (Republic of),,109,269,2.8,0.2,20.4,0.7,,16.2,,64.6,57.5,36.4,,11.4,44.9
115,El Salvador,,138,294,22.8,0.1,26.9,0.6,,22,,67,60.5,16,,6.8,32.3
116,Uzbekistan,,132,213,0.3,1,17.3,0.1,,18.3,,61.7,57.1,25.4,,5.4,43.9
117,Philippines,,137,256,0.9,0.3,6.4,0.1,c,17,,63.2,57.4,11.5,,4.1,55.9
118,South Africa,,407,474,0.9,0.4,33.5,17.9,,16,,52.7,49.1,7.6,,8.5,7.2
118,Syrian Arab Republic,,75,132,0.6,2.9,31.6,..,,19.9,,67.5,64.6,15,,3.7,51
120,Iraq,,116,207,0.3,6.9,29.4,..,,17.5,,60.9,60.8,6.1,,8.3,19.3
121,Guyana,,258,379,1.1,0.6,16.9,1.3,,16.6,,57.6,52.5,2.1,,5.9,18
121,Viet Nam,,87,128,0.9,1.7,1.6,0.4,,22.4,,69.1,62.6,12.2,,6.8,55.7
123,Cape Verde,,103,269,0.5,0.4,11.5,0.2,,19.9,,66.4,60.8,3,,4.8,23.4
124,Micronesia (Federated States of),,152,177,0.1,0.2,42,..,,17.3,,58.6,55.2,1.8,,13.4,9
125,Guatemala,,155,282,14.7,9.4,20.7,0.7,,21.5,,63.8,58.1,9.3,,6.7,53.4
125,Kyrgyzstan,,135,279,1.7,1.3,17.2,0.3,,16.8,,61.4,54.1,24.7,,6.5,34.4
127,Namibia,,242,282,0.5,0.3,10.9,13.3,,17.3,,55.1,50,3.7,,5.3,7.7
128,Timor-Leste,,224,259,0.9,1,2.9,..,,16.9,,59.2,56.9,1,,5.1,4
129,Honduras,,114,163,13.7,0.3,19.8,0.5,,22.1,,62.2,61,3.7,,8.6,47.9
129,Morocco,,89,141,0.8,8,17.3,0.1,,17.9,,61.9,60.3,6.2,,6,58
131,Vanuatu,,117,166,0.1,0.3,29.8,..,,18,,57.4,54.3,1.2,,4.1,6.9
132,Nicaragua,,119,204,10.5,0.3,24.2,0.3,,22.2,,66.3,61.9,3.7,,10.1,42.2
133,Kiribati,,164,340,..,0.1,45.8,..,,17.4,,54.7,49.6,3.8,,10.1,1.3
133,Tajikistan,,156,180,0.5,3.4,9.9,0.3,,18.2,,61,56.5,19,,5.8,60.1
135,India,,159,247,1.2,1.9,1.9,0.3,,17,,57.7,54.9,6.5,,3.9,59.4
136,Bhutan,,157,210,1.1,2.2,5.5,0.2,,19.5,,61.5,58.2,0.7,,4.1,15.3
136,Cambodia,,220,260,1.2,7.1,2.3,0.8,,23.8,,60,55.9,2.3,,5.7,56.9
138,Ghana,,217,252,1.8,2.1,8,1.4,,15.5,,56.1,54.5,0.9,,4.8,29.1
139,Lao People's Democratic Republic,,164,204,1.2,8.9,3,0.3,,17.1,,57.8,54.1,1.9,,2.8,39.7
140,Congo,,287,332,0.7,0.2,5.3,2.8,,17.1,,51.6,48.4,1,,2.5,31.5
141,Zambia,,377,426,0.8,0.3,4.2,12.7,,17,,48.7,46.8,0.7,,6.1,27
142,Bangladesh,,136,163,1,2.3,1.1,0.1,c,18.4,,59.8,57.1,3.6,,3.7,61.3
142,Sao Tome and Principe,,189,234,1.8,0.4,11.3,1.0,,18.2,,60.6,58.5,4.9,,7.7,56.9
144,Equatorial Guinea,,331,369,1,0.3,11.5,..,,15.9,,51.1,46.7,3,,4,31.6
,Low human development,,270,313,0.9,2.9,5.4,..,,16.2,,53,50.7,2.8,,5.2,52.7
145,Nepal,,157,183,1,1.2,1.5,0.3,,17.1,,59.9,57.6,2.1,,5.4,54.8
146,Pakistan,,152,186,0.4,6,5.9,0.1,c,17.4,,58,55.2,8.1,,2.5,63
147,Kenya,,294,346,0.7,0.2,4.7,6.1,,17.8,,56.8,54.2,1.8,,4.5,46.4
148,Swaziland,,504,558,0.7,0.3,23.4,26.5,,16.3,,43.3,40.4,1.7,,8,13.1
149,Angola,,331,383,1.3,0.3,7.2,2.3,,15.7,,54,49.7,1.7,,3.5,27.3
150,Myanmar,,181,231,1.1,3.8,4.1,0.6,,16.6,,58.3,53.2,5,,2,80.7
151,Rwanda,,291,344,0.9,0,4.3,2.9,,17.8,,56.4,53.2,0.6,,10.8,21.4
152,Cameroon,,372,415,0.8,0.3,11.1,4.5,,16.4,,51.4,49,0.8,,5.2,65.1
152,Nigeria,,360,393,0.9,1.7,7.1,3.1,,13.7,,50.8,50,4,,5.3,60.4
154,Yemen,,185,234,0.5,13.1,16.7,0.1,,16.2,,55.3,55.3,2,,5.5,78.1
155,Madagascar,,167,213,0.8,0.4,1.7,0.5,,16.9,,54.7,53,1.6,,4.1,25.2
156,Zimbabwe,,473,501,0.8,0.1,8.6,14.7,,18.8,,46.1,43.3,0.6,,..,..
157,Papua New Guinea,,235,312,1.1,1,15.9,0.5,,14.9,,51.5,49.6,0.5,,4.3,11.7
157,Solomon Islands,,159,201,0.1,0.2,32.1,..,,16.9,,55.3,53,2.2,,8.8,3
159,Comoros,,229,275,0.6,0.3,4.4,2.1,,15.9,,54.6,53.4,1.5,,5.3,42.2
159,Tanzania (United Republic of),,322,363,0.8,0,5.4,5.1,,17.9,,52.6,51.8,0.1,,7.3,31.7
161,Mauritania,,218,287,0.8,0.3,14,0.4,,16.4,,55,53.5,1.3,,5.4,37.3
162,Lesotho,,541,583,0.5,0.4,16.9,23.1,,15.5,,42.6,37.7,0.5,,12.8,17.9
163,Senegal,,239,293,0.8,0,8,0.5,,16.2,,56.5,54.8,0.6,,6,32.7
164,Uganda,,363,410,0.8,0.1,4.6,7.2,,17.5,,52.8,50.1,1.2,,9.5,47.8
165,Benin,,270,326,0.8,0.2,6.5,1.1,,15.6,,55.1,52.2,0.6,,4.6,42.6
166,Sudan,,216,279,1.3,3.5,6.6,..,,17.4,,58.1,55.9,2.8,,8.4,69.1
166,Togo,,313,359,0.8,0.2,4.6,2.9,,14.5,,52,50,0.5,,8,40.4
168,Haiti,,223,258,9.2,0.3,8.4,2.1,,17.2,,37.1,27.8,..,,7.9,22.1
169,Afghanistan,,245,289,0.7,33.1,2.4,0.1,c,15.9,,46.2,48.5,1.9,,9.6,79.4
170,Djibouti,,308,352,0.1,14.9,10.4,1.2,,17.5,,54.1,52.9,2.3,,7.9,31.6
171,Côte d'Ivoire,,310,348,1.1,0.3,6.7,3.2,,13.9,,50.6,45.4,1.4,,6.8,64.3
172,Gambia,,237,295,0.8,0.3,8.5,1.3,,15.2,,54.2,52.3,1.1,,4.4,22.3
173,Ethiopia,,265,306,0.7,0,1.2,1.3,,17.8,,53.5,51.4,0.3,,4.7,33.8
174,Malawi,,347,384,0.8,0.3,4.5,10.8,,17,,46.4,43.7,0.2,,8.4,14.2
175,Liberia,,292,331,0.9,0.3,5.5,0.9,,15.4,,47.9,47.6,0.1,,19.5,17.7
176,Mali,,304,369,0.9,0.3,4.8,0.9,,15.4,,48.4,48.8,0.8,,6.8,54.3
177,Guinea-Bissau,,352,405,0.9,0.3,5.4,3.9,,14.9,,49.5,46.7,0.7,,6.3,41.3
178,Mozambique,,421,457,0.7,0.3,5.4,11.1,,16.8,,46.1,42.9,0.3,,6.6,9
179,Guinea,,294,348,0.9,0.3,4.7,1.7,,14.8,,50.6,49.8,1,,6,67.4
180,Burundi,,321,370,0.9,0.2,3.3,1.3,,16,,46.8,45.5,0.3,,8.7,43.6
181,Burkina Faso,,236,298,0.9,0.3,2.4,1.0,,15.1,,48.8,45.4,0.5,,6.5,36.6
