HDI rank,Country,Primary energy supply: Fossil fuels (% of total) 2012,Note 1,Primary energy supply: renewable sources (% of total) 2012,Note 2,Electrification rate (% of population) 2010,Note 3,Carbon dioxide (tonnes) 2010,Note 4,Carbon dioxide: Average annual growth (%) 1970/2010,Note 5,Natural Resources: Natural resource depletion (% of GNI) 2010-2012,Note 6,Natural Resources (Forest area (% of total land area) 2011,Note 7,Natural Resources: Forest area (% change) 1990/2011,Note 8,Natural Resources: fresh water withdrawals (% of total renewable water resources) 2007-2011,Note 9,"Effects of environmental threats: Deaths of children under age 5 due to: Outdoor air pollution (per 100,000 children under age 5) 2008",Note 10,"Effects of environmental threats: Deaths of children under age 5 due to: Indoor air pollution (per 100,000 children under age 5) 2004",Note 11,"Effects of environmental threats: Deaths of children under age 5 due to: Unsafe water, unimproved sanitation or poor hygiene (per 100,000 children under age 5) 2004",Note 12,Effects of environmental threats: Population living on degraded land: 2010,Note 13,Effects of environmental threats: Impact of natural disasters: Number of deaths (per year per million people) 2005/2012,Note 14,Effects of environmental threats: Impact of natural disasters: Population affected (per year per million people) 2005/2012
,,,a,,a,,,,,,,,b,,,,,,b,,,,,,,,,,,
,Very high human development,82.0,,17.9,,..,,11.2,,0.0,,2.4,,27.6,,1.7,,8.5,,0,,0,,,,3.3,,3,,2989
1,Norway,57.3,,47.8,,..,,11.7,,1.2,,10.5,,33.3,,11.1,,0.8,,0,,0,,0,,0.2,,0,,41
2,Australia,95.4,,4.6,,..,,16.9,,0.9,,6.9,,19.3,,-4,,4.6,,0,,0,,0,,9.0,,3,,1503
3,Switzerland,51.1,,49.7,,..,,5,,-0.7,,0,,31.1,,8.1,,4.9,,0,,0,,0,,0.5,,0,,92
4,Netherlands,91.4,,6.7,,..,,11,,0.0,,0.8,,10.8,,5.9,,11.7,,0,,0,,0,,5.4,,7,,0
5,United States,83.6,,16.3,,..,,17.6,,-0.5,,1.2,,33.3,,2.9,,15.6,,0,,0,,0,,1.1,,2,,5691
6,Germany,80.2,,20.4,,..,,9.1,,..,,0.2,,31.8,,3.3,,21,,0,,0,,0,,8.1,,0,,3
7,New Zealand,61.4,,38.4,,..,,7.2,,0.9,,1.1,,31.4,,7,,1.5,,0,,0,,,,5.3,,5,,20003
8,Canada,73.7,,27.9,,..,,14.6,,-0.2,,3,,34.1,,0,,1.5,,0,,0,,0,,2.7,,0,,407
9,Singapore,97.2,,2.8,,100.0,,2.7,,-2.9,,0,,3.3,,-4.3,,31.7,,0,,0,,0,,..,,,,
10,Denmark,70.6,,26.8,,..,,8.3,,-1.0,,1.9,,12.9,,22.6,,10.8,,0,,0,,1,,8.5,,0,,0
11,Ireland,84.7,,6.4,,..,,8.9,,0.8,,0.1,,10.9,,60.8,,1.5,,0,,0,,,,0.5,,0,,45
12,Sweden,31.7,,70.5,,..,,5.6,,-1.8,,0.4,,68.7,,3.4,,1.5,,0,,0,,0,,0.3,,0,,0
