HDI rank,Country,Employment and vulnerabilities: Employment to population ratio (% aged 25 and above) 2012,Note 1,Employment and vulneratbilities: Vulnerable employment (% of total employment) 2003-2012,Note 2: b,Employment and vulnerabilities: Youth unemployment (% aged 15-24) 2008-2012,Note 3: b,Employment and vulnerabilities: Unemployment rate (% aged 15 years and older) 2004-2013,Note 4: b,Employment and vulnerabilities: Child labour (% aged 5-14 years) 2005-2012,Note 5,Employment and vulnerabilities: Share of working poor (% of total employment) 2003-2010,Note 6: b,Employment and vulnerabilities: Length of mandatory paid maternity leave (days) 2013,Note 7,Employment and vulnerabilities: Birth registration (% aged under 5),Note 8,Old age pension recipient (% of statutory pension age population (Total) 2004-2013,Note 9: b,Old age pension recipient (% of statutory pension age population (Female) 2004-2013,Note 10: b,Old age pension recipient (% of statutory pension age population (Malel) 2004-2013,Note 11: b,"Suicide rates (per 100,000) Female 2003-2009",Note 12: b,"Suicide rates (per 100,000) Male 2003-2009"
,Very high human development,58.7,,..,,18.3,,7.9,,..,,..,,—,,99.9,,..,,87.5,,97.5,,6.6,,20.5
1,Norway,65.5,,..,,8.6,,3.1,,..,,..,,..,,100,,100,,100.0,,100.0,,6.5,,17.3
2,Australia,62.3,,9.0,,11.7,,5.2,,..,,..,,..,,100,,83,,87.6,,77.5,,3.6,,12.8
3,Switzerland,65.9,,9.1,,8.4,,4.2,,..,,..,,98,,100,,100,,100.0,,100.0,,11.4,,24.8
4,Netherlands,61,,11.5,,9.5,,5.3,,..,,..,,112,,100,,100,,100.0,,100.0,,5.5,,13.1
5,United States,61,,..,,16.2,,7.4,,..,,..,,..,,100,,92.5,,..,,..,,4.5,,17.7
6,Germany,58,,6.8,,8.1,,5.5,,..,,..,,98,,100,,100,,100.0,,100.0,,6.0,,17.9
7,New Zealand,66.2,,12.1,,17.7,,6.9,,..,,..,,98,,100,,98,,96.5,,99.8,,5.5,,18.1
8,Canada,62.9,,..,,14.3,,7.2,,..,,..,,105,,100,,97.7,,..,,..,,5.4,,17.3
9,Singapore,72.5,,9.3,,6.7,,3.1,,..,,..,,112,,..,,..,,..,,..,,7.7,,12.9
10,Denmark,59.2,,..,,14.1,,7.5,,..,,..,,126,,100,,100,,100.0,,100.0,,6.4,,17.5
11,Ireland,55.6,,11.7,,30.4,,14.7,,..,,..,,182,,100,,90.5,,66.3,,100.0,,4.7,,19.0
12,Sweden,62.7,,..,,23.7,,8.0,,..,,..,,..,,100,,100,,100.0,,100.0,,6.8,,18.7
13,Iceland,71.2,,..,,13.6,,6.0,,..,,..,,90,,100,,100,,100.0,,100.0,,7.0,,16.5
14,United Kingdom,59.1,,..,,21.0,,7.9,,..,,..,,273,,100,,99.5,,99.2,,100.0,,3.0,,10.9
15,"Hong Kong, China (SAR)",60.9,,7.4,,9.3,,3.3,,..,,..,,70,,..,,72.9,,..,,..,,10.7,,19.0
15,Korea (Republic of),65.4,,24.8,,9.0,,3.2,,..,,..,,90,,..,,77.6,,..,,..,,22.1,,39.9
17,Japan,58.5,,10.5,,7.9,,4.3,,..,,..,,98,,100,,80.3,,..,,..,,13.2,,36.2
18,Liechtenstein,..,,..,,..,,2.5,c,..,,..,,..,,100,,..,,..,,..,,..,,..
19,Israel,63.4,,7.2,,12.1,,6.8,,..,,..,,98,,100,,73.6,,..,,..,,1.5,,7.0
20,France,54.4,,7.1,,23.8,,9.9,,..,,..,,112,,100,,100,,100.0,,100.0,,8.5,,24.7
21,Austria,58.9,,8.6,,8.7,,4.3,,..,,..,,112,,100,,100,,93.7,,77.5,,7.1,,23.8
21,Belgium,53,,10.3,,19.8,,7.5,,..,,..,,105,,100,,84.6,,67.8,,100.0,,10.3,,28.8
21,Luxembourg,60.5,,5.7,,18.8,,5.1,,..,,..,,..,,100,,90,,56.4,,100.0,,3.2,,16.1
24,Finland,57.6,,..,,17.7,,7.7,,..,,..,,147,,100,,100,,100.0,,100.0,,10.0,,29.0
25,Slovenia,56.4,,12.8,,20.6,,8.8,,..,,..,,105,,100,,95.1,,85.9,,100.0,,9.4,,34.6
26,Italy,47.1,,18.2,,35.3,,10.7,,..,,..,,150,,100,,81.1,,69.2,,100.0,,2.8,,10.0
27,Spain,47.9,,..,,53.2,,25.0,,..,,..,,112,,100,,68.2,,46.6,,97.4,,3.4,,11.9
