HDI rank,Country,Perceptions of individual well-being: Education quality (% satisfied) 2012,Note 1,Perceptions of individual well-being: Health care quality (% satisfied) 2008-2012,Note 2,Perceptions of individual well-being (Standard of living (% satisfied) 2007-2013,Note 3,Perceptions of individual well-being: Job (% satisfied) 2007-2012,Note 4,Perceptions of individual well-being: Safety (% answering yes) 2007-2012,Note 5,Perceptions of individual well-being: Freedom of choice (% satisfied) 2007-2012,Note 6,"Perceptions of individual well-being: Overall life satisfaction index (0, least satisfied, 10, most satisfied) 2007-2012",Note 7,Perceptions about community: Local labour market (% answering good) 2007-2012,Note 8,Perceptions about community: Trust in other people (% answering can be trusted) 2009-2011,Note 9,Perceptions about community: Community (% answering yes) 2007-2012,Note 10,Perceptions about government: Efforts to deal with the poor (% satisfied)2007-2013,Note 11,Perceptions about government: Actions to preserve the environment (% satisfied)2007-2013,Note 12,Perceptions about government: Trust in national government (% satisfied)2007-2013,Note 13
,,,,,a,,a,,a,,,,,,a,,a,,a,,a,,a,,a,,a
,Very high human development,63,,72,,—,,84,,72,,77,,6.6,,—,,31,,86,,41,,53,,36,
1,Norway,78,,82,,90,,91,,87,,92,,7.7,,54,,..,,92,,34,,52,,66,
2,Australia,66,,81,,87,,87,,65,,93,,7.2,,27,,..,,90,,45,,69,,42,
3,Switzerland,77,,94,,94,,93,,78,,94,,7.8,,35,,44,,94,,67,,74,,77,
4,Netherlands,74,,88,,88,,92,,77,,87,,7.5,,14,,46,,93,,63,,66,,57,
5,United States,64,,73,,72,,85,,74,,82,,7.0,,28,,37,,85,,43,,59,,35,
6,Germany,60,,86,,90,,91,,79,,90,,6.7,,46,,31,,94,,50,,67,,52,
7,New Zealand,71,,83,,87,,86,,64,,90,,7.2,,29,,..,,89,,53,,77,,61,
8,Canada,74,,75,,86,,90,,84,,92,,7.4,,43,,42,,91,,45,,60,,52,
9,Singapore,85,,84,,80,,88,,89,,82,,6.5,,63,,33,,92,,66,,84,,83,
10,Denmark,72,,81,,88,,92,,80,,92,,7.5,,18,,60,,94,,57,,70,,53,
11,Ireland,82,,64,,76,,88,,74,,90,,7.0,,6,,30,,90,,52,,63,,35,
12,Sweden,65,,81,,90,,90,,81,,93,,7.6,,32,,55,,94,,30,,57,,63,
13,Iceland,78,,79,,81,,93,,80,,87,,7.6,,33,,..,,75,,34,,55,,26,
14,United Kingdom,73,,86,,80,,88,,75,,88,,6.9,,9,,35,,88,,51,,71,,42,
15,"Hong Kong, China (SAR)",46,,54,,79,,81,,88,,87,,5.5,,46,,29,,82,,38,,38,,50,
15,Korea (Republic of),55,,68,,72,,73,,67,,59,,6.0,,25,,26,,79,,33,,33,,23,
17,Japan,55,,75,,71,,79,,77,,70,,6.0,,16,,33,,85,,33,,41,,17,
18,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
19,Israel,62,,69,,68,,80,,63,,65,,7.1,,26,,26,,79,,14,,42,,34,
20,France,67,,78,,83,,81,,67,,83,,6.6,,16,,20,,86,,44,,53,,44,
21,Austria,72,,93,,95,,93,,82,,90,,7.4,,35,,29,,94,,54,,61,,38,
21,Belgium,69,,87,,87,,86,,66,,82,,6.9,,19,,30,,91,,45,,58,,44,
21,Luxembourg,65,,88,,92,,91,,73,,91,,7.0,,18,,26,,94,,72,,76,,74,
24,Finland,81,,65,,82,,91,,77,,91,,7.4,,24,,58,,92,,42,,57,,60,
25,Slovenia,76,,81,,71,,86,,85,,89,,6.1,,9,,15,,92,,44,,58,,24,
26,Italy,62,,55,,66,,83,,66,,55,,5.8,,3,,20,,75,,30,,32,,28,
27,Spain,63,,74,,80,,86,,78,,74,,6.3,,5,,22,,88,,42,,41,,34,
28,Czech Republic,62,,71,,65,,78,,59,,71,,6.3,,11,,24,,84,,21,,52,,17,
29,Greece,46,,29,,38,,73,,47,,36,,5.1,,1,,16,,80,,7,,17,,13,
30,Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
31,Qatar,72,,90,,84,,88,,92,,90,,6.7,,66,,23,,92,,91,,91,,89,
32,Cyprus,66,,62,,69,,88,,68,,69,,6.2,,11,,11,,85,,39,,49,,34,
33,Estonia,51,,45,,43,,78,,61,,65,,5.4,,18,,33,,85,,8,,54,,27,
34,Saudi Arabia,65,,56,,77,,90,,77,,59,,6.5,,73,,36,,93,,80,,56,,..,
35,Lithuania,54,,51,,29,,73,,45,,46,,5.8,,14,,25,,84,,18,,42,,15,
35,Poland,60,,42,,66,,83,,68,,75,,5.9,,18,,25,,90,,22,,47,,27,
37,Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
37,Slovakia,61,,59,,49,,78,,55,,53,,5.9,,8,,21,,83,,22,,42,,37,
39,Malta,64,,70,,63,,80,,72,,82,,6.0,,19,,16,,82,,47,,64,,50,
40,United Arab Emirates,83,,82,,87,,87,,90,,88,,7.2,,47,,18,,93,,85,,89,,..,
41,Chile,49,,35,,72,,82,,57,,72,,6.6,,57,,15,,82,,35,,38,,34,
41,Portugal,67,,57,,52,,83,,60,,73,,5.0,,7,,27,,88,,29,,43,,23,
43,Hungary,60,,64,,40,,75,,56,,55,,4.7,,7,,13,,74,,17,,45,,21,
44,Bahrain,82,,70,,66,,77,,60,,63,,5.0,,44,,11,,90,,57,,57,,..,
44,Cuba,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
46,Kuwait,65,,62,,88,,93,,..,,93,,6.2,,69,,11,,93,,89,,78,,..,
47,Croatia,62,,63,,39,,73,,66,,46,,6.0,,5,,16,,75,,9,,40,,31,
48,Latvia,54,,48,,32,,77,,58,,51,,5.1,,17,,13,,85,,12,,55,,19,
49,Argentina,64,,63,,67,,81,,45,,73,,6.5,,34,,23,,82,,34,,42,,42,
,High human development,60,,58,,—,,74,,68,,73,,5.5,,—,,..,,79,,55,,60,,48,
50,Uruguay,62,,76,,79,,83,,51,,85,,6.4,,56,,27,,82,,58,,58,,58,
51,Bahamas,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
51,Montenegro,60,,48,,37,,59,,74,,43,,5.2,,7,,21,,69,,9,,35,,36,
53,Belarus,53,,38,,37,,62,,61,,53,,5.7,,26,,34,,82,,26,,45,,59,
54,Romania,53,,52,,36,,70,,54,,60,,5.2,,9,,15,,82,,8,,23,,24,
55,Libya,33,,41,,57,,74,,91,,68,,5.8,,49,,..,,72,,56,,37,,..,
56,Oman,..,,78,,87,,86,,..,,91,,6.9,,69,,..,,90,,..,,..,,..,
57,Russian Federation,39,,27,,42,,70,,39,,51,,5.6,,26,,24,,72,,12,,17,,45,
58,Bulgaria,45,,39,,29,,74,,59,,59,,4.2,,6,,20,,77,,9,,33,,34,
59,Barbados,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
60,Palau,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
61,Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
62,Malaysia,91,,87,,75,,83,,45,,82,,5.9,,44,,14,,83,,70,,72,,76,
63,Mauritius,..,,77,,64,,85,,55,,83,,5.5,,38,,..,,91,,..,,79,,67,
64,Trinidad and Tobago,..,,63,,71,,90,,69,,77,,6.5,,46,,..,,87,,34,,44,,52,
65,Lebanon,63,,46,,45,,63,,62,,61,,4.6,,13,,7,,81,,19,,27,,37,
65,Panama,68,,61,,79,,89,,48,,73,,6.9,,57,,21,,87,,37,,46,,36,
67,Venezuela (Bolivarian Republic of),77,,64,,79,,89,,26,,78,,7.1,,57,,13,,81,,60,,63,,54,
68,Costa Rica,83,,65,,75,,85,,53,,92,,7.3,,26,,14,,85,,40,,72,,28,
69,Turkey,55,,60,,55,,71,,55,,45,,5.3,,32,,8,,78,,41,,45,,53,
70,Kazakhstan,59,,47,,64,,75,,51,,75,,5.8,,38,,33,,80,,32,,40,,73,
71,Mexico,62,,71,,78,,76,,54,,77,,7.3,,43,,29,,79,,41,,53,,36,
71,Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
73,Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
73,Sri Lanka,80,,78,,60,,84,,77,,77,,4.2,,50,,17,,90,,58,,70,,78,
75,Iran (Islamic Republic of),61,,52,,67,,67,,55,,57,,4.6,,22,,..,,76,,58,,61,,56,
76,Azerbaijan,50,,34,,49,,66,,69,,54,,4.9,,27,,27,,73,,22,,48,,71,
77,Jordan,61,,72,,46,,69,,81,,65,,5.1,,13,,9,,74,,51,,47,,77,
