HDI rank,Country,Population: Total: 2013 (millions),Note 1,Population: Total: 2030 (millions) ,Note 2,Population: Under age 5 (millions): 2013,Note 3,Population Ages 65 and older (millions) 2013,Note 4,Population Average annual growth rate (%) 2000/2005,Note 5,Population Average annual growth rate (%) 2010/2015,Note 6,Population Urban (% of population) 2013,Note 7,Population Median age (years) 2015,Note 8,Dependency ratio Young age (ages 0-14) 2015,Note 9,Dependency ratio Old age (ages 65 and older) 2015,Note 10,Total fertility rate (births per woman) 2000/2005,Note 11,Total fertility rate (births per woman) 2010/2015,Note 12,Sex ratio at birth (male to female births) 2010/2015,Note 13
,,,c,,c,,c,,c,,,,"c,e",,"a, c",,c,,,,,,,,c,,"b, c"
,Very high human development,1189.7,,1276.5,,69.4,,193.9,,0.7,,0.6,,81.6,,40.2,,26.1,,25.7,,1.7,,1.8,,1.05,
1,Norway,5, d,5.8, d,0.3, d,0.8, d,0.6, d,1, d,79.9, d,39.2, d,28.6, d,25.2, d,1.8,e,1.9, d,1.06, d
2,Australia,23.3, e,28.3, e,1.6, e,3.3, e,1.3, e,1.3, e,89.5, e,37.4, e,29.1, e,22.7, e,1.8, e,1.9, e,1.06, e
3,Switzerland,8.1,,9.5,,0.4,,1.4,,0.7,,1,,73.8,,42.3,,21.9,,27.1,,1.4,,1.5,,1.05,
4,Netherlands,16.8,,17.3,,0.9,,2.9,,0.6,,0.3,,84,,42.4,,25.8,,27.8,,1.7,,1.8,,1.06,
5,United States,320.1,,362.6,,20.8,,44.7,,0.9,,0.8,,82.9,,37.7,,29.4,,22.2,,2,,2,,1.05,
6,Germany,82.7,,79.6,,3.5,,17.5,,0.1,,-0.1,,74.2,,46.3,,19.7,,32.7,,1.4,,1.4,,1.06,
7,New Zealand,4.5,,5.2,,0.3,,0.6,,1.4,,1,,86.3,,37.3,,30.8,,22.5,,1.9,,2.1,,1.06,
8,Canada,35.2,,40.6,,2,,5.3,,1,,1,,80.9,,40.5,,24.4,,23.7,,1.5,,1.7,,1.06,
9,Singapore,5.4,,6.6,,0.3,,0.6,,2.7,,2,,100,,38.7,,20.8,,15.2,,1.3,,1.3,,1.07,
10,Denmark,5.6,,6,,0.3,,1,,0.3,,0.4,,87.2,,41.5,,27,,29.1,,1.8,,1.9,,1.06,
11,Ireland,4.6,,5.3,,0.4,,0.6,,1.8,,1.1,,62.8,,35.9,,32.9,,19.2,,2,,2,,1.07,
12,Sweden,9.6,,10.7,,0.6,,1.8,,0.4,,0.7,,85.5,,41.2,,27.6,,31.8,,1.7,,1.9,,1.06,
13,Iceland,0.3,,0.4,,0,,0,,1.1,,1.1,,93.9,,35.9,,31.2,,20.3,,2,,2.1,,1.05,
14,United Kingdom,63.1,,68.6,,4,,11,,0.5,,0.6,,79.9,,40.5,,27.4,,28.1,,1.7,,1.9,,1.05,
15,"Hong Kong, China (SAR)",7.2,,7.9,,0.3,,1,,0.2,,0.7,,100,,43.2,,16,,20.5,,1,,1.1,,1.07,
15,Korea (Republic of),49.3,,52.2,,2.4,,6,,0.5,,0.5,,83.8,,40.5,,19.5,,17.9,,1.2,,1.3,,1.07,
17,Japan,127.1,,120.6,,5.4,,31.9,,0.2,,-0.1,,92.5,,46.5,,21.2,,43.6,,1.3,,1.4,,1.06,
18,Liechtenstein,0,,0,,..,,..,,1,,0.7,,14.3,,..,,..,,..,,..,,..,,..,
19,Israel,7.7,,9.6,,0.8,,0.8,,1.9,,1.3,,92,,30.1,,45.8,,17.8,,2.9,,2.9,,1.05,
20,France,64.3,,69.3,,3.9,,11.5,,0.7,,0.5,,86.9,,41,,28.6,,29.6,,1.9,,2,,1.05,
21,Austria,8.5,,9,,0.4,,1.6,,0.5,,0.4,,68.1,,43.3,,21.6,,27.9,,1.4,,1.5,,1.06,
21,Belgium,11.1,,11.7,,0.7,,2,,0.5,,0.4,,97.5,,41.9,,26.7,,29,,1.7,,1.9,,1.05,
21,Luxembourg,0.5,,0.6,,0,,0.1,,1,,1.3,,85.9,,39.1,,25.4,,21.2,,1.7,,1.7,,1.05,
24,Finland,5.4,f,5.6,f,0.3,f,1,f,0.3,f,0.3,f,83.9,f,42.6,f,26.1,f,32.3,f,1.8,f,1.9,f,1.04,f
25,Slovenia,2.1,,2.1,,0.1,,0.4,,0.1,,0.2,,49.8,,43,,21.4,,26.4,,1.2,,1.5,,1.05,
26,Italy,61,,61.2,,2.9,,12.9,,0.6,,0.2,,68.7,,45,,21.8,,33.8,,1.3,,1.5,,1.06,
27,Spain,46.9,g,48.2,g,2.5,g,8.3,g,1.5,g,0.4,g,77.7,g,42.2,g,23.4,g,27.6,g,1.3,g,1.5,g,1.06,g
28,Czech Republic,10.7,,11.1,,0.6,,1.8,,0,,0.4,,73.4,,40.9,,23,,26.3,,1.2,,1.6,,1.06,
29,Greece,11.1,,11,,0.6,,2.2,,0.1,,0,,61.9,,43.5,,22.6,,31.1,,1.3,,1.5,,1.07,
30,Brunei Darussalam,0.4,,0.5,,0,,0,,2.1,,1.4,,76.7,,31.1,,34.6,,6.9,,2.3,,2,,1.06,
31,Qatar,2.2,,2.8,,0.1,,0,,6.5,,5.9,,99.1,,31.7,,15.9,,1.1,,3,,2.1,,1.05,
32,Cyprus,1.1,h,1.3,h,0.1,h,0.1,h,1.8,h,1.1,h,70.9,h,35.9,h,23.5,h,18.1,h,1.6,h,1.5,h,1.07,h
33,Estonia,1.3,,1.2,,0.1,,0.2,,-0.6,,-0.3,,69.6,,41.3,,24.7,,28.2,,1.4,,1.6,,1.06,
34,Saudi Arabia,28.8,,35.6,,2.9,,0.8,,4.1,,1.8,,82.7,,28.4,,41.2,,4.4,,3.5,,2.7,,1.03,
35,Lithuania,3,,2.8,,0.2,,0.5,,-1.2,,-0.5,,67.3,,39.7,,22.4,,22.8,,1.3,,1.5,,1.05,
35,Poland,38.2,,37.4,,2.1,,5.5,,-0.1,,0,,60.7,,39.4,,21.7,,22,,1.3,,1.4,,1.06,
37,Andorra,0.1,,0.1,,..,,..,,4.3,,0.8,,86.2,,..,,..,,..,,..,,..,,..,
37,Slovakia,5.5,,5.4,,0.3,,0.7,,0,,0.1,,54.6,,38.9,,21.4,,19.1,,1.2,,1.4,,1.05,
39,Malta,0.4,,0.4,,0,,0.1,,0.4,,0.3,,95.2,,41.4,,20.8,,26,,1.4,,1.4,,1.06,
40,United Arab Emirates,9.3,,12.3,,0.7,,0,,6.3,,2.5,,84.9,,31.4,,19.4,,0.6,,2.4,,1.8,,1.05,
41,Chile,17.6,,19.8,,1.2,,1.8,,1.1,,0.9,,89.6,,33.7,,29.9,,15.3,,2,,1.8,,1.04,
41,Portugal,10.6,,10.4,,0.5,,2,,0.4,,0,,62.1,,43,,21.8,,29.3,,1.5,,1.3,,1.06,
43,Hungary,10,,9.5,,0.5,,1.7,,-0.3,,-0.2,,70.4,,41,,21.9,,26.1,,1.3,,1.4,,1.06,
44,Bahrain,1.3,,1.6,,0.1,,0,,5.5,,1.7,,88.8,,30.2,,28.3,,3,,2.7,,2.1,,1.04,
44,Cuba,11.3,,10.8,,0.5,,1.5,,0.3,,-0.1,,75.1,,41.3,,22.1,,19.9,,1.6,,1.5,,1.06,
46,Kuwait,3.4,,4.8,,0.3,,0.1,,3.7,,3.6,,98.3,,29.7,,33.6,,3.3,,2.6,,2.6,,1.04,
