HDI ranks,Country,Gender-related development index: Female to male ratio of HDI 2013,Gender-related development index:  GDI rank 2013,Human development index value: Female 2013,Human development index value Male 2013,Life expectancy at birth Female 2013,Life expectancy at birth Male 2013,Mean years of schooling Female 2002-2012,Note 1,Mean years of schooling Male 2000-2012,Note 2,Expected years of schooling Female 2000-2012,Note 3,Expected years of schooling Male 2000-2012,Note 4,Estimated GNI per capita (2011 PPP$) Female 2013,Note 5,Estimated GNI per capita (2011 PPP$) Male 2013,Note 6
,Very high human development,0.975,—,0.874,0.896,83,77.4,11.6,,11.8,,16.7,,15.8,,26677,,53683,
1,Norway,0.997,5,0.940,0.943,83.6,79.4,12.7,,12.6,,18.2,,16.9,,56994,,70807,
2,Australia,0.975,40,0.920,0.944,84.8,80.3,12.5,,13.1,,20.3,,19.4,,35551,,47553,
3,Switzerland,0.953,76,0.895,0.939,84.9,80.2,11.5,,13.1,,15.6,,15.8,,42561,,65278,
4,Netherlands,0.968,51,0.899,0.929,82.9,79.1,11.6,,12.2,,18,,17.8,,34497,,50432,
5,United States,0.995,7,0.911,0.915,81.3,76.5,13,,12.9,,17.4,,15.7,,41792,,63163,
6,Germany,0.962,61,0.892,0.928,83.1,78.3,12.6,,13.3,,16.2,,16.4,,33028,,53445,
7,New Zealand,0.971,47,0.896,0.923,83,79.2,12.5,,12.6,,20.2,,18.5,,26695,,38656,
8,Canada,0.986,24,0.893,0.906,83.6,79.3,12.3,,12.2,,16.2,,15.4,,34612,,49272,
9,Singapore,0.967,52,0.878,0.908,84.7,79.8,9.7,d,10.7,d,15.5,e,15.3,e,50001,,95329,f
10,Denmark,0.989,17,0.895,0.906,81.5,77.3,11.9,,12.3,,17.6,,16.3,,37106,,48742,
11,Ireland,0.965,56,0.881,0.913,82.9,78.6,11.7,,11.5,,18.5,,18.7,,23872,,43092,
12,Sweden,1.004,6,0.898,0.894,83.9,79.7,11.8,d,11.4,d,16.6,,15.1,,38071,,48365,
13,Iceland,0.982,30,0.883,0.899,83.9,80.3,10.8,,10,,19.9,,17.6,,27612,,42520,
14,United Kingdom,0.993,13,0.887,0.894,82.5,78.6,12.8,,11.8,,16.7,,15.8,,27589,,42632,
15,"Hong Kong, China (SAR)",0.969,49,0.874,0.902,86.4,80.4,9.8,,10.3,,15.3,,15.4,,40051,,66417,
15,Korea (Republic of),0.940,85,0.860,0.915,84.8,78.1,11.1,,12.5,,16.1,,17.8,,21795,,38990,
17,Japan,0.951,79,0.863,0.907,87,80.1,11.2,,11.8,,15.1,,15.4,,22384,,51906,
18,Liechtenstein,..,..,..,..,..,..,..,,..,,13.8,,16.4,,..,,..,
19,Israel,0.984,29,0.879,0.893,83.6,79.9,12.6,,12.5,,16.1,,15.2,,24636,,35402,
20,France,0.989,17,0.878,0.888,85.2,78.3,10.9,,11.4,,16.3,,15.6,,29580,,44139,
21,Austria,0.935,91,0.834,0.892,83.6,78.5,8.9,,10.6,,15.9,,15.3,,25170,,61543,
21,Belgium,0.977,38,0.866,0.887,83.1,78,10.5,d,10.7,d,16.5,,16,,30213,,49077,
21,Luxembourg,0.961,66,0.861,0.896,83,78,10.9,,11.7,,14,,13.8,,41351,,76196,f
24,Finland,1.006,8,0.881,0.876,83.7,77.4,10.3,,10.2,,17.6,,16.4,,32123,,42795,
25,Slovenia,1.006,8,0.876,0.871,82.8,76.4,11.8,,12,,17.9,,15.8,,21762,,31916,
26,Italy,0.962,61,0.852,0.886,85,79.6,9.7,,10.6,,16.8,,15.8,,22303,,43640,
27,Spain,0.985,25,0.861,0.874,85.3,78.9,9.5,,9.7,,17.5,,16.8,,23487,,37804,
28,Czech Republic,0.969,49,0.844,0.871,80.7,74.6,12.1,,12.5,,16.9,,15.9,,16233,,33098,
29,Greece,0.959,69,0.833,0.868,83.1,78.4,9.9,,10.4,,16.6,,16.4,,17791,,31707,
30,Brunei Darussalam,0.981,31,0.839,0.856,80.5,76.7,8.6,,8.8,,14.9,,14.2,,52831,,88468,
31,Qatar,0.979,32,0.838,0.856,79.5,77.8,10.1,,8.7,,14,,13.9,,45863,,141468,f
32,Cyprus,0.940,85,0.817,0.869,81.8,77.9,10.7,,12.6,,14,,13.9,,19787,,33461,
33,Estonia,1.042,70,0.856,0.821,79.6,69.1,12.3,,11.7,,17.5,,15.5,,19410,,27985,
34,Saudi Arabia,0.897,112,0.773,0.861,77.6,73.9,8,,9.2,,15.9,,15.4,,16197,,78689,
35,Lithuania,1.036,58,0.848,0.818,78.2,66,12.3,,12.4,,17.3,,16,,19588,,28607,
35,Poland,1.010,14,0.837,0.828,80.5,72.3,11.9,,11.7,,16.3,,14.7,,16462,,26871,
37,Andorra,..,..,..,..,..,..,..,,..,,..,,..,,..,,..,
37,Slovakia,1.000,1,0.829,0.829,79.2,71.5,11.6,g,11.5,g,15.6,,14.5,,19450,,31554,
39,Malta,0.954,75,0.807,0.846,82,77.5,9.5,,10.3,,14.7,,14.3,,18832,,35217,
40,United Arab Emirates,0.958,70,0.800,0.835,78.2,76.1,10.2,,8.7,,13.9,g,12.9,g,23903,,72659,
41,Chile,0.962,61,0.803,0.835,82.7,77.1,9.6,,9.9,,15.3,,15,,14339,,27410,
