HDI rank ,Country,Command over and allocation of resources Gross domestic Product (2011 PPP$) billions 2012,Note 1,Command over and allocation of resources Gross domestic Product (2011 PPP$) per capita 2012,Note 2,Gross fixed capital formation (% of GDP) 2005-2012,Note 3- a,General government final consumption expenditure (% of GDP) 2005-2012,Note 4- a,General government final consumption expenditure (annual growth %) 2005-2012,Note 5- a,"Taxes on incomes, profits and capital gain (% of total tax revenue) 2005-2012",Note 6- a,Research and development expenditure (% of GDP) 2005-2012,Note 7- a,"Shares of agriculture, hunting, forestry and fisheries (% of GDP) 2012",Note 8,Debts: Domestic credit provided by the banking sector (% of GDP)2012,Note 9,Debts: External debt stock (% of GNI) 2005-2011,Note 10- a,Debts: Total debt service (% of GNI) 2012,Note 11,Prices: Consumer Price Index (2005=100) 2012,Note 12,Prices: Domestic food: Price level index: 2013,Note 13,Prices: Domestic food: Price level volatility index: 2013
,Very high human development,45473.5,,40397,,18.2,,19.2,,0.7,,37.2,,2.5,,1.5,,203.4,,..,,..,,—,,—,,—
1,Norway,315.5,,62858,,20.6,,21.3,,1.8,,33.0,,1.7,,1.2,,87,b,..,,..,,114,,1.2,,6.8
2,Australia,960.6,,42278,,27.9,,17.9,,3.4,,63.6,,2.4,,2.4,,154.4,,..,,..,,122,,1.2,b,12.7
3,Switzerland,410.2,,51293,,20.4,,11.1,,2.0,,24.2,,3.0,,0.7,,192.6,,..,,..,,104,,1.1,b,9.2
4,Netherlands,711.3,,42453,,16.8,,28.4,,0.0,,25.2,,1.8,,1.7,,216,,..,,..,,113,,0.9,b,4.2
5,United States,15965.5,,50859,,14.7,,17.3,,-2.6,,54.9,,2.9,,1.1,,231.6,,..,,..,,118,,1.0,b,..
6,Germany,3375.2,,41966,,17.6,,19.5,,1.2,,15.4,,2.8,,0.9,,123.6,,..,,..,,113,,1.1,,13.8
7,New Zealand,143.5,,32360,,18.8,,20.1,,0.3,,45.8,,1.3,,6.3,,157.8,b,..,,..,,121,,1.3,b,13.0
8,Canada,1410.6,,40588,,22,,20.9,,0.8,,53.3,,1.8,,1.5,,177.6,b,..,,..,,114,,1.3,b,9.4
9,Singapore,379.7,,71475,,24.1,,9.7,,-3.6,,34.4,,2.4,,0,,99.5,,..,,..,,125,,1.3,,15.8
10,Denmark,232.2,,41524,,17.6,,28.6,,0.2,,38.9,,3.1,,1.5,,206.6,,..,,..,,117,,1.1,b,20.9
11,Ireland,196.9,,42919,,10,,17.6,,-3.4,,36.0,,1.8,,1.6,,202.1,,..,,..,,112,,1.0,b,4.2
12,Sweden,398.3,,41840,,18.8,,26.9,,0.7,,11.2,,3.4,,1.6,,144.8,,..,,..,,112,,1.1,b,10.0
13,Iceland,12.4,,38553,,14.4,,25.5,,-0.2,,28.5,,2.6,,7.8,,143.2,,..,,..,,163,,1.1,b,39.2
14,United Kingdom,2207,,34694,,14.2,,22.1,,2.2,,35.6,,1.8,,0.7,,210.1,,..,,..,,123,,1.2,,22.9
15,"Hong Kong, China (SAR)",359.8,,50291,,26.4,,9.1,,3.7,,38.7,,0.8,,..,,200.6,,..,,..,,122,,..,,..
15,Korea (Republic of),1474.9,,29495,,26.7,,15.8,,3.9,,30.3,,3.7,,2.6,,168.7,,..,,..,,123,,2.0,b,41.7
17,Japan,4465.4,,35006,,20.6,,20.4,,1.5,,42.9,,3.4,,1.2,,346.2,,..,,..,,99,,1.9,,10.0
18,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,0.7,,..,,..,,..,,..,,..,,..
19,Israel,242.1,,30600,,20.4,,22.9,,3.2,,27.6,,4.4,,2,,85.9,b,..,,..,,120,,1.3,b,33.0
20,France,2369.9,,36074,,19.8,,24.7,,1.4,,23.7,,2.3,,2,,136.4,,..,,..,,112,,1.1,b,8.8
21,Austria,363.7,,43139,,21.4,,18.8,,0.4,,23.3,,2.8,,1.6,,133.4,,..,,..,,116,,1.2,,15.9
21,Belgium,439.5,,39498,,20.7,,24.9,,0.4,,35.4,,2.0,,0.8,,116.6,,..,,..,,118,,1.1,b,8.4
21,Luxembourg,46,,86587,,20.2,,16.9,,5.0,,29.8,,1.6,,0.3,,167.7,,..,,..,,118,,1.1,,..
24,Finland,206.3,,38104,,19.4,,24.8,,0.8,,15.6,,3.9,,2.8,,104.1,,..,,..,,117,,1.2,,23.4
25,Slovenia,56.4,,27394,,17.8,,20.8,,-1.3,,11.2,,2.1,,2.7,,93.8,,..,,..,,120,,1.4,,20.2
26,Italy,2004.6,,33668,,18.2,,20.1,,-2.9,,32.3,,1.3,,2,,167.6,,..,,..,,116,,1.2,b,9.1
27,Spain,1458.9,,31198,,19.1,,20.1,,-0.5,,21.7,,1.4,,2.5,,221.5,,..,,..,,119,,1.1,b,19.8
28,Czech Republic,281,,26733,,23.6,,20.8,,-1.2,,14.5,,1.6,,2.4,,68.7,,..,,..,,121,,1.2,,46.0
29,Greece,281.7,,25391,,13.1,,17.8,,-4.2,,17.0,,0.6,,3.4,,135.5,,..,,..,,123,,1.1,b,14.4
30,Brunei Darussalam,29.3,,71080,,13.4,,17.3,,2.0,,..,,..,,0.7,,13.5,,..,,..,,107,,1.6,b,11.7
31,Qatar,274.2,,133713,,33.8,,12.3,,..,,40.2,,..,,0.1,,77.5,,..,,..,,141,,0.8,,52.1
32,Cyprus,25.9,,29698,,18.4,,19.7,,0.5,,28.4,,0.5,,2.5,,344.1,,..,,..,,119,,1.3,b,10.7
33,Estonia,32.2,,24195,,25,,19.6,,4.0,,8.0,,1.6,,4.1,,79,,..,,..,,138,,1.5,b,39.5
34,Saudi Arabia,1436.8,,50791,,22.2,,20.4,,..,,..,,0.1,,1.9,,-10.5,,..,,..,,141,,1.2,b,34.7
35,Lithuania,70.4,,23554,,16.7,,17.6,,0.7,,7.4,,0.8,,4,,52.3,,72.6,,16.35,,138,,1.8,b,128.1
35,Poland,853.3,,22143,,19.4,,17.9,,0.1,,13.1,,0.7,,3.9,,63.8,,..,,..,,125,,1.3,b,7.5
37,Andorra,..,,..,,..,,..,,..,,..,,..,,0.6,,..,,..,,..,,..,,..,,..
37,Slovakia,138.1,,25537,,21.5,,17.6,,-0.7,,9.6,,0.6,,3.1,,54.1,b,..,,..,,124,,1.4,,32.5
