HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,Note b,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,Note c,2013 Inequality-adjusted education index value,2013 Inequality in income %,Notes a and c,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
,Very high human development,0.89,0.780,12.3,—,,12.0,4.9,0.881,8.7,,0.769,22.4,,0.702,—,—,—
1,Norway,0.944,0.891,5.6,0,,5.5,3.4,0.914,2.4,,0.888,10.7,,0.871,..,..,25.8
2,Australia,0.933,0.860,7.8,0,,7.5,4.2,0.921,1.8,,0.910,16.6,,0.760,..,..,..
3,Switzerland,0.917,0.847,7.7,-1,,7.6,3.9,0.926,5.8,,0.795,13.2,,0.824,..,..,33.7
4,Netherlands,0.915,0.854,6.7,1,,6.6,3.9,0.902,4.1,,0.857,11.8,,0.806,5.1,..,30.9
5,United States,0.914,0.755,17.4,-23,,16.2,6.2,0.851,6.7,,0.830,35.6,,0.609,..,..,40.8
6,Germany,0.911,0.846,7.1,1,,7.0,3.7,0.9,2.4,,0.863,14.8,,0.781,..,..,28.3
7,New Zealand,0.91,..,..,..,,..,4.8,0.895,..,,..,..,,..,..,..,..
8,Canada,0.902,0.833,7.6,-2,,7.5,4.6,0.902,4.0,,0.816,13.9,,0.785,..,..,32.6
9,Singapore,0.901,..,..,..,,..,2.8,0.932,..,,..,..,,..,..,..,..
10,Denmark,0.9,0.838,6.9,0,,6.8,4,0.877,3.1,,0.846,13.3,,0.794,..,..,..
11,Ireland,0.899,0.832,7.5,-1,,7.4,3.7,0.899,5.2,,0.841,13.3,,0.761,..,..,34.3
12,Sweden,0.898,0.840,6.5,3,,6.4,3.1,0.922,3.6,,0.800,12.4,,0.803,..,..,25.0
13,Iceland,0.895,0.843,5.7,5,,5.6,2.8,0.928,2.5,,0.826,11.6,,0.783,..,..,..
14,United Kingdom,0.892,0.812,8.9,-4,,8.6,4.5,0.89,2.6,,0.838,18.8,,0.719,7.2,..,36.0
15,"Hong Kong, China (SAR)",0.891,..,..,..,,..,2.8,0.948,..,,..,..,,..,..,..,..
15,Korea (Republic of),0.891,0.736,17.4,-20,,16.8,3.9,0.91,28.1,,0.622,18.4,,0.704,..,..,..
17,Japan,0.89,0.779,12.4,-6,,12.2,3.2,0.947,19.8,,0.648,13.5,,0.772,..,..,..
18,Liechtenstein,0.889,..,..,..,,..,..,..,..,,..,..,,..,..,..,..
19,Israel,0.888,0.793,10.7,-4,,10.4,3.8,0.915,7.9,,0.786,19.6,,0.693,..,..,39.2
20,France,0.884,0.804,9.0,-2,,8.9,4,0.913,8.6,,0.745,14.2,,0.765,..,..,..
21,Austria,0.881,0.818,7.2,4,,7.1,3.7,0.906,3.7,,0.765,13.8,,0.789,..,..,29.2
21,Belgium,0.881,0.806,8.5,0,,8.5,3.9,0.895,9.2,,0.738,12.3,,0.792,..,..,33.0
21,Luxembourg,0.881,0.814,7.6,3,,7.5,3.3,0.901,6.0,,0.716,13.1,,0.837,..,..,30.8
24,Finland,0.879,0.830,5.5,9,,5.5,3.5,0.899,2.1,,0.798,10.8,,0.798,..,..,26.9
25,Slovenia,0.874,0.824,5.8,9,,5.7,3.8,0.882,2.7,,0.840,10.6,,0.755,4.8,..,31.2
26,Italy,0.872,0.768,11.9,-1,,11.6,3.4,0.927,11.7,,0.697,19.8,,0.701,..,..,36.0
27,Spain,0.869,0.775,10.9,1,,10.5,3.9,0.918,5.4,,0.751,22.1,,0.673,..,..,34.7
28,Czech Republic,0.861,0.813,5.6,9,,5.5,3.7,0.855,1.4,,0.854,11.3,,0.737,..,..,..
29,Greece,0.853,0.762,10.6,0,,10.5,4,0.898,11.3,,0.707,16.2,,0.697,..,..,34.3
30,Brunei Darussalam,0.852,..,..,..,,..,4.4,0.861,..,,..,..,,..,..,..,..
31,Qatar,0.851,..,..,..,,..,6,0.844,..,,..,..,,..,13.3,..,41.1
32,Cyprus,0.845,0.752,11.0,-3,,10.9,3.7,0.887,14.0,,0.668,14.9,,0.719,..,..,..
33,Estonia,0.84,0.767,8.7,3,,8.5,5.6,0.791,2.5,,0.837,17.4,,0.681,6.4,..,36.0
34,Saudi Arabia,0.836,..,..,..,,..,8.7,0.779,..,,..,..,,..,..,..,..
35,Lithuania,0.834,0.746,10.6,-3,,10.4,6.6,0.749,6.1,,0.823,18.6,,0.673,6.7,1.6,37.6
35,Poland,0.834,0.751,9.9,-2,,9.7,5.7,0.818,5.6,,0.779,17.9,,0.666,5.2,1.3,32.7
37,Andorra,0.83,..,..,..,,..,..,..,..,,..,..,,..,..,..,..
37,Slovakia,0.83,0.778,6.3,9,,6.2,5.6,0.805,1.5,,0.790,11.5,,0.740,3.6,0.9,26.0
39,Malta,0.829,0.760,8.3,5,,8.2,4.8,0.875,5.7,,0.691,14.1,,0.727,..,..,..
40,United Arab Emirates,0.827,..,..,..,,..,5.5,0.826,..,,..,..,,..,..,..,..
41,Chile,0.822,0.661,19.6,-16,,18.5,5.9,0.868,13.7,,0.644,36.0,,0.516,13.5,3.5,52.1
41,Portugal,0.822,0.739,10.1,0,,9.8,3.9,0.886,5.7,,0.686,19.9,,0.664,..,..,..
43,Hungary,0.818,0.757,7.4,7,,7.3,5.4,0.795,3.5,,0.777,13.1,,0.703,4.8,1.2,31.2
44,Bahrain,0.815,..,..,..,,..,6.3,0.816,..,,..,..,,..,..,..,..
44,Cuba,0.815,..,..,..,,..,5.1,0.865,11.0,,0.661,..,,..,..,..,..
46,Kuwait,0.814,..,..,..,,..,7.2,0.775,..,,..,..,,..,..,..,..
47,Croatia,0.812,0.721,11.2,-2,,11.1,5.2,0.832,10.4,,0.690,17.6,,0.653,5.2,1.4,33.7
48,Latvia,0.81,0.725,10.6,0,,10.3,7.6,0.741,3.6,,0.784,19.8,,0.654,6.0,1.4,34.8
49,Argentina,0.808,0.680,15.8,-4,,15.3,9.3,0.786,8.6,,0.716,28.1,,0.560,11.3,2.4,44.5
,High human development,0.735,0.590,19.7,—,,19.3,10.7,0.749,17.4,,0.531,29.9,,0.517,—,—,—
50,Uruguay,0.79,0.662,16.1,-8,,15.7,9.2,0.799,10.9,,0.635,27.1,,0.573,10.3,2.5,45.3
51,Bahamas,0.789,0.676,14.3,-3,,14.0,9.4,0.77,8.0,,0.657,24.5,,0.612,..,..,..
51,Montenegro,0.789,0.733,7.2,5,,7.1,7.6,0.779,2.5,,0.754,11.3,,0.669,4.3,1.0,28.6
53,Belarus,0.786,0.726,7.6,6,,7.5,6.8,0.716,4.8,,0.781,11.1,,0.685,3.8,0.9,26.5
54,Romania,0.785,0.702,10.5,4,,10.4,8.8,0.755,5.0,,0.710,17.3,,0.645,4.1,1.0,27.4
55,Libya,0.784,..,..,..,,..,10.1,0.765,..,,..,..,,..,..,..,..
56,Oman,0.783,..,..,..,,..,7,0.809,..,,..,..,,..,..,..,..
