HDI rank,Country,Trade: Remoteness (kilometers) 2012,Note 1,Trade: International trade (% of GDP) 2012,Note 2,"Financial flows: Foreign direct investment, net inflows (% of GDP) 2012",Note 3,Financial flows: Private capital flows (% of GDP) 2012,Note 4,Financial flows: Net officiald development assistance received (% of GNI) 2011,Note 5,"Financial flows (Remittances, inflows (% of GDP) 2011",Note 6,Total reserves minus gold (% of GDP) 2012,Note 7,"Human mobility: net migration rate (per 1,000 people) 2010/2015",Note 8,Human mobility: Stock of immigrants (% of population)2013,Note 9,Human mobility: International inbound tourists (thousands) 2011,Note 10,Communication: Internet users (% of population) 2012,Note 11,Communication: International telephone minutes per person (Incoming) 2006-2011,Note 12,Communication: International telephone minutes per person (Outgoing) 2006-2011,Note 13
,,,,,b,,b,,b,,,,c,,b,,d,,,,c,,b,,e,,e
,Very high human development,7825,,63.1,,1.9,,0.4,,-0.3,,0.26,,..,,2.5,,12.5,,581506,,77.1,,..,,174.8,
1,Norway,5709,,68.2,,1.5,,12.8,,-1,,0.16,,3.4,,6,,13.8,f,4963,,95,,..,,251.0,
2,Australia,13506,,42.6,,4.8,,-3.6,,-0.4,,0.14,,0.7,,6.5,,27.7,g,5875,,82.3,,..,,..,
3,Switzerland,5878,,91.6,,1.5,,4.0,,-0.5,,0.5,,..,,8,,28.9,,8534,,85.2,,..,,422.2,
4,Netherlands,5741,,165.9,,-1.1,,9.4,,-0.8,,0.21,,1.6,,0.6,,11.7,,11300,,93,,..,,99.9,
5,United States,8678,,31.7,,1.3,,-2.3,,-0.2,,0.04,,..,,3.1,,14.3,,62711,,81,,81.2,,199.8,
6,Germany,5972,,97.6,,0.8,,4.3,,-0.4,,0.37,,10.3,,1.3,,11.9,,28374,,84,,..,,180.5,
7,New Zealand,14121,,59,,2.7,,-4.5,,-0.3,,0.55,,0.4,,3.3,,25.1,,2572,,89.5,,..,,174.0,
8,Canada,7000,,62.1,,2.5,,-1.9,,-0.3,,..,,0.6,,6.3,,20.7,,16014,,86.8,,..,,..,
