Country,Year / Survey,Note 1,Multidimensional Poverty Index Value (Revised specifications),Note 2,Multidimensional Poverty Headcount % (Revised specifications),Note 3,Multidimensional Poverty Index Value (Specifications 2010),Note 4,Multidimensional Poverty Headcount % (Specifications 2010),Note 5,Population in multidimensional poverty Headcount ('000),Note 6,Population in multidimensional poverty Intensity of deprivation (%),Note 7,Population near multidimensional poverty (%),Note 8,Population in severe poverty (%),Note 9,Contribution of deprivation in dimension to overall poverty: Education (%),Note 10,Contribution of deprivation in dimension to overall poverty Health (%),Note 11,Contribution of deprivation in dimension to overall poverty Living Standards (%),Note 12,Population below income poverty line PPP $1.25 a day 2002-2012,Note 13,Population below income poverty line National poverty line 2002-2012,Note 14
Afghanistan,2010/2011 M,,0.293,g,58.8,g,0.353,g,66.2,g,17116,g,49.9,g,16,g,29.8,g,45.6,g,19.2,g,35.2,g,..,,36,
Albania,2008/2009 D,,0.005,,1.2,,0.005,,1.4,,38,,38.3,,7.2,,0.1,,22.4,,47.1,,30.5,,0.62,,12.4,
Argentina,2005 N,,0.015,h,3.7,h,0.011,h,2.9,h,1438,h,39.1,h,5.2,h,0.5,h,38.2,h,27.8,h,34,h,0.92,,..,
Armenia,2010 D,,0.002,,0.6,,0.001,,0.3,,18,,37,,3,,0.1,,3.4,,87.8,,8.7,,2.47,,35.799999999999997,
Azerbaijan,2006 D,,0.009,,2.4,,0.021,,5.3,,210,,38.2,,11.5,,0.2,,20,,50.7,,29.3,,0.43,,6,
Bangladesh,2011 D,,0.237,,49.5,,0.253,,51.2,,75610,,47.8,,18.8,,21,,28.4,,26.6,,44.9,,43.25,,31.51,
Belarus,2005 M,,0.001,,0.4,,0,,0,,41,,34.5,,1.1,,0,,2.6,,89.7,,7.7,,0.07,,6.3,
Belize,2011 M,,0.03,,7.4,,0.018,,4.6,,23,,41.2,,6.4,,1.5,,36.2,,34.8,,29,,..,,..,
Benin,2006 D,,0.401,i,69.8,i,0.412,i,71.8,i,5897,i,57.4,i,18.8,i,45.7,i,35,i,24.9,i,40.1,i,47.33,,36.200000000000003,
Bhutan,2010 M,,0.128,,29.4,,0.119,,27.2,,211,,43.5,,18,,8.8,,40.3,,26.3,,33.4,,1.66,,12,
Bolivia (Plurinational State of),2008 D,,0.097,,20.6,,0.089,,20.5,,2022,,47,,17.3,,7.8,,21.9,,27.9,,50.2,,15.61,,51.3,
Bosnia and Herzegovina,2011/2012 M,,0.006,j,1.7,j,0.002,j,0.5,j,65,j,37.3,j,3.2,j,0,j,7.8,j,79.5,j,12.7,j,0.04,,14,
Brazil,2012 N,,0.012,"g,l",3.1,"g,l",,,,,6083,"g,l",40.8,"g,l",7.4,"g,l",0.5,"g,l",27.7,"g,l",38.4,"g,l",33.9,"g,l",6.14,,21.4,
Burkina Faso,2010 D,,0.508,,82.8,,0.535,,84,,12875,,61.3,,7.6,,63.8,,39,,22.5,,38.5,,44.6,,46.7,
Burundi,2010 D,,0.442,,81.8,,0.454,,80.8,,7553,,54,,12,,48.2,,25,,26.3,,48.8,,81.319999999999993,,66.900000000000006,
Cambodia,2010 D,,0.211,,46.8,,0.212,,45.9,,6721,,45.1,,20.4,,16.4,,25.9,,27.7,,46.4,,18.600000000000001,,20.5,
Cameroon,2011 D,,0.26,,48.2,,0.248,,46,,10187,,54.1,,17.8,,27.1,,24.5,,31.3,,44.2,,9.56,,39.9,
Central African Republic,2010 M,,0.424,,76.3,,0.43,,77.6,,3320,,55.6,,15.7,,48.5,,23.8,,26.2,,50,,,,,
China,2009 N,,0.026,"l,m",6,"l,m",0.036,"l,m",8.8,"l,m",80784,"l,m",43.4,"l,m",19,"l,m",1.3,"l,m",21,"l,m",44.4,"l,m",34.6,"l,m",11.8,,,
Colombia,2010 D,,0.032,,7.6,,0.022,,5.4,,3534,,42.2,,10.2,,1.8,,34.3,,24.7,,41,,8.16,,32.700000000000003,
Congo,2011/2012 D,,0.192,,43,,0.181,,39.7,,1866,,44.7,,26.2,,12.2,,10.6,,32.8,,56.6,,54.1,,46.5,
Congo (Democratic Republic of the),2010 M,,0.399,,74.4,,0.392,,74,,46278,,53.7,,15.5,,46.2,,18.5,,25.5,,55.9,,87.72,,71.3,
Cote d'Ivoire,2011/2012 D,,0.307,,59.3,,0.31,,58.7,,11772,,51.7,,17.9,,32.4,,36.5,,25.8,,37.7,,23.75,,42.7,
Djibouti,2006 M,,0.127,,26.9,,0.139,,29.3,,212,,47.3,,16,,11.1,,36.1,,22.7,,41.2,,18.84,,..,
Dominican Republic,2007 D,,0.026,,6.2,,0.018,,4.6,,599,,41.9,,10.8,,1.4,,36.2,,30.4,,33.3,,2.24,,40.9,
Egypt,2008 D,,0.036,k,8.9,k,0.024,k,6,k,6740,k,40.3,k,8.6,k,1.5,k,41.8,k,45.6,k,12.6,k,1.69,,25.2,
