HDI rank,Country,Infants exclusively breastfed (%of 0-5 months olds) 2008-2012,Note 1,Infants lacking immunization DTP (% of one-year-olds) 2012,Note 2,Infants lacking immunization Measles (% of one-year-olds) 20122012,Note 3,"Mortality rates Infant (per 1,000 live births) 2012",Note 4,"Mortality rates Under-five (per 1,000 live births) 2012",Note 5,Antenatal coverage (% of live births) 2008-2012,Note 6,Child malnutrition: Stunting (moderate or severe) (% under age 5) 2008-2012,Note 7,Child malnutrition: Overweight (moderate or severe) (% under age 5) 2008-2012,Note 8,HIV prevalence Children living with HIV (ages 0-14) (thousands) 2012,Note 9,HIV Prevalence Youth (%ages 15-24) Female: 2012,Note 10,HIV Prevalence Youth (%ages 15-24) Male: 2012,Note 11,HIV prevention: Condom use among young people with multiple partners (% ages 15-24) Female: 2008-2012,Note 12,HIV prevention: Condom use among young people with multiple partners (% ages 15-24) Male: 2008-2012,Note 13,Pregnant women living with HIV not receiving treatment to prevent mother-to-child transmission (%) 2011,Note 14
,Very high human development,..,,2,,6,,5,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,
1,Norway,..,,1,,6,,2,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,
2,Australia,..,,8,,6,,4,,5,,98.3,,..,,..,,..,,..,,..,,..,,..,,..,
3,Switzerland,..,,5,,8,,4,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
4,Netherlands,..,,1,,4,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
5,United States,..,,2,,8,,6,,7,,..,,3.3,c,7.0,c,..,,..,,..,,..,,..,,..,
6,Germany,..,,3,,3,,3,,4,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
7,New Zealand,..,,6,,8,,5,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,
8,Canada,..,,2,,2,,5,,5,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
9,Singapore,..,,2,,5,,2,,3,,..,,4.4,c,2.6,c,..,,..,,..,,..,,..,,..,
10,Denmark,..,,3,,10,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
11,Ireland,..,,2,,8,,3,,4,,99.5,c,..,,..,,..,,..,,..,,..,,..,,..,
12,Sweden,..,,1,,3,,2,,3,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
13,Iceland,..,,3,,10,,2,,2,,..,,..,,..,,..,,..,,..,,..,,..,,..,
14,United Kingdom,..,,1,,7,,4,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,
15,"Hong Kong, China (SAR)",..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
15,Korea (Republic of),..,,1,,1,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
17,Japan,..,,1,,4,,2,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,
18,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
19,Israel,..,,4,,4,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
20,France,..,,1,,11,,3,,4,,99.8,c,..,,..,,..,,..,,..,,..,,..,,..,
21,Austria,..,,7,,24,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
21,Belgium,..,,1,,4,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
21,Luxembourg,..,,1,,4,,2,,2,,..,,..,,..,,..,,..,,..,,..,,..,,..,
