"Measure (%) - Births to mothers under 20 years"

Race/Origin,"Total","White total","Non-Hispanic white","Black total","Non-Hispanic black","American Indian","Asian or Pacific Islander","Hispanic"
"Year",
"1993",12.8,0,9.5,22.7,22.9,20.3,5.7,17.4
"1994",13.1,11.3,9.699999999999999,23.2,23.3,21,5.7,17.8
"1995",13.1,11.5,9.800000000000001,23.1,23.3,21.4,5.6,17.9
"1996",12.9,11.3,9.699999999999999,22.8,23,20.9,5.3,17.4
"1997",12.7,11.2,9.5,22.2,22.4,20.8,5.2,17
"1998",12.5,11.1,9.4,21.5,21.6,20.9,5.4,16.9
"1999",12.3,10.9,9.199999999999999,20.7,20.7,20.2,5.1,16.7
"2000",11.8,10.6,8.699999999999999,19.7,19.8,19.7,4.5,16.2
"2001",11.3,10.2,8.199999999999999,18.9,18.9,19.3,4.3,15.6
"2002",10.8,9.800000000000001,7.9,18,18.1,18.5,3.8,14.9
"2003",10.3,9.4,7.5,17.3,17.4,18.2,3.5,14.3
"2004",10.3,9.300000000000001,7.4,17.1,17.3,17.9,3.4,14.3
"2005",10.2,9.300000000000001,7.3,16.9,17,17.7,3.3,14.1
"2006",10.4,9.4,7.4,17,17.2,17.6,3.3,14.3
"2007",10.5,9.5,7.5,17.2,17.3,18.4,3.1,14.2
"2008",10.4,9.5,7.5,17,17.1,18,3,14.1
"2009",10,9.199999999999999,7.3,16.4,16.4,17.3,2.8,13.8
"2010",9.300000000000001,8.5,6.7,15.2,15.2,16.1,2.6,13.1
