"","treat","age","educ","ethn","married","re74","re75","re78","u74","u75"
"1",TRUE,37,11,"black",TRUE,0,0,9930.05,TRUE,TRUE
"2",TRUE,30,12,"black",FALSE,0,0,24909.5,TRUE,TRUE
"3",TRUE,27,11,"black",FALSE,0,0,7506.15,TRUE,TRUE
"4",TRUE,33,8,"black",FALSE,0,0,289.79,TRUE,TRUE
"5",TRUE,22,9,"black",FALSE,0,0,4056.49,TRUE,TRUE
"6",TRUE,23,12,"black",FALSE,0,0,0,TRUE,TRUE
"7",TRUE,32,11,"black",FALSE,0,0,8472.16,TRUE,TRUE
"8",TRUE,22,16,"black",FALSE,0,0,2164.02,TRUE,TRUE
"9",TRUE,19,9,"black",FALSE,0,0,8173.91,TRUE,TRUE
"10",TRUE,21,13,"black",FALSE,0,0,17094.6,TRUE,TRUE
"11",TRUE,18,8,"black",FALSE,0,0,0,TRUE,TRUE
"12",TRUE,27,10,"black",TRUE,0,0,18739.9,TRUE,TRUE
"13",TRUE,17,7,"black",FALSE,0,0,3023.88,TRUE,TRUE
"14",TRUE,19,10,"black",FALSE,0,0,3228.5,TRUE,TRUE
"15",TRUE,27,13,"black",FALSE,0,0,14581.9,TRUE,TRUE
"16",TRUE,23,10,"black",FALSE,0,0,7693.4,TRUE,TRUE
"17",TRUE,40,12,"black",FALSE,0,0,10804.3,TRUE,TRUE
"18",TRUE,26,12,"black",FALSE,0,0,10747.4,TRUE,TRUE
"19",TRUE,23,11,"black",FALSE,0,0,0,TRUE,TRUE
"20",TRUE,24,11,"black",FALSE,0,0,1991.4,TRUE,TRUE
"21",TRUE,18,10,"black",FALSE,0,0,11163.2,TRUE,TRUE
"22",TRUE,29,11,"black",TRUE,0,0,9643,TRUE,TRUE
"23",TRUE,25,11,"black",FALSE,0,0,9897.05,TRUE,TRUE
"24",TRUE,17,10,"black",FALSE,0,0,16218,TRUE,TRUE
"25",TRUE,24,11,"black",FALSE,0,0,995.7,TRUE,TRUE
"26",TRUE,17,10,"black",FALSE,0,0,0,TRUE,TRUE
"27",TRUE,48,4,"black",FALSE,0,0,6551.59,TRUE,TRUE
"28",TRUE,25,11,"black",TRUE,0,0,1574.42,TRUE,TRUE
"29",TRUE,20,12,"black",FALSE,0,0,0,TRUE,TRUE
"30",TRUE,25,12,"black",FALSE,0,0,3191.75,TRUE,TRUE
"31",TRUE,42,14,"black",FALSE,0,0,20505.9,TRUE,TRUE
"32",TRUE,25,5,"black",FALSE,0,0,6181.88,TRUE,TRUE
"33",TRUE,23,12,"black",TRUE,0,0,5911.55,TRUE,TRUE
"34",TRUE,46,8,"black",TRUE,0,0,3094.16,TRUE,TRUE
"35",TRUE,24,10,"black",FALSE,0,0,0,TRUE,TRUE
"36",TRUE,21,12,"black",FALSE,0,0,1254.58,TRUE,TRUE
"37",TRUE,17,8,"black",FALSE,0,0,8061.49,TRUE,TRUE
"38",TRUE,20,11,"black",FALSE,0,0,3972.54,TRUE,TRUE
"39",TRUE,25,11,"black",TRUE,0,0,0,TRUE,TRUE
"40",TRUE,17,8,"black",FALSE,0,0,0,TRUE,TRUE
"41",TRUE,17,9,"black",FALSE,0,0,0,TRUE,TRUE
"42",TRUE,25,5,"black",FALSE,0,0,12187.4,TRUE,TRUE
"43",TRUE,23,12,"black",FALSE,0,0,4843.18,TRUE,TRUE
"44",TRUE,28,8,"black",FALSE,0,0,0,TRUE,TRUE
"45",TRUE,31,11,"black",TRUE,0,0,8087.49,TRUE,TRUE
"46",TRUE,18,11,"black",FALSE,0,0,0,TRUE,TRUE
"47",TRUE,25,12,"black",FALSE,0,0,2348.97,TRUE,TRUE
"48",TRUE,30,11,"black",TRUE,0,0,590.782,TRUE,TRUE
"49",TRUE,17,10,"black",FALSE,0,0,0,TRUE,TRUE
"50",TRUE,37,9,"black",FALSE,0,0,1067.51,TRUE,TRUE
"51",TRUE,41,4,"black",TRUE,0,0,7284.99,TRUE,TRUE
"52",TRUE,42,14,"black",TRUE,0,0,13167.5,TRUE,TRUE
"53",TRUE,17,8,"black",FALSE,0,0,0,TRUE,TRUE
"54",TRUE,29,8,"black",FALSE,0,0,1923.94,TRUE,TRUE
"55",TRUE,35,10,"black",FALSE,0,0,4666.24,TRUE,TRUE
"56",TRUE,27,11,"black",FALSE,0,0,549.298,TRUE,TRUE
"57",TRUE,29,4,"black",FALSE,0,0,762.915,TRUE,TRUE
"58",TRUE,28,9,"black",FALSE,0,0,10694.3,TRUE,TRUE
"59",TRUE,27,11,"black",FALSE,0,0,0,TRUE,TRUE
"60",TRUE,45,5,"black",TRUE,0,0,8546.72,TRUE,TRUE
"61",TRUE,29,13,"black",FALSE,0,0,7479.66,TRUE,TRUE
"62",TRUE,27,9,"black",FALSE,0,0,0,TRUE,TRUE
"63",TRUE,46,13,"black",FALSE,0,0,647.205,TRUE,TRUE
"64",TRUE,18,6,"black",FALSE,0,0,0,TRUE,TRUE
"65",TRUE,25,12,"black",FALSE,0,0,11965.8,TRUE,TRUE
"66",TRUE,28,15,"black",FALSE,0,0,9598.54,TRUE,TRUE
"67",TRUE,22,12,"black",FALSE,0,0,18678.1,TRUE,TRUE
"68",TRUE,21,9,"black",FALSE,0,0,0,TRUE,TRUE
"69",TRUE,40,11,"black",FALSE,0,0,23005.6,TRUE,TRUE
"70",TRUE,22,11,"black",FALSE,0,0,6456.7,TRUE,TRUE
"71",TRUE,25,12,"black",FALSE,0,0,0,TRUE,TRUE
"72",TRUE,18,12,"black",FALSE,0,0,2321.11,TRUE,TRUE
"73",TRUE,27,13,"black",FALSE,0,0,0,TRUE,TRUE
"74",TRUE,27,8,"black",FALSE,0,0,0,TRUE,TRUE
"75",TRUE,38,11,"black",FALSE,0,0,0,TRUE,TRUE
"76",TRUE,26,11,"black",FALSE,0,0,17231,TRUE,TRUE
"77",TRUE,25,8,"black",FALSE,0,0,0,TRUE,TRUE
"78",TRUE,31,11,"black",TRUE,0,0,14509.9,TRUE,TRUE
