"","price","lotsize","bedrooms","bathrms","stories","driveway","recroom","fullbase","gashw","airco","garagepl","prefarea"
"1",42000,5850,3,1,2,"yes","no","yes","no","no",1,"no"
"2",38500,4000,2,1,1,"yes","no","no","no","no",0,"no"
"3",49500,3060,3,1,1,"yes","no","no","no","no",0,"no"
"4",60500,6650,3,1,2,"yes","yes","no","no","no",0,"no"
"5",61000,6360,2,1,1,"yes","no","no","no","no",0,"no"
"6",66000,4160,3,1,1,"yes","yes","yes","no","yes",0,"no"
"7",66000,3880,3,2,2,"yes","no","yes","no","no",2,"no"
"8",69000,4160,3,1,3,"yes","no","no","no","no",0,"no"
"9",83800,4800,3,1,1,"yes","yes","yes","no","no",0,"no"
"10",88500,5500,3,2,4,"yes","yes","no","no","yes",1,"no"
"11",90000,7200,3,2,1,"yes","no","yes","no","yes",3,"no"
"12",30500,3000,2,1,1,"no","no","no","no","no",0,"no"
"13",27000,1700,3,1,2,"yes","no","no","no","no",0,"no"
"14",36000,2880,3,1,1,"no","no","no","no","no",0,"no"
"15",37000,3600,2,1,1,"yes","no","no","no","no",0,"no"
"16",37900,3185,2,1,1,"yes","no","no","no","yes",0,"no"
"17",40500,3300,3,1,2,"no","no","no","no","no",1,"no"
"18",40750,5200,4,1,3,"yes","no","no","no","no",0,"no"
"19",45000,3450,1,1,1,"yes","no","no","no","no",0,"no"
"20",45000,3986,2,2,1,"no","yes","yes","no","no",1,"no"
"21",48500,4785,3,1,2,"yes","yes","yes","no","yes",1,"no"
"22",65900,4510,4,2,2,"yes","no","yes","no","no",0,"no"
"23",37900,4000,3,1,2,"yes","no","no","no","yes",0,"no"
"24",38000,3934,2,1,1,"yes","no","no","no","no",0,"no"
"25",42000,4960,2,1,1,"yes","no","no","no","no",0,"no"
"26",42300,3000,2,1,2,"yes","no","no","no","no",0,"no"
"27",43500,3800,2,1,1,"yes","no","no","no","no",0,"no"
"28",44000,4960,2,1,1,"yes","no","yes","no","yes",0,"no"
"29",44500,3000,3,1,1,"no","no","no","no","yes",0,"no"
"30",44900,4500,3,1,2,"yes","no","no","no","yes",0,"no"
"31",45000,3500,2,1,1,"no","no","yes","no","no",0,"no"
"32",48000,3500,4,1,2,"yes","no","no","no","yes",2,"no"
"33",49000,4000,2,1,1,"yes","no","no","no","no",0,"no"
"34",51500,4500,2,1,1,"yes","no","no","no","no",0,"no"
"35",61000,6360,2,1,2,"yes","no","no","no","no",0,"no"
"36",61000,4500,2,1,1,"yes","no","no","no","yes",2,"no"
"37",61700,4032,2,1,1,"yes","no","yes","no","no",0,"no"
"38",67000,5170,3,1,4,"yes","no","no","no","yes",0,"no"
"39",82000,5400,4,2,2,"yes","no","no","no","yes",2,"no"
"40",54500,3150,2,2,1,"no","no","yes","no","no",0,"no"
"41",66500,3745,3,1,2,"yes","no","yes","no","no",0,"no"
"42",70000,4520,3,1,2,"yes","no","yes","no","yes",0,"no"
"43",82000,4640,4,1,2,"yes","no","no","no","no",1,"no"
"44",92000,8580,5,3,2,"yes","no","no","no","no",2,"no"
"45",38000,2000,2,1,2,"yes","no","no","no","no",0,"no"
"46",44000,2160,3,1,2,"no","no","yes","no","no",0,"no"
"47",41000,3040,2,1,1,"no","no","no","no","no",0,"no"
"48",43000,3090,3,1,2,"no","no","no","no","no",0,"no"
"49",48000,4960,4,1,3,"no","no","no","no","no",0,"no"
"50",54800,3350,3,1,2,"yes","no","no","no","no",0,"no"
"51",55000,5300,5,2,2,"yes","no","no","no","no",0,"no"
"52",57000,4100,4,1,1,"no","no","yes","no","no",0,"no"
"53",68000,9166,2,1,1,"yes","no","yes","no","yes",2,"no"
"54",95000,4040,3,1,2,"yes","no","yes","yes","no",1,"no"
"55",38000,3630,3,3,2,"no","yes","no","no","no",0,"no"
"56",25000,3620,2,1,1,"yes","no","no","no","no",0,"no"
"57",25245,2400,3,1,1,"no","no","no","no","no",0,"no"
"58",56000,7260,3,2,1,"yes","yes","yes","no","no",3,"no"
"59",35500,4400,3,1,2,"yes","no","no","no","no",0,"no"
"60",30000,2400,3,1,2,"yes","no","no","no","no",0,"no"
"61",48000,4120,2,1,2,"yes","no","no","no","no",0,"no"
"62",48000,4750,2,1,1,"yes","no","no","no","no",0,"no"
"63",52000,4280,2,1,1,"yes","no","no","no","yes",2,"no"
"64",54000,4820,3,1,2,"yes","no","no","no","no",0,"no"
"65",56000,5500,4,1,2,"yes","yes","yes","no","no",0,"no"
"66",60000,5500,3,1,2,"yes","no","no","no","yes",0,"no"
"67",60000,5040,3,1,2,"yes","no","yes","no","yes",0,"no"
"68",67000,6000,2,1,1,"yes","no","yes","no","yes",1,"no"
"69",47000,2500,2,1,1,"no","no","no","no","yes",0,"no"
"70",70000,4095,3,1,2,"no","yes","yes","no","yes",0,"no"
"71",45000,4095,2,1,1,"yes","no","no","no","no",2,"no"
"72",51000,3150,3,1,2,"yes","no","yes","no","no",0,"no"
"73",32500,1836,2,1,1,"no","no","yes","no","no",0,"no"
"74",34000,2475,3,1,2,"yes","no","no","no","no",0,"no"
"75",35000,3210,3,1,2,"yes","no","yes","no","no",0,"no"
"76",36000,3180,3,1,1,"no","no","no","no","no",0,"no"
"77",45000,1650,3,1,2,"no","no","yes","no","no",0,"no"
"78",47000,3180,4,1,2,"yes","no","yes","no","yes",0,"no"
"79",55000,3180,2,2,1,"yes","no","yes","no","no",2,"no"
"80",63900,6360,2,1,1,"yes","no","yes","no","yes",1,"no"
"81",50000,4240,3,1,2,"yes","no","no","no","yes",0,"no"
"82",35000,3240,2,1,1,"no","yes","no","no","no",1,"no"
"83",50000,3650,3,1,2,"yes","no","no","no","no",0,"no"
"84",43000,3240,3,1,2,"yes","no","no","no","no",2,"no"
"85",55500,3780,2,1,2,"yes","yes","yes","no","no",0,"no"
"86",57000,6480,3,1,2,"no","no","no","no","yes",1,"no"
"87",60000,5850,2,1,1,"yes","yes","yes","no","no",2,"no"
"88",78000,3150,3,2,1,"yes","yes","yes","no","yes",0,"no"
"89",35000,3000,2,1,1,"yes","no","no","no","no",1,"no"
"90",44000,3090,2,1,1,"yes","yes","yes","no","no",0,"no"
"91",47000,6060,3,1,1,"yes","yes","yes","no","no",0,"no"
"92",58000,5900,4,2,2,"no","no","yes","no","no",1,"no"
"93",163000,7420,4,1,2,"yes","yes","yes","no","yes",2,"no"
"94",128000,8500,3,2,4,"yes","no","no","no","yes",2,"no"
"95",123500,8050,3,1,1,"yes","yes","yes","no","yes",1,"no"
"96",39000,6800,2,1,1,"yes","no","no","no","no",0,"no"
"97",53900,8250,3,1,1,"yes","no","no","no","no",2,"no"
"98",59900,8250,3,1,1,"yes","no","yes","no","no",3,"no"
"99",35000,3500,2,1,1,"yes","yes","no","no","no",0,"no"
"100",43000,2835,2,1,1,"yes","no","no","no","no",0,"no"
"101",57000,4500,3,2,2,"no","no","yes","no","yes",0,"no"
"102",79000,3300,3,3,2,"yes","no","yes","no","no",0,"no"
"103",125000,4320,3,1,2,"yes","no","yes","yes","no",2,"no"
"104",132000,3500,4,2,2,"yes","no","no","yes","no",2,"no"
"105",58000,4992,3,2,2,"yes","no","no","no","no",2,"no"
"106",43000,4600,2,1,1,"yes","no","no","no","no",0,"no"
"107",48000,3720,2,1,1,"no","no","no","no","yes",0,"no"
"108",58500,3680,3,2,2,"yes","no","no","no","no",0,"no"
"109",73000,3000,3,2,2,"yes","yes","yes","no","no",0,"no"
"110",63500,3750,2,1,1,"yes","yes","yes","no","no",0,"no"
"111",43000,5076,3,1,1,"no","no","no","no","no",0,"no"
"112",46500,4500,2,1,1,"no","no","no","no","no",0,"no"
"113",92000,5000,3,1,2,"yes","no","no","no","yes",0,"no"
"114",75000,4260,4,1,2,"yes","no","yes","no","yes",0,"no"
"115",75000,6540,4,2,2,"no","no","no","no","yes",0,"no"
"116",85000,3700,4,1,2,"yes","yes","no","no","yes",0,"no"
"117",93000,3760,3,1,2,"yes","no","no","yes","no",2,"no"
"118",94500,4000,3,2,2,"yes","no","yes","no","yes",1,"no"
"119",106500,4300,3,2,2,"yes","no","yes","no","no",1,"no"
"120",116000,6840,5,1,2,"yes","yes","yes","no","yes",1,"no"
"121",61500,4400,2,1,1,"yes","no","no","no","no",1,"no"
"122",80000,10500,4,2,2,"yes","no","no","no","no",1,"no"
"123",37000,4400,2,1,1,"yes","no","no","no","no",0,"no"
"124",59500,4840,3,1,2,"yes","no","no","no","no",1,"no"
"125",70000,4120,2,1,1,"yes","no","yes","no","no",1,"no"
"126",95000,4260,4,2,2,"yes","no","no","yes","no",0,"no"
"127",117000,5960,3,3,2,"yes","yes","yes","no","no",1,"no"
"128",122500,8800,3,2,2,"yes","no","no","no","yes",2,"no"
"129",123500,4560,3,2,2,"yes","yes","yes","no","yes",1,"no"
"130",127000,4600,3,2,2,"yes","yes","no","no","yes",2,"no"
"131",35000,4840,2,1,2,"yes","no","no","no","no",0,"no"
"132",44500,3850,3,1,2,"yes","no","no","no","no",0,"no"
"133",49900,4900,3,1,2,"no","no","no","no","no",0,"no"
"134",50500,3850,3,1,1,"yes","no","no","no","no",2,"no"
"135",65000,3760,3,1,1,"yes","no","no","no","no",2,"no"
"136",90000,6000,4,2,4,"yes","no","no","no","no",1,"no"
"137",46000,4370,3,1,2,"yes","no","no","no","no",0,"no"
"138",35000,7700,2,1,1,"yes","no","no","no","no",0,"no"
"139",26500,2990,2,1,1,"no","no","no","no","no",1,"no"
"140",43000,3750,3,1,2,"yes","no","no","no","no",0,"no"
"141",56000,3000,3,1,2,"yes","no","no","no","no",0,"no"
"142",40000,2650,3,1,2,"yes","no","yes","no","no",1,"no"
"143",51000,4500,4,2,2,"yes","no","yes","no","no",2,"no"
"144",51000,4500,2,1,1,"no","no","no","no","no",0,"no"
"145",57250,4500,3,1,2,"no","no","yes","no","yes",0,"no"
"146",44000,4500,2,1,2,"yes","no","no","yes","no",1,"no"
"147",61000,2175,3,1,2,"no","yes","yes","no","yes",0,"no"
"148",62000,4500,3,2,3,"yes","no","no","yes","no",1,"no"
"149",80000,4800,5,2,3,"no","no","yes","yes","no",0,"no"
"150",50000,4600,4,1,2,"yes","no","no","no","no",0,"no"
"151",59900,3450,3,1,2,"yes","no","no","no","no",1,"no"
"152",35500,3000,3,1,2,"no","no","no","no","no",0,"no"
"153",37000,3600,2,2,2,"yes","no","yes","no","no",1,"no"
"154",42000,3600,3,1,2,"no","no","no","no","no",1,"no"
"155",48000,3750,3,1,1,"yes","no","no","no","no",0,"no"
"156",60000,2610,4,3,2,"no","no","no","no","no",0,"no"
"157",60000,2953,3,1,2,"yes","no","yes","no","yes",0,"no"
"158",60000,2747,4,2,2,"no","no","no","no","no",0,"no"
"159",62000,1905,5,1,2,"no","no","yes","no","no",0,"no"
"160",63000,3968,3,1,2,"no","no","no","no","no",0,"no"
"161",63900,3162,3,1,2,"yes","no","no","no","yes",1,"no"
"162",130000,6000,4,1,2,"yes","no","yes","no","no",2,"no"
"163",25000,2910,3,1,1,"no","no","no","no","no",0,"no"
"164",50000,2135,3,2,2,"no","no","no","no","no",0,"no"
"165",52900,3120,3,1,2,"no","no","yes","yes","no",0,"no"
"166",62000,4075,3,1,1,"yes","yes","yes","no","no",2,"no"
"167",73500,3410,3,1,2,"no","no","no","no","yes",0,"no"
"168",38000,2800,3,1,1,"yes","no","no","no","no",0,"no"
"169",46000,2684,2,1,1,"yes","no","no","no","yes",1,"no"
"170",48000,3100,3,1,2,"no","no","yes","no","no",0,"no"
"171",52500,3630,2,1,1,"yes","no","yes","no","no",0,"no"
"172",32000,1950,3,1,1,"no","no","no","yes","no",0,"no"
"173",38000,2430,3,1,1,"no","no","no","no","no",0,"no"
"174",46000,4320,3,1,1,"no","no","no","no","no",1,"no"
"175",50000,3036,3,1,2,"yes","no","yes","no","no",0,"no"
"176",57500,3630,3,2,2,"yes","no","no","yes","no",2,"no"
"177",70000,5400,4,1,2,"yes","no","no","no","no",0,"no"
"178",69900,3420,4,2,2,"yes","no","yes","no","yes",2,"no"
"179",74500,3180,3,2,2,"yes","no","no","no","no",2,"no"
"180",42000,3660,4,1,2,"no","no","no","no","no",0,"no"
"181",60000,4410,2,1,1,"no","no","no","no","no",1,"no"
"182",50000,3990,3,1,2,"yes","no","no","no","no",0,"no"
"183",58000,4340,3,1,1,"yes","no","no","no","no",0,"no"
"184",63900,3510,3,1,2,"yes","no","no","no","no",0,"no"
"185",28000,3420,5,1,2,"no","no","no","no","no",0,"no"
"186",54000,3420,2,1,2,"yes","no","no","yes","no",1,"no"
"187",44700,5495,3,1,1,"yes","no","yes","no","no",0,"no"
"188",47000,3480,4,1,2,"no","no","no","no","no",1,"no"
"189",50000,7424,3,1,1,"no","no","no","no","no",0,"no"
"190",57250,3460,4,1,2,"yes","no","no","no","yes",0,"no"
"191",67000,3630,3,1,2,"yes","no","no","no","no",2,"no"
"192",52500,3630,2,1,1,"yes","no","no","no","yes",0,"no"
"193",42000,3480,3,1,2,"no","no","no","no","no",1,"no"
"194",57500,3460,3,2,1,"yes","no","yes","no","yes",1,"no"
"195",33000,3180,2,1,1,"yes","no","no","no","no",0,"no"
"196",34400,3635,2,1,1,"no","no","no","no","no",0,"no"
"197",40000,3960,3,1,1,"yes","no","no","no","no",0,"no"
"198",40500,4350,3,1,2,"no","no","no","yes","no",1,"no"
"199",46500,3930,2,1,1,"no","no","no","no","no",0,"no"
"200",52000,3570,3,1,2,"yes","no","yes","no","no",0,"no"
"201",53000,3600,3,1,1,"yes","no","no","no","no",1,"no"
"202",53900,2520,5,2,1,"no","no","yes","no","yes",1,"no"
"203",50000,3480,3,1,1,"no","no","no","no","yes",0,"no"
"204",55500,3180,4,2,2,"yes","no","no","no","no",0,"no"
"205",56000,3290,2,1,1,"yes","no","no","yes","no",1,"no"
"206",60000,4000,4,2,2,"no","no","no","no","no",0,"no"
"207",60000,2325,3,1,2,"no","no","no","no","no",0,"no"
"208",69500,4350,2,1,1,"yes","no","yes","no","no",0,"no"
"209",72000,3540,2,1,1,"no","yes","yes","no","no",0,"no"
"210",92500,3960,3,1,1,"yes","no","yes","no","no",2,"no"
"211",40500,2640,2,1,1,"no","no","no","no","no",1,"no"
"212",42000,2700,2,1,1,"no","no","no","no","no",0,"no"
"213",47900,2700,3,1,1,"no","no","no","no","no",0,"no"
"214",52000,3180,3,1,2,"no","no","yes","no","no",0,"no"
"215",62000,3500,4,1,2,"yes","no","no","no","no",2,"no"
"216",41000,3630,2,1,1,"yes","no","no","no","no",0,"no"
"217",138300,6000,4,3,2,"yes","yes","yes","yes","no",2,"no"
"218",42000,3150,3,1,2,"no","no","no","no","no",0,"no"
"219",47000,3792,4,1,2,"yes","no","no","no","no",0,"no"
"220",64500,3510,3,1,3,"yes","no","no","no","no",0,"no"
"221",46000,3120,3,1,2,"no","no","no","no","no",0,"no"
"222",58000,3000,4,1,3,"yes","no","yes","no","yes",2,"no"
"223",70100,4200,3,1,2,"yes","no","no","no","no",1,"no"
"224",78500,2817,4,2,2,"no","yes","yes","no","no",1,"no"
"225",87250,3240,4,1,3,"yes","no","no","no","no",1,"no"
"226",70800,2800,3,2,2,"no","no","yes","no","yes",1,"no"
"227",56000,3816,2,1,1,"yes","no","yes","no","yes",2,"no"
"228",48000,3185,2,1,1,"yes","no","yes","no","no",2,"no"
"229",68000,6321,3,1,2,"yes","no","yes","no","yes",1,"no"
"230",79000,3650,3,2,2,"yes","no","no","no","no",2,"no"
"231",80000,4700,4,1,2,"yes","yes","yes","no","yes",1,"no"
"232",87000,6615,4,2,2,"yes","yes","no","yes","no",1,"no"
"233",25000,3850,3,1,2,"yes","no","no","no","no",0,"no"
"234",32500,3970,1,1,1,"no","no","no","no","no",0,"no"
"235",36000,3000,2,1,2,"yes","no","no","no","no",0,"no"
"236",42500,4352,4,1,2,"no","no","no","no","no",1,"no"
