"","wage","educ","exper","sex"
"1",7.7802076852,1,23,NA
"2",4.81850475584,1,15,NA
"3",10.563645423,1,31,NA
"4",7.0424294557,1,32,NA
"5",7.88752079207,1,9,NA
"6",8.2000575113,1,15,NA
"7",8.21428907855,1,26,NA
"8",10.378317745,1,23,NA
"9",10.9548908153,1,13,NA
"10",7.21144821876,1,22,NA
"11",6.96829937605,1,39,NA
"12",7.43367484798,1,20,NA
"13",8.31006769972,1,16,NA
"14",6.757513033,1,38,NA
"15",12.181500202,1,41,NA
"16",6.2972664781,1,37,NA
"17",8.09582819987,1,18,NA
"18",7.70960760934,1,24,NA
"19",7.40461181113,1,31,NA
"20",8.7837525626,1,34,NA
"21",8.79120672089,1,20,NA
"22",9.10821048143,1,35,NA
"23",6.52035081892,1,23,NA
"24",9.2191800178,1,40,NA
"25",3.38036534548,1,23,NA
"26",8.16921707788,1,33,NA
"27",11.7126715733,1,15,NA
"28",9.57770346481,1,31,NA
"29",7.6134373164,1,18,NA
"30",8.33992647478,1,31,NA
"31",9.9335323092,1,33,NA
"32",8.59176398553,1,11,NA
"33",6.51033592052,1,28,NA
"34",8.80303619989,1,17,NA
"35",9.70290456843,1,26,NA
"36",7.74667264916,1,18,NA
"37",7.46497636335,1,28,NA
"38",9.19222407591,1,18,NA
"39",8.89570127839,1,37,NA
"40",9.15515903609,1,22,NA
"41",7.92273406726,1,19,NA
"42",4.50715544659,1,27,NA
"43",8.16780904266,1,19,NA
"44",11.9721318099,1,32,NA
"45",7.90918916507,1,40,NA
"46",11.5568085196,1,21,NA
"47",9.57770346481,1,21,NA
"48",4.1513266022,1,2,NA
"49",9.85940222955,1,30,NA
"50",7.74667264916,1,29,NA
"51",6.9217028302,1,21,NA
"52",5.63394306877,1,32,NA
"53",8.25597981155,1,33,NA
"54",7.74667264916,1,4,NA
"55",12.6763725245,1,34,NA
"56",7.85787024757,1,36,NA
"57",4.50715544659,1,13,NA
"58",7.74667264916,1,19,NA
"59",8.60741350375,1,21,NA
"60",7.75174455068,1,37,NA
"61",11.7373840788,1,32,NA
"62",8.04849045238,1,21,NA
"63",8.1543930451,1,40,NA
"64",9.85940222955,1,21,NA
"65",8.45091584263,1,41,NA
"66",9.77341044475,1,37,NA
"67",9.90150694474,1,26,NA
"68",7.35542725688,1,18,NA
"69",4.89263483549,1,16,NA
"70",9.01431089319,1,27,NA
"71",6.59660534607,1,39,NA
"72",9.15515903609,1,21,NA
"73",6.50070525708,1,18,NA
"74",10.9548908153,1,35,NA
"75",13.3806157179,1,37,NA
"76",11.2678861375,1,24,NA
"77",7.88752079207,1,29,NA
"78",9.63700951167,1,35,NA
"79",11.7373840788,1,23,NA
"80",7.32412822045,1,20,NA
"81",9.63700951167,1,27,NA
"82",11.1196259782,1,30,NA
"83",8.45091584263,1,28,NA
"84",5.32940587359,1,32,NA
"85",8.45091584263,1,29,NA
"86",7.80084482113,1,15,NA
"87",9.63700951167,1,33,NA
"88",7.51192491801,1,19,NA
"89",11.2678861375,1,37,NA
"90",10.463037836,1,18,NA
"91",5.96269202452,1,13,NA
"92",8.45091584263,1,14,NA
"93",6.08465811765,1,28,NA
"94",7.54545995404,1,9,NA
"95",4.96942729159,1,19,NA
"96",10.1410985154,1,34,NA
"97",8.16921707788,1,34,NA
"98",9.71855160771,1,33,NA
"99",9.63700951167,1,45,NA
"100",11.2678861375,2,17,NA
"101",9.85940222955,2,24,NA
"102",10.563645423,2,18,NA
"103",15.7750415841,2,20,NA
"104",8.77285516325,2,21,NA
"105",7.26960403967,2,41,NA
"106",11.2678861375,2,17,NA
"107",12.181500202,2,22,NA
"108",12.0091968498,2,35,NA
"109",9.57770346481,2,39,NA
"110",7.0424294557,2,12,NA
"111",6.1797327212,2,23,NA
"112",9.18466332341,2,25,NA
"113",6.10343853108,2,30,NA
"114",10.97136334,2,18,NA
"115",8.37478030436,2,33,NA
"116",3.46704131641,2,20,NA
"117",9.96519574912,2,29,NA
"118",6.17051108208,2,4,NA
"119",9.15515903609,2,13,NA
"120",12.1574570091,2,35,NA
"121",11.377896326,2,33,NA
"122",7.0424294557,2,4,NA
"123",14.8261671447,2,34,NA
"124",10.4570214601,2,21,NA
"125",10.563645423,2,31,NA
"126",6.70319460385,2,15,NA
"127",8.26311666613,2,16,NA
"128",5.63394306877,2,15,NA
"129",13.1458679868,2,34,NA
"130",8.92041130494,2,23,NA
"131",9.15515903609,2,8,NA
"132",7.18327759861,2,24,NA
"133",6.13955413871,2,22,NA
"134",13.7718611102,2,45,NA
"135",12.3057196473,2,15,NA
"136",9.63700951167,2,23,NA
"137",7.88752079207,2,18,NA
"138",12.1129799529,2,33,NA
"139",8.45091584263,2,37,NA
"140",6.67177657852,2,32,NA
"141",12.1574570091,2,34,NA
"142",10.2531835726,2,15,NA
"143",6.65118406342,2,31,NA
"144",8.70700472733,2,11,NA
"145",8.1543930451,2,21,NA
"146",7.69620152752,2,11,NA
"147",8.1543930451,2,14,NA
"148",8.02836893498,2,21,NA
"149",9.85940222955,2,24,NA
"150",11.7373840788,2,23,NA
"151",14.8261671447,2,27,NA
"152",7.51192491801,2,23,NA
"153",12.7505050831,2,20,NA
"154",5.36566030159,2,26,NA
"155",11.4161487758,2,23,NA
"156",10.378317745,2,7,NA
"157",10.6748405425,2,24,NA
"158",7.12434339203,2,22,NA
"159",11.4439475556,2,25,NA
"160",10.563645423,2,20,NA
"161",11.1196259782,2,15,NA
"162",12.3057196473,2,16,NA
"163",4.42666937697,2,29,NA
"164",6.43879384927,2,24,NA
"165",7.54779511104,2,9,NA
