name,latitude,longitude,population
Shanghai,31.22222,121.45806,22315474
Buenos Aires,-34.61315,-58.37723,13076300
Mumbai,19.07283,72.88261,12691836
Mexico City,19.42847,-99.12766,12294193
Beijing,39.9075,116.39723,11716620
Karachi,24.9056,67.0822,11624219
İstanbul,41.01384,28.94966,11174257
Tianjin,39.14222,117.17667,11090314
Guangzhou,23.11667,113.25,11071424
Delhi,28.65381,77.22897,10927986
Manila,14.6042,120.9822,10444527
Moscow,55.75222,37.61556,10381222
Shenzhen,22.54554,114.0683,10358381
Dhaka,23.7104,90.40744,10356500
Seoul,37.566,126.9784,10349312
São Paulo,-23.5475,-46.63611,10021295
